therapeutic_class,capsule_name,pdl_name,status
ANTIPSYCHOTICS - ATYPICAL,Abilify,ABILIFY TABLET (ORAL),Non-Preferred
ANTIPSYCHOTICS - ATYPICAL,Abilify Asimtufii,ABILIFY ASIMTUFII (INTRAMUSC),Preferred
ANTIPSYCHOTICS - ATYPICAL,Abilify Maintena,ABILIFY MAINTENA (INTRAMUSC.),Preferred
ANTIPSYCHOTICS - ATYPICAL,Abilify MyCite,ABILIFY MYCITE (ORAL),Non-Preferred
ANTIPSYCHOTICS - ATYPICAL,Abilify tablet,ABILIFY TABLET (ORAL),Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,Abrilada Ankylosing Spondylitis,ABRILADA KIT (INJECTION) (CF) 50 MG/ ML,Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,Abrilada Crohn's Disease (adult),ABRILADA KIT (INJECTION) (CF) 50 MG/ ML,Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,Abrilada Crohn's Disease (pediatric),ABRILADA KIT (INJECTION) (CF) 50 MG/ ML,Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,Abrilada Hidradenitis Suppurativa,ABRILADA KIT (INJECTION) (CF) 50 MG/ ML,Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,Abrilada Plaque Psoriasis (adult),ABRILADA KIT (INJECTION) (CF) 50 MG/ ML,Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,Abrilada Polyarticular Juvenile Idiopathic Arthritis (PJIA),ABRILADA KIT (INJECTION) (CF) 50 MG/ ML,Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,Abrilada Psoriatic Arthritis (adult),ABRILADA KIT (INJECTION) (CF) 50 MG/ ML,Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,Abrilada Rheumatoid Arthritis,ABRILADA KIT (INJECTION) (CF) 50 MG/ ML,Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,Abrilada Ulcerative Colitis (adult),ABRILADA KIT (INJECTION) (CF) 50 MG/ ML,Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,Abrilada Uveitis (adult),ABRILADA KIT (INJECTION) (CF) 50 MG/ ML,Non-Preferred
PROTON PUMP INHIBITORS,Aciphex,ACIPHEX TABLETS (ORAL),Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,"Actemra ACTPen, Giant Cell Arteritis",ACTEMRA PEN (SUBCUTANE.),Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,"Actemra ACTPen, Polyarticular Juvenile Idiopathic Arthritis (PJIA)",ACTEMRA PEN (SUBCUTANE.),Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,"Actemra ACTPen, Rheumatoid Arthritis",ACTEMRA PEN (SUBCUTANE.),Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,"Actemra ACTPen, Systemic Sclerosis-Associated Interstitial Lung Disease (SSc-ILD)",ACTEMRA PEN (SUBCUTANE.),Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,"Actemra ACTPen, Systemic-Onset Juvenile Idiopathic Arthritis (SJIA)",ACTEMRA PEN (SUBCUTANE.),Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,Actemra Cytokine Release Syndrome,ACTEMRA VIAL (INJECTION),Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,Actemra prefilled syringe,ACTEMRA SYRINGE (SUBCUTANE.),Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,"Actemra prefilled syringe, Cytokine Release Syndrome",ACTEMRA SYRINGE (SUBCUTANE.),Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,"Actemra prefilled syringe, Giant Cell Arteritis",ACTEMRA SYRINGE (SUBCUTANE.),Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,"Actemra prefilled syringe, Polyarticular Juvenile Idiopathic Arthritis (PJIA)",ACTEMRA SYRINGE (SUBCUTANE.),Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,"Actemra prefilled syringe, Rheumatoid Arthritis",ACTEMRA SYRINGE (SUBCUTANE.),Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,"Actemra prefilled syringe, Systemic Sclerosis-Associated Interstitial Lung Disease (SSc-ILD)",ACTEMRA SYRINGE (SUBCUTANE.),Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,"Actemra prefilled syringe, Systemic-Onset Juvenile Idiopathic Arthritis (SJIA)",ACTEMRA SYRINGE (SUBCUTANE.),Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,Actemra syringe/vial,ACTEMRA SYRINGE (SUBCUTANE.),Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,Actemra vial,ACTEMRA VIAL (INJECTION),Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,"Actemra vial, Coronavirus Disease 2019",ACTEMRA VIAL (INJECTION),Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,"Actemra vial, Cytokine Release Syndrome",ACTEMRA VIAL (INJECTION),Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,"Actemra vial, Giant Cell Arteritis",ACTEMRA VIAL (INJECTION),Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,"Actemra vial, Polyarticular Juvenile Idiopathic Arthritis (PJIA)",ACTEMRA VIAL (INJECTION),Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,"Actemra vial, Rheumatoid Arthritis",ACTEMRA VIAL (INJECTION),Non-Preferred
