therapeutic_class,pdl_name,status
ANDROGENIC AGENTS,ANDROGEL GEL PUMP (TRANSDERM): 20.25/1.25,Preferred
ANDROGENIC AGENTS,TESTOSTERONE GEL PACKET (AG) (ANDROGEL) (TRANSDERM): 1.25G-1.62,Preferred
ANDROGENIC AGENTS,TESTOSTERONE GEL PACKET (AG) (ANDROGEL) (TRANSDERM): 2.5G-1.62%,Preferred
ANDROGENIC AGENTS,TESTOSTERONE GEL PACKET (AG) (ANDROGEL) (TRANSDERM): 25MG(1%),Preferred
ANDROGENIC AGENTS,TESTOSTERONE GEL PACKET (AG) (ANDROGEL) (TRANSDERM): 50 MG (1%),Preferred
ANDROGENIC AGENTS,TESTOSTERONE GEL PUMP (AG) (ANDROGEL) (TRANSDERM): 12.5/1.25G,Preferred
ANDROGENIC AGENTS,TESTOSTERONE GEL PUMP (AG) (ANDROGEL) (TRANSDERM): 20.25/1.25,Preferred
ANDROGENIC AGENTS,TESTOSTERONE GEL PUMP (ANDROGEL) (TRANSDERM): 20.25/1.25,Preferred
ANDROGENIC AGENTS,TESTIM (TRANSDERM.): 50 MG (1%),Non-Preferred
ANDROGENIC AGENTS,ANDRODERM (TRANSDERM): 2 MG/24 HR,Non-Preferred
ANDROGENIC AGENTS,ANDRODERM (TRANSDERM): 4 MG/24 HR,Non-Preferred
ANDROGENIC AGENTS,ANDROGEL GEL PACKET (TRANSDERM.): 1.25G-1.62,Non-Preferred
ANDROGENIC AGENTS,ANDROGEL GEL PACKET (TRANSDERM.): 2.5G-1.62%,Non-Preferred
ANDROGENIC AGENTS,ANDROGEL GEL PACKET (TRANSDERM.): 25MG(1%),Non-Preferred
ANDROGENIC AGENTS,ANDROGEL GEL PACKET (TRANSDERM.): 50 MG (1%),Non-Preferred
ANDROGENIC AGENTS,FORTESTA (TRANSDERM): 10 MG (2%),Non-Preferred
ANDROGENIC AGENTS,NATESTO (NASAL): 5.5/0.122,Non-Preferred
ANDROGENIC AGENTS,TESTIM (TRANSDERM.): 50 MG (1%),Non-Preferred
ANDROGENIC AGENTS,TESTOSTERONE GEL (AG) (FORTESTA) (TRANSDERM): 10 MG (2%),Non-Preferred
ANDROGENIC AGENTS,TESTOSTERONE GEL (AG) (TESTIM) (TRANSDERM): 50 MG (1%),Non-Preferred
ANDROGENIC AGENTS,TESTOSTERONE GEL PACKET (AG) (VOGELXO) (TRANSDERM): 50 MG (1%),Non-Preferred
ANDROGENIC AGENTS,TESTOSTERONE GEL PACKET (ANDROGEL) (TRANSDERM): 1.25G-1.62,Non-Preferred
ANDROGENIC AGENTS,TESTOSTERONE GEL PACKET (ANDROGEL) (TRANSDERM): 2.5G-1.62%,Non-Preferred
ANDROGENIC AGENTS,TESTOSTERONE GEL PACKET (ANDROGEL) (TRANSDERM): 25MG(1%),Non-Preferred
ANDROGENIC AGENTS,TESTOSTERONE GEL PUMP (AG) (AXIRON) (TRANSDERM): 30MG/1.5ML,Non-Preferred
ANDROGENIC AGENTS,TESTOSTERONE GEL PUMP (AG) (VOGELXO) (TRANSDERM): 12.5/1.25G,Non-Preferred
ANDROGENIC AGENTS,VOGELXO GEL (TRANSDERM): 50 MG (1%),Non-Preferred
ANDROGENIC AGENTS,VOGELXO GEL PACKET (TRANSDERM): 50 MG (1%),Non-Preferred
ANDROGENIC AGENTS,VOGELXO GEL PUMP (TRANSDERM): 12.5/1.25G,Non-Preferred
ANTIEMETIC/ANTIVERTIGO AGENTS,APREPITANT CAPSULE (ORAL): 125 MG,Preferred
ANTIEMETIC/ANTIVERTIGO AGENTS,APREPITANT CAPSULE (ORAL): 40 MG,Preferred
ANTIEMETIC/ANTIVERTIGO AGENTS,APREPITANT CAPSULE (ORAL): 80 MG,Preferred
ANTIEMETIC/ANTIVERTIGO AGENTS,DICLEGIS (ORAL): 10 MG-10MG,Preferred
ANTIEMETIC/ANTIVERTIGO AGENTS,DOXYLAMINE SUCCINATE/VITAMIN B6 (AG) (ORAL): 10 MG-10MG,Preferred
ANTIEMETIC/ANTIVERTIGO AGENTS,MECLIZINE (AG) (ORAL): 12.5 MG,Preferred
ANTIEMETIC/ANTIVERTIGO AGENTS,MECLIZINE (AG) (ORAL): 25 MG,Preferred
ANTIEMETIC/ANTIVERTIGO AGENTS,MECLIZINE (ORAL): 12.5 MG,Preferred
ANTIEMETIC/ANTIVERTIGO AGENTS,MECLIZINE (ORAL): 25 MG,Preferred
ANTIEMETIC/ANTIVERTIGO AGENTS,MECLIZINE OTC (ORAL): 25 MG,Preferred
ANTIEMETIC/ANTIVERTIGO AGENTS,METOCLOPRAMIDE SOLUTION (ORAL): 10 MG/10ML,Preferred
ANTIEMETIC/ANTIVERTIGO AGENTS,METOCLOPRAMIDE SOLUTION (ORAL): 5 MG/5 ML,Preferred
ANTIEMETIC/ANTIVERTIGO AGENTS,METOCLOPRAMIDE TABLET (ORAL): 10 MG,Preferred
ANTIEMETIC/ANTIVERTIGO AGENTS,METOCLOPRAMIDE TABLET (ORAL): 5 MG,Preferred
ANTIEMETIC/ANTIVERTIGO AGENTS,ONDANSETRON ODT (ORAL): 4 MG,Preferred
ANTIEMETIC/ANTIVERTIGO AGENTS,ONDANSETRON ODT (ORAL): 8 MG,Preferred
ANTIEMETIC/ANTIVERTIGO AGENTS,ONDANSETRON SOLUTION (ORAL): 4 MG/5 ML,Preferred
ANTIEMETIC/ANTIVERTIGO AGENTS,ONDANSETRON TABLETS (ORAL): 4 MG,Preferred
ANTIEMETIC/ANTIVERTIGO AGENTS,ONDANSETRON TABLETS (ORAL): 8 MG,Preferred
ANTIEMETIC/ANTIVERTIGO AGENTS,PROCHLORPERAZINE (ORAL): 10 MG,Preferred
ANTIEMETIC/ANTIVERTIGO AGENTS,PROCHLORPERAZINE (ORAL): 5 MG,Preferred
ANTIEMETIC/ANTIVERTIGO AGENTS,PROCHLORPERAZINE (RECTAL): 25 MG,Preferred
ANTIEMETIC/ANTIVERTIGO AGENTS,PROMETHAZINE (RECTAL): 12.5 MG,Preferred
ANTIEMETIC/ANTIVERTIGO AGENTS,PROMETHAZINE (RECTAL): 25 MG,Preferred
ANTIEMETIC/ANTIVERTIGO AGENTS,PROMETHAZINE 50 MG (RECTAL): 50 MG,Preferred
ANTIEMETIC/ANTIVERTIGO AGENTS,PROMETHAZINE SYRUP (ORAL): 6.25MG/5ML,Preferred
ANTIEMETIC/ANTIVERTIGO AGENTS,PROMETHAZINE TABLET (ORAL): 12.5 MG,Preferred
ANTIEMETIC/ANTIVERTIGO AGENTS,PROMETHAZINE TABLET (ORAL): 25 MG,Preferred
ANTIEMETIC/ANTIVERTIGO AGENTS,PROMETHAZINE TABLET (ORAL): 50 MG,Preferred
ANTIEMETIC/ANTIVERTIGO AGENTS,TRANSDERM-SCOP (TRANSDERM): 1 MG/3 DAY,Preferred
ANTIEMETIC/ANTIVERTIGO AGENTS,AKYNZEO (INTRAVEN): 235-0.25MG,Non-Preferred
ANTIEMETIC/ANTIVERTIGO AGENTS,AKYNZEO (ORAL): 300-0.5 MG,Non-Preferred
ANTIEMETIC/ANTIVERTIGO AGENTS,ANTIVERT (ORAL): 25 MG,Non-Preferred
ANTIEMETIC/ANTIVERTIGO AGENTS,ANTIVERT (ORAL): 50 MG,Non-Preferred
ANTIEMETIC/ANTIVERTIGO AGENTS,ANZEMET (ORAL): 50 MG,Non-Preferred
