therapeutic_class,capsule_name,pdl_name
"GLUCOCORTICOIDS, INHALED",Asmanex Twisthaler,ASMANEX (INHALATION): 110MCG(30)
"GLUCOCORTICOIDS, INHALED",Asmanex Twisthaler,ASMANEX (INHALATION): 220MCG 120
"GLUCOCORTICOIDS, INHALED",Asmanex Twisthaler,ASMANEX (INHALATION): 220MCG(14)
"GLUCOCORTICOIDS, INHALED",Asmanex Twisthaler,ASMANEX (INHALATION): 220MCG(30)
"GLUCOCORTICOIDS, INHALED",Asmanex Twisthaler,ASMANEX (INHALATION): 220MCG(60)
"GLUCOCORTICOIDS, INHALED",Asmanex Twisthaler,ASMANEX HFA (INHALATION): 100 MCG
"GLUCOCORTICOIDS, INHALED",Asmanex Twisthaler,ASMANEX HFA (INHALATION): 200 MCG
"GLUCOCORTICOIDS, INHALED",Asmanex Twisthaler,ASMANEX HFA (INHALATION): 50 MCG
STIMULANTS AND RELATED AGENTS,Concerta ER,METHYLPHENIDATE ER (CONCERTA) (AG) (ORAL): 18 MG
STIMULANTS AND RELATED AGENTS,Concerta ER,METHYLPHENIDATE ER (CONCERTA) (AG) (ORAL): 27 MG
STIMULANTS AND RELATED AGENTS,Concerta ER,METHYLPHENIDATE ER (CONCERTA) (AG) (ORAL): 36 MG
STIMULANTS AND RELATED AGENTS,Concerta ER,METHYLPHENIDATE ER (CONCERTA) (AG) (ORAL): 54 MG
STIMULANTS AND RELATED AGENTS,Concerta ER,CONCERTA (ORAL): 18 MG
STIMULANTS AND RELATED AGENTS,Concerta ER,CONCERTA (ORAL): 27 MG
STIMULANTS AND RELATED AGENTS,Concerta ER,CONCERTA (ORAL): 36 MG
STIMULANTS AND RELATED AGENTS,Concerta ER,CONCERTA (ORAL): 54 MG
"DIABETES METERS, CONTINUOUS",Freestyle Freedom Lite Meter,FREESTYLE LIBRE 10 DAY READER CGM (MISCELL.): nan
"DIABETES METERS, CONTINUOUS",Freestyle Freedom Lite Meter,FREESTYLE LIBRE 14 DAY READER CGM (MISCELL.): nan
"DIABETES METERS, CONTINUOUS",Freestyle Freedom Lite Meter,FREESTYLE LIBRE 2 READER CGM (MISCELL.): nan
"DIABETES METERS, CONTINUOUS",Freestyle Insulinx Glucose System,FREESTYLE LIBRE 10 DAY READER CGM (MISCELL.): nan
"DIABETES METERS, CONTINUOUS",Freestyle Insulinx Glucose System,FREESTYLE LIBRE 14 DAY READER CGM (MISCELL.): nan
"DIABETES METERS, CONTINUOUS",Freestyle Insulinx Glucose System,FREESTYLE LIBRE 2 READER CGM (MISCELL.): nan
"DIABETES METERS, CONTINUOUS",FreeStyle InsuLinx Test Strips 100 ct,FREESTYLE LIBRE 10 DAY READER CGM (MISCELL.): nan
"DIABETES METERS, CONTINUOUS",FreeStyle InsuLinx Test Strips 100 ct,FREESTYLE LIBRE 14 DAY READER CGM (MISCELL.): nan
"DIABETES METERS, CONTINUOUS",FreeStyle InsuLinx Test Strips 100 ct,FREESTYLE LIBRE 2 READER CGM (MISCELL.): nan
"DIABETES METERS, CONTINUOUS",FreeStyle InsuLinx Test Strips 50 ct,FREESTYLE LIBRE 10 DAY READER CGM (MISCELL.): nan
"DIABETES METERS, CONTINUOUS",FreeStyle InsuLinx Test Strips 50 ct,FREESTYLE LIBRE 14 DAY READER CGM (MISCELL.): nan
"DIABETES METERS, CONTINUOUS",FreeStyle InsuLinx Test Strips 50 ct,FREESTYLE LIBRE 2 READER CGM (MISCELL.): nan
"DIABETES METERS, CONTINUOUS",FreeStyle Libre 2 Sensor,FREESTYLE LIBRE 10 DAY READER CGM (MISCELL.): nan
"DIABETES METERS, CONTINUOUS",FreeStyle Libre 2 Sensor,FREESTYLE LIBRE 14 DAY READER CGM (MISCELL.): nan
"DIABETES METERS, CONTINUOUS",FreeStyle Libre 2 Sensor,FREESTYLE LIBRE 2 READER CGM (MISCELL.): nan
"DIABETES METERS, CONTINUOUS",Freestyle Libre 3 Plus,FREESTYLE LIBRE 10 DAY READER CGM (MISCELL.): nan
"DIABETES METERS, CONTINUOUS",Freestyle Libre 3 Plus,FREESTYLE LIBRE 14 DAY READER CGM (MISCELL.): nan
"DIABETES METERS, CONTINUOUS",Freestyle Libre 3 Plus,FREESTYLE LIBRE 2 READER CGM (MISCELL.): nan
"DIABETES METERS, CONTINUOUS",Freestyle Libre 3 Reader,FREESTYLE LIBRE 10 DAY READER CGM (MISCELL.): nan
"DIABETES METERS, CONTINUOUS",Freestyle Libre 3 Reader,FREESTYLE LIBRE 14 DAY READER CGM (MISCELL.): nan
"DIABETES METERS, CONTINUOUS",Freestyle Libre 3 Reader,FREESTYLE LIBRE 2 READER CGM (MISCELL.): nan
"DIABETES METERS, CONTINUOUS",FreeStyle Libre 3 Sensor,FREESTYLE LIBRE 10 DAY READER CGM (MISCELL.): nan
"DIABETES METERS, CONTINUOUS",FreeStyle Libre 3 Sensor,FREESTYLE LIBRE 14 DAY READER CGM (MISCELL.): nan
"DIABETES METERS, CONTINUOUS",FreeStyle Libre 3 Sensor,FREESTYLE LIBRE 2 READER CGM (MISCELL.): nan
"DIABETES METERS, CONTINUOUS",Freestyle Lite Meter,FREESTYLE LIBRE 10 DAY READER CGM (MISCELL.): nan
"DIABETES METERS, CONTINUOUS",Freestyle Lite Meter,FREESTYLE LIBRE 14 DAY READER CGM (MISCELL.): nan
"DIABETES METERS, CONTINUOUS",Freestyle Lite Meter,FREESTYLE LIBRE 2 READER CGM (MISCELL.): nan
"DIABETES METERS, CONTINUOUS",FreeStyle Lite Test Strips 100 ct,FREESTYLE LIBRE 10 DAY READER CGM (MISCELL.): nan
"DIABETES METERS, CONTINUOUS",FreeStyle Lite Test Strips 100 ct,FREESTYLE LIBRE 14 DAY READER CGM (MISCELL.): nan
"DIABETES METERS, CONTINUOUS",FreeStyle Lite Test Strips 100 ct,FREESTYLE LIBRE 2 READER CGM (MISCELL.): nan
"DIABETES METERS, CONTINUOUS",FreeStyle Lite Test Strips 50 ct,FREESTYLE LIBRE 10 DAY READER CGM (MISCELL.): nan
"DIABETES METERS, CONTINUOUS",FreeStyle Lite Test Strips 50 ct,FREESTYLE LIBRE 14 DAY READER CGM (MISCELL.): nan
"DIABETES METERS, CONTINUOUS",FreeStyle Lite Test Strips 50 ct,FREESTYLE LIBRE 2 READER CGM (MISCELL.): nan
"DIABETES METERS, CONTINUOUS",Freestyle Precision Neo Meter,FREESTYLE LIBRE 10 DAY READER CGM (MISCELL.): nan
"DIABETES METERS, CONTINUOUS",Freestyle Precision Neo Meter,FREESTYLE LIBRE 14 DAY READER CGM (MISCELL.): nan
"DIABETES METERS, CONTINUOUS",Freestyle Precision Neo Meter,FREESTYLE LIBRE 2 READER CGM (MISCELL.): nan
"DIABETES METERS, CONTINUOUS",FreeStyle Precision Neo Strips 25 ct,FREESTYLE LIBRE 10 DAY READER CGM (MISCELL.): nan
"DIABETES METERS, CONTINUOUS",FreeStyle Precision Neo Strips 25 ct,FREESTYLE LIBRE 14 DAY READER CGM (MISCELL.): nan
"DIABETES METERS, CONTINUOUS",FreeStyle Precision Neo Strips 25 ct,FREESTYLE LIBRE 2 READER CGM (MISCELL.): nan
"DIABETES METERS, CONTINUOUS",FreeStyle Precision Neo Strips 50 ct,FREESTYLE LIBRE 10 DAY READER CGM (MISCELL.): nan
"DIABETES METERS, CONTINUOUS",FreeStyle Precision Neo Strips 50 ct,FREESTYLE LIBRE 14 DAY READER CGM (MISCELL.): nan
"DIABETES METERS, CONTINUOUS",FreeStyle Precision Neo Strips 50 ct,FREESTYLE LIBRE 2 READER CGM (MISCELL.): nan
"DIABETES METERS, CONTINUOUS",FreeStyle Test Strips 100 ct,FREESTYLE LIBRE 10 DAY READER CGM (MISCELL.): nan
"DIABETES METERS, CONTINUOUS",FreeStyle Test Strips 100 ct,FREESTYLE LIBRE 14 DAY READER CGM (MISCELL.): nan
"DIABETES METERS, CONTINUOUS",FreeStyle Test Strips 100 ct,FREESTYLE LIBRE 2 READER CGM (MISCELL.): nan
