therapeutic_class,capsule_name,pdl_name,status
ANTIPSYCHOTICS - ATYPICAL,Abilify Asimtufii,ABILIFY ASIMTUFII (INTRAMUSC): 720 MG/2.4,Preferred
ANTIPSYCHOTICS - ATYPICAL,Abilify Maintena,ABILIFY MAINTENA (INTRAMUSC.): 300 MG,Preferred
ANTIPSYCHOTICS - ATYPICAL,Abilify MyCite,ABILIFY MYCITE (ORAL): 10 MG,Non-Preferred
ANTIPSYCHOTICS - ATYPICAL,Abilify tablet,ABILIFY TABLET (ORAL): 10 MG,Non-Preferred
PROTON PUMP INHIBITORS,Aciphex,ACIPHEX TABLETS (ORAL): 20 MG,Non-Preferred
"PAH AGENTS, ORAL AND INHALED",Adcirca,ADCIRCA (ORAL): 20 MG,Non-Preferred
STIMULANTS AND RELATED AGENTS,Adderall XR ER capsule,ADDERALL XR (ORAL): 10 MG,Non-Preferred
"PAH AGENTS, ORAL AND INHALED",Adempas,ADEMPAS (ORAL): 0.5 MG,Non-Preferred
"HYPOGLYCEMICS, INCRETIN MIMETICS/ENHANCERS",Adlyxin,ADLYXIN (SUBCUTANE.): 10-20 (1),Non-Preferred
"HYPOGLYCEMICS, INSULIN AND RELATED AGENTS",Admelog,ADMELOG VIAL (SUBCUTANE.): 100/ML,Non-Preferred
"HYPOGLYCEMICS, INSULIN AND RELATED AGENTS",Admelog SoloStar,ADMELOG SOLOSTAR PEN (SUBCUTANE.): 100/ML,Non-Preferred
"GLUCOCORTICOIDS, INHALED",Advair Diskus,ADVAIR DISKUS (INHALATION): 100-50 MCG,Preferred
"GLUCOCORTICOIDS, INHALED",Advair HFA,ADVAIR HFA (INHALATION): 115-21MCG,Preferred
HEMOPHILIA TREATMENT,Advate,ADVATE (INTRAVEN.): 1000 (+/-),Preferred
HEMOPHILIA TREATMENT,Adynovate,ADYNOVATE (INTRAVEN): 1000 (+/-),Preferred
HEMOPHILIA TREATMENT,Afstyla,AFSTYLA (INTRAVEN): 1000 (+/-),Preferred
"ANTIMIGRAINE AGENTS, OTHER",Aimovig,AIMOVIG: 140MG/ML,Preferred
"GLUCOCORTICOIDS, INHALED",Airduo Digihaler,AIRDUO DIGIHALER (INHALATION): 113-14 MCG,Non-Preferred
"GLUCOCORTICOIDS, INHALED",Airduo Respiclick,AIRDUO RESPICLICK (INHALATION): 113-14 MCG,Non-Preferred
"GLUCOCORTICOIDS, INHALED",Airsupra HFA,AIRSUPRA HFA (INHALATION): 90-80 MCG,Non-Preferred
"ANTIMIGRAINE AGENTS, OTHER",Ajovy,AJOVY: 225MG/1.5ML,Preferred
"BRONCHODILATORS, BETA AGONIST",Albuterol HFA generic PROAIR,ALBUTEROL HFA (PROAIR) (AG) (INHALATION): 90 MCG,Preferred
HEMOPHILIA TREATMENT,Alhemo,ALHEMO PEN (SUBCUTAN.): 150 MG/1.5,Non-Preferred
"HYPOGLYCEMICS, INCRETIN MIMETICS/ENHANCERS",Alogliptin / Metformin tablet,ALOGLIPTIN/METFORMIN (AG) (ORAL): 12.5-1000,Non-Preferred
"HYPOGLYCEMICS, INCRETIN MIMETICS/ENHANCERS",Alogliptin / Pioglitazone tablet,ALOGLIPTIN/PIOGLITAZONE (AG) (ORAL): 12.5-30 MG,Non-Preferred
"HYPOGLYCEMICS, INCRETIN MIMETICS/ENHANCERS",Alogliptin Benzoate tablet,ALOGLIPTIN (AG) (ORAL): 12.5 MG,Non-Preferred
"OPHTHALMICS, GLAUCOMA AGENTS",Alphagan P 0.1%,ALPHAGAN P 0.1% (OPHTHALMIC): 0.001,Preferred
HEMOPHILIA TREATMENT,Alprolix,ALPROLIX (INTRAVEN): 1000 UNIT,Preferred
HEMOPHILIA TREATMENT,Altuviiio,ALTUVIIIO (INTRAVEN): 1000 (+/-),Non-Preferred
"GLUCOCORTICOIDS, INHALED",Alvesco,ALVESCO (INHALATION): 160 MCG,Preferred
SEDATIVE HYPNOTICS,Ambien,AMBIEN (ORAL): 10 MG,Non-Preferred
SEDATIVE HYPNOTICS,Ambien CR,AMBIEN CR (ORAL): 12.5 MG,Non-Preferred
"PAH AGENTS, ORAL AND INHALED",Ambrisentan,AMBRISENTAN (ORAL): 10 MG,Preferred
CALCIUM CHANNEL BLOCKERS,Amlodipine tablet,AMLODIPINE (ORAL): 10 MG,Preferred
SKELETAL MUSCLE RELAXANTS,Amrix,AMRIX (ORAL): 15 MG,Non-Preferred
COPD AGENTS,Anoro Ellipta,ANORO ELLIPTA (INHALATION): 62.5-25MCG,Preferred
"HYPOGLYCEMICS, INSULIN AND RELATED AGENTS",Apidra,APIDRA VIAL (SUBCUTANE.): 100/ML,Non-Preferred
"HYPOGLYCEMICS, INSULIN AND RELATED AGENTS",Apidra SoloStar,APIDRA SOLOSTAR PEN (SUBCUTANE.): 100/ML,Non-Preferred
"ANTIDEPRESSANTS, OTHER",Aplenzin,APLENZIN (ORAL): 174MG,Non-Preferred
ANTICONVULSANTS,Aptiom,APTIOM (ORAL): 200 MG,Non-Preferred
HIV / AIDS,Aptivus,APTIVUS CAPSULE (ORAL): 250 MG,Non-Preferred
ERYTHROPOIESIS STIMULATING PROTEINS,Aranesp,ARANESP VIAL (INJECTION): 100 MCG/ML,Preferred
ALZHEIMER'S AGENTS,Aricept,ARICEPT (ORAL): 10 MG,Non-Preferred
"ANTIBIOTICS, INHALED",Arikayce,ARIKAYCE (INHALATION): 590 MG/8.4,Non-Preferred
ANTIPSYCHOTICS - ATYPICAL,Aripiprazole ODT,ARIPIPRAZOLE ODT (ORAL): 10 MG,Non-Preferred
ANTIPSYCHOTICS - ATYPICAL,Aripiprazole oral solution,ARIPIPRAZOLE SOLUTION (ORAL): 1 MG/ML,Non-Preferred
ANTIPSYCHOTICS - ATYPICAL,Aripiprazole tablet,ARIPIPRAZOLE TABLET (ORAL): 10 MG,Preferred
ANTIPSYCHOTICS - ATYPICAL,Aristada,ARISTADA (INTRAMUSC): 1064MG/3.9,Preferred
