therapeutic_class,capsule_name,pdl_name
ANTIPSYCHOTICS - ATYPICAL,Abilify,ABILIFY TABLET (ORAL)
ANTIPSYCHOTICS - ATYPICAL,Abilify MyCite,ABILIFY MYCITE (ORAL)
ANTIPSYCHOTICS - ATYPICAL,Abilify Asimtufii,ABILIFY ASIMTUFII (INTRAMUSC)
ANTIPSYCHOTICS - ATYPICAL,Abilify Maintena,ABILIFY MAINTENA (INTRAMUSC.)
CYTOKINE AND CAM ANTAGONISTS,Abrilada,ABRILADA KIT (INJECTION) (CF) 50 MG/ ML
PROTON PUMP INHIBITORS,Aciphex,ACIPHEX TABLETS (ORAL)
CYTOKINE AND CAM ANTAGONISTS,Actemra prefilled syringe,ACTEMRA SYRINGE (SUBCUTANE.)
CYTOKINE AND CAM ANTAGONISTS,Actemra vial,ACTEMRA VIAL (INJECTION)
CYTOKINE AND CAM ANTAGONISTS,Adalimumab-adaz,ADALIMUMAB-ADAZ KIT (INJECTION) (CF) 100 MG/ML
CYTOKINE AND CAM ANTAGONISTS,Adalimumab-adbm auto-injector,ADALIMUMAB-ADBM KIT (BI) (INJECTION) (CF) 50 MG/ML
CYTOKINE AND CAM ANTAGONISTS,Adalimumab-adbm prefilled syringe,ADALIMUMAB-ADBM KIT (BI) (INJECTION) (CF) 50 MG/ML
CYTOKINE AND CAM ANTAGONISTS,Adalimumab-fkjp auto-injector,ADALIMUMAB-FKJP PEN KIT (INJECTION) (CF) 50 MG/ML
CYTOKINE AND CAM ANTAGONISTS,Adalimumab-fkjp prefilled syringe,ADALIMUMAB-FKJP PEN KIT (INJECTION) (CF) 50 MG/ML
"IMMUNOMODULATORS, ATOPIC DERMATITIS",Adbry,ADBRY (SUBCUTANEOUS)
"PAH AGENTS, ORAL AND INHALED",Adcirca,ADCIRCA (ORAL)
STIMULANTS AND RELATED AGENTS,Adderall XR ER capsule,ADDERALL XR (ORAL)
"PAH AGENTS, ORAL AND INHALED",Adempas,ADEMPAS (ORAL)
"HYPOGLYCEMICS, INCRETIN MIMETICS/ENHANCERS",Adlyxin,ADLYXIN (SUBCUTANE.)
"HYPOGLYCEMICS, INSULIN AND RELATED AGENTS",Admelog,ADMELOG VIAL (SUBCUTANE.)
"HYPOGLYCEMICS, INSULIN AND RELATED AGENTS",Admelog SoloStar,ADMELOG SOLOSTAR PEN (SUBCUTANE.)
"GLUCOCORTICOIDS, INHALED",Advair Diskus,ADVAIR DISKUS (INHALATION)
"GLUCOCORTICOIDS, INHALED",Advair HFA,ADVAIR HFA (INHALATION)
HEMOPHILIA TREATMENT,Advate,ADVATE (INTRAVEN.)
HEMOPHILIA TREATMENT,Adynovate,ADYNOVATE (INTRAVEN)
HEMOPHILIA TREATMENT,Afstyla,AFSTYLA (INTRAVEN)
"ANTIMIGRAINE AGENTS, OTHER",Aimovig,AIMOVIG
"GLUCOCORTICOIDS, INHALED",Airduo Digihaler,AIRDUO DIGIHALER (INHALATION)
"GLUCOCORTICOIDS, INHALED",Airduo Respiclick,AIRDUO RESPICLICK (INHALATION)
"GLUCOCORTICOIDS, INHALED",Airsupra HFA,AIRSUPRA HFA (INHALATION)
"ANTIMIGRAINE AGENTS, OTHER",Ajovy,AJOVY
"BRONCHODILATORS, BETA AGONIST",Albuterol HFA generic PROAIR,ALBUTEROL HFA (PROVENTIL) (INHALATION)
"OPHTHALMICS, GLAUCOMA AGENTS",Alphagan P 0.001,ALPHAGAN P 0.1% (OPHTHALMIC)
HEMOPHILIA TREATMENT,Alprolix,ALPROLIX (INTRAVEN)
"GLUCOCORTICOIDS, INHALED",Alvesco,ALVESCO (INHALATION)
SEDATIVE HYPNOTICS,Ambien,AMBIEN (ORAL)
SEDATIVE HYPNOTICS,Ambien CR,AMBIEN CR (ORAL)
"PAH AGENTS, ORAL AND INHALED",Ambrisentan,AMBRISENTAN (ORAL)
CYTOKINE AND CAM ANTAGONISTS,Amjevita,AMJEVITA PEN KIT (INJECTION) (CF) 100 MG/ML
