therapeutic_class,capsule_name,pdl_name,status
CYTOKINE AND CAM ANTAGONISTS,Abrilada Ankylosing Spondylitis,ABRILADA KIT (INJECTION) (CF) 50 MG/ ML: 20MG/0.4ML,Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,Abrilada Crohn's Disease (pediatric),ABRILADA KIT (INJECTION) (CF) 50 MG/ ML: 20MG/0.4ML,Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,Abrilada Crohn’s Disease (adult),ABRILADA KIT (INJECTION) (CF) 50 MG/ ML: 20MG/0.4ML,Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,Abrilada Hidradenitis Suppurativa,ABRILADA KIT (INJECTION) (CF) 50 MG/ ML: 20MG/0.4ML,Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,Abrilada Plaque Psoriasis (adult),ABRILADA KIT (INJECTION) (CF) 50 MG/ ML: 20MG/0.4ML,Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,Abrilada Polyarticular Juvenile Idiopathic Arthritis (PJIA),ABRILADA KIT (INJECTION) (CF) 50 MG/ ML: 20MG/0.4ML,Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,Abrilada Psoriatic Arthritis (adult),ABRILADA KIT (INJECTION) (CF) 50 MG/ ML: 20MG/0.4ML,Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,Abrilada Rheumatoid Arthritis,ABRILADA KIT (INJECTION) (CF) 50 MG/ ML: 20MG/0.4ML,Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,Abrilada Ulcerative Colitis (adult),ABRILADA KIT (INJECTION) (CF) 50 MG/ ML: 20MG/0.4ML,Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,Abrilada Uveitis (adult),ABRILADA KIT (INJECTION) (CF) 50 MG/ ML: 20MG/0.4ML,Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,"Actemra ACTPen, Giant Cell Arteritis",ACTEMRA PEN (SUBCUTANE.): 162 MG/0.9,Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,"Actemra ACTPen, Polyarticular Juvenile Idiopathic Arthritis (PJIA)",ACTEMRA PEN (SUBCUTANE.): 162 MG/0.9,Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,"Actemra ACTPen, Rheumatoid Arthritis",ACTEMRA PEN (SUBCUTANE.): 162 MG/0.9,Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,"Actemra ACTPen, Systemic Sclerosis-Associated Interstitial Lung Disease (SSc-ILD)",ACTEMRA PEN (SUBCUTANE.): 162 MG/0.9,Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,"Actemra ACTPen, Systemic-Onset Juvenile Idiopathic Arthritis (SJIA)",ACTEMRA PEN (SUBCUTANE.): 162 MG/0.9,Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,"Actemra prefilled syringe, Giant Cell Arteritis",ACTEMRA SYRINGE (SUBCUTANE.): 162 MG/0.9,Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,"Actemra prefilled syringe, Polyarticular Juvenile Idiopathic Arthritis (PJIA)",ACTEMRA SYRINGE (SUBCUTANE.): 162 MG/0.9,Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,"Actemra prefilled syringe, Rheumatoid Arthritis",ACTEMRA SYRINGE (SUBCUTANE.): 162 MG/0.9,Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,"Actemra prefilled syringe, Systemic Sclerosis-Associated Interstitial Lung Disease (SSc-ILD)",ACTEMRA SYRINGE (SUBCUTANE.): 162 MG/0.9,Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,"Actemra prefilled syringe, Systemic-Onset Juvenile Idiopathic Arthritis (SJIA)",ACTEMRA SYRINGE (SUBCUTANE.): 162 MG/0.9,Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,"Actemra vial, Coronavirus Disease 2019",ACTEMRA VIAL (INJECTION): 200MG/10ML,Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,"Actemra vial, Cytokine Release Syndrome",ACTEMRA VIAL (INJECTION): 200MG/10ML,Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,"Actemra vial, Giant Cell Arteritis",ACTEMRA VIAL (INJECTION): 200MG/10ML,Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,"Actemra vial, Polyarticular Juvenile Idiopathic Arthritis (PJIA)",ACTEMRA VIAL (INJECTION): 200MG/10ML,Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,"Actemra vial, Rheumatoid Arthritis",ACTEMRA VIAL (INJECTION): 200MG/10ML,Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,"Actemra vial, Systemic-Onset Juvenile Idiopathic Arthritis (SJIA)",ACTEMRA VIAL (INJECTION): 200MG/10ML,Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,Adalimumab-adaz Ankylosing Spondylitis,ADALIMUMAB-ADAZ KIT (INJECTION) (CF) 100 MG/ML: 40MG/0.4ML,Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,Adalimumab-adaz Crohn’s Disease (adult),ADALIMUMAB-ADAZ KIT (INJECTION) (CF) 100 MG/ML: 40MG/0.4ML,Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,Adalimumab-adaz Crohn’s Disease (pediatric),ADALIMUMAB-ADAZ KIT (INJECTION) (CF) 100 MG/ML: 40MG/0.4ML,Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,Adalimumab-adaz Hidradenitis Suppurativa,ADALIMUMAB-ADAZ KIT (INJECTION) (CF) 100 MG/ML: 40MG/0.4ML,Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,Adalimumab-adaz Plaque Psoriasis (adult),ADALIMUMAB-ADAZ KIT (INJECTION) (CF) 100 MG/ML: 40MG/0.4ML,Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,Adalimumab-adaz Polyarticular Juvenile Idiopathic Arthritis (PJIA),ADALIMUMAB-ADAZ KIT (INJECTION) (CF) 100 MG/ML: 40MG/0.4ML,Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,Adalimumab-adaz Psoriatic Arthritis (adult),ADALIMUMAB-ADAZ KIT (INJECTION) (CF) 100 MG/ML: 40MG/0.4ML,Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,Adalimumab-adaz Rheumatoid Arthritis,ADALIMUMAB-ADAZ KIT (INJECTION) (CF) 100 MG/ML: 40MG/0.4ML,Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,Adalimumab-adaz Ulcerative Colitis (adult),ADALIMUMAB-ADAZ KIT (INJECTION) (CF) 100 MG/ML: 40MG/0.4ML,Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,Adalimumab-adaz Uveitis (adult),ADALIMUMAB-ADAZ KIT (INJECTION) (CF) 100 MG/ML: 40MG/0.4ML,Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,Adalimumab-adbm Ankylosing Spondylitis,ADALIMUMAB-ADBM KIT (BI) (INJECTION) (CF) 100 MG/ML: 40MG/0.4ML,Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,Adalimumab-adbm Crohn’s Disease (adult),ADALIMUMAB-ADBM KIT (BI) (INJECTION) (CF) 100 MG/ML: 40MG/0.4ML,Non-Preferred
