therapeutic_class,pdl_name,status
Antigout Agents,allopurinol,Preferred
Antigout Agents,Aloprim,Non-Preferred
Antigout Agents,colchicine tablets,Preferred
Antigout Agents,Colcrys,Non-Preferred
Antigout Agents,colchicine capsules,Non-Preferred
Antigout Agents,Gloperba,Non-Preferred
Antigout Agents,Krystexxa,Non-Preferred
Antigout Agents,Mitigare,Non-Preferred
Antigout Agents,febuxostat,Preferred
Antigout Agents,Uloric,Non-Preferred
Antigout Agents,probenecid,Preferred
Antigout Agents,probenecid-colchicine,Preferred
First Generation Antihistamine Agents,Karbinal ER,Non-Preferred
First Generation Antihistamine Agents,Ryclora,Non-Preferred
First Generation Antihistamine Agents,Ryvent,Non-Preferred
First Generation Antihistamine Agents,carbinoxamine,Preferred
First Generation Antihistamine Agents,clemastine,Preferred
First Generation Antihistamine Agents,diphenhydramine,Preferred
Adamantanes,amantadine,Preferred
Adamantanes,rimantadine,Preferred
Adamantanes,Flumadine,Non-Preferred
Amebicides,paromomycin,Preferred
Aminoglycosides,Bethkis,Preferred
Aminoglycosides,tobramycin inhalation solution (generic Bethkis),Non-Preferred
Aminoglycosides,Kitabis,Preferred
Aminoglycosides,tobramycin inhalation solution (generic Kitabis),Non-Preferred
Aminoglycosides,Arikayce,Non-Preferred
Aminoglycosides,tobramycin inhalation solution (generic TOBI),Preferred
Aminoglycosides,TOBI,Non-Preferred
Aminoglycosides,TOBI Podhaler,Non-Preferred
Aminoglycosides,Zemdri,Non-Preferred
Aminoglycosides,amikacin,Preferred
Aminoglycosides,gentamicin,Preferred
Aminoglycosides,neomycin,Preferred
Aminoglycosides,streptomycin,Preferred
Aminoglycosides,tobramycin,Preferred
Anthelmintics,albendazole,Preferred
Anthelmintics,Albenza,Non-Preferred
Anthelmintics,praziquantel,Preferred
Anthelmintics,Biltricide,Non-Preferred
Anthelmintics,Egaten,Non-Preferred
Anthelmintics,Emverm,Non-Preferred
Anthelmintics,ivermectin,Preferred
Anthelmintics,Stromectol,Non-Preferred
Antifungals,Abelcet,Non-Preferred
Antifungals,amphotericin B liposome,Preferred
Antifungals,AmBisome,Non-Preferred
Antifungals,flucytosine,Preferred
Antifungals,Ancobon,Non-Preferred
Antifungals,Brexafemme,Non-Preferred
Antifungals,caspofungin,Preferred
Antifungals,Cancidas,Non-Preferred
Antifungals,Cresemba,Non-Preferred
