therapeutic_class,capsule_name,pdl_name
Incretin Mimetics,Bydureon Pen,Bydureon Bcise
Antiarrhythmic Agents,iLet Bionic Pancreas System,mexiletine
Antigout Agents,Lo Loestrin Fe,allopurinol
Antigout Agents,Lo Loestrin Fe,Aloprim
Antigout Agents,Lo Loestrin Fe,Gloperba
Antigout Agents,Lo Loestrin Fe,Uloric
First Generation Antihistamine Agents,Lo Loestrin Fe,Ryclora
Antimalarials (continued),Lo Loestrin Fe,chloroquine
Antimalarials (continued),Lo Loestrin Fe,hydroxychloroquine
Antimalarials (continued),Lo Loestrin Fe,mefloquine
Antituberculosis Agents,Lo Loestrin Fe,cycloserine
Cephalosporins,Lo Loestrin Fe,cefaclor
Chloramphenicol,Lo Loestrin Fe,chloramphenicol
Miscellaneous Antibacterials,Lo Loestrin Fe,Aemcolo DR
Miscellaneous Antiprotozoals,Lo Loestrin Fe,Solosec
Miscellaneous Antivirals,Lo Loestrin Fe,Paxlovid
Nucleosides and Nucleotides,Lo Loestrin Fe,valganciclovir
Nucleosides and Nucleotides,Lo Loestrin Fe,valacyclovir
Nucleosides and Nucleotides,Lo Loestrin Fe,acyclovir
Nucleosides and Nucleotides,Lo Loestrin Fe,famciclovir
Nucleosides and Nucleotides,Lo Loestrin Fe,ganciclovir
Penicillins,Lo Loestrin Fe,dicloxacillin
Quinolones,Lo Loestrin Fe,ciprofloxacin
Quinolones,Lo Loestrin Fe,ciprofloxacin ER
Quinolones,Lo Loestrin Fe,levofloxacin
Quinolones,Lo Loestrin Fe,moxifloxacin
Quinolones,Lo Loestrin Fe,ofloxacin
Tetracyclines,Lo Loestrin Fe,demeclocycline
Alzheimer’s Agents,Lo Loestrin Fe,Exelon
Antidepressants,Lo Loestrin Fe,clomipramine
Antidepressants,Lo Loestrin Fe,citalopram
Antidepressants,Lo Loestrin Fe,duloxetine
Antidepressants,Lo Loestrin Fe,escitalopram
Antidepressants,Lo Loestrin Fe,Pamelor
Antidepressants,Lo Loestrin Fe,Zoloft
Antidepressants,Lo Loestrin Fe,amitriptyline and chlordiazepoxide
"Anxiolytics, Sedatives, and Hypnotics: Benzodiazepines",Lo Loestrin Fe,lorazepam
"Anxiolytics, Sedatives, and Hypnotics: Benzodiazepines",Lo Loestrin Fe,clonazepam
"Anxiolytics, Sedatives, and Hypnotics: Benzodiazepines",Lo Loestrin Fe,Klonopin
"Anxiolytics, Sedatives, and Hypnotics: Benzodiazepines",Lo Loestrin Fe,Loreev XR
"Anxiolytics, Sedatives, and Hypnotics: Benzodiazepines",Lo Loestrin Fe,clorazepate
"Anxiolytics, Sedatives, and Hypnotics: Benzodiazepines",Lo Loestrin Fe,chlordiazepoxide
"Anxiolytics, Sedatives, and Hypnotics: Miscellaneous Agents",Lo Loestrin Fe,eszopiclone
"Anxiolytics, Sedatives, and Hypnotics: Miscellaneous Agents",Lo Loestrin Fe,zaleplon
Cerebral Stimulants/ Agents Used for ADHD (Long-Acting),Lo Loestrin Fe,clonidine ER
ACE Inhibitors,Lo Loestrin Fe,Lotensin
ACE Inhibitors,Lo Loestrin Fe,Lotensin HCT
Angiotensin II Receptor Antagonists,Lo Loestrin Fe,losartan
Angiotensin II Receptor Antagonists,Lo Loestrin Fe,Edarbyclor
Angiotensin II Receptor Antagonists,Lo Loestrin Fe,losartan and HCTZ
Angiotensin II Receptor Antagonists,Lo Loestrin Fe,"olmesartan, amlodipine, and HCTZ"
Angiotensin II Receptor Antagonists,Lo Loestrin Fe,telmisartan and amlodipine
Beta-Adrenergic Blocking Agents,Lo Loestrin Fe,sotalol
Beta-Adrenergic Blocking Agents,Lo Loestrin Fe,nebivolol
Beta-Adrenergic Blocking Agents,Lo Loestrin Fe,nadolol
Beta-Adrenergic Blocking Agents,Lo Loestrin Fe,propranolol
Beta-Adrenergic Blocking Agents,Lo Loestrin Fe,metoprolol
Beta-Adrenergic Blocking Agents,Lo Loestrin Fe,Lopressor
Beta-Adrenergic Blocking Agents,Lo Loestrin Fe,atenolol and chlorthalidone
Beta-Adrenergic Blocking Agents,Lo Loestrin Fe,atenolol
Beta-Adrenergic Blocking Agents,Lo Loestrin Fe,bisoprolol and HCTZ
Beta-Adrenergic Blocking Agents,Lo Loestrin Fe,acebutolol
Beta-Adrenergic Blocking Agents,Lo Loestrin Fe,betaxolol
Beta-Adrenergic Blocking Agents,Lo Loestrin Fe,bisoprolol
Beta-Adrenergic Blocking Agents,Lo Loestrin Fe,carvedilol
Beta-Adrenergic Blocking Agents,Lo Loestrin Fe,labetalol
Beta-Adrenergic Blocking Agents,Lo Loestrin Fe,metoprolol and HCTZ
Beta-Adrenergic Blocking Agents,Lo Loestrin Fe,nadolol and bendroflumethiazide
Beta-Adrenergic Blocking Agents,Lo Loestrin Fe,pindolol
Beta-Adrenergic Blocking Agents,Lo Loestrin Fe,timolol
Calcium-Channel Blocking Agents,Lo Loestrin Fe,amlodipine and olmesartan
Calcium-Channel Blocking Agents,Lo Loestrin Fe,amlodipine and valsartan
Calcium-Channel Blocking Agents,Lo Loestrin Fe,"amlodipine, valsartan and HCTZ"
Calcium-Channel Blocking Agents,Lo Loestrin Fe,amlodipine and benazepril
Calcium-Channel Blocking Agents,Lo Loestrin Fe,Lotrel
Calcium-Channel Blocking Agents,Lo Loestrin Fe,amlodipine
Calcium-Channel Blocking Agents,Lo Loestrin Fe,felodipine
Central Alpha-Agonists,Lo Loestrin Fe,clonidine patches
Central Alpha-Agonists,Lo Loestrin Fe,clonidine
Diuretics,Lo Loestrin Fe,amiloride
Diuretics,Lo Loestrin Fe,amiloride and HCTZ
Diuretics,Lo Loestrin Fe,chlorthalidone
Diuretics,Lo Loestrin Fe,chlorothiazide
Diuretics,Lo Loestrin Fe,hydrochlorothiazide (HCTZ)
Diuretics,Lo Loestrin Fe,methyclothiazide
"Platelet-aggregation Inhibitors/ Vasodilating Agents, Misc",Lo Loestrin Fe,clopidogrel
"Platelet-aggregation Inhibitors/ Vasodilating Agents, Misc",Lo Loestrin Fe,cilostazol
Fibric Acid Derivatives,Lo Loestrin Fe,Lopid
HMG-CoA Reductase Inhibitors,Lo Loestrin Fe,amlodipine/atorvastatin
HMG-CoA Reductase Inhibitors,Lo Loestrin Fe,Ezallor
HMG-CoA Reductase Inhibitors,Lo Loestrin Fe,Livalo
HMG-CoA Reductase Inhibitors,Lo Loestrin Fe,lovastatin
Miscellaneous Antilipemic Agents,Lo Loestrin Fe,Lovaza
Dipeptidyl Peptidase-4 (DPP-4) Inhibitors,Lo Loestrin Fe,alogliptin-metformin (generic)
Dipeptidyl Peptidase-4 (DPP-4) Inhibitors,Lo Loestrin Fe,alogliptin (generic)
