therapeutic_class,capsule_name,pdl_name,status
Cerebral Stimulants/ Agents Used for ADHD (Long-Acting),Adderall XR ER capsule,Adderall XR,Preferred
Insulins,Admelog,Admelog,Non-Preferred
Respiratory Corticosteroids,Advair Diskus,Advair Diskus,Preferred
Respiratory Corticosteroids,Advair HFA,Advair HFA,Preferred
Calcitonin Gene-related Peptide (CGRP) Antagonists,Aimovig,Aimovig,Preferred
Respiratory Corticosteroids,Airduo Digihaler,AirDuo Digihaler,Non-Preferred
Respiratory Corticosteroids,Airduo Respiclick,AirDuo Respiclick,Preferred
Respiratory Corticosteroids,Airsupra HFA,Airsupra,Non-Preferred
Calcitonin Gene-related Peptide (CGRP) Antagonists,Ajovy,Ajovy,Preferred
Respiratory Beta-Adrenergic Agonists,Albuterol HFA generic PROAIR,albuterol HFA,Preferred
Selective Serotonin Agonists,Almotriptan,almotriptan,Preferred
Respiratory Corticosteroids,Alvesco,Alvesco,Non-Preferred
"Anxiolytics, Sedatives, and Hypnotics: Miscellaneous Agents",Ambien,Ambien,Non-Preferred
"Anxiolytics, Sedatives, and Hypnotics: Miscellaneous Agents",Ambien CR,Ambien CR,Non-Preferred
Calcium-Channel Blocking Agents,Amlodipine tablet,amlodipine,Preferred
Centrally Acting Skeletal Muscle Relaxants,Amrix,Amrix,Non-Preferred
Respiratory Beta-Adrenergic Agonists,Anoro Ellipta,Anoro Ellipta,Preferred
Insulins,Apidra,Apidra,Non-Preferred
Insulins,Apidra SoloStar,Apidra Solostar,Non-Preferred
Antidepressants,Aplenzin,Aplenzin,Non-Preferred
Alzheimer’s Agents,Aricept,Aricept,Preferred
Aminoglycosides,Arikayce,Arikayce,Non-Preferred
Respiratory Corticosteroids,Armonair Digihaler,ArmonAir Digihaler,Non-Preferred
Respiratory Corticosteroids,Arnuity Ellipta,Arnuity Ellipta,Preferred
Respiratory Corticosteroids,Asmanex HFA,Asmanex HFA,Preferred
Respiratory Corticosteroids,Asmanex Twisthaler,Asmanex Twisthaler,Preferred
"Platelet-aggregation Inhibitors/ Vasodilating Agents, Misc",Aspirin / Dipyridamole,aspirin and dipyridamole,Preferred
Immunomodulatory Agents used to treat MS,Aubagio tablet,Aubagio,Non-Preferred
Antidepressants,Auvelity,Auvelity ER,Non-Preferred
Immunomodulatory Agents used to treat MS,Avonex auto-injector,Avonex,Preferred
Immunomodulatory Agents used to treat MS,Avonex prefilled syringe,Avonex,Preferred
Cerebral Stimulants/ Agents Used for ADHD (Long-Acting),Azstarys,Azstarys,Non-Preferred
GABA-derivative Skeletal Muscle Relaxants,Baclofen oral solution,baclofen,Preferred
GABA-derivative Skeletal Muscle Relaxants,Baclofen tablet,baclofen,Preferred
Immunomodulatory Agents used to treat MS,Bafiertam,Bafiertam,Non-Preferred
Nucleosides and Nucleotides,Baraclude,Baraclude,Non-Preferred
Insulins,Basaglar Kwikpen,Basaglar,Non-Preferred
ACE Inhibitors,Benazepril,benazepril,Preferred
Complement Inhibitors for the Treatment of Hereditary Angioedema (HAE),Berinert,Berinert,Non-Preferred
Beta-Adrenergic Blocking Agents,Betapace,Betapace,Non-Preferred
Beta-Adrenergic Blocking Agents,Betapace AF,Betapace AF,Non-Preferred
