therapeutic_class,capsule_name,pdl_name
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Abrilada Ankylosing Spondylitis,Abrilada
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Abrilada Crohn's Disease (adult),Abrilada
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Abrilada Crohn's Disease (pediatric),Abrilada
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Abrilada Hidradenitis Suppurativa,Abrilada
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Abrilada Plaque Psoriasis (adult),Abrilada
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Abrilada Polyarticular Juvenile Idiopathic Arthritis (PJIA),Abrilada
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Abrilada Psoriatic Arthritis (adult),Abrilada
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Abrilada Rheumatoid Arthritis,Abrilada
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Abrilada Ulcerative Colitis (adult),Abrilada
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Abrilada Uveitis (adult),Abrilada
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,"Actemra ACTPen, Giant Cell Arteritis",Actemra
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,"Actemra ACTPen, Polyarticular Juvenile Idiopathic Arthritis (PJIA)",Actemra
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,"Actemra ACTPen, Rheumatoid Arthritis",Actemra
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,"Actemra ACTPen, Systemic Sclerosis-Associated Interstitial Lung Disease (SSc-ILD)",Actemra
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,"Actemra ACTPen, Systemic-Onset Juvenile Idiopathic Arthritis (SJIA)",Actemra
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Actemra Cytokine Release Syndrome,Actemra
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Actemra prefilled syringe,Actemra
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,"Actemra prefilled syringe, Cytokine Release Syndrome",Actemra
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,"Actemra prefilled syringe, Giant Cell Arteritis",Actemra
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,"Actemra prefilled syringe, Polyarticular Juvenile Idiopathic Arthritis (PJIA)",Actemra
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,"Actemra prefilled syringe, Rheumatoid Arthritis",Actemra
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,"Actemra prefilled syringe, Systemic Sclerosis-Associated Interstitial Lung Disease (SSc-ILD)",Actemra
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,"Actemra prefilled syringe, Systemic-Onset Juvenile Idiopathic Arthritis (SJIA)",Actemra
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Actemra syringe/vial,Actemra
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Actemra vial,Actemra
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,"Actemra vial, Coronavirus Disease 2019",Actemra
