therapeutic_class,capsule_name,pdl_name,status
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Abrilada Ankylosing Spondylitis,Abrilada,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Abrilada Crohn's Disease (adult),Abrilada,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Abrilada Crohn's Disease (pediatric),Abrilada,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Abrilada Hidradenitis Suppurativa,Abrilada,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Abrilada Plaque Psoriasis (adult),Abrilada,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Abrilada Polyarticular Juvenile Idiopathic Arthritis (PJIA),Abrilada,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Abrilada Psoriatic Arthritis (adult),Abrilada,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Abrilada Rheumatoid Arthritis,Abrilada,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Abrilada Ulcerative Colitis (adult),Abrilada,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Abrilada Uveitis (adult),Abrilada,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,"Actemra ACTPen, Giant Cell Arteritis",Actemra,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,"Actemra ACTPen, Polyarticular Juvenile Idiopathic Arthritis (PJIA)",Actemra,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,"Actemra ACTPen, Rheumatoid Arthritis",Actemra,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,"Actemra ACTPen, Systemic Sclerosis-Associated Interstitial Lung Disease (SSc-ILD)",Actemra,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,"Actemra ACTPen, Systemic-Onset Juvenile Idiopathic Arthritis (SJIA)",Actemra,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Actemra Cytokine Release Syndrome,Actemra,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Actemra prefilled syringe,Actemra,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,"Actemra prefilled syringe, Cytokine Release Syndrome",Actemra,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,"Actemra prefilled syringe, Giant Cell Arteritis",Actemra,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,"Actemra prefilled syringe, Polyarticular Juvenile Idiopathic Arthritis (PJIA)",Actemra,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,"Actemra prefilled syringe, Rheumatoid Arthritis",Actemra,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,"Actemra prefilled syringe, Systemic Sclerosis-Associated Interstitial Lung Disease (SSc-ILD)",Actemra,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,"Actemra prefilled syringe, Systemic-Onset Juvenile Idiopathic Arthritis (SJIA)",Actemra,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Actemra syringe/vial,Actemra,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Actemra vial,Actemra,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,"Actemra vial, Coronavirus Disease 2019",Actemra,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,"Actemra vial, Cytokine Release Syndrome",Actemra,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,"Actemra vial, Giant Cell Arteritis",Actemra,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,"Actemra vial, Polyarticular Juvenile Idiopathic Arthritis (PJIA)",Actemra,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,"Actemra vial, Rheumatoid Arthritis",Actemra,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,"Actemra vial, Systemic-Onset Juvenile Idiopathic Arthritis (SJIA)",Actemra,Non-Preferred
Immunomodulatory Agents,Adbry,Adbry,Preferred
Immunomodulatory Agents,Adbry Atopic Dermatitis (adult),Adbry,Preferred
Immunomodulatory Agents,"Adbry Atopic Dermatitis (adult), auto-injector",Adbry,Preferred
Immunomodulatory Agents,"Adbry Atopic Dermatitis (adult), prefilled syringe",Adbry,Preferred
Immunomodulatory Agents,Adbry Atopic Dermatitis (pediatric),Adbry,Preferred
Immunomodulatory Agents,Adbry auto-injector,Adbry,Preferred
Immunomodulatory Agents,Adbry prefilled syringe,Adbry,Preferred
Immunomodulatory Agents,"Adbry prefilled syringe, Atopic Dermatitis (pediatric)",Adbry,Preferred
Cerebral Stimulants/ Agents Used for ADHD (Long-Acting),Adderall XR ER capsule,Adderall XR,Preferred
Insulins,Admelog,Admelog,Non-Preferred
Insulins,Admelog SoloStar,Admelog,Non-Preferred
Respiratory Corticosteroids,Advair Diskus,Advair Diskus,Preferred
Respiratory Corticosteroids,Advair HFA,Advair HFA,Preferred
Calcitonin Gene-related Peptide (CGRP) Antagonists,Aimovig,Aimovig,Preferred
Respiratory Corticosteroids,Airduo Digihaler,AirDuo Digihaler,Non-Preferred
Respiratory Corticosteroids,Airduo Respiclick,AirDuo Respiclick,Preferred
Respiratory Corticosteroids,Airsupra HFA,Airsupra,Non-Preferred
Calcitonin Gene-related Peptide (CGRP) Antagonists,Ajovy,Ajovy,Preferred
Respiratory Beta-Adrenergic Agonists,Albuterol HFA Sandoz labeler code 00781,albuterol HFA,Preferred
Respiratory Beta-Adrenergic Agonists,Albuterol HFA Teva labeler code 00093,albuterol HFA,Preferred
Respiratory Beta-Adrenergic Agonists,Albuterol HFA generic PROAIR,albuterol HFA,Preferred
Selective Serotonin Agonists,Almotriptan,almotriptan,Preferred
Respiratory Corticosteroids,Alvesco,Alvesco,Non-Preferred
"Anxiolytics, Sedatives, and Hypnotics: Miscellaneous Agents",Ambien,Ambien,Non-Preferred
"Anxiolytics, Sedatives, and Hypnotics: Miscellaneous Agents",Ambien CR,Ambien CR,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Amjevita Ankylosing Spondylitis,Amjevita,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,"Amjevita Ankylosing Spondylitis, 100 mg/mL",Amjevita,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,"Amjevita Ankylosing Spondylitis, 10mg/0.2mL",Amjevita,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,"Amjevita Ankylosing Spondylitis, 20mg/0.2mL",Amjevita,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,"Amjevita Ankylosing Spondylitis, 20mg/0.4mL",Amjevita,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,"Amjevita Ankylosing Spondylitis, 40mg/0.4mL",Amjevita,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,"Amjevita Ankylosing Spondylitis, 40mg/0.8mL",Amjevita,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,"Amjevita Ankylosing Spondylitis, 50 mg/mL",Amjevita,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,"Amjevita Ankylosing Spondylitis, 80mg/0.8mL",Amjevita,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,"Amjevita Ankylosing Spondylitis, Amgen 55513 labeler",Amjevita,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,"Amjevita Ankylosing Spondylitis, Amgen 72511 labeler",Amjevita,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Amjevita Crohn's Disease (adult),Amjevita,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,"Amjevita Crohn's Disease (adult), 100 mg/mL",Amjevita,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,"Amjevita Crohn's Disease (adult), 10mg/0.2mL",Amjevita,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,"Amjevita Crohn's Disease (adult), 20mg/0.2mL",Amjevita,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,"Amjevita Crohn's Disease (adult), 20mg/0.4mL",Amjevita,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,"Amjevita Crohn's Disease (adult), 40mg/0.4mL",Amjevita,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,"Amjevita Crohn's Disease (adult), 40mg/0.8mL",Amjevita,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,"Amjevita Crohn's Disease (adult), 50 mg/mL",Amjevita,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,"Amjevita Crohn's Disease (adult), 80mg/0.8mL",Amjevita,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,"Amjevita Crohn's Disease (adult), Amgen 55513 labeler",Amjevita,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,"Amjevita Crohn's Disease (adult), Amgen 72511 labeler",Amjevita,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Amjevita Crohn's Disease (pediatric),Amjevita,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,"Amjevita Crohn's Disease (pediatric), 100 mg/mL",Amjevita,Non-Preferred
