therapeutic_class,capsule_name,pdl_name,status
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Abrilada Ankylosing Spondylitis,Abrilada,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Abrilada Crohn's Disease (pediatric),Abrilada,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Abrilada Crohn’s Disease (adult),Abrilada,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Abrilada Hidradenitis Suppurativa,Abrilada,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Abrilada Plaque Psoriasis (adult),Abrilada,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Abrilada Polyarticular Juvenile Idiopathic Arthritis (PJIA),Abrilada,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Abrilada Psoriatic Arthritis (adult),Abrilada,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Abrilada Rheumatoid Arthritis,Abrilada,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Abrilada Ulcerative Colitis (adult),Abrilada,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Abrilada Uveitis (adult),Abrilada,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,"Actemra ACTPen, Giant Cell Arteritis",Actemra,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,"Actemra ACTPen, Polyarticular Juvenile Idiopathic Arthritis (PJIA)",Actemra,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,"Actemra ACTPen, Rheumatoid Arthritis",Actemra,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,"Actemra ACTPen, Systemic Sclerosis-Associated Interstitial Lung Disease (SSc-ILD)",Actemra,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,"Actemra ACTPen, Systemic-Onset Juvenile Idiopathic Arthritis (SJIA)",Actemra,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,"Actemra prefilled syringe, Giant Cell Arteritis",Actemra,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,"Actemra prefilled syringe, Polyarticular Juvenile Idiopathic Arthritis (PJIA)",Actemra,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,"Actemra prefilled syringe, Rheumatoid Arthritis",Actemra,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,"Actemra prefilled syringe, Systemic Sclerosis-Associated Interstitial Lung Disease (SSc-ILD)",Actemra,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,"Actemra prefilled syringe, Systemic-Onset Juvenile Idiopathic Arthritis (SJIA)",Actemra,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,"Actemra vial, Coronavirus Disease 2019",Actemra,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,"Actemra vial, Cytokine Release Syndrome",Actemra,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,"Actemra vial, Giant Cell Arteritis",Actemra,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,"Actemra vial, Polyarticular Juvenile Idiopathic Arthritis (PJIA)",Actemra,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,"Actemra vial, Rheumatoid Arthritis",Actemra,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,"Actemra vial, Systemic-Onset Juvenile Idiopathic Arthritis (SJIA)",Actemra,Non-Preferred
Immunomodulatory Agents,Adbry Atopic Dermatitis (adult),Adbry,Preferred
Immunomodulatory Agents,Adbry Atopic Dermatitis (pediatric),Adbry,Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Amjevita Ankylosing Spondylitis,Amjevita,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Amjevita Crohn’s Disease (adult),Amjevita,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Amjevita Crohn’s Disease (pediatric),Amjevita,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Amjevita Hidradenitis Suppurativa,Amjevita,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Amjevita Plaque Psoriasis (adult),Amjevita,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Amjevita Polyarticular Juvenile Idiopathic Arthritis (PJIA),Amjevita,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Amjevita Psoriatic Arthritis (adult),Amjevita,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Amjevita Rheumatoid Arthritis,Amjevita,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Amjevita Ulcerative Colitis (adult),Amjevita,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Amjevita Uveitis (adult),Amjevita,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Benlysta Lupus nephritis,Benlysta,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Benlysta Systemic lupus erythematosus,Benlysta,Non-Preferred
Immunomodulatory Agents,Bimzelx Ankylosing Spondylitis,Bimzelx,Non-Preferred
Immunomodulatory Agents,Bimzelx Non-Radiographic Axial Spondyloarthritis,Bimzelx,Non-Preferred
Immunomodulatory Agents,Bimzelx Plaque Psoriasis (adult),Bimzelx,Non-Preferred
Immunomodulatory Agents,Bimzelx Psoriatic Arthritis (adult),Bimzelx,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Cibinqo Atopic Dermatitis (adult),Cibinqo,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Cimzia Ankylosing Spondylitis,Cimzia,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Cimzia Crohn’s Disease (adult),Cimzia,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Cimzia Non-Radiographic Axial Spondyloarthritis,Cimzia,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Cimzia Plaque Psoriasis (adult),Cimzia,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Cimzia Psoriatic Arthritis (adult),Cimzia,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Cimzia Rheumatoid Arthritis,Cimzia,Non-Preferred
Asthma and Allergy Monoclonal Antibodies,Cinqair Asthma (adult),Cinqair,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Cosentyx Ankylosing Spondylitis,Cosentyx,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Cosentyx Enthesitis-Related Arthritis (pediatric),Cosentyx,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Cosentyx Hidradenitis Suppurativa,Cosentyx,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Cosentyx Non-Radiographic Axial Spondyloarthritis,Cosentyx,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Cosentyx Plaque Psoriasis (adult),Cosentyx,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Cosentyx Plaque Psoriasis (pediatric),Cosentyx,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Cosentyx Psoriatic Arthritis (adult),Cosentyx,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Cosentyx Psoriatic Arthritis (pediatric),Cosentyx,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Cyltezo Ankylosing Spondylitis,Cyltezo,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Cyltezo Crohn’s Disease (adult),Cyltezo,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Cyltezo Crohn’s Disease (pediatric),Cyltezo,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Cyltezo Hidradenitis Suppurativa,Cyltezo,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Cyltezo Plaque Psoriasis (adult),Cyltezo,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Cyltezo Polyarticular Juvenile Idiopathic Arthritis (PJIA),Cyltezo,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Cyltezo Psoriatic Arthritis (adult),Cyltezo,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Cyltezo Rheumatoid Arthritis,Cyltezo,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Cyltezo Ulcerative Colitis (adult),Cyltezo,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Cyltezo Uveitis (adult),Cyltezo,Non-Preferred
Immunomodulatory Agents,Dupixent Asthma (adult),Dupixent,Preferred
Immunomodulatory Agents,Dupixent Asthma (pediatric),Dupixent,Preferred
Immunomodulatory Agents,Dupixent Atopic Dermatitis (adult),Dupixent,Preferred
Immunomodulatory Agents,Dupixent Atopic Dermatitis (pediatric),Dupixent,Preferred
Immunomodulatory Agents,Dupixent Chronic Rhinosinusitis with Nasal Polyposis,Dupixent,Preferred
Immunomodulatory Agents,Dupixent Eosinophilic Esophagitis,Dupixent,Preferred
Immunomodulatory Agents,Dupixent Prurigo Nodularis,Dupixent,Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Enbrel Ankylosing Spondylitis,Enbrel,Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Enbrel Plaque Psoriasis (adult),Enbrel,Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Enbrel Plaque Psoriasis (pediatric),Enbrel,Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Enbrel Polyarticular Juvenile Idiopathic Arthritis (PJIA),Enbrel,Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Enbrel Psoriatic Arthritis (adult),Enbrel,Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Enbrel Psoriatic Arthritis (pediatric),Enbrel,Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Enbrel Rheumatoid Arthritis,Enbrel,Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,"Entyvio Crohn’s Disease (adult), vial",Entyvio,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,"Entyvio Ulcerative Colitis (adult), vial",Entyvio,Non-Preferred
Phosphodiesterase-4 Inhibitors,Eucrisa,Eucrisa,Preferred
Asthma and Allergy Monoclonal Antibodies,Fasenra Asthma (adult),Fasenra,Preferred
Asthma and Allergy Monoclonal Antibodies,Fasenra Asthma (pediatric),Fasenra,Preferred
Asthma and Allergy Monoclonal Antibodies,Fasenra Eosinophilic Granulomatosis with Polyangitis (EGPA),Fasenra,Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Hadlima Ankylosing Spondylitis,Hadlima,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Hadlima Crohn’s Disease (adult),Hadlima,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Hadlima Crohn’s Disease (pediatric),Hadlima,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Hadlima Hidradenitis Suppurativa,Hadlima,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Hadlima Plaque Psoriasis (adult),Hadlima,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Hadlima Polyarticular Juvenile Idiopathic Arthritis (PJIA),Hadlima,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Hadlima Psoriatic Arthritis (adult),Hadlima,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Hadlima Rheumatoid Arthritis,Hadlima,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Hadlima Ulcerative Colitis (adult),Hadlima,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Hadlima Uveitis (adult),Hadlima,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Hulio Ankylosing Spondylitis,Hulio,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Hulio Crohn’s Disease (adult),Hulio,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Hulio Crohn’s Disease (pediatric),Hulio,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Hulio Hidradenitis Suppurativa,Hulio,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Hulio Plaque Psoriasis (adult),Hulio,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Hulio Polyarticular Juvenile Idiopathic Arthritis (PJIA),Hulio,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Hulio Psoriatic Arthritis (adult),Hulio,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Hulio Rheumatoid Arthritis,Hulio,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Hulio Ulcerative Colitis (adult),Hulio,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Hulio Uveitis (adult),Hulio,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Humira Ankylosing Spondylitis,Humira,Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Humira Crohn's Disease (adult),Humira,Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Humira Crohn's Disease (pediatric),Humira,Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Humira Hidradenitis Suppurativa,Humira,Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Humira Plaque Psoriasis (adult),Humira,Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Humira Polyarticular Juvenile Idiopathic Arthritis (PJIA),Humira,Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Humira Psoriatic Arthritis (adult),Humira,Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Humira Rheumatoid Arthritis,Humira,Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Humira Ulcerative Colitis (adult),Humira,Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Humira Ulcerative Colitis (pediatric),Humira,Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Humira Uveitis (adult),Humira,Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Humira Uveitis (pediatric),Humira,Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Hyrimoz Ankylosing Spondylitis,Hyrimoz,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Hyrimoz Crohn’s Disease (adult),Hyrimoz,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Hyrimoz Crohn’s Disease (pediatric),Hyrimoz,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Hyrimoz Hidradenitis Suppurativa,Hyrimoz,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Hyrimoz Plaque Psoriasis (adult),Hyrimoz,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Hyrimoz Polyarticular Juvenile Idiopathic Arthritis (PJIA),Hyrimoz,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Hyrimoz Psoriatic Arthritis (adult),Hyrimoz,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Hyrimoz Rheumatoid Arthritis,Hyrimoz,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Hyrimoz Ulcerative Colitis (adult),Hyrimoz,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Hyrimoz Uveitis (adult),Hyrimoz,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Idacio Ankylosing Spondylitis,Idacio,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Idacio Crohn’s Disease (adult),Idacio,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Idacio Crohn’s Disease (pediatric),Idacio,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Idacio Hidradenitis Suppurativa,Idacio,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Idacio Plaque Psoriasis (adult),Idacio,Non-Preferred
Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents,Idacio Polyarticular Juvenile Idiopathic Arthritis (PJIA),Idacio,Non-Preferred
