Preferred,Non-Preferred
Preferred Agents,Non-preferred Agents
No PA Required ,PA Required 
 ,CYMBALTA (duloxetine) capsule 
"Duloxetine 20 mg, 30 mg, 60 mg capsule  ",DRIZALMA (duloxetine DR) sprinkle capsules 
 ,Duloxetine 40 mg capsule 
"Gabapentin capsule, tablet, solution ",GRALISE (gabapentin ER) tablet 
 ,Gabapentin ER tablet 
Pregabalin capsule ,HORIZANT (gabapentin ER) tablet 
 ,JOURNAVX (suzetrigine) tablet 
"SAVELLA (milnacipran) tablet, titration pack","LYRICA (pregabalin) capsule, solution, CR tablet "
No PA Required ,"NEURONTIN (gabapentin) capsule, tablet, solution "
 ,"Pregabalin solution, ER tablet"
Lidocaine patch,PA Required 
, 
,Lidocaine patch (Puretek)
LIDODERM (lidocaine) patch,ZTLIDO (lidocaine) topical system
No PA Required ,PA Required  
 ,ARTHROTEC (diclofenac sodium/ misoprostol) 
 ,tablet 
Celecoxib capsule ,CELEBREX (celecoxib) capsule 
 ,DAYPRO (oxaprozin) caplet 
Diclofenac potassium 50 mg ,"Diclofenac potassium capsule, powder pack "
tablet ,Diclofenac potassium 25 mg tablet 
 ,Diclofenac sodium ER/SR tablet 
Diclofenac sodium EC/DR tablet ,Diclofenac sodium/misoprostol tablet 
 ,Diflunisal tablet 
"Ibuprofen suspension, tablet (RX) ",DUEXIS (ibuprofen/famotidine) tablet 
 ,ELYXYB (celecoxib) solution 
"Indomethacin capsule, ER capsule ","Etodolac capsule; IR, ER tablet "
 ,FELDENE (piroxicam) capsule 
Ketorolac tablet* ,"Fenoprofen capsule, tablet "
 ,Flurbiprofen tablet
Meloxicam tablet ,
 ,
Nabumetone tablet ,
 ,
"Naproxen DR/ER, tablet (RX) ",
 ,
Naproxen suspension ,
 ,
Sulindac tablet,
,Ibuprofen/famotidine tablet 
No PA Required ,"Ketoprofen IR, ER capsule "
 ,LOFENA (diclofenac) tablet 
Diclofenac 1.5% topical solution ,Meclofenamate capsule 
 ,Mefenamic acid capsule 
Diclofenac sodium 1% gel (OTC/Rx),"Meloxicam submicronized capsule, suspension "
,"NALFON (fenoprofen) capsule, tablet "
,NAPRELAN (naproxen CR) tablet 
,"Naproxen sodium CR, ER, IR tablet "
,Naproxen/esomeprazole DR tablet 
,Oxaprozin tablet 
,Piroxicam capsule 
,RELAFEN DS (nabumetone) tablet 
,Tolmetin tablet 
,VIMOVO (naproxen/esomeprazole) DR tablet
,PA Required 
, 
,"Diclofenac 1.3% topical patch, 2% pump "
, 
,FLECTOR (diclofenac) 1.3% topical patch 
, 
,Ketorolac nasal spray 
, 
,LICART (diclofenac) 1.3% topical patch 
, 
,"PENNSAID (diclofenac solution) 2% pump, 2% solution packet"
Preferred  ,Non-Preferred  
No PA Required*  ,PA Required 
(If criteria and quantity limit are met) , 
 , 
*Acetaminophen/codeine tablets ,Acetaminophen / codeine elixir 
 ,ASCOMP WITH CODEINE (codeine/butalbital/aspirin/caffeine) 
"Hydrocodone/acetaminophen solution, tablet ",*Butalbital/caffeine/acetaminophen/codeine capsule
 ,
Hydromorphone tablet,
"Morphine IR solution, tablet ",Butalbital/caffeine/aspirin/codeine capsule 
 ,Butalbital compound/codeine 
"Oxycodone solution, tablet ",Butorphanol tartrate (nasal) spray 
 ,Carisoprodol/aspirin/codeine 
Oxycodone/acetaminophen tablet ,Codeine tablet 
 ,Dihydrocodeine/acetaminophen/caffeine tablet 
"*Tramadol 25mg, 50mg ","DILAUDID (hydromorphone) solution, tablet "
 ,FIORICET/CODEINE (codeine/ 
