therapeutic_class,capsule_name,pdl_name
ANTIPSYCHOTICS,Abilify tablet,ABILIFY ASIMTUFII (INTRAMUSC)
ANTIPSYCHOTICS,Abilify tablet,"ABILIFY MAINTENA ER SYRINGE, VIAL (INTRAMUSC.)"
ANTIPSYCHOTICS,Abilify MyCite,ABILIFY ASIMTUFII (INTRAMUSC)
ANTIPSYCHOTICS,Abilify MyCite,"ABILIFY MAINTENA ER SYRINGE, VIAL (INTRAMUSC.)"
"PAH AGENTS, ORAL AND INHALED (SEE DX CODE REQ.)",Adcirca,TADALAFIL 20 MG TABLET (ADCIRCA) (ORAL) (DX CODE REQ.
"BRONCHODILATORS, BETA AGONIST",Albuterol HFA generic PROAIR,"ALBUTEROL NEB SOLN  0.63, 1.25, 2.5 MG/3 ML (INHALATION)"
"BRONCHODILATORS, BETA AGONIST",Albuterol HFA generic PROAIR,ALBUTEROL NEB SOLN 2.5 MG/0.5 ML (INHALATION)
"BRONCHODILATORS, BETA AGONIST",Albuterol HFA generic PROAIR,ALBUTEROL SULF 2 MG/5 ML SYRUP (ORAL)
"OPHTHALMICS, GLAUCOMA AGENTS",Alphagan P 0.001,ALPHAGAN P 0.15% EYE DROP (not 0.1%) (OPHTHALMIC)
ANTIPSYCHOTICS,Aripiprazole ODT,"ARIPIPRAZOLE SOLUTION, TABLET (not ODT) (ORAL)"
SKELETAL MUSCLE RELAXANTS,Baclofen oral solution,BACLOFEN TABLET (not SOLUTION) (ORAL)
"GLUCOCORTICOIDS, INHALED",Budesonide / Formoterol authorized generic Symbicort,"BUDESONIDE 0.25, 0.5, 1 MG  RESPULES (INHALATION)"
"GLUCOCORTICOIDS, ORAL",Budesonide / Formoterol authorized generic Symbicort,BUDESONIDE DR & EC CAPSULE (ORAL)
"ANTIBIOTICS, VAGINAL",Cleocin 2% cream,CLEOCIN OVULES (VAGINAL)
ANTIPSYCHOTICS,Clozapine ODT,CLOZAPINE TABLET (not ODT) (ORAL)
STIMULANTS AND RELATED AGENTS (SEE DX CODE REQ.),Concerta ER,METHYLPHENIDATE ER TABLET (CONCERTA) (ORAL) (DX CO
MULTIPLE SCLEROSIS AGENTS,Copaxone 40 mg,COPAXONE 20 MG/ML SYRINGE (not 40 MG/ML) (SUBCUTANE
"IMMUNOSUPPRESSIVES, ORAL",Cyclosporine ophthalmic emulsion,CYCLOSPORINE MODIFIED CAPSULE (not 50MG) (ORAL)
"IMMUNOSUPPRESSIVES, ORAL",Cyclosporine ophthalmic emulsion,CYCLOSPORINE MODIFIED SOLUTION (ORAL)
ALZHEIMER'S AGENTS,"Donepezil tablet, 23 mg",DONEPEZIL ODT (ORAL)
ALZHEIMER'S AGENTS,"Donepezil tablet, 23 mg",DONEPEZIL 5MG & 10MG TABLET (not 23MG) (ORAL)
NEUROPATHIC PAIN,"Duloxetine 40 mg, Neuropathic Pain","DULOXETINE 20MG, 30MG, 60MG CAPSULES (not 40MG) (ORA"
