therapeutic_class,capsule_name,pdl_name,status
ANTIPSYCHOTICS,Abilify Asimtufii,ABILIFY ASIMTUFII (INTRAMUSC),Preferred
ANTIPSYCHOTICS,Abilify Maintena,"ABILIFY MAINTENA ER SYRINGE, VIAL (INTRAMUSC.)",Preferred
SICKLE CELL ANEMIA TREATMENTS,Adakveo,ADAKVEO VIAL (INTRAVENOUS),Preferred
STIMULANTS AND RELATED AGENTS (SEE DX CODE REQ.),Adderall XR ER capsule,ADDERALL TABLET (ORAL) (DX CODE REQ.),Preferred
"GLUCOCORTICOIDS, INHALED",Advair Diskus,ADVAIR DISKUS (INHALATION),Preferred
"GLUCOCORTICOIDS, INHALED",Advair HFA,ADVAIR HFA (INHALATION),Preferred
"ANTIMIGRAINE AGENTS, OTHER",Ajovy,"AJOVY AUTOINJECT, SYRINGE (SUBCUTANEOUS)",Preferred
"ONCOLOGY, ORAL - PROSTATE",Akeega,AKEEGA TABLET (ORAL),Preferred
"ONCOLOGY, ORAL - LUNG",Alecensa,ALECENSA CAPSULE (ORAL),Preferred
"ONCOLOGY, ORAL - LUNG",Alunbrig,"ALUNBRIG TABLET, TABLET PACK (ORAL)",Preferred
"PAH AGENTS, ORAL AND INHALED (SEE DX CODE REQ.)",Alyq,ALYQ 20 MG TABLET (ORAL) (DX CODE REQ.),Preferred
"PAH AGENTS, ORAL AND INHALED (SEE DX CODE REQ.)",Ambrisentan,AMBRISENTAN TABLET (ORAL),Preferred
CALCIUM CHANNEL BLOCKERS,Amlodipine tablet,AMLODIPINE TABLET (ORAL),Preferred
COPD AGENTS,Anoro Ellipta,ANORO ELLIPTA (INHALATION),Preferred
"HYPOGLYCEMICS, INSULIN & RELATED AGENTS",Apidra,APIDRA VIAL (SUBCUTANEOUS),Preferred
"HYPOGLYCEMICS, INSULIN & RELATED AGENTS",Apidra SoloStar,APIDRA SOLOSTAR PEN (SUBCUTANEOUS),Preferred
ERYTHROPOIESIS STIMULATING PROTEINS,Aranesp,"ARANESP DISP SYRIN, VIAL (INJECTION) (DX CODE REQ.)",Preferred
ANTIPSYCHOTICS,Aripiprazole oral solution,"ARIPIPRAZOLE SOLUTION, TABLET (not ODT) (ORAL)",Preferred
ANTIPSYCHOTICS,Aripiprazole tablet,"ARIPIPRAZOLE SOLUTION, TABLET (not ODT) (ORAL)",Preferred
ANTIPSYCHOTICS,Aristada,ARISTADA ER (INTRAMUSC),Preferred
ANTIPSYCHOTICS,Aristada Initio,ARISTADA INITIO (INTRAMUSC),Preferred
"GLUCOCORTICOIDS, INHALED",Arnuity Ellipta,ARNUITY ELLIPTA (INHALATION),Preferred
"GLUCOCORTICOIDS, INHALED",Asmanex HFA,ASMANEX HFA (INHALATION)*,Preferred
"GLUCOCORTICOIDS, INHALED",Asmanex Twisthaler,ASMANEX TWISTHALER (INHALATION),Preferred
"ONCOLOGY, ORAL - LUNG",Augtyro capsule,AUGTYRO CAPSULE (ORAL),Preferred
MOVEMENT DISORDERS,Austedo,AUSTEDO TABLET (ORAL),Preferred
MOVEMENT DISORDERS,Austedo XR,AUSTEDO XR TABLET (ORAL),Preferred
MOVEMENT DISORDERS,Austedo XR titration pack,AUSTEDO XR TITR PK (68546-0477-29) (ORAL),Preferred
MULTIPLE SCLEROSIS AGENTS,Avonex auto-injector,"AVONEX PEN, PREFILLED SYRINGE (INTRAMUSC.)",Preferred
MULTIPLE SCLEROSIS AGENTS,Avonex prefilled syringe,"AVONEX PEN, PREFILLED SYRINGE (INTRAMUSC.)",Preferred
SKELETAL MUSCLE RELAXANTS,Baclofen tablet,BACLOFEN TABLET (not SOLUTION) (ORAL),Preferred
"ONCOLOGY, ORAL - OTHER",Balversa,BALVERSA TABLET (ORAL),Preferred
ANGIOTENSIN MODULATORS,Benazepril,BENAZEPRIL TABLET (ORAL),Preferred
HEMOPHILIA TREATMENT,Benefix,BENEFIX KIT (INTRAVEN.),Preferred
"ANTIBIOTICS, INHALED",Bethkis,BETHKIS 300 MG/4 ML AMPULE (INHALATION),Preferred
BOTULINUM TOXINS,Botox Blepharospasm,BOTOX VIAL (not COSMETIC) (INTRAMUSC),Preferred
BOTULINUM TOXINS,Botox Facial myokymia,BOTOX VIAL (not COSMETIC) (INTRAMUSC),Preferred
BOTULINUM TOXINS,Botox Focal motor and/or phonic tics,BOTOX VIAL (not COSMETIC) (INTRAMUSC),Preferred
BOTULINUM TOXINS,Botox Hemifacial spasm,BOTOX VIAL (not COSMETIC) (INTRAMUSC),Preferred
BOTULINUM TOXINS,Botox Hyperhidrosis - gustatory (Frey's Syndrome),BOTOX VIAL (not COSMETIC) (INTRAMUSC),Preferred
BOTULINUM TOXINS,Botox Migraine prophylaxis,BOTOX VIAL (not COSMETIC) (INTRAMUSC),Preferred
BOTULINUM TOXINS,Botox Myofascial pain syndrome,BOTOX VIAL (not COSMETIC) (INTRAMUSC),Preferred
BOTULINUM TOXINS,Botox Orofacial tardive dyskinesia,BOTOX VIAL (not COSMETIC) (INTRAMUSC),Preferred
BOTULINUM TOXINS,Botox Oromandibular dystonia,BOTOX VIAL (not COSMETIC) (INTRAMUSC),Preferred
BOTULINUM TOXINS,Botox Severe palmar or plantar hyperhidrosis,BOTOX VIAL (not COSMETIC) (INTRAMUSC),Preferred
BOTULINUM TOXINS,Botox Severe primary axillary hyperhidrosis,BOTOX VIAL (not COSMETIC) (INTRAMUSC),Preferred
"GLUCOCORTICOIDS, INHALED",Breo Ellipta,BREO ELLIPTA (INHALATION),Preferred
PLATELET AGGREGATION INHIBITORS,Brilinta,BRILINTA TABLET (ORAL),Preferred
"ONCOLOGY, ORAL - HEMATOLOGIC",Brukinsa,BRUKINSA CAPSULE (ORAL),Preferred
"GLUCOCORTICOIDS, INHALED","Budesonide respules (inhalation suspension), 0.25 mg","BUDESONIDE 0.25, 0.5, 1 MG  RESPULES (INHALATION)",Preferred
"GLUCOCORTICOIDS, INHALED","Budesonide respules (inhalation suspension), 0.5 mg","BUDESONIDE 0.25, 0.5, 1 MG  RESPULES (INHALATION)",Preferred
"GLUCOCORTICOIDS, INHALED","Budesonide respules (inhalation suspension), 1 mg","BUDESONIDE 0.25, 0.5, 1 MG  RESPULES (INHALATION)",Preferred
"LYCEMICS, INCRETIN MIMETICS/ENHANCERS (SEE DX CODE",Byetta,BYETTA DOSE PEN (SUBCUTANE.) (DX CODE REQ.),Preferred
"ONCOLOGY, ORAL - HEMATOLOGIC",Calquence,CALQUENCE CAPSULE (ORAL),Preferred
ANTIPSYCHOTICS,Caplyta,CAPLYTA CAPSULE (ORAL),Preferred
"ONCOLOGY, ORAL - OTHER",Caprelsa,CAPRELSA TABLET (ORAL),Preferred
"ANTIBIOTICS, VAGINAL",Cleocin ovules / vaginal suppository,CLEOCIN OVULES (VAGINAL),Preferred
"ANTIBIOTICS, VAGINAL",Clindamycin 2% Cream,CLINDAMYCIN 2% VAGINAL CREAM (VAGINAL),Preferred
ANTICONVULSANTS,Clobazam oral suspension,CLOBAZAM SUSPENSION (ORAL)*,Preferred
ANTICONVULSANTS,Clobazam tablet,CLOBAZAM TABLET (ORAL),Preferred
ANTIPSYCHOTICS,Clozapine tablet,CLOZAPINE TABLET (not ODT) (ORAL),Preferred
"OPHTHALMICS, GLAUCOMA AGENTS",Combigan,COMBIGAN 0.2%-0.5% DROP (OPTHALMIC),Preferred
COPD AGENTS,Combivent Respimat inhalation aerosol solution,COMBIVENT RESPIMAT (INHALATION),Preferred
MULTIPLE SCLEROSIS AGENTS,Copaxone 20 mg,COPAXONE 20 MG/ML SYRINGE (not 40 MG/ML) (SUBCUTANE,Preferred
PANCREATIC ENZYMES,Creon,CREON CAPSULE (ORAL),Preferred
ANTICONVULSANTS,Depakote,DEPAKOTE SPRINKLE CAPSULE (not TABLET) (ORAL),Preferred
MULTIPLE SCLEROSIS AGENTS,Dimethyl Fumarate,DIMETHYL FUMARATE DR CAPSULE (ORAL),Preferred
ALZHEIMER'S AGENTS,Donepezil ODT,DONEPEZIL ODT (ORAL),Preferred
ALZHEIMER'S AGENTS,"Donepezil tablet, 10 mg",DONEPEZIL 5MG & 10MG TABLET (not 23MG) (ORAL),Preferred
ALZHEIMER'S AGENTS,"Donepezil tablet, 5 mg",DONEPEZIL 5MG & 10MG TABLET (not 23MG) (ORAL),Preferred
THROMBOPOIESIS STIMULATING PROTEINS,Doptelet,DOPTELET TABLET (ORAL),Preferred
"GLUCOCORTICOIDS, INHALED",Dulera,DULERA INHALER (INHALATION),Preferred
NEUROPATHIC PAIN,"Duloxetine 20 mg, Neuropathic Pain","DULOXETINE 20MG, 30MG, 60MG CAPSULES (not 40MG) (ORA",Preferred
NEUROPATHIC PAIN,"Duloxetine 30 mg, Neuropathic Pain","DULOXETINE 20MG, 30MG, 60MG CAPSULES (not 40MG) (ORA",Preferred
NEUROPATHIC PAIN,"Duloxetine 60 mg, Neuropathic Pain","DULOXETINE 20MG, 30MG, 60MG CAPSULES (not 40MG) (ORA",Preferred
BOTULINUM TOXINS,Dysport Blepharospasm,DYSPORT VIAL (INTRAMUSC),Preferred
BOTULINUM TOXINS,Dysport Hemifacial spasm,DYSPORT VIAL (INTRAMUSC),Preferred
BOTULINUM TOXINS,Dysport Hyperhidrosis - Gustatory (Frey's Syndrome),DYSPORT VIAL (INTRAMUSC),Preferred
BOTULINUM TOXINS,"Dysport Hyperhidrosis - plantar, palmar, axillary",DYSPORT VIAL (INTRAMUSC),Preferred
BOTULINUM TOXINS,Dysport Oromandibular dystonia,DYSPORT VIAL (INTRAMUSC),Preferred
ANTICOAGULANTS,Eliquis,ELIQUIS TABLET (ORAL),Preferred
