therapeutic_class,capsule_name,pdl_name
ANTIPSYCHOTICS,Abilify Asimtufii,ABILIFY ASIMTUFII (INTRAMUSC)
ANTIPSYCHOTICS,Abilify Maintena,"ABILIFY MAINTENA ER SYRINGE, VIAL (INTRAMUSC.)"
SICKLE CELL ANEMIA TREATMENTS,Adakveo,ADAKVEO VIAL (INTRAVENOUS)
CYTOKINE & CAM ANTAGONISTS ‡,Adalimumab-adaz Ankylosing Spondylitis,ADALIMUMAB-ADAZ (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adaz Ankylosing Spondylitis, auto-injector",ADALIMUMAB-ADAZ (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adaz Ankylosing Spondylitis, prefilled syringe",ADALIMUMAB-ADAZ (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,Adalimumab-adaz Crohn's Disease (adult),ADALIMUMAB-ADAZ (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adaz Crohn's Disease (adult), auto-injector",ADALIMUMAB-ADAZ (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adaz Crohn's Disease (adult), prefilled syringe",ADALIMUMAB-ADAZ (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,Adalimumab-adaz Crohn's Disease (pediatric),ADALIMUMAB-ADAZ (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adaz Crohn's Disease (pediatric), auto-injector",ADALIMUMAB-ADAZ (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adaz Crohn's Disease (pediatric), prefilled syringe",ADALIMUMAB-ADAZ (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,Adalimumab-adaz Hidradenitis Suppurativa,ADALIMUMAB-ADAZ (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adaz Hidradenitis Suppurativa, auto-injector",ADALIMUMAB-ADAZ (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adaz Hidradenitis Suppurativa, prefilled syringe",ADALIMUMAB-ADAZ (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,Adalimumab-adaz Plaque Psoriasis (adult),ADALIMUMAB-ADAZ (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adaz Plaque Psoriasis (adult), auto-injector",ADALIMUMAB-ADAZ (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adaz Plaque Psoriasis (adult), prefilled syringe",ADALIMUMAB-ADAZ (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,Adalimumab-adaz Polyarticular Juvenile Idiopathic Arthritis (PJIA),ADALIMUMAB-ADAZ (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adaz Polyarticular Juvenile Idiopathic Arthritis (PJIA), auto-injector",ADALIMUMAB-ADAZ (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adaz Polyarticular Juvenile Idiopathic Arthritis (PJIA), prefilled syringe",ADALIMUMAB-ADAZ (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,Adalimumab-adaz Psoriatic Arthritis (adult),ADALIMUMAB-ADAZ (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adaz Psoriatic Arthritis (adult), auto-injector",ADALIMUMAB-ADAZ (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adaz Psoriatic Arthritis (adult), prefilled syringe",ADALIMUMAB-ADAZ (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,Adalimumab-adaz Rheumatoid Arthritis,ADALIMUMAB-ADAZ (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adaz Rheumatoid Arthritis, auto-injector",ADALIMUMAB-ADAZ (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adaz Rheumatoid Arthritis, prefilled syringe",ADALIMUMAB-ADAZ (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,Adalimumab-adaz Ulcerative Colitis (adult),ADALIMUMAB-ADAZ (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adaz Ulcerative Colitis (adult), auto-injector",ADALIMUMAB-ADAZ (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adaz Ulcerative Colitis (adult), prefilled syringe",ADALIMUMAB-ADAZ (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,Adalimumab-adaz Uveitis (adult),ADALIMUMAB-ADAZ (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adaz Uveitis (adult), auto-injector",ADALIMUMAB-ADAZ (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adaz Uveitis (adult), prefilled syringe",ADALIMUMAB-ADAZ (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,Adalimumab-adbm Ankylosing Spondylitis,ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Ankylosing Spondylitis, Boehringer 00597 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Ankylosing Spondylitis, Non Boehringer 00597 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Ankylosing Spondylitis, Non Quallent 82009 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Ankylosing Spondylitis, Quallent 82009 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,Adalimumab-adbm Crohn's Disease (adult),ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Crohn's Disease (adult), Boehringer 00597 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Crohn's Disease (adult), Non Boehringer 00597 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Crohn's Disease (adult), Non Quallent 82009 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Crohn's Disease (adult), Quallent 82009 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,Adalimumab-adbm Crohn's Disease (pediatric),ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Crohn's Disease (pediatric), Boehringer 00597 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Crohn's Disease (pediatric), Non Boehringer 00597 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Crohn's Disease (pediatric), Non Quallent 82009 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Crohn's Disease (pediatric), Quallent 82009 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,Adalimumab-adbm Hidradenitis Suppurativa,ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Hidradenitis Suppurativa, Boehringer 00597 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Hidradenitis Suppurativa, Non Boehringer 00597 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Hidradenitis Suppurativa, Non Quallent 82009 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Hidradenitis Suppurativa, Quallent 82009 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,Adalimumab-adbm Plaque Psoriasis (adult),ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Plaque Psoriasis (adult), Boehringer 00597 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Plaque Psoriasis (adult), Non Boehringer 00597 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Plaque Psoriasis (adult), Non Quallent 82009 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Plaque Psoriasis (adult), Quallent 82009 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,Adalimumab-adbm Polyarticular Juvenile Idiopathic Arthritis (PJIA),ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Polyarticular Juvenile Idiopathic Arthritis (PJIA), Boehringer 00597 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Polyarticular Juvenile Idiopathic Arthritis (PJIA), Non Boehringer 00597 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Polyarticular Juvenile Idiopathic Arthritis (PJIA), Non Quallent 82009 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Polyarticular Juvenile Idiopathic Arthritis (PJIA), Quallent 82009 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,Adalimumab-adbm Psoriatic Arthritis (adult),ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Psoriatic Arthritis (adult), Boehringer 00597 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Psoriatic Arthritis (adult), Non Boehringer 00597 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Psoriatic Arthritis (adult), Non Quallent 82009 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Psoriatic Arthritis (adult), Quallent 82009 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,Adalimumab-adbm Rheumatoid Arthritis,ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Rheumatoid Arthritis, Boehringer 00597 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Rheumatoid Arthritis, Non Boehringer 00597 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Rheumatoid Arthritis, Non Quallent 82009 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Rheumatoid Arthritis, Quallent 82009 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,Adalimumab-adbm Ulcerative Colitis (adult),ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Ulcerative Colitis (adult), Boehringer 00597 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Ulcerative Colitis (adult), Non Boehringer 00597 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Ulcerative Colitis (adult), Non Quallent 82009 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Ulcerative Colitis (adult), Quallent 82009 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,Adalimumab-adbm Uveitis (adult),ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Uveitis (adult), Boehringer 00597 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Uveitis (adult), Non Boehringer 00597 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Uveitis (adult), Non Quallent 82009 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Uveitis (adult), Quallent 82009 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*
"IMMUNOMODULATORS, ATOPIC DERMATITIS",Adbry,"ADBRY AUTOINJECTOR, SYRINGE (SUBCUTANE.)*"
"IMMUNOMODULATORS, ATOPIC DERMATITIS",Adbry Atopic Dermatitis (adult),"ADBRY AUTOINJECTOR, SYRINGE (SUBCUTANE.)*"
"IMMUNOMODULATORS, ATOPIC DERMATITIS","Adbry Atopic Dermatitis (adult), auto-injector","ADBRY AUTOINJECTOR, SYRINGE (SUBCUTANE.)*"
"IMMUNOMODULATORS, ATOPIC DERMATITIS","Adbry Atopic Dermatitis (adult), prefilled syringe","ADBRY AUTOINJECTOR, SYRINGE (SUBCUTANE.)*"
"IMMUNOMODULATORS, ATOPIC DERMATITIS",Adbry Atopic Dermatitis (pediatric),"ADBRY AUTOINJECTOR, SYRINGE (SUBCUTANE.)*"
"IMMUNOMODULATORS, ATOPIC DERMATITIS",Adbry auto-injector,"ADBRY AUTOINJECTOR, SYRINGE (SUBCUTANE.)*"
"IMMUNOMODULATORS, ATOPIC DERMATITIS",Adbry prefilled syringe,"ADBRY AUTOINJECTOR, SYRINGE (SUBCUTANE.)*"
"IMMUNOMODULATORS, ATOPIC DERMATITIS","Adbry prefilled syringe, Atopic Dermatitis (pediatric)","ADBRY AUTOINJECTOR, SYRINGE (SUBCUTANE.)*"
"PAH AGENTS, ORAL AND INHALED (SEE DX CODE REQ.)",Adcirca,TADALAFIL 20 MG TABLET (ADCIRCA) (ORAL) (DX CODE REQ.
STIMULANTS AND RELATED AGENTS (SEE DX CODE REQ.),Adderall XR ER capsule,ADDERALL TABLET (ORAL) (DX CODE REQ.)
