therapeutic_class,capsule_name,pdl_name,status
ANTIPSYCHOTICS,Abilify Asimtufii,ABILIFY ASIMTUFII (INTRAMUSC),Preferred
ANTIPSYCHOTICS,Abilify Maintena,"ABILIFY MAINTENA ER SYRINGE, VIAL (INTRAMUSC.)",Preferred
SICKLE CELL ANEMIA TREATMENTS,Adakveo,ADAKVEO VIAL (INTRAVENOUS),Preferred
CYTOKINE & CAM ANTAGONISTS ‡,Adalimumab-adaz Ankylosing Spondylitis,ADALIMUMAB-ADAZ (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adaz Ankylosing Spondylitis, auto-injector",ADALIMUMAB-ADAZ (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adaz Ankylosing Spondylitis, prefilled syringe",ADALIMUMAB-ADAZ (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,Adalimumab-adaz Crohn's Disease (adult),ADALIMUMAB-ADAZ (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adaz Crohn's Disease (adult), auto-injector",ADALIMUMAB-ADAZ (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adaz Crohn's Disease (adult), prefilled syringe",ADALIMUMAB-ADAZ (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,Adalimumab-adaz Crohn's Disease (pediatric),ADALIMUMAB-ADAZ (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adaz Crohn's Disease (pediatric), auto-injector",ADALIMUMAB-ADAZ (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adaz Crohn's Disease (pediatric), prefilled syringe",ADALIMUMAB-ADAZ (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,Adalimumab-adaz Hidradenitis Suppurativa,ADALIMUMAB-ADAZ (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adaz Hidradenitis Suppurativa, auto-injector",ADALIMUMAB-ADAZ (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adaz Hidradenitis Suppurativa, prefilled syringe",ADALIMUMAB-ADAZ (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,Adalimumab-adaz Plaque Psoriasis (adult),ADALIMUMAB-ADAZ (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adaz Plaque Psoriasis (adult), auto-injector",ADALIMUMAB-ADAZ (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adaz Plaque Psoriasis (adult), prefilled syringe",ADALIMUMAB-ADAZ (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,Adalimumab-adaz Polyarticular Juvenile Idiopathic Arthritis (PJIA),ADALIMUMAB-ADAZ (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adaz Polyarticular Juvenile Idiopathic Arthritis (PJIA), auto-injector",ADALIMUMAB-ADAZ (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adaz Polyarticular Juvenile Idiopathic Arthritis (PJIA), prefilled syringe",ADALIMUMAB-ADAZ (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,Adalimumab-adaz Psoriatic Arthritis (adult),ADALIMUMAB-ADAZ (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adaz Psoriatic Arthritis (adult), auto-injector",ADALIMUMAB-ADAZ (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adaz Psoriatic Arthritis (adult), prefilled syringe",ADALIMUMAB-ADAZ (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,Adalimumab-adaz Rheumatoid Arthritis,ADALIMUMAB-ADAZ (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adaz Rheumatoid Arthritis, auto-injector",ADALIMUMAB-ADAZ (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adaz Rheumatoid Arthritis, prefilled syringe",ADALIMUMAB-ADAZ (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,Adalimumab-adaz Ulcerative Colitis (adult),ADALIMUMAB-ADAZ (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adaz Ulcerative Colitis (adult), auto-injector",ADALIMUMAB-ADAZ (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adaz Ulcerative Colitis (adult), prefilled syringe",ADALIMUMAB-ADAZ (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,Adalimumab-adaz Uveitis (adult),ADALIMUMAB-ADAZ (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adaz Uveitis (adult), auto-injector",ADALIMUMAB-ADAZ (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adaz Uveitis (adult), prefilled syringe",ADALIMUMAB-ADAZ (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,Adalimumab-adbm Ankylosing Spondylitis,ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Ankylosing Spondylitis, Boehringer 00597 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Ankylosing Spondylitis, Non Boehringer 00597 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Ankylosing Spondylitis, Non Quallent 82009 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Ankylosing Spondylitis, Quallent 82009 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,Adalimumab-adbm Crohn's Disease (adult),ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Crohn's Disease (adult), Boehringer 00597 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Crohn's Disease (adult), Non Boehringer 00597 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Crohn's Disease (adult), Non Quallent 82009 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Crohn's Disease (adult), Quallent 82009 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,Adalimumab-adbm Crohn's Disease (pediatric),ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Crohn's Disease (pediatric), Boehringer 00597 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Crohn's Disease (pediatric), Non Boehringer 00597 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Crohn's Disease (pediatric), Non Quallent 82009 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Crohn's Disease (pediatric), Quallent 82009 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,Adalimumab-adbm Hidradenitis Suppurativa,ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Hidradenitis Suppurativa, Boehringer 00597 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Hidradenitis Suppurativa, Non Boehringer 00597 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Hidradenitis Suppurativa, Non Quallent 82009 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Hidradenitis Suppurativa, Quallent 82009 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,Adalimumab-adbm Plaque Psoriasis (adult),ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Plaque Psoriasis (adult), Boehringer 00597 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*,Preferred
