therapeutic_class,capsule_name,pdl_name,status
CYTOKINE & CAM ANTAGONISTS ‡,Adalimumab-adaz Ankylosing Spondylitis,ADALIMUMAB-ADAZ (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,Adalimumab-adaz Crohn’s Disease (adult),ADALIMUMAB-ADAZ (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,Adalimumab-adaz Crohn’s Disease (pediatric),ADALIMUMAB-ADAZ (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,Adalimumab-adaz Hidradenitis Suppurativa,ADALIMUMAB-ADAZ (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,Adalimumab-adaz Plaque Psoriasis (adult),ADALIMUMAB-ADAZ (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,Adalimumab-adaz Polyarticular Juvenile Idiopathic Arthritis (PJIA),ADALIMUMAB-ADAZ (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,Adalimumab-adaz Psoriatic Arthritis (adult),ADALIMUMAB-ADAZ (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,Adalimumab-adaz Rheumatoid Arthritis,ADALIMUMAB-ADAZ (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,Adalimumab-adaz Ulcerative Colitis (adult),ADALIMUMAB-ADAZ (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,Adalimumab-adaz Uveitis (adult),ADALIMUMAB-ADAZ (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Ankylosing Spondylitis, Non Quallent 82009 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Ankylosing Spondylitis, Quallent 82009 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Crohn’s Disease (adult), Non Quallent 82009 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Crohn’s Disease (adult), Quallent 82009 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Crohn’s Disease (pediatric), Non Quallent 82009 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Crohn’s Disease (pediatric), Quallent 82009 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Hidradenitis Suppurativa, Non Quallent 82009 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Hidradenitis Suppurativa, Quallent 82009 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Plaque Psoriasis (adult), Non Quallent 82009 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Plaque Psoriasis (adult), Quallent 82009 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Polyarticular Juvenile Idiopathic Arthritis (PJIA), Non Quallent 82009 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Polyarticular Juvenile Idiopathic Arthritis (PJIA), Quallent 82009 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Psoriatic Arthritis (adult), Non Quallent 82009 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Psoriatic Arthritis (adult), Quallent 82009 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Rheumatoid Arthritis, Non Quallent 82009 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Rheumatoid Arthritis, Quallent 82009 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Ulcerative Colitis (adult), Non Quallent 82009 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Ulcerative Colitis (adult), Quallent 82009 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Uveitis (adult), Non Quallent 82009 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,"Adalimumab-adbm Uveitis (adult), Quallent 82009 labeler",ADALIMUMAB-ADBM (not QUALLENT Brand) (INJECTION)*,Preferred
"IMMUNOMODULATORS, ATOPIC DERMATITIS",Adbry Atopic Dermatitis (adult),"ADBRY AUTOINJECTOR, SYRINGE (SUBCUTANE.)*",Preferred
"IMMUNOMODULATORS, ATOPIC DERMATITIS",Adbry Atopic Dermatitis (pediatric),"ADBRY AUTOINJECTOR, SYRINGE (SUBCUTANE.)*",Preferred
CYTOKINE & CAM ANTAGONISTS ‡,Cyltezo Ankylosing Spondylitis,CYLTEZO SYRINGE (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,Cyltezo Crohn’s Disease (adult),CYLTEZO SYRINGE (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,Cyltezo Crohn’s Disease (pediatric),CYLTEZO SYRINGE (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,Cyltezo Hidradenitis Suppurativa,CYLTEZO SYRINGE (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,Cyltezo Plaque Psoriasis (adult),CYLTEZO SYRINGE (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,Cyltezo Polyarticular Juvenile Idiopathic Arthritis (PJIA),CYLTEZO SYRINGE (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,Cyltezo Psoriatic Arthritis (adult),CYLTEZO SYRINGE (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,Cyltezo Rheumatoid Arthritis,CYLTEZO SYRINGE (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,Cyltezo Ulcerative Colitis (adult),CYLTEZO SYRINGE (INJECTION)*,Preferred
CYTOKINE & CAM ANTAGONISTS ‡,Cyltezo Uveitis (adult),CYLTEZO SYRINGE (INJECTION)*,Preferred
"IMMUNOMODULATORS, ATOPIC DERMATITIS",Dupixent Asthma (adult),DUPIXENT SYRINGE (SUBCUTANE.),Preferred
"IMMUNOMODULATORS, ATOPIC DERMATITIS",Dupixent Asthma (pediatric),DUPIXENT SYRINGE (SUBCUTANE.),Preferred
"IMMUNOMODULATORS, ATOPIC DERMATITIS",Dupixent Atopic Dermatitis (adult),DUPIXENT SYRINGE (SUBCUTANE.),Preferred
"IMMUNOMODULATORS, ATOPIC DERMATITIS",Dupixent Atopic Dermatitis (pediatric),DUPIXENT SYRINGE (SUBCUTANE.),Preferred
"IMMUNOMODULATORS, ATOPIC DERMATITIS",Dupixent Chronic Obstructive Pulmonary Disease (COPD),DUPIXENT SYRINGE (SUBCUTANE.),Preferred
"IMMUNOMODULATORS, ATOPIC DERMATITIS",Dupixent Chronic Rhinosinusitis with Nasal Polyposis,DUPIXENT SYRINGE (SUBCUTANE.),Preferred
"IMMUNOMODULATORS, ATOPIC DERMATITIS",Dupixent Eosinophilic Esophagitis,DUPIXENT SYRINGE (SUBCUTANE.),Preferred
"IMMUNOMODULATORS, ATOPIC DERMATITIS",Dupixent Prurigo Nodularis,DUPIXENT SYRINGE (SUBCUTANE.),Preferred
CYTOKINE & CAM ANTAGONISTS ‡,Enbrel Ankylosing Spondylitis,ENBREL VIAL (SUBCUTANEOUS),Preferred
CYTOKINE & CAM ANTAGONISTS ‡,Enbrel Plaque Psoriasis (adult),ENBREL VIAL (SUBCUTANEOUS),Preferred
CYTOKINE & CAM ANTAGONISTS ‡,Enbrel Plaque Psoriasis (pediatric),ENBREL VIAL (SUBCUTANEOUS),Preferred
CYTOKINE & CAM ANTAGONISTS ‡,Enbrel Polyarticular Juvenile Idiopathic Arthritis (PJIA),ENBREL VIAL (SUBCUTANEOUS),Preferred
CYTOKINE & CAM ANTAGONISTS ‡,Enbrel Psoriatic Arthritis (adult),ENBREL VIAL (SUBCUTANEOUS),Preferred
CYTOKINE & CAM ANTAGONISTS ‡,Enbrel Psoriatic Arthritis (pediatric),ENBREL VIAL (SUBCUTANEOUS),Preferred
CYTOKINE & CAM ANTAGONISTS ‡,Enbrel Rheumatoid Arthritis,ENBREL VIAL (SUBCUTANEOUS),Preferred
"IMMUNOMODULATORS, ATOPIC DERMATITIS",Eucrisa,EUCRISA 2% OINTMENT (TOPICAL),Preferred
"IMMUNOMODULATORS, ASTHMA",Fasenra Asthma (adult),"FASENRA PEN, SYRINGE (SUBCUTANEOUS)",Preferred
"IMMUNOMODULATORS, ASTHMA",Fasenra Asthma (pediatric),"FASENRA PEN, SYRINGE (SUBCUTANEOUS)",Preferred
"IMMUNOMODULATORS, ASTHMA",Fasenra Eosinophilic Granulomatosis with Polyangitis (EGPA),"FASENRA PEN, SYRINGE (SUBCUTANEOUS)",Preferred
CYTOKINE & CAM ANTAGONISTS ‡,Hadlima Ankylosing Spondylitis,"HADLIMA PUSHTOUCH, SYRINGE (INJECTION)*",Preferred
CYTOKINE & CAM ANTAGONISTS ‡,Hadlima Crohn’s Disease (adult),"HADLIMA PUSHTOUCH, SYRINGE (INJECTION)*",Preferred
CYTOKINE & CAM ANTAGONISTS ‡,Hadlima Crohn’s Disease (pediatric),"HADLIMA PUSHTOUCH, SYRINGE (INJECTION)*",Preferred
CYTOKINE & CAM ANTAGONISTS ‡,Hadlima Hidradenitis Suppurativa,"HADLIMA PUSHTOUCH, SYRINGE (INJECTION)*",Preferred
CYTOKINE & CAM ANTAGONISTS ‡,Hadlima Plaque Psoriasis (adult),"HADLIMA PUSHTOUCH, SYRINGE (INJECTION)*",Preferred
CYTOKINE & CAM ANTAGONISTS ‡,Hadlima Polyarticular Juvenile Idiopathic Arthritis (PJIA),"HADLIMA PUSHTOUCH, SYRINGE (INJECTION)*",Preferred
CYTOKINE & CAM ANTAGONISTS ‡,Hadlima Psoriatic Arthritis (adult),"HADLIMA PUSHTOUCH, SYRINGE (INJECTION)*",Preferred
CYTOKINE & CAM ANTAGONISTS ‡,Hadlima Rheumatoid Arthritis,"HADLIMA PUSHTOUCH, SYRINGE (INJECTION)*",Preferred
CYTOKINE & CAM ANTAGONISTS ‡,Hadlima Ulcerative Colitis (adult),"HADLIMA PUSHTOUCH, SYRINGE (INJECTION)*",Preferred
CYTOKINE & CAM ANTAGONISTS ‡,Hadlima Uveitis (adult),"HADLIMA PUSHTOUCH, SYRINGE (INJECTION)*",Preferred
CYTOKINE & CAM ANTAGONISTS ‡,Humira Ankylosing Spondylitis,"HUMIRA KIT, PEN INJ KIT (INJECTION)",Preferred
