therapeutic_class,pdl_name,status
DIGITALIS GLYCOSIDES,DIGOXIN 0.05 MG/ML SOLUTION,Preferred
DIGITALIS GLYCOSIDES,DIGOXIN 0.125 MG TABLET,Preferred
DIGITALIS GLYCOSIDES,DIGOXIN 0.25 MG TABLET,Preferred
DIGITALIS GLYCOSIDES,DIGOXIN 125 MCG TABLET,Preferred
DIGITALIS GLYCOSIDES,DIGOXIN 250 MCG TABLET,Preferred
XANTHINES,CAFFEINE CIT 60 MG/3 ML ORAL,Preferred
XANTHINES,CAFFEINE CIT 60 MG/3 ML VIAL,Preferred
XANTHINES,THEO-24 ER 100 MG CAPSULE,Preferred
XANTHINES,THEO-24 ER 200 MG CAPSULE,Preferred
XANTHINES,THEO-24 ER 300 MG CAPSULE,Preferred
XANTHINES,THEO-24 ER 400 MG CAPSULE,Preferred
XANTHINES,THEOPHYLLINE 80 MG/15 ML CUP,Preferred
XANTHINES,THEOPHYLLINE 80 MG/15 ML SOLN,Preferred
XANTHINES,THEOPHYLLINE ER 100 MG TABLET,Preferred
XANTHINES,THEOPHYLLINE ER 200 MG TABLET,Preferred
XANTHINES,THEOPHYLLINE ER 300 MG TABLET,Preferred
XANTHINES,THEOPHYLLINE ER 400 MG TABLET,Preferred
XANTHINES,THEOPHYLLINE ER 450 MG TABLET,Preferred
XANTHINES,THEOPHYLLINE ER 600 MG TABLET,Preferred
INOTROPIC DRUGS,"DOBUTAMINE 1,000 MG/250 ML D5W",Preferred
INOTROPIC DRUGS,DOBUTAMINE 250 MG/20 ML VIAL,Preferred
INOTROPIC DRUGS,DOBUTAMINE 250 MG/250 ML-D5W,Preferred
INOTROPIC DRUGS,DOBUTAMINE 500 MG/250 ML D5W,Preferred
INOTROPIC DRUGS,MILRINONE LACT 10 MG/10 ML VL,Preferred
INOTROPIC DRUGS,MILRINONE LACT 20 MG/20 ML VL,Preferred
INOTROPIC DRUGS,MILRINONE LACT 50 MG/50 ML VL,Preferred
INOTROPIC DRUGS,MILRINONE-D5W 20 MG/100 ML,Preferred
INOTROPIC DRUGS,MILRINONE-D5W 40 MG/200 ML,Preferred
HIC3 Desc,Label Name,Preferred
ANTIARRHYTHMICS,AMIODARONE HCL 100 MG TABLET,Preferred
ANTIARRHYTHMICS,AMIODARONE HCL 200 MG TABLET,Preferred
