therapeutic_class,capsule_name,pdl_name
"ANTIPSYCHOTICS, ATYP, D2 PARTIAL AGONIST/5HT MIXED",Abilify tablet,ABILIFY ASIMTUFII 720 MG/2.4ML
"ANTIPSYCHOTICS, ATYP, D2 PARTIAL AGONIST/5HT MIXED",Abilify tablet,ABILIFY ASIMTUFII 960 MG/3.2ML
"ANTIPSYCHOTICS, ATYP, D2 PARTIAL AGONIST/5HT MIXED",Abilify tablet,ABILIFY MAINTENA ER 300 MG SYR
"ANTIPSYCHOTICS, ATYP, D2 PARTIAL AGONIST/5HT MIXED",Abilify tablet,ABILIFY MAINTENA ER 300 MG VL
"ANTIPSYCHOTICS, ATYP, D2 PARTIAL AGONIST/5HT MIXED",Abilify tablet,ABILIFY MAINTENA ER 400 MG SYR
"ANTIPSYCHOTICS, ATYP, D2 PARTIAL AGONIST/5HT MIXED",Abilify tablet,ABILIFY MAINTENA ER 400 MG VL
"ANTIPSYCHOTICS, ATYP, D2 PARTIAL AGONIST/5HT MIXED",Abilify MyCite,ABILIFY ASIMTUFII 720 MG/2.4ML
"ANTIPSYCHOTICS, ATYP, D2 PARTIAL AGONIST/5HT MIXED",Abilify MyCite,ABILIFY ASIMTUFII 960 MG/3.2ML
"ANTIPSYCHOTICS, ATYP, D2 PARTIAL AGONIST/5HT MIXED",Abilify MyCite,ABILIFY MAINTENA ER 300 MG SYR
"ANTIPSYCHOTICS, ATYP, D2 PARTIAL AGONIST/5HT MIXED",Abilify MyCite,ABILIFY MAINTENA ER 300 MG VL
"ANTIPSYCHOTICS, ATYP, D2 PARTIAL AGONIST/5HT MIXED",Abilify MyCite,ABILIFY MAINTENA ER 400 MG SYR
"ANTIPSYCHOTICS, ATYP, D2 PARTIAL AGONIST/5HT MIXED",Abilify MyCite,ABILIFY MAINTENA ER 400 MG VL
"ANTIPSYCHOTICS, ATYP, D2 PARTIAL AGONIST/5HT MIXED",Aripiprazole ODT,ARIPIPRAZOLE 1 MG/ML SOLUTION
"ANTIPSYCHOTICS, ATYP, D2 PARTIAL AGONIST/5HT MIXED",Aripiprazole ODT,ARIPIPRAZOLE 10 MG TABLET
"ANTIPSYCHOTICS, ATYP, D2 PARTIAL AGONIST/5HT MIXED",Aripiprazole ODT,ARIPIPRAZOLE 15 MG TABLET
"ANTIPSYCHOTICS, ATYP, D2 PARTIAL AGONIST/5HT MIXED",Aripiprazole ODT,ARIPIPRAZOLE 2 MG TABLET
"ANTIPSYCHOTICS, ATYP, D2 PARTIAL AGONIST/5HT MIXED",Aripiprazole ODT,ARIPIPRAZOLE 20 MG TABLET
"ANTIPSYCHOTICS, ATYP, D2 PARTIAL AGONIST/5HT MIXED",Aripiprazole ODT,ARIPIPRAZOLE 30 MG TABLET
