therapeutic_class,capsule_name,pdl_name,status
"ANTIPSYCHOTICS, ATYP, D2 PARTIAL AGONIST/5HT MIXED",Abilify Asimtufii,ABILIFY ASIMTUFII 720 MG/2.4ML,Preferred
"ANTIPSYCHOTICS, ATYP, D2 PARTIAL AGONIST/5HT MIXED",Abilify Maintena,ABILIFY MAINTENA ER 300 MG SYR,Preferred
"ADRENERGICS, AROMATIC, NON-CATECHOLAMINE",Adderall XR ER capsule,ADDERALL XR 30 MG CAPSULE,Preferred
"BETA-ADRENERGIC AND GLUCOCORTICOID COMBO, INHALED",Advair Diskus,ADVAIR 100-50 DISKUS,Preferred
"BETA-ADRENERGIC AND GLUCOCORTICOID COMBO, INHALED",Advair HFA,ADVAIR HFA 115-21 MCG INHALER,Preferred
ANTIMIGRAINE PREPARATIONS,Aimovig,AIMOVIG 140 MG/ML AUTOINJECTOR,Preferred
ANTIMIGRAINE PREPARATIONS,Ajovy,AJOVY 225 MG/1.5 ML AUTOINJECT,Preferred
"PULMONARY ANTI-HTN, ENDOTHELIN RECEPTOR ANTAGONIST",Ambrisentan,AMBRISENTAN 10 MG TABLET,Preferred
CALCIUM CHANNEL BLOCKING AGENTS,Amlodipine tablet,AMLODIPINE BESYLATE 10 MG TAB,Preferred
"CONTRACEPTIVES, INTRAVAGINAL, SYSTEMIC",Annovera,ANNOVERA VAGINAL RING,Preferred
"BETA-ADRENERGIC AND ANTICHOLINERGIC COMBO, INHALED",Anoro Ellipta,ANORO ELLIPTA 62.5-25 MCG INH,Preferred
INSULINS,Apidra,APIDRA 100 UNIT/ML VIAL,Preferred
INSULINS,Apidra SoloStar,APIDRA SOLOSTAR 100 UNIT/ML,Preferred
ANTICONVULSANTS,Aptiom,APTIOM 200 MG TABLET,Preferred
"ANTIVIRALS, HIV-SPEC, NON-PEPTIDIC PROTEASE INHIB",Aptivus,APTIVUS 250 MG CAPSULE,Preferred
ERYTHROPOIESIS-STIMULATING AGENTS,Aranesp Anemia associated with chemotherapy,ARANESP 10 MCG/0.4 ML SYRINGE,Preferred
ERYTHROPOIESIS-STIMULATING AGENTS,Aranesp Anemia associated with chronic kidney disease if patient is not on dialysis,ARANESP 10 MCG/0.4 ML SYRINGE,Preferred
ERYTHROPOIESIS-STIMULATING AGENTS,Aranesp Anemia associated with chronic kidney disease if patient is on dialysis,ARANESP 10 MCG/0.4 ML SYRINGE,Preferred
"ANTIPSYCHOTICS, ATYP, D2 PARTIAL AGONIST/5HT MIXED",Aripiprazole oral solution,ARIPIPRAZOLE 1 MG/ML SOLUTION,Preferred
"ANTIPSYCHOTICS, ATYP, D2 PARTIAL AGONIST/5HT MIXED",Aripiprazole tablet,ARIPIPRAZOLE 20 MG TABLET,Preferred
"ANTIPSYCHOTICS, ATYP, D2 PARTIAL AGONIST/5HT MIXED",Aristada,ARISTADA ER 1064 MG/3.9 ML SYR,Preferred
"ANTIPSYCHOTICS, ATYP, D2 PARTIAL AGONIST/5HT MIXED",Aristada Initio,ARISTADA INITIO ER 675 MG/2.4,Preferred
THYROID HORMONES,Armour Thyroid,ARMOUR THYROID 120 MG TABLET,Preferred
"GLUCOCORTICOIDS, ORALLY INHALED",Arnuity Ellipta,ARNUITY ELLIPTA 100 MCG INH,Preferred
"GLUCOCORTICOIDS, ORALLY INHALED",Asmanex HFA,ASMANEX HFA 100 MCG INHALER,Preferred
"GLUCOCORTICOIDS, ORALLY INHALED",Asmanex Twisthaler,ASMANEX TWISTHALER 110 MCG #30,Preferred
PLATELET AGGREGATION INHIBITORS,Aspirin / Dipyridamole,ASPIRIN-DIPYRIDAM ER 25-200 MG,Preferred
DRUGS TO TREAT MOVEMENT DISORDERS,Austedo,AUSTEDO 12 MG TABLET,Preferred
DRUGS TO TREAT MOVEMENT DISORDERS,Austedo XR,AUSTEDO XR 12 MG TABLET,Preferred
DRUGS TO TREAT MOVEMENT DISORDERS,Austedo XR titration pack,AUSTEDO XR 12 MG TABLET,Preferred
ANAPHYLAXIS THERAPY AGENTS,Auvi-Q 0.1 mg,AUVI-Q 0.1 MG AUTO-INJECTOR,Preferred
ANAPHYLAXIS THERAPY AGENTS,Auvi-Q 0.15 mg,AUVI-Q 0.15 MG AUTO-INJECTOR,Preferred
ANAPHYLAXIS THERAPY AGENTS,Auvi-Q 0.3 mg,AUVI-Q 0.3 MG AUTO-INJECTOR,Preferred
AGENTS TO TREAT MULTIPLE SCLEROSIS,Avonex auto-injector,AVONEX PEN 30 MCG/0.5 ML KIT,Preferred
AGENTS TO TREAT MULTIPLE SCLEROSIS,Avonex prefilled syringe,AVONEX PREFILLED SYR 30 MCG KT,Preferred
ANTINEOPLASTIC - ANTIMETABOLITES,Azacitidine vial,AZACITIDINE 100 MG VIAL,Preferred
SKELETAL MUSCLE RELAXANTS,Baclofen oral solution,BACLOFEN 5 MG/5 ML SOLUTION,Preferred
SKELETAL MUSCLE RELAXANTS,Baclofen tablet,BACLOFEN 5 MG TABLET,Preferred
ANTICONVULSANTS,Banzel oral suspension,BANZEL 40 MG/ML SUSPENSION,Preferred
ANTICONVULSANTS,Banzel tablet,BANZEL 400 MG TABLET,Preferred
"ANTIHYPERTENSIVES, ACE INHIBITORS",Benazepril,BENAZEPRIL HCL 10 MG TABLET,Preferred
AMINOGLYCOSIDE ANTIBIOTICS,Bethkis,BETHKIS 300 MG/4 ML AMPULE,Preferred
"ARV-NUCLEOSIDE,NUCLEOTIDE RTI,INTEGRASE INHIBITORS",Biktarvy,BIKTARVY 30-120-15 MG TABLET,Preferred
NEUROMUSCULAR BLOCKING AGENTS,Botox Blepharospasm and strabismus,BOTOX 100 UNIT VIAL,Preferred
NEUROMUSCULAR BLOCKING AGENTS,Botox Cervical dystonia,BOTOX 100 UNIT VIAL,Preferred
NEUROMUSCULAR BLOCKING AGENTS,Botox Detrusor overactivity associated with a neurologic condition,BOTOX 100 UNIT VIAL,Preferred
NEUROMUSCULAR BLOCKING AGENTS,Botox Lower limb spasticity,BOTOX 100 UNIT VIAL,Preferred
NEUROMUSCULAR BLOCKING AGENTS,Botox Migraine prophylaxis,BOTOX 100 UNIT VIAL,Preferred
NEUROMUSCULAR BLOCKING AGENTS,Botox Neurogenic bladder dysfunction,BOTOX 100 UNIT VIAL,Preferred
NEUROMUSCULAR BLOCKING AGENTS,Botox Overactive bladder,BOTOX 100 UNIT VIAL,Preferred
NEUROMUSCULAR BLOCKING AGENTS,Botox Severe primary axillary hyperhidrosis,BOTOX 100 UNIT VIAL,Preferred
NEUROMUSCULAR BLOCKING AGENTS,Botox Upper limb spasticity,BOTOX 100 UNIT VIAL,Preferred
PLATELET AGGREGATION INHIBITORS,Brilinta,BRILINTA 60 MG TABLET,Preferred
ANTICONVULSANTS,Briviact oral solution,BRIVIACT 10 MG/ML ORAL SOLN,Preferred
ANTICONVULSANTS,Briviact tablet,BRIVIACT 10 MG TABLET,Preferred
ANTICONVULSANTS,Briviact vial,BRIVIACT 50 MG/5 ML VIAL,Preferred
"GLUCOCORTICOIDS, ORALLY INHALED",Budesonide respules (inhalation suspension),BUDESONIDE 0.5 MG/2 ML SUSP,Preferred
AMMONIA INHIBITORS,Buphenyl powder,BUPHENYL POWDER,Preferred
AMMONIA INHIBITORS,Buphenyl tablet,BUPHENYL 500 MG TABLET,Preferred
"ANTIPSYCHOTIC,ATYPICAL,DOPAMINE,SEROTONIN ANTAGNST",Caplyta,CAPLYTA 10.5 MG CAPSULE,Preferred
VAGINAL ANTIBIOTICS,Cleocin 2% cream,CLEOCIN 2% VAGINAL CREAM,Preferred
VAGINAL ANTIBIOTICS,Cleocin ovules / vaginal suppository,CLEOCIN 100 MG VAGINAL OVULE,Preferred
ANTICONVULSANT - BENZODIAZEPINE TYPE,Clobazam oral suspension,CLOBAZAM 2.5 MG/ML SUSPENSION,Preferred
ANTICONVULSANT - BENZODIAZEPINE TYPE,Clobazam tablet,CLOBAZAM 20 MG TABLET,Preferred
"ANTIPSYCHOTIC,ATYPICAL,DOPAMINE,SEROTONIN ANTAGNST",Clozapine tablet,CLOZAPINE 200 MG TABLET,Preferred
MIOTICS AND OTHER INTRAOCULAR PRESSURE REDUCERS,Combigan,COMBIGAN 0.2%-0.5% EYE DROPS,Preferred
"BETA-ADRENERGIC AND ANTICHOLINERGIC COMBO, INHALED",Combivent Respimat inhalation aerosol solution,COMBIVENT RESPIMAT 20-100 MCG,Preferred
"ARTV NUCLEOSIDE,NUCLEOTIDE,NON-NUCLEOSIDE RTI COMB",Complera,COMPLERA TABLET,Preferred
TX FOR ATTENTION DEFICIT-HYPERACT(ADHD)/NARCOLEPSY,Concerta ER,CONCERTA ER 18 MG TABLET,Preferred
AGENTS TO TREAT MULTIPLE SCLEROSIS,Copaxone 20 mg,COPAXONE 20 MG/ML SYRINGE,Preferred
PANCREATIC ENZYMES,Creon,"CREON DR 12,000 UNIT CAPSULE",Preferred
ANTINEOPLASTIC - ANTIMETABOLITES,Decitabine,DECITABINE 50 MG VIAL,Preferred
ANTICONVULSANTS,Depakote,DEPAKOTE DR 125 MG SPRINKLE CP,Preferred
"ANTIVIRALS, HIV-SPEC, NUCLEOSIDE-NUCLEOTIDE ANALOG",Descovy,DESCOVY 120-15 MG TABLET,Preferred
AGENTS TO TREAT MULTIPLE SCLEROSIS,Dimethyl Fumarate,DIMETHYL FUMARATE 30D START PK,Preferred
CHOLINESTERASE INHIBITORS,Donepezil ODT,DONEPEZIL HCL ODT 10 MG TABLET,Preferred
CHOLINESTERASE INHIBITORS,Donepezil tablet,DONEPEZIL HCL 5 MG TABLET,Preferred
"BETA-ADRENERGIC AND GLUCOCORTICOID COMBO, INHALED",Dulera,DULERA 100 MCG-5 MCG INHALER,Preferred
SEROTONIN-NOREPINEPHRINE REUPTAKE-INHIB (SNRIS),Duloxetine,DULOXETINE HCL DR 20 MG CAP,Preferred
NEUROMUSCULAR BLOCKING AGENTS,Dysport Cervical dystonia,DYSPORT 300 UNIT VIAL,Preferred
NEUROMUSCULAR BLOCKING AGENTS,Dysport Spasticity,DYSPORT 300 UNIT VIAL,Preferred
"ANTIVIRALS, HIV-SPECIFIC, NON-NUCLEOSIDE, RTI",Edurant,EDURANT 25 MG TABLET,Preferred
"METABOLIC DISEASE ENZYME REPLACEMENT, GAUCHER'S DX",Elelyso,ELELYSO 200 UNITS VIAL,Preferred
DIRECT FACTOR XA INHIBITORS,Eliquis,ELIQUIS 2.5 MG TABLET,Preferred
"CONTRACEPTIVES, INTRAVAGINAL, SYSTEMIC",Eluryng,ELURYNG VAGINAL RING,Preferred
GLUCOCORTICOIDS,Emflaza oral suspension,EMFLAZA 22.75 MG/ML ORAL SUSP,Preferred
GLUCOCORTICOIDS,Emflaza tablet,EMFLAZA 18 MG TABLET,Preferred
ANTIMIGRAINE PREPARATIONS,Emgality 120 mg,EMGALITY 120 MG/ML SYRINGE,Preferred
"ANTIVIRALS, HIV-SPECIFIC, NUCLEOSIDE ANALOG, RTI",Emtriva capsule,EMTRIVA 10 MG/ML SOLUTION,Preferred
"ANTIVIRALS, HIV-SPECIFIC, NUCLEOSIDE ANALOG, RTI",Emtriva oral solution,EMTRIVA 10 MG/ML SOLUTION,Preferred
"ANTIHYPERTENSIVES, ACE INHIBITORS",Enalapril,ENALAPRIL 1 MG/ML ORAL SOLN,Preferred
SICKLE CELL ANEMIA AGENTS,Endari,ENDARI 5 GRAM POWDER PACKET,Preferred
HEPATITIS B TREATMENT AGENTS,Entecavir,ENTECAVIR 0.5 MG TABLET,Preferred
ANAPHYLAXIS THERAPY AGENTS,Epinephrine (Generic Adrenaclick) 0.15mg,EPINEPHRINE 0.15 MG AUTO-INJCT,Preferred
ANAPHYLAXIS THERAPY AGENTS,Epinephrine (Generic Adrenaclick) 0.3mg,EPINEPHRINE 0.3 MG AUTO-INJECT,Preferred
ANAPHYLAXIS THERAPY AGENTS,Epinephrine (Mylan Ag Epipen And Jr) 0.15mg Mylan's EpiPen Jr AG,EPINEPHRINE 0.15 MG AUTO-INJCT,Preferred
