therapeutic_class,capsule_name,pdl_name
"ANTIPSYCHOTICS, ATYP, D2 PARTIAL AGONIST/5HT MIXED",Abilify Asimtufii,ABILIFY ASIMTUFII 720 MG/2.4ML
"ANTIPSYCHOTICS, ATYP, D2 PARTIAL AGONIST/5HT MIXED",Abilify Maintena,ABILIFY MAINTENA ER 400 MG VL
"INTERLEUKIN-13 (IL-13) INHIBITORS, MAB",Adbry,ADBRY 150 MG/ML SYRINGE
"INTERLEUKIN-13 (IL-13) INHIBITORS, MAB",Adbry Atopic Dermatitis (adult),ADBRY 150 MG/ML SYRINGE
"INTERLEUKIN-13 (IL-13) INHIBITORS, MAB","Adbry Atopic Dermatitis (adult), auto-injector",ADBRY 300 MG/2 ML AUTOINJECTOR
"INTERLEUKIN-13 (IL-13) INHIBITORS, MAB","Adbry Atopic Dermatitis (adult), prefilled syringe",ADBRY 150 MG/ML SYRINGE
"INTERLEUKIN-13 (IL-13) INHIBITORS, MAB",Adbry Atopic Dermatitis (pediatric),ADBRY 150 MG/ML SYRINGE
"INTERLEUKIN-13 (IL-13) INHIBITORS, MAB",Adbry auto-injector,ADBRY 300 MG/2 ML AUTOINJECTOR
"INTERLEUKIN-13 (IL-13) INHIBITORS, MAB",Adbry prefilled syringe,ADBRY 150 MG/ML SYRINGE
"INTERLEUKIN-13 (IL-13) INHIBITORS, MAB","Adbry prefilled syringe, Atopic Dermatitis (pediatric)",ADBRY 150 MG/ML SYRINGE
"ADRENERGICS, AROMATIC, NON-CATECHOLAMINE",Adderall XR ER capsule,ADDERALL XR 30 MG CAPSULE
"BETA-ADRENERGIC AND GLUCOCORTICOID COMBO, INHALED",Advair Diskus,ADVAIR 250-50 DISKUS
"BETA-ADRENERGIC AND GLUCOCORTICOID COMBO, INHALED",Advair HFA,ADVAIR HFA 230-21 MCG INHALER
ANTIMIGRAINE PREPARATIONS,Aimovig,AIMOVIG 140 MG/ML AUTOINJECTOR
ANTIMIGRAINE PREPARATIONS,Ajovy,AJOVY 225 MG/1.5 ML AUTOINJECT
"PULMONARY ANTI-HTN, ENDOTHELIN RECEPTOR ANTAGONIST",Ambrisentan,AMBRISENTAN 10 MG TABLET
CALCIUM CHANNEL BLOCKING AGENTS,Amlodipine Besylate tablet,AMLODIPINE BESYLATE 2.5 MG TAB
"CONTRACEPTIVES, INTRAVAGINAL, SYSTEMIC",Annovera,ANNOVERA VAGINAL RING
"BETA-ADRENERGIC AND ANTICHOLINERGIC COMBO, INHALED",Anoro Ellipta,ANORO ELLIPTA 62.5-25 MCG INH
INSULINS,Apidra,APIDRA 100 UNIT/ML VIAL
INSULINS,Apidra SoloStar,APIDRA SOLOSTAR 100 UNIT/ML
ANTICONVULSANTS,Aptiom,APTIOM 400 MG TABLET
"ANTIVIRALS, HIV-SPEC, NON-PEPTIDIC PROTEASE INHIB",Aptivus,APTIVUS 250 MG CAPSULE
ERYTHROPOIESIS-STIMULATING AGENTS,Aranesp,ARANESP 10 MCG/0.4 ML SYRINGE
ERYTHROPOIESIS-STIMULATING AGENTS,Aranesp Anemia associated with chemotherapy,ARANESP 10 MCG/0.4 ML SYRINGE
ERYTHROPOIESIS-STIMULATING AGENTS,Aranesp Anemia associated with chronic kidney disease if patient is not on dialysis,ARANESP 10 MCG/0.4 ML SYRINGE
ERYTHROPOIESIS-STIMULATING AGENTS,Aranesp Anemia associated with chronic kidney disease if patient is on dialysis,ARANESP 10 MCG/0.4 ML SYRINGE
ERYTHROPOIESIS-STIMULATING AGENTS,Aranesp syringe,ARANESP 10 MCG/0.4 ML SYRINGE
ERYTHROPOIESIS-STIMULATING AGENTS,Aranesp vial,ARANESP 100 MCG/ML VIAL
"ANTIPSYCHOTICS, ATYP, D2 PARTIAL AGONIST/5HT MIXED",Aripiprazole oral solution,ARIPIPRAZOLE 1 MG/ML SOLUTION
"ANTIPSYCHOTICS, ATYP, D2 PARTIAL AGONIST/5HT MIXED",Aripiprazole tablet,ARIPIPRAZOLE 20 MG TABLET
"ANTIPSYCHOTICS, ATYP, D2 PARTIAL AGONIST/5HT MIXED",Aristada,ARISTADA ER 662 MG/2.4 ML SYRN
"ANTIPSYCHOTICS, ATYP, D2 PARTIAL AGONIST/5HT MIXED",Aristada Initio,ARISTADA INITIO ER 675 MG/2.4
THYROID HORMONES,Armour Thyroid,ARMOUR THYROID 300 MG TABLET
"GLUCOCORTICOIDS, ORALLY INHALED",Arnuity Ellipta,ARNUITY ELLIPTA 200 MCG INH
"GLUCOCORTICOIDS, ORALLY INHALED",Asmanex HFA,ASMANEX HFA 50 MCG INHALER
"GLUCOCORTICOIDS, ORALLY INHALED",Asmanex Twisthaler,ASMANEX TWISTHALER 220 MCG #14
PLATELET AGGREGATION INHIBITORS,Aspirin / Dipyridamole,ASPIRIN-DIPYRIDAM ER 25-200 MG
DRUGS TO TREAT MOVEMENT DISORDERS,Austedo,AUSTEDO 6 MG TABLET
DRUGS TO TREAT MOVEMENT DISORDERS,Austedo Huntington's Disease,AUSTEDO 12 MG TABLET
DRUGS TO TREAT MOVEMENT DISORDERS,Austedo Tardive Dyskinesia,AUSTEDO 12 MG TABLET
DRUGS TO TREAT MOVEMENT DISORDERS,Austedo Tourette's Syndrome/Tics,AUSTEDO 12 MG TABLET
DRUGS TO TREAT MOVEMENT DISORDERS,Austedo Unspecified Hyperkinetic Movement Disorder,AUSTEDO 12 MG TABLET
DRUGS TO TREAT MOVEMENT DISORDERS,Austedo XR,AUSTEDO XR 36 MG TABLET
DRUGS TO TREAT MOVEMENT DISORDERS,Austedo XR Huntington's Disease,AUSTEDO XR 12 MG TABLET
DRUGS TO TREAT MOVEMENT DISORDERS,"Austedo XR Huntington's Disease, titration pack",AUSTEDO XR 12 MG TABLET
DRUGS TO TREAT MOVEMENT DISORDERS,Austedo XR Tardive Dyskinesia,AUSTEDO XR 12 MG TABLET
DRUGS TO TREAT MOVEMENT DISORDERS,"Austedo XR Tardive Dyskinesia, titration pack",AUSTEDO XR 12 MG TABLET
DRUGS TO TREAT MOVEMENT DISORDERS,Austedo XR titration pack,AUSTEDO XR 12 MG TABLET
ANAPHYLAXIS THERAPY AGENTS,Auvi-Q 0.1 mg,AUVI-Q 0.1 MG AUTO-INJECTOR
ANAPHYLAXIS THERAPY AGENTS,Auvi-Q 0.15 mg,AUVI-Q 0.15 MG AUTO-INJECTOR
ANAPHYLAXIS THERAPY AGENTS,Auvi-Q 0.3 mg,AUVI-Q 0.3 MG AUTO-INJECTOR
AGENTS TO TREAT MULTIPLE SCLEROSIS,Avonex auto-injector,AVONEX PEN 30 MCG/0.5 ML KIT
AGENTS TO TREAT MULTIPLE SCLEROSIS,Avonex prefilled syringe,AVONEX PREFILLED SYR 30 MCG KT
ANTINEOPLASTIC - ANTIMETABOLITES,Azacitidine vial,AZACITIDINE 100 MG VIAL
SKELETAL MUSCLE RELAXANTS,Baclofen 10 mg,BACLOFEN 10 MG TABLET
SKELETAL MUSCLE RELAXANTS,Baclofen 15 mg,BACLOFEN 15 MG TABLET
