therapeutic_class,capsule_name,pdl_name,status
"ANTIPSYCHOTICS, ATYP, D2 PARTIAL AGONIST/5HT MIXED",Abilify Asimtufii,ABILIFY ASIMTUFII 720 MG/2.4ML,Preferred
"ANTIPSYCHOTICS, ATYP, D2 PARTIAL AGONIST/5HT MIXED",Abilify Maintena,ABILIFY MAINTENA ER 400 MG VL,Preferred
"INTERLEUKIN-13 (IL-13) INHIBITORS, MAB",Adbry,ADBRY 150 MG/ML SYRINGE,Preferred
"INTERLEUKIN-13 (IL-13) INHIBITORS, MAB",Adbry Atopic Dermatitis (adult),ADBRY 150 MG/ML SYRINGE,Preferred
"INTERLEUKIN-13 (IL-13) INHIBITORS, MAB","Adbry Atopic Dermatitis (adult), auto-injector",ADBRY 300 MG/2 ML AUTOINJECTOR,Preferred
"INTERLEUKIN-13 (IL-13) INHIBITORS, MAB","Adbry Atopic Dermatitis (adult), prefilled syringe",ADBRY 150 MG/ML SYRINGE,Preferred
"INTERLEUKIN-13 (IL-13) INHIBITORS, MAB",Adbry Atopic Dermatitis (pediatric),ADBRY 150 MG/ML SYRINGE,Preferred
"INTERLEUKIN-13 (IL-13) INHIBITORS, MAB",Adbry auto-injector,ADBRY 300 MG/2 ML AUTOINJECTOR,Preferred
"INTERLEUKIN-13 (IL-13) INHIBITORS, MAB",Adbry prefilled syringe,ADBRY 150 MG/ML SYRINGE,Preferred
"INTERLEUKIN-13 (IL-13) INHIBITORS, MAB","Adbry prefilled syringe, Atopic Dermatitis (pediatric)",ADBRY 150 MG/ML SYRINGE,Preferred
"ADRENERGICS, AROMATIC, NON-CATECHOLAMINE",Adderall XR ER capsule,ADDERALL XR 30 MG CAPSULE,Preferred
"BETA-ADRENERGIC AND GLUCOCORTICOID COMBO, INHALED",Advair Diskus,ADVAIR 250-50 DISKUS,Preferred
"BETA-ADRENERGIC AND GLUCOCORTICOID COMBO, INHALED",Advair HFA,ADVAIR HFA 230-21 MCG INHALER,Preferred
ANTIMIGRAINE PREPARATIONS,Aimovig,AIMOVIG 140 MG/ML AUTOINJECTOR,Preferred
ANTIMIGRAINE PREPARATIONS,Ajovy,AJOVY 225 MG/1.5 ML AUTOINJECT,Preferred
"PULMONARY ANTI-HTN, ENDOTHELIN RECEPTOR ANTAGONIST",Ambrisentan,AMBRISENTAN 10 MG TABLET,Preferred
CALCIUM CHANNEL BLOCKING AGENTS,Amlodipine Besylate tablet,AMLODIPINE BESYLATE 2.5 MG TAB,Preferred
"CONTRACEPTIVES, INTRAVAGINAL, SYSTEMIC",Annovera,ANNOVERA VAGINAL RING,Preferred
"BETA-ADRENERGIC AND ANTICHOLINERGIC COMBO, INHALED",Anoro Ellipta,ANORO ELLIPTA 62.5-25 MCG INH,Preferred
INSULINS,Apidra,APIDRA 100 UNIT/ML VIAL,Preferred
INSULINS,Apidra SoloStar,APIDRA SOLOSTAR 100 UNIT/ML,Preferred
ANTICONVULSANTS,Aptiom,APTIOM 400 MG TABLET,Preferred
"ANTIVIRALS, HIV-SPEC, NON-PEPTIDIC PROTEASE INHIB",Aptivus,APTIVUS 250 MG CAPSULE,Preferred
ERYTHROPOIESIS-STIMULATING AGENTS,Aranesp,ARANESP 10 MCG/0.4 ML SYRINGE,Preferred
ERYTHROPOIESIS-STIMULATING AGENTS,Aranesp Anemia associated with chemotherapy,ARANESP 10 MCG/0.4 ML SYRINGE,Preferred
ERYTHROPOIESIS-STIMULATING AGENTS,Aranesp Anemia associated with chronic kidney disease if patient is not on dialysis,ARANESP 10 MCG/0.4 ML SYRINGE,Preferred
ERYTHROPOIESIS-STIMULATING AGENTS,Aranesp Anemia associated with chronic kidney disease if patient is on dialysis,ARANESP 10 MCG/0.4 ML SYRINGE,Preferred
ERYTHROPOIESIS-STIMULATING AGENTS,Aranesp syringe,ARANESP 10 MCG/0.4 ML SYRINGE,Preferred
ERYTHROPOIESIS-STIMULATING AGENTS,Aranesp vial,ARANESP 100 MCG/ML VIAL,Preferred
"ANTIPSYCHOTICS, ATYP, D2 PARTIAL AGONIST/5HT MIXED",Aripiprazole oral solution,ARIPIPRAZOLE 1 MG/ML SOLUTION,Preferred
"ANTIPSYCHOTICS, ATYP, D2 PARTIAL AGONIST/5HT MIXED",Aripiprazole tablet,ARIPIPRAZOLE 20 MG TABLET,Preferred
"ANTIPSYCHOTICS, ATYP, D2 PARTIAL AGONIST/5HT MIXED",Aristada,ARISTADA ER 662 MG/2.4 ML SYRN,Preferred
"ANTIPSYCHOTICS, ATYP, D2 PARTIAL AGONIST/5HT MIXED",Aristada Initio,ARISTADA INITIO ER 675 MG/2.4,Preferred
THYROID HORMONES,Armour Thyroid,ARMOUR THYROID 300 MG TABLET,Preferred
"GLUCOCORTICOIDS, ORALLY INHALED",Arnuity Ellipta,ARNUITY ELLIPTA 200 MCG INH,Preferred
"GLUCOCORTICOIDS, ORALLY INHALED",Asmanex HFA,ASMANEX HFA 50 MCG INHALER,Preferred
"GLUCOCORTICOIDS, ORALLY INHALED",Asmanex Twisthaler,ASMANEX TWISTHALER 220 MCG #14,Preferred
PLATELET AGGREGATION INHIBITORS,Aspirin / Dipyridamole,ASPIRIN-DIPYRIDAM ER 25-200 MG,Preferred
DRUGS TO TREAT MOVEMENT DISORDERS,Austedo,AUSTEDO 6 MG TABLET,Preferred
DRUGS TO TREAT MOVEMENT DISORDERS,Austedo Huntington's Disease,AUSTEDO 12 MG TABLET,Preferred
DRUGS TO TREAT MOVEMENT DISORDERS,Austedo Tardive Dyskinesia,AUSTEDO 12 MG TABLET,Preferred
