Therapeutic Category,Brand Name,Generic Name,Min Age,Max Age,PA Required
DIGITALIS GLYCOSIDES,DIGOXIN 0.05 MG/ML SOLUTION,DIGOXIN,Error,999,No
DIGITALIS GLYCOSIDES,DIGOXIN 0.125 MG TABLET,DIGOXIN,0,999,No
DIGITALIS GLYCOSIDES,DIGOXIN 0.25 MG TABLET,DIGOXIN,0,999,No
DIGITALIS GLYCOSIDES,DIGOXIN 125 MCG TABLET,DIGOXIN,0,999,No
DIGITALIS GLYCOSIDES,DIGOXIN 250 MCG TABLET,DIGOXIN,0,999,No
XANTHINES,CAFFEINE CIT 60 MG/3 ML ORAL,CAFFEINE CITRATE,0,999,No
XANTHINES,CAFFEINE CIT 60 MG/3 ML VIAL,CAFFEINE CITRATE,0,999,No
XANTHINES,THEO-24 ER 100 MG CAPSULE,THEOPHYLLINE ANHYDROUS,0,999,No
XANTHINES,THEO-24 ER 200 MG CAPSULE,THEOPHYLLINE ANHYDROUS,0,999,No
XANTHINES,THEO-24 ER 300 MG CAPSULE,THEOPHYLLINE ANHYDROUS,0,999,No
XANTHINES,THEO-24 ER 400 MG CAPSULE,THEOPHYLLINE ANHYDROUS,0,999,No
XANTHINES,THEOPHYLLINE 80 MG/15 ML CUP,THEOPHYLLINE ANHYDROUS,0,999,No
XANTHINES,THEOPHYLLINE 80 MG/15 ML SOLN,THEOPHYLLINE ANHYDROUS,0,999,No
XANTHINES,THEOPHYLLINE ER 100 MG TABLET,THEOPHYLLINE ANHYDROUS,0,999,No
XANTHINES,THEOPHYLLINE ER 200 MG TABLET,THEOPHYLLINE ANHYDROUS,0,999,No
XANTHINES,THEOPHYLLINE ER 300 MG TABLET,THEOPHYLLINE ANHYDROUS,0,999,No
XANTHINES,THEOPHYLLINE ER 400 MG TABLET,THEOPHYLLINE ANHYDROUS,0,999,No
XANTHINES,THEOPHYLLINE ER 450 MG TABLET,THEOPHYLLINE ANHYDROUS,0,999,No
XANTHINES,THEOPHYLLINE ER 600 MG TABLET,THEOPHYLLINE ANHYDROUS,0,999,No
INOTROPIC DRUGS,"DOBUTAMINE 1,000 MG/250 ML D5W",DOBUTAMINE HCL IN DEXTROSE 5 %,0,999,No
INOTROPIC DRUGS,DOBUTAMINE 250 MG/20 ML VIAL,DOBUTAMINE HCL,0,999,No
INOTROPIC DRUGS,DOBUTAMINE 250 MG/250 ML-D5W,DOBUTAMINE HCL IN DEXTROSE 5 %,0,999,No
INOTROPIC DRUGS,DOBUTAMINE 500 MG/250 ML D5W,DOBUTAMINE HCL IN DEXTROSE 5 %,0,999,No
INOTROPIC DRUGS,MILRINONE LACT 10 MG/10 ML VL,MILRINONE LACTATE,0,999,No
INOTROPIC DRUGS,MILRINONE LACT 20 MG/20 ML VL,MILRINONE LACTATE,0,999,No
INOTROPIC DRUGS,MILRINONE LACT 50 MG/50 ML VL,MILRINONE LACTATE,0,999,No
INOTROPIC DRUGS,MILRINONE-D5W 20 MG/100 ML,MILRINONE LACTATE/D5W,0,999,No
INOTROPIC DRUGS,MILRINONE-D5W 40 MG/200 ML,MILRINONE LACTATE/D5W,0,999,No
ANTIARRHYTHMICS,AMIODARONE HCL 100 MG TABLET,AMIODARONE HCL,0,999,No
ANTIARRHYTHMICS,AMIODARONE HCL 200 MG TABLET,AMIODARONE HCL,0,999,No
ANTIARRHYTHMICS,AMIODARONE HCL 400 MG TABLET,AMIODARONE HCL,0,999,No
ANTIARRHYTHMICS,DOFETILIDE 125 MCG CAPSULE,DOFETILIDE,0,999,No
ANTIARRHYTHMICS,DOFETILIDE 250 MCG CAPSULE,DOFETILIDE,0,999,No
ANTIARRHYTHMICS,DOFETILIDE 500 MCG CAPSULE,DOFETILIDE,0,999,No
ANTIARRHYTHMICS,FLECAINIDE ACETATE 100 MG TAB,FLECAINIDE ACETATE,0,999,No
ANTIARRHYTHMICS,FLECAINIDE ACETATE 150 MG TAB,FLECAINIDE ACETATE,0,999,No
ANTIARRHYTHMICS,FLECAINIDE ACETATE 50 MG TAB,FLECAINIDE ACETATE,0,999,No
ANTIARRHYTHMICS,MEXILETINE 150 MG CAPSULE,MEXILETINE HCL,0,999,No
ANTIARRHYTHMICS,MEXILETINE 200 MG CAPSULE,MEXILETINE HCL,0,999,No
ANTIARRHYTHMICS,MEXILETINE 250 MG CAPSULE,MEXILETINE HCL,0,999,No
ANTIARRHYTHMICS,PROPAFENONE HCL 150 MG TABLET,PROPAFENONE HCL,0,999,No
ANTIARRHYTHMICS,PROPAFENONE HCL 225 MG TAB,PROPAFENONE HCL,0,999,No
ANTIARRHYTHMICS,PROPAFENONE HCL 300 MG TAB,PROPAFENONE HCL,0,999,No
"ANTIANGINAL, ANTI-ISCHEMIC AGENTS,NON-HEMODYNAMIC","RANOLAZINE ER 1,000 MG TABLET",RANOLAZINE,0,999,No
"ANTIANGINAL, ANTI-ISCHEMIC AGENTS,NON-HEMODYNAMIC",RANOLAZINE ER 500 MG TABLET,RANOLAZINE,0,999,No
"ANTIHYPERTENSIVES, VASODILATORS",HYDRALAZINE 10 MG TABLET,HYDRALAZINE HCL,0,999,No
"ANTIHYPERTENSIVES, VASODILATORS",HYDRALAZINE 100 MG TABLET,HYDRALAZINE HCL,0,999,No
"ANTIHYPERTENSIVES, VASODILATORS",HYDRALAZINE 25 MG TABLET,HYDRALAZINE HCL,0,999,No
"ANTIHYPERTENSIVES, VASODILATORS",HYDRALAZINE 50 MG TABLET,HYDRALAZINE HCL,0,999,No
"ANTIHYPERTENSIVES, VASODILATORS",MINOXIDIL 10 MG TABLET,MINOXIDIL,0,999,No
"ANTIHYPERTENSIVES, VASODILATORS",MINOXIDIL 2.5 MG TABLET,MINOXIDIL,0,999,No
"ANTIHYPERTENSIVES, SYMPATHOLYTIC",CLONIDINE 0.1 MG/DAY PATCH,CLONIDINE,0,999,No
"ANTIHYPERTENSIVES, SYMPATHOLYTIC",CLONIDINE 0.2 MG/DAY PATCH,CLONIDINE,0,999,No
"ANTIHYPERTENSIVES, SYMPATHOLYTIC",CLONIDINE 0.3 MG/DAY PATCH,CLONIDINE,0,999,No
"ANTIHYPERTENSIVES, SYMPATHOLYTIC",CLONIDINE HCL 0.1 MG TABLET,CLONIDINE HCL,0,999,No
"ANTIHYPERTENSIVES, SYMPATHOLYTIC",CLONIDINE HCL 0.2 MG TABLET,CLONIDINE HCL,0,999,No
"ANTIHYPERTENSIVES, SYMPATHOLYTIC",CLONIDINE HCL 0.3 MG TABLET,CLONIDINE HCL,0,999,No
"ANTIHYPERTENSIVES, SYMPATHOLYTIC",GUANFACINE 1 MG TABLET,GUANFACINE HCL,0,999,No
"ANTIHYPERTENSIVES, SYMPATHOLYTIC",GUANFACINE 2 MG TABLET,GUANFACINE HCL,0,999,No
"ANTIHYPERTENSIVES, ACE INHIBITORS",BENAZEPRIL HCL 10 MG TABLET,BENAZEPRIL HCL,0,999,No
"ANTIHYPERTENSIVES, ACE INHIBITORS",BENAZEPRIL HCL 20 MG TABLET,BENAZEPRIL HCL,0,999,No
"ANTIHYPERTENSIVES, ACE INHIBITORS",BENAZEPRIL HCL 40 MG TABLET,BENAZEPRIL HCL,0,999,No
"ANTIHYPERTENSIVES, ACE INHIBITORS",BENAZEPRIL HCL 5 MG TABLET,BENAZEPRIL HCL,0,999,No
"ANTIHYPERTENSIVES, ACE INHIBITORS",ENALAPRIL 1 MG/ML ORAL SOLN,ENALAPRIL MALEATE,0,12,No
"ANTIHYPERTENSIVES, ACE INHIBITORS",ENALAPRIL MALEATE 10 MG TAB,ENALAPRIL MALEATE,0,999,No
"ANTIHYPERTENSIVES, ACE INHIBITORS",ENALAPRIL MALEATE 2.5 MG TAB,ENALAPRIL MALEATE,0,999,No
"ANTIHYPERTENSIVES, ACE INHIBITORS",ENALAPRIL MALEATE 20 MG TAB,ENALAPRIL MALEATE,0,999,No
