pdl_name,status,therapeutic_class
amoxicillin 775mg generic,Non-Preferred,ANTIINFECTIVES
"amox/clavulanate IR tabs, susp generic",Preferred,ANTIINFECTIVES
amox/clavulanate chew tabs,Non-Preferred,ANTIINFECTIVES
amox/clavulanate 250-125mg tabs generic,Non-Preferred,ANTIINFECTIVES
amox/clavulanate ER tabs generic,Non-Preferred,ANTIINFECTIVES
amox/clavulanate 250-62.5mg/5ml susp generic,Non-Preferred,ANTIINFECTIVES
ampicillin/sulbactam inj. generic,Preferred,ANTIINFECTIVES
ARIKAYCE,Preferred,ANTIINFECTIVES
AUGMENTIN 125mg/5ml SUSPENSION,Non-Preferred,ANTIINFECTIVES
AVYCAZ,Non-Preferred,ANTIINFECTIVES
AZACTAM,Non-Preferred,ANTIINFECTIVES
azithromycin generic,Preferred,ANTIINFECTIVES
aztreonam generic,Preferred,ANTIINFECTIVES
BETHKIS,Preferred,ANTIINFECTIVES
CAYSTON,Preferred,ANTIINFECTIVES
cefaclor er generic,Non-Preferred,ANTIINFECTIVES
cefaclor caps generic,Preferred,ANTIINFECTIVES
"cefadroxil caps, suspension generic",Preferred,ANTIINFECTIVES
cefadroxil tabs generic,Non-Preferred,ANTIINFECTIVES
cefazolin iv generic,Preferred,ANTIINFECTIVES
"cefazolin 2gm,-3gm inj. generic",Preferred,ANTIINFECTIVES
cefdinir,Preferred,ANTIINFECTIVES
cefixime suspension generic,Non-Preferred,ANTIINFECTIVES
ceftriaxone generic,Preferred,ANTIINFECTIVES
cefpodoxime generic,Non-Preferred,ANTIINFECTIVES
cefprozil generic,Preferred,ANTIINFECTIVES
cefuroxime generic tabs,Preferred,ANTIINFECTIVES
cefuroxime generic susp,Preferred,ANTIINFECTIVES
cephalexin caps generic,Preferred,ANTIINFECTIVES
cephalexin tabs generic,Non-Preferred,ANTIINFECTIVES
cephalexin 750mg generic,Non-Preferred,ANTIINFECTIVES
CIPRO SUSPENSION,Preferred,ANTIINFECTIVES
ciprofloxacin/SR generic,Preferred,ANTIINFECTIVES
ciprofloxacin suspension generic,Preferred,ANTIINFECTIVES
clarithromycin/ER generic,Preferred,ANTIINFECTIVES
clarithromycin susp.,Preferred,ANTIINFECTIVES
CLEOCIN 75MG CAPS,Preferred,ANTIINFECTIVES
clindamycin caps generic,Preferred,ANTIINFECTIVES
clindamycin for oral solution generic,Preferred,ANTIINFECTIVES
clindamycin in D5W injection generic,Preferred,ANTIINFECTIVES
clindamycin in NaCl 0.9% injection generic,Preferred,ANTIINFECTIVES
clindamycin injection 150MG/ML (900MG/6ML) generic,Preferred,ANTIINFECTIVES
demeclocycline generic,Non-Preferred,ANTIINFECTIVES
DIFICID,Non-Preferred,ANTIINFECTIVES
"DORYX, -MPC",Non-Preferred,ANTIINFECTIVES
"doxycycline hyclate 20mg, 100mg generic",Preferred,ANTIINFECTIVES
"doxycycline hyclate 75mg, 150mg generic",Non-Preferred,ANTIINFECTIVES
doxycycline hyclate delayed release tabs,Non-Preferred,ANTIINFECTIVES
"doxycycline monohydrate 50mg, 100mg caps, 75mg, 
100mg, 150mg tabs generic",Preferred,ANTIINFECTIVES
generic,Non-Preferred,ANTIINFECTIVES
doxycycline suspension generic,Preferred,ANTIINFECTIVES
DYNAPEN SUSP,Preferred,ANTIINFECTIVES
ERYPED 400mg/5ml suspension,Non-Preferred,ANTIINFECTIVES
ERY-TAB,Non-Preferred,ANTIINFECTIVES
ERYTHROCIN CAPS,Non-Preferred,ANTIINFECTIVES
ERYTHROCIN INJ.,Preferred,ANTIINFECTIVES
"erythromycin cap, tab generic",Non-Preferred,ANTIINFECTIVES
erythromycin ethylsuccinate susp. 200mg/5ml generic,Non-Preferred,ANTIINFECTIVES
erythromycin ethylsuccinate/E.E.S. 400mg tab generic,Non-Preferred,ANTIINFECTIVES
FLAGYL CAPS,Non-Preferred,ANTIINFECTIVES
GANTRISIN PEDIATRIC,Preferred,ANTIINFECTIVES
KITABIS PAK,Preferred,ANTIINFECTIVES
levofloxacin injection 25mg/ml generic,Non-Preferred,ANTIINFECTIVES
levofloxacin in D5W (generic Levaquin Premix),Preferred,ANTIINFECTIVES
levofloxacin solution generic,Non-Preferred,ANTIINFECTIVES
levofloxacin tabs generic,Preferred,ANTIINFECTIVES
LIKMEZ  SUSP.,Non-Preferred,ANTIINFECTIVES
LINCOCIN,Preferred,ANTIINFECTIVES
metronidazole IR tabs generic,Preferred,ANTIINFECTIVES
metronidazole caps generic,Non-Preferred,ANTIINFECTIVES
minocycline caps generic,Preferred,ANTIINFECTIVES
minocycline er caps (Ximino generic),Non-Preferred,ANTIINFECTIVES
"minocycline IR, SR tab generic",Non-Preferred,ANTIINFECTIVES
MINOLIRA,Non-Preferred,ANTIINFECTIVES
MORGIDOX KIT,Non-Preferred,ANTIINFECTIVES
MOXATAG,Non-Preferred,ANTIINFECTIVES
moxifloxacin generic,Preferred,ANTIINFECTIVES
nitrofurantoin caps generic,Preferred,ANTIINFECTIVES
nitrofurantoin  suspension generic,Non-Preferred,ANTIINFECTIVES
NUZYRA INJ.,Non-Preferred,ANTIINFECTIVES
NUZYRA TABS,Non-Preferred,ANTIINFECTIVES
ofloxacin generic,Preferred,ANTIINFECTIVES
paromomycin generic,Non-Preferred,ANTIINFECTIVES
piperacillin generic,Preferred,ANTIINFECTIVES
piperacillin sodium-tazobactam sodium generic,Preferred,ANTIINFECTIVES
SOLODYN,Non-Preferred,ANTIINFECTIVES
SOLOSEC,Non-Preferred,ANTIINFECTIVES
SPECTRACEF,Non-Preferred,ANTIINFECTIVES
streptomycin inj. generic,Preferred,ANTIINFECTIVES
sulfadiazine tab generic,Non-Preferred,ANTIINFECTIVES
"sulfamethoxazole-trimethoprim susp. 200mg-
40mg/5ml generic (except 00121-0853-**)",Preferred,ANTIINFECTIVES
tetracycline caps generic,Preferred,ANTIINFECTIVES
TOBI PODHALER,Non-Preferred,ANTIINFECTIVES
tobramycin 40mg/ml inj. generic,Preferred,ANTIINFECTIVES
tobramycin nebulizer 300mg/5ml generic,Preferred,ANTIINFECTIVES
UNASYN 15GM,Non-Preferred,ANTIINFECTIVES
VIBRAMYCIN SYRUP,Preferred,ANTIINFECTIVES
"XENLETA inj., tab",Non-Preferred,ANTIINFECTIVES
ZERBAXA,Non-Preferred,ANTIINFECTIVES
ZOSYN,Preferred,ANTIINFECTIVES
"CORTISPORIN CREAM, -OINT.",Preferred,ANTIINFECTIVES
"gentamicin cream, -oint. generic",Preferred,ANTIINFECTIVES
mupirocin cream generic,Non-Preferred,ANTIINFECTIVES
mupirocin ointment generic,Preferred,ANTIINFECTIVES
XEPI,Non-Preferred,ANTIINFECTIVES
cycloserine generic,Preferred,ANTIINFECTIVES
ethambutol generic,Preferred,ANTIINFECTIVES
isoniazid generic,Preferred,ANTIINFECTIVES
PRETOMANID,Preferred,ANTIINFECTIVES
PRIFTIN,Preferred,ANTIINFECTIVES
pyrazinamide generic,Preferred,ANTIINFECTIVES
RIFAMATE,Preferred,ANTIINFECTIVES
rifampin generic,Preferred,ANTIINFECTIVES
RIFATER,Preferred,ANTIINFECTIVES
SIRTURO,Preferred,ANTIINFECTIVES
TRECATOR,Preferred,ANTIINFECTIVES
AMBISOME INJ.,Non-Preferred,ANTIINFECTIVES
BREXAFEMME,Non-Preferred,ANTIINFECTIVES
CANCIDAS INJ.,Non-Preferred,ANTIINFECTIVES
clotrimazole troche generic,Preferred,ANTIINFECTIVES
CRESEMBA CAPS,Non-Preferred,ANTIINFECTIVES
fluconazole generic,Preferred,ANTIINFECTIVES
fluconazole/nacl inj. generic,Preferred,ANTIINFECTIVES
fluconazole 150mg tab generic,Preferred,ANTIINFECTIVES
flucytosine generic,Non-Preferred,ANTIINFECTIVES
griseofulvin oral susp generic,Preferred,ANTIINFECTIVES
griseofulvin microsize tab generic,Non-Preferred,ANTIINFECTIVES
griseofulvin ultramicrosize tab generic,Non-Preferred,ANTIINFECTIVES
itraconazole generic,Preferred,ANTIINFECTIVES
micafungin vials generic,Preferred,ANTIINFECTIVES
NOXAFIL PAK,Non-Preferred,ANTIINFECTIVES
ONMEL,Non-Preferred,ANTIINFECTIVES
"posaconazole susp., tabs generic",Non-Preferred,ANTIINFECTIVES
REZZAYO,Non-Preferred,ANTIINFECTIVES
SPORANOX ORAL SOLUTION,Preferred,ANTIINFECTIVES
terbinafine tab generic,Preferred,ANTIINFECTIVES
VFEND SUSP,Non-Preferred,ANTIINFECTIVES
VIVJOA,Non-Preferred,ANTIINFECTIVES
voriconazole generic,Non-Preferred,ANTIINFECTIVES
BENSAL HP,Non-Preferred,ANTIINFECTIVES
"ciclopirox 0.77% cream, suspension generic",Preferred,ANTIINFECTIVES
ciclopirox gel/shampoo generic,Non-Preferred,ANTIINFECTIVES
ciclopirox nail lacquer,Preferred,ANTIINFECTIVES
ciclopirox 8% and vitamin E 5% kit,Non-Preferred,ANTIINFECTIVES
clotrimazole/betamethasone lotion generic,Non-Preferred,ANTIINFECTIVES
econazole generic,Preferred,ANTIINFECTIVES
ERTACZO,Non-Preferred,ANTIINFECTIVES
EXELDERM,Non-Preferred,ANTIINFECTIVES
EXTINA,Non-Preferred,ANTIINFECTIVES
GYNAZOLE,Non-Preferred,ANTIINFECTIVES
JUBLIA SOLN. 10%,Non-Preferred,ANTIINFECTIVES
KERYDIN,Non-Preferred,ANTIINFECTIVES
ketoconazole aer 2% foam generic,Non-Preferred,ANTIINFECTIVES
"ketoconazole cream, shampoo",Preferred,ANTIINFECTIVES
ketocon plus kit generic,Non-Preferred,ANTIINFECTIVES
miconazole 3 vaginal suppository generic,Preferred,ANTIINFECTIVES
LOPROX KIT,Non-Preferred,ANTIINFECTIVES
LUZU,Non-Preferred,ANTIINFECTIVES
MENTAX,Non-Preferred,ANTIINFECTIVES
naftifine cream generic,Non-Preferred,ANTIINFECTIVES
NAFTIN GEL,Non-Preferred,ANTIINFECTIVES
nystatin cream,Preferred,ANTIINFECTIVES
nystatin/triamcinolone cream generic,Non-Preferred,ANTIINFECTIVES
nystatin/triamcinolone ointment generic,Preferred,ANTIINFECTIVES
OXISTAT,Non-Preferred,ANTIINFECTIVES
PEDIADERM AF KIT COMPLETE (covered < 21 yrs old),Non-Preferred,ANTIINFECTIVES
terconazole generic,Preferred,ANTIINFECTIVES
abacavir tabs generic,Preferred,ANTIINFECTIVES
abacavir soln. generic,Preferred,ANTIINFECTIVES
abacavir/lamivudine generic,Preferred,ANTIINFECTIVES
APTIVUS,Non-Preferred,ANTIINFECTIVES
APRETUDE,Preferred,ANTIINFECTIVES
atazanavir generic,Preferred,ANTIINFECTIVES
BIKTARVY,Preferred,ANTIINFECTIVES
CABENUVA,Preferred,ANTIINFECTIVES
CIMDUO,Preferred,ANTIINFECTIVES
COMPLERA,Non-Preferred,ANTIINFECTIVES
"darunivir 600mg, 800mg tabs generic",Preferred,ANTIINFECTIVES
DELSTRIGO,Preferred,ANTIINFECTIVES
DESCOVY,Preferred,ANTIINFECTIVES
DOVATO,Preferred,ANTIINFECTIVES
EDURANT,Preferred,ANTIINFECTIVES
efavirenz tabs generic,Preferred,ANTIINFECTIVES
efavirenz/emtricitabine/tenofovir disoproxil generic,Preferred,ANTIINFECTIVES
emtricitabine/tenofovir disoproxil fumarate generic,Preferred,ANTIINFECTIVES
EMTRIVA,Preferred,ANTIINFECTIVES
EPIVIR SOLN,Preferred,ANTIINFECTIVES
EVOTAZ,Preferred,ANTIINFECTIVES
FUZEON,Non-Preferred,ANTIINFECTIVES
GENVOYA,Preferred,ANTIINFECTIVES
INTELENCE,Non-Preferred,ANTIINFECTIVES
INVIRASE,Non-Preferred,ANTIINFECTIVES
"ISENTRESS, -HD",Preferred,ANTIINFECTIVES
JULUCA,Preferred,ANTIINFECTIVES
lamivudine soln. generic,Preferred,ANTIINFECTIVES
lamivudine generic,Preferred,ANTIINFECTIVES
lamivudine/zidovudine generic,Preferred,ANTIINFECTIVES
LEXIVA,Non-Preferred,ANTIINFECTIVES
lopinavir/ritonavir generic,Preferred,ANTIINFECTIVES
nevirapine suspension generic,Preferred,ANTIINFECTIVES
nevirapine tabs generic,Preferred,ANTIINFECTIVES
nevirapine er generic,Non-Preferred,ANTIINFECTIVES
NORVIR POWDER PACKETS,Preferred,ANTIINFECTIVES
NORVIR SOLN,Non-Preferred,ANTIINFECTIVES
ODEFSEY,Preferred,ANTIINFECTIVES
PIFELTRO,Non-Preferred,ANTIINFECTIVES
PREZCOBIX,Preferred,ANTIINFECTIVES
"PREZISTA 75mg, 150mg, suspension",Preferred,ANTIINFECTIVES
RESCRIPTOR,Preferred,ANTIINFECTIVES
REYATAZ POWDER PACKET,Non-Preferred,ANTIINFECTIVES
ritonavir tabs generic,Preferred,ANTIINFECTIVES
RUKOBIA,Non-Preferred,ANTIINFECTIVES
SELZENTRY,Non-Preferred,ANTIINFECTIVES
stavudine,Non-Preferred,ANTIINFECTIVES
STRIBILD,Non-Preferred,ANTIINFECTIVES
SUNLENCA TABS,Non-Preferred,ANTIINFECTIVES
SUSTIVA CAPS,Preferred,ANTIINFECTIVES
SYMFI,Non-Preferred,ANTIINFECTIVES
SYMFI LO,Non-Preferred,ANTIINFECTIVES
SYMTUZA,Preferred,ANTIINFECTIVES
TEMIXYS,Non-Preferred,ANTIINFECTIVES
tenofovir disoproxil fumarate 300mg tabs,Preferred,ANTIINFECTIVES
TIVICAY,Preferred,ANTIINFECTIVES
TIVICAY PD,Preferred,ANTIINFECTIVES
"TRIUMEQ, -PD",Preferred,ANTIINFECTIVES
TYBOST,Preferred,ANTIINFECTIVES
VIRACEPT,Non-Preferred,ANTIINFECTIVES
VIRAMUNE SUSPENSION,Preferred,ANTIINFECTIVES
"VIREAD POWDER, 150mg, 200mg, 250mg TABS",Preferred,ANTIINFECTIVES
zidovudine generic,Preferred,ANTIINFECTIVES
adefovir generic,Non-Preferred,ANTIINFECTIVES
BARACLUDE SOLN.,Preferred,ANTIINFECTIVES
entecavir generic,Preferred,ANTIINFECTIVES
EPCLUSA PAK,Non-Preferred,ANTIINFECTIVES
"HARVONI PAK, 45-200MG TAB",Non-Preferred,ANTIINFECTIVES
HEPSERA,Preferred,ANTIINFECTIVES
ledipasvir-sofosbuvir tab generic,Non-Preferred,ANTIINFECTIVES
MAVYRET,Preferred,ANTIINFECTIVES
"PEGASYS, -PROCLICK",Preferred,ANTIINFECTIVES
ribavirin 200mg generic,Preferred,ANTIINFECTIVES
sofosbuvir-velpatasvir 400-100mg generic,Preferred,ANTIINFECTIVES
SOVALDI,Non-Preferred,ANTIINFECTIVES
VEMLIDY,Non-Preferred,ANTIINFECTIVES
VOSEVI,Preferred,ANTIINFECTIVES
ZEPATIER,Non-Preferred,ANTIINFECTIVES
acyclovir generic,Preferred,ANTIINFECTIVES
lamivudine HBV generic,Preferred,ANTIINFECTIVES
famciclovir generic,Preferred,ANTIINFECTIVES
ganciclovir caps generic,Preferred,ANTIINFECTIVES
ganciclovir inj generic,Non-Preferred,ANTIINFECTIVES
LAGEVRIO,Preferred,ANTIINFECTIVES
LIVTENCITY,Non-Preferred,ANTIINFECTIVES
oseltamivir generic,Preferred,ANTIINFECTIVES
PAXLOVID,Preferred,ANTIINFECTIVES
PREVYMIS,Non-Preferred,ANTIINFECTIVES
RELENZA,Preferred,ANTIINFECTIVES
rimantadine generic,Non-Preferred,ANTIINFECTIVES
SITAVIG,Non-Preferred,ANTIINFECTIVES
valacyclovir generic,Preferred,ANTIINFECTIVES
valganciclovir tabs generic,Preferred,ANTIINFECTIVES
VALCYTE SOLN,Preferred,ANTIINFECTIVES
XOFLUZA,Non-Preferred,ANTIINFECTIVES
acyclovir ointment generic,Non-Preferred,ANTIINFECTIVES
DENAVIR CREAM,Non-Preferred,ANTIINFECTIVES
VEREGEN OINTMENT,Non-Preferred,ANTIINFECTIVES
XERESE CREAM,Non-Preferred,ANTIINFECTIVES
ZOVIRAX CREAM,Preferred,ANTIINFECTIVES
albendazole generic,Preferred,ANTIINFECTIVES
atovaquone generic,Preferred,ANTIINFECTIVES
atovaquone-proguanil generic,Non-Preferred,ANTIINFECTIVES
BAXDELA,Non-Preferred,ANTIINFECTIVES
benznidazole generic,Preferred,ANTIINFECTIVES
chloroquine phosphate generic,Preferred,ANTIINFECTIVES
COARTEM,Non-Preferred,ANTIINFECTIVES
DALVANCE,Non-Preferred,ANTIINFECTIVES
dapsone tabs generic,Preferred,ANTIINFECTIVES
daptomycin iv soln. generic,Preferred,ANTIINFECTIVES
daptomycin-nacl iv soln. generic,Preferred,ANTIINFECTIVES
DARAPRIM,Preferred,ANTIINFECTIVES
EMVERM,Non-Preferred,ANTIINFECTIVES
ertapenem generic,Preferred,ANTIINFECTIVES
FETROJA,Non-Preferred,ANTIINFECTIVES
FIRVANQ,Non-Preferred,ANTIINFECTIVES
hydroxychloroquine sulfate generic,Preferred,ANTIINFECTIVES
imipenem-cilastatin generic,Non-Preferred,ANTIINFECTIVES
ivermectin tabs generic,Preferred,ANTIINFECTIVES
KRINTAFEL,Preferred,ANTIINFECTIVES
LAMPIT,Preferred,ANTIINFECTIVES
"linezolid iv soln., suspension generic",Non-Preferred,ANTIINFECTIVES
linezolid tabs generic,Preferred,ANTIINFECTIVES
MALARONE,Non-Preferred,ANTIINFECTIVES
mefloquine hydrochloride generic,Preferred,ANTIINFECTIVES
meropenem generic,Preferred,ANTIINFECTIVES
meropenem/sodium chloride IV soln. generic,Non-Preferred,ANTIINFECTIVES
MINTEZOL,Preferred,ANTIINFECTIVES
NEBUPENT,Preferred,ANTIINFECTIVES
nitazoxanide tabs generic,Non-Preferred,ANTIINFECTIVES
PRIMAXIN,Preferred,ANTIINFECTIVES
QUALAQUIN,Non-Preferred,ANTIINFECTIVES
quinine sulfate generic,Non-Preferred,ANTIINFECTIVES
rifabutin generic,Preferred,ANTIINFECTIVES
SIVEXTRO,Non-Preferred,ANTIINFECTIVES
STROMECTOL,Non-Preferred,ANTIINFECTIVES
TEFLARO,Non-Preferred,ANTIINFECTIVES
tinidazole generic,Preferred,ANTIINFECTIVES
TYGACIL,Non-Preferred,ANTIINFECTIVES
"vancomycin caps, inj. generic",Preferred,ANTIINFECTIVES
VIBATIV,Non-Preferred,ANTIINFECTIVES
XIFAXAN,Non-Preferred,ANTIINFECTIVES
"ZYVOX IV SOLN., ORAL SUSP.",Preferred,ANTIINFECTIVES
"adalimumab-fkjp (20/0.4ML, 40/0.8ML)",Preferred,IMMUNOSUPPRESSANT DRUGS
ADBRY,Preferred,IMMUNOSUPPRESSANT DRUGS
AFINITOR DISPERZ,Preferred,IMMUNOSUPPRESSANT DRUGS
AGRYLIN,Preferred,IMMUNOSUPPRESSANT DRUGS
AKEEGA,Preferred,IMMUNOSUPPRESSANT DRUGS
ALECENSA,Preferred,IMMUNOSUPPRESSANT DRUGS
ALUNBRIG,Preferred,IMMUNOSUPPRESSANT DRUGS
"AMJEVITA (10/0.2ML, 20/0.4ML, 40/0.8ML)",Non-Preferred,IMMUNOSUPPRESSANT DRUGS
"AMJEVITA 20/0.2ML, 40/0.4ML, 80/0.8ML (Amgen labeler 55513 only)",Preferred,IMMUNOSUPPRESSANT DRUGS
anastrozole generic,Preferred,IMMUNOSUPPRESSANT DRUGS
ARCALYST,Preferred,IMMUNOSUPPRESSANT DRUGS
ASTAGRAF XL,Non-Preferred,IMMUNOSUPPRESSANT DRUGS
AUGTYRO,Preferred,IMMUNOSUPPRESSANT DRUGS
AYVAKIT,Preferred,IMMUNOSUPPRESSANT DRUGS
BALVERSA,Preferred,IMMUNOSUPPRESSANT DRUGS
BIMZELX,Non-Preferred,IMMUNOSUPPRESSANT DRUGS
BYNFEZIA,Non-Preferred,IMMUNOSUPPRESSANT DRUGS
bicalutamide,Preferred,IMMUNOSUPPRESSANT DRUGS
BOSULIF,Preferred,IMMUNOSUPPRESSANT DRUGS
BRAFTOVI,Preferred,IMMUNOSUPPRESSANT DRUGS
BRUKINSA,Preferred,IMMUNOSUPPRESSANT DRUGS
CABOMETYX,Preferred,IMMUNOSUPPRESSANT DRUGS
CALQUENCE TABS,Preferred,IMMUNOSUPPRESSANT DRUGS
CAMCEVI,Non-Preferred,IMMUNOSUPPRESSANT DRUGS
capecitabine generic,Preferred,IMMUNOSUPPRESSANT DRUGS
CAPRELSA,Non-Preferred,IMMUNOSUPPRESSANT DRUGS
CELLCEPT IV INJ,Preferred,IMMUNOSUPPRESSANT DRUGS
