therapeutic_class,capsule_name,pdl_name,status
AUTONOMIC AND CNS MEDICATIONS,Abilify Asimtufii,ABILIFY ASIMTUFII,Preferred
AUTONOMIC AND CNS MEDICATIONS,Abilify Maintena,ABILIFY MAINTENA,Preferred
AUTONOMIC AND CNS MEDICATIONS,Abilify MyCite,ABILIFY MYCITE,Non-Preferred
DERMATOLOGICAL MEDICATIONS,Absorica LD capsule,"ABSORICA, -LD",Non-Preferred
CARDIOVASCULAR MEDICATIONS,Adempas,ADEMPAS,Non-Preferred
ENDOCRINE MEDICATIONS,Adlyxin,ADLYXIN,Non-Preferred
RESPIRATORY MEDICATIONS,Advair Diskus,ADVAIR DISKUS,Preferred
RESPIRATORY MEDICATIONS,Advair HFA 12 gm,ADVAIR HFA (12gm package size),Preferred
NUTRITION / BLOOD MODIFIERS / ELECTROLYTES,Advate,ADVATE,Preferred
NUTRITION / BLOOD MODIFIERS / ELECTROLYTES,Adynovate,ADYNOVATE,Non-Preferred
IMMUNOSUPPRESSANT DRUGS,Afinitor Disperz,AFINITOR DISPERZ,Preferred
NUTRITION / BLOOD MODIFIERS / ELECTROLYTES,Afstyla,AFSTYLA,Preferred
AUTONOMIC AND CNS MEDICATIONS,Aimovig,AIMOVIG,Preferred
RESPIRATORY MEDICATIONS,Airduo Respiclick,AIRDUO RESPICLICK,Non-Preferred
RESPIRATORY MEDICATIONS,Airsupra HFA,AIRSUPRA,Non-Preferred
AUTONOMIC AND CNS MEDICATIONS,Ajovy,AJOVY,Preferred
IMMUNOSUPPRESSANT DRUGS,Akeega,AKEEGA,Preferred
IMMUNOSUPPRESSANT DRUGS,Alecensa,ALECENSA,Preferred
ENDOCRINE MEDICATIONS,Alogliptin / Metformin tablet,alogliptin-metformin generic,Non-Preferred
ENDOCRINE MEDICATIONS,Alogliptin / Pioglitazone tablet,alogliptin-pioglitazone generic,Non-Preferred
ENDOCRINE MEDICATIONS,Alogliptin Benzoate tablet,alogliptin generic,Non-Preferred
OPHTHALMIC MEDICATIONS,Alphagan P 0.1%,ALPHAGAN-P 0.1%,Preferred
NUTRITION / BLOOD MODIFIERS / ELECTROLYTES,Alprolix,ALPROLIX,Non-Preferred
NUTRITION / BLOOD MODIFIERS / ELECTROLYTES,Altuviiio,ALTUVIIIO,Non-Preferred
IMMUNOSUPPRESSANT DRUGS,Alunbrig,ALUNBRIG,Preferred
RESPIRATORY MEDICATIONS,Alvesco,ALVESCO,Non-Preferred
AUTONOMIC AND CNS MEDICATIONS,Ambien,AMBIEN,Non-Preferred
CARDIOVASCULAR MEDICATIONS,Ambrisentan,ambrisentan generic,Preferred
CARDIOVASCULAR MEDICATIONS,Amlodipine tablet,amlodipine,Preferred
MUSCULOSKELETAL MEDICATIONS,Amrix,AMRIX,Non-Preferred
OBSTETRICAL & GYNECOLOGICAL MEDICATIONS,Annovera,ANNOVERA,Non-Preferred
RESPIRATORY MEDICATIONS,Anoro Ellipta,ANORO ELLIPTA,Preferred
ENDOCRINE MEDICATIONS,Apidra,APIDRA,Non-Preferred
ENDOCRINE MEDICATIONS,Apidra SoloStar,APIDRA SOLOSTAR,Non-Preferred
AUTONOMIC AND CNS MEDICATIONS,Aplenzin,APLENZIN,Non-Preferred
AUTONOMIC AND CNS MEDICATIONS,Aptiom,APTIOM,Preferred
ANTIINFECTIVES,Aptivus,APTIVUS,Non-Preferred
AUTONOMIC AND CNS MEDICATIONS,Aqneursa oral suspension,AQNEURSA,Preferred
IMMUNOLOGICALS,Aranesp,ARANESP,Non-Preferred
ANTIINFECTIVES,Arikayce,ARIKAYCE,Preferred
AUTONOMIC AND CNS MEDICATIONS,Aripiprazole ODT,aripiprazole odt generic,Non-Preferred
AUTONOMIC AND CNS MEDICATIONS,Aripiprazole oral solution,aripiprazole oral soln. generic,Preferred
AUTONOMIC AND CNS MEDICATIONS,Aripiprazole tablet,aripiprazole tabs generic,Preferred
