therapeutic_class,capsule_name,pdl_name
AUTONOMIC AND CNS MEDICATIONS,Abilify Asimtufii,ABILIFY ASIMTUFII
AUTONOMIC AND CNS MEDICATIONS,Abilify Maintena,ABILIFY MAINTENA
AUTONOMIC AND CNS MEDICATIONS,Abilify MyCite,ABILIFY MYCITE
GASTROINTESTINAL MEDICATIONS,Aciphex,ACIPHEX SPRINKLES
MUSCULOSKELETAL MEDICATIONS,Actemra prefilled syringe,ACTEMRA
MUSCULOSKELETAL MEDICATIONS,Actemra vial,ACTEMRA
IMMUNOSUPPRESSANT DRUGS,Adbry,ADBRY
CARDIOVASCULAR MEDICATIONS,Adempas,ADEMPAS
ENDOCRINE MEDICATIONS,Adlyxin,ADLYXIN
RESPIRATORY MEDICATIONS,Advair Diskus,ADVAIR DISKUS
RESPIRATORY MEDICATIONS,Advair HFA,ADVAIR HFA (12gm package size)
NUTRITION / BLOOD MODIFIERS / ELECTROLYTES,Advate,ADVATE
NUTRITION / BLOOD MODIFIERS / ELECTROLYTES,Adynovate,ADYNOVATE
NUTRITION / BLOOD MODIFIERS / ELECTROLYTES,Afstyla,AFSTYLA
AUTONOMIC AND CNS MEDICATIONS,Aimovig,AIMOVIG
RESPIRATORY MEDICATIONS,Airduo Respiclick,AIRDUO RESPICLICK
RESPIRATORY MEDICATIONS,Airsupra HFA,AIRSUPRA
AUTONOMIC AND CNS MEDICATIONS,Ajovy,AJOVY
IMMUNOSUPPRESSANT DRUGS,Alecensa,ALECENSA
OPHTHALMIC MEDICATIONS,Alphagan P 0.001,ALPHAGAN-P 0.1%
NUTRITION / BLOOD MODIFIERS / ELECTROLYTES,Alprolix,ALPROLIX
NUTRITION / BLOOD MODIFIERS / ELECTROLYTES,Altuviiio,ALTUVIIIO
IMMUNOSUPPRESSANT DRUGS,Alunbrig,ALUNBRIG
RESPIRATORY MEDICATIONS,Alvesco,ALVESCO
AUTONOMIC AND CNS MEDICATIONS,Ambien,AMBIEN
AUTONOMIC AND CNS MEDICATIONS,Ambien CR,AMBIEN
CARDIOVASCULAR MEDICATIONS,Ambrisentan,ambrisentan generic
IMMUNOSUPPRESSANT DRUGS,Amjevita,AMJEVITA
IMMUNOSUPPRESSANT DRUGS,Amjevita High,AMJEVITA
IMMUNOSUPPRESSANT DRUGS,Amjevita Low,AMJEVITA
MUSCULOSKELETAL MEDICATIONS,Amrix,AMRIX
OBSTETRICAL & GYNECOLOGICAL MEDICATIONS,Annovera,ANNOVERA
RESPIRATORY MEDICATIONS,Anoro Ellipta,ANORO ELLIPTA
ENDOCRINE MEDICATIONS,Apidra,APIDRA
ENDOCRINE MEDICATIONS,Apidra SoloStar,APIDRA SOLOSTAR
AUTONOMIC AND CNS MEDICATIONS,Aplenzin,APLENZIN
AUTONOMIC AND CNS MEDICATIONS,Aptiom,APTIOM
IMMUNOSUPPRESSANT DRUGS,Arcalyst,ARCALYST
ANTIINFECTIVES,Arikayce,ARIKAYCE
AUTONOMIC AND CNS MEDICATIONS,Aripiprazole ODT,aripiprazole odt generic
AUTONOMIC AND CNS MEDICATIONS,Aripiprazole oral solution,aripiprazole oral soln. generic
AUTONOMIC AND CNS MEDICATIONS,Aripiprazole tablet,aripiprazole tabs generic
AUTONOMIC AND CNS MEDICATIONS,Aristada,ARISTADA
AUTONOMIC AND CNS MEDICATIONS,Aristada Initio,ARISTADA INITIO
ENDOCRINE MEDICATIONS,Armour Thyroid,ARMOUR THYROID
RESPIRATORY MEDICATIONS,Arnuity Ellipta,ARNUITY ELLIPTA
AUTONOMIC AND CNS MEDICATIONS,Asenapine,asenapine sl tabs generic
RESPIRATORY MEDICATIONS,Asmanex HFA,ASMANEX HFA
RESPIRATORY MEDICATIONS,Asmanex Twisthaler,ASMANEX TWISTHALER
IMMUNOSUPPRESSANT DRUGS,Augtyro capsule,AUGTYRO
NUTRITION / BLOOD MODIFIERS / ELECTROLYTES,Auryxia,AURYXIA
AUTONOMIC AND CNS MEDICATIONS,Austedo,"AUSTEDO, TITRATION KITS, -XR"
AUTONOMIC AND CNS MEDICATIONS,Austedo XR,"AUSTEDO, TITRATION KITS, -XR"
AUTONOMIC AND CNS MEDICATIONS,Austedo XR titration pack,"AUSTEDO, TITRATION KITS, -XR"
AUTONOMIC AND CNS MEDICATIONS,Auvelity,AUVELITY
RESPIRATORY MEDICATIONS,Auvi-Q 0.1 mg,AUVI-Q
RESPIRATORY MEDICATIONS,Auvi-Q 0.15 mg,AUVI-Q
RESPIRATORY MEDICATIONS,Auvi-Q 0.3 mg,AUVI-Q
AUTONOMIC AND CNS MEDICATIONS,Avonex auto-injector,AVONEX
AUTONOMIC AND CNS MEDICATIONS,Avonex prefilled syringe,AVONEX
AUTONOMIC AND CNS MEDICATIONS,Azstarys,AZSTARYS
MUSCULOSKELETAL MEDICATIONS,Baclofen solution,baclofen solution generic
MUSCULOSKELETAL MEDICATIONS,Baclofen tablet,"baclofen 10mg, 20mg generic"
AUTONOMIC AND CNS MEDICATIONS,Bafiertam,BAFIERTAM
AUTONOMIC AND CNS MEDICATIONS,Banzel oral suspension,BANZEL SUSPENSION
AUTONOMIC AND CNS MEDICATIONS,Banzel tablet,BANZEL TABS
ANTIINFECTIVES,Baraclude,BARACLUDE SOLN.
ENDOCRINE MEDICATIONS,Basaglar Kwikpen,BASAGLAR KWIKPEN
CARDIOVASCULAR MEDICATIONS,Benazepril,benazepril generic
NUTRITION / BLOOD MODIFIERS / ELECTROLYTES,Benefix,BENEFIX
IMMUNOLOGICALS,Benlysta,BENLYSTA SUBCUTANEOUS SOLN.
ANTIINFECTIVES,Bethkis,BETHKIS
RESPIRATORY MEDICATIONS,Bevespi Aerosphere,BEVESPI
ANTIINFECTIVES,Biktarvy,BIKTARVY
IMMUNOSUPPRESSANT DRUGS,Bimzelx,BIMZELX
RESPIRATORY MEDICATIONS,Breo Ellipta,BREO ELLIPTA
RESPIRATORY MEDICATIONS,Breztri Aerosphere,BREZTRI
AUTONOMIC AND CNS MEDICATIONS,Briviact,BRIVIACT
IMMUNOSUPPRESSANT DRUGS,Brukinsa,BRUKINSA
RESPIRATORY MEDICATIONS,Budesonide respules (inhalation suspension),budesonide inhalation susp
ENDOCRINE MEDICATIONS,Buphenyl powder,BUPHENYL
ENDOCRINE MEDICATIONS,Buphenyl tablet,BUPHENYL
ENDOCRINE MEDICATIONS,Bydureon Bcise,BYDUREON BCISE
ENDOCRINE MEDICATIONS,Bydureon Pen,BYDUREON BCISE
ENDOCRINE MEDICATIONS,Byetta,BYETTA
GASTROINTESTINAL MEDICATIONS,Bylvay,BYLVAY
NUTRITION / BLOOD MODIFIERS / ELECTROLYTES,Cablivi,CABLIVI
IMMUNOSUPPRESSANT DRUGS,Calquence,CALQUENCE TABS
CARDIOVASCULAR MEDICATIONS,Camzyos,CAMZYOS
CARDIOVASCULAR MEDICATIONS,Candesartan,candesartan generic
AUTONOMIC AND CNS MEDICATIONS,Caplyta,CAPLYTA
IMMUNOSUPPRESSANT DRUGS,Caprelsa,CAPRELSA
CARDIOVASCULAR MEDICATIONS,Captopril,captopril generic
ANTIINFECTIVES,Cayston,CAYSTON
OPHTHALMIC MEDICATIONS,Cequa,CEQUA
ENDOCRINE MEDICATIONS,Cerdelga,CERDELGA
ENDOCRINE MEDICATIONS,Cerezyme 400 Units,CEREZYME
GASTROINTESTINAL MEDICATIONS,Chenodal (Chenodiol) tablet,CHENODAL
GASTROINTESTINAL MEDICATIONS,Cholbam (Cholic Acid) capsule,CHOLBAM
IMMUNOSUPPRESSANT DRUGS,Cibinqo,CIBINQO
IMMUNOSUPPRESSANT DRUGS,Cimzia,CIMZIA
OBSTETRICAL & GYNECOLOGICAL MEDICATIONS,Cleocin Ovules / vaginal suppository,CLEOCIN SUPPOSITORY
OBSTETRICAL & GYNECOLOGICAL MEDICATIONS,Clindesse 2% prefilled applicator cream,CLINDESSE
AUTONOMIC AND CNS MEDICATIONS,Clobazam oral suspension,clobazam suspension generic
AUTONOMIC AND CNS MEDICATIONS,Clobazam tablet,clobazam tabs generic
AUTONOMIC AND CNS MEDICATIONS,Clozapine ODT,clozapine odt generic
AUTONOMIC AND CNS MEDICATIONS,Clozapine tablet,clozapine generic
OPHTHALMIC MEDICATIONS,Combigan,COMBIGAN 5ml
RESPIRATORY MEDICATIONS,Combivent Respimat (Ipratropium/Albuterol) inhalation aerosol solution,COMBIVENT RESPIMAT
ANTIINFECTIVES,Complera,COMPLERA
AUTONOMIC AND CNS MEDICATIONS,Copaxone (Glatiramer Acetate) 20 mg,COPAXONE KIT 20MG/ML
AUTONOMIC AND CNS MEDICATIONS,Copaxone (Glatiramer Acetate) 40 mg,COPAXONE 40MG/ML
IMMUNOSUPPRESSANT DRUGS,Cosentyx,"COSENTYX, -UNO"
GASTROINTESTINAL MEDICATIONS,Creon,CREON
ENDOCRINE MEDICATIONS,Crysvita,CRYSVITA
ANTIINFECTIVES,Descovy,DESCOVY
AUTONOMIC AND CNS MEDICATIONS,Diacomit capsule,DIACOMIT
AUTONOMIC AND CNS MEDICATIONS,Diacomit packet for oral suspension,DIACOMIT
AUTONOMIC AND CNS MEDICATIONS,Dimethyl Fumarate,dimethyl fumarate generic
NUTRITION / BLOOD MODIFIERS / ELECTROLYTES,Dojolvi,DOJOLVI
AUTONOMIC AND CNS MEDICATIONS,Donepezil ODT,"donepezil, -ODT generic"
AUTONOMIC AND CNS MEDICATIONS,Donepezil tablet,"donepezil, -ODT generic"
IMMUNOLOGICALS,Doptelet,DOPTELET
RESPIRATORY MEDICATIONS,Duaklir Pressair,DUAKLIR
RESPIRATORY MEDICATIONS,Dulera,DULERA (except 50-5mcg)
AUTONOMIC AND CNS MEDICATIONS,Duloxetine,"duloxetine 20mg, 30mg, 60mg generic"
IMMUNOSUPPRESSANT DRUGS,Dupixent,DUPIXENT
AUTONOMIC AND CNS MEDICATIONS,Duvyzat oral suspension,DUVYZAT
AUTONOMIC AND CNS MEDICATIONS,Dyanavel XR oral suspension,"DYANAVEL XR SUSP., -CHEW TABS"
AUTONOMIC AND CNS MEDICATIONS,Dyanavel XR tablet,"DYANAVEL XR SUSP., -CHEW TABS"
CARDIOVASCULAR MEDICATIONS,Edarbi,EDARBI
CARDIOVASCULAR MEDICATIONS,Edarbyclor,EDARBYCLOR
ENDOCRINE MEDICATIONS,Elelyso,ELELYSO
NUTRITION / BLOOD MODIFIERS / ELECTROLYTES,Eliquis,ELIQUIS
NUTRITION / BLOOD MODIFIERS / ELECTROLYTES,Eloctate,ELOCTATE
ENDOCRINE MEDICATIONS,Emflaza oral suspension,EMFLAZA
ENDOCRINE MEDICATIONS,Emflaza tablet,EMFLAZA
AUTONOMIC AND CNS MEDICATIONS,Emgality 100 mg,EMGALITY 100mg/ml
AUTONOMIC AND CNS MEDICATIONS,Emgality 120 mg,EMGALITY 120mg/ml
NUTRITION / BLOOD MODIFIERS / ELECTROLYTES,Empaveli,EMPAVELI
ANTIINFECTIVES,Emtriva capsule,EMTRIVA
