therapeutic_class,capsule_name,pdl_name,status
AUTONOMIC AND CNS MEDICATIONS,Abilify MyCite,ABILIFY MYCITE,Non-Preferred
AUTONOMIC AND CNS MEDICATIONS,Abilify Asimtufii,ABILIFY ASIMTUFII,Preferred
AUTONOMIC AND CNS MEDICATIONS,Abilify Maintena,ABILIFY MAINTENA,Preferred
GASTROINTESTINAL MEDICATIONS,Aciphex,ACIPHEX SPRINKLES,Non-Preferred
MUSCULOSKELETAL MEDICATIONS,Actemra prefilled syringe,ACTEMRA,Non-Preferred
MUSCULOSKELETAL MEDICATIONS,Actemra vial,ACTEMRA,Non-Preferred
IMMUNOSUPPRESSANT DRUGS,Adbry,ADBRY,Preferred
CARDIOVASCULAR MEDICATIONS,Adempas,ADEMPAS,Non-Preferred
ENDOCRINE MEDICATIONS,Adlyxin,ADLYXIN,Non-Preferred
RESPIRATORY MEDICATIONS,Advair Diskus,ADVAIR DISKUS,Preferred
RESPIRATORY MEDICATIONS,Advair HFA,ADVAIR HFA (12gm package size),Preferred
NUTRITION / BLOOD MODIFIERS / ELECTROLYTES,Advate,ADVATE,Preferred
NUTRITION / BLOOD MODIFIERS / ELECTROLYTES,Adynovate,ADYNOVATE,Non-Preferred
NUTRITION / BLOOD MODIFIERS / ELECTROLYTES,Afstyla,AFSTYLA,Preferred
AUTONOMIC AND CNS MEDICATIONS,Aimovig,AIMOVIG,Preferred
RESPIRATORY MEDICATIONS,Airduo Respiclick,AIRDUO RESPICLICK,Non-Preferred
RESPIRATORY MEDICATIONS,Airsupra HFA,AIRSUPRA,Non-Preferred
AUTONOMIC AND CNS MEDICATIONS,Ajovy,AJOVY,Preferred
IMMUNOSUPPRESSANT DRUGS,Alecensa,ALECENSA,Preferred
OPHTHALMIC MEDICATIONS,Alphagan P 0.001,ALPHAGAN-P 0.1%,Preferred
NUTRITION / BLOOD MODIFIERS / ELECTROLYTES,Alprolix,ALPROLIX,Non-Preferred
NUTRITION / BLOOD MODIFIERS / ELECTROLYTES,Altuviiio,ALTUVIIIO,Non-Preferred
IMMUNOSUPPRESSANT DRUGS,Alunbrig,ALUNBRIG,Preferred
RESPIRATORY MEDICATIONS,Alvesco,ALVESCO,Non-Preferred
AUTONOMIC AND CNS MEDICATIONS,Ambien,AMBIEN,Non-Preferred
AUTONOMIC AND CNS MEDICATIONS,Ambien CR,AMBIEN,Non-Preferred
CARDIOVASCULAR MEDICATIONS,Ambrisentan,ambrisentan generic,Preferred
