therapeutic_class,capsule_name,pdl_name
ANTIASTHMATIC - ADRENERGIC COMBOS,Airduo Digihaler,Airduo respiclick
Analgesics - Misc.,Aspirin / Dipyridamole,Aspirin
Analgesics - Misc.,Aspirin / Dipyridamole,Aspirin Buffered
Analgesics - Misc.,Aspirin / Dipyridamole,Butalbital-Aspirin-Caffeine
Narcotics - Misc.,Aspirin / Dipyridamole,Butalbital-Aspirin-Caffeine w/Cod
Diabetic- GLP-1 Receptor Agonists,Bydureon Pen,Bydureon bcise
Antiretrovirals - Rti - Nucleoside/Nucleotide Analogues,Epivir HBV oral solution,EPIVIR
Antiretrovirals - Rti - Nucleoside/Nucleotide Analogues,Epivir HBV tablet,EPIVIR
ANTIASTHMATIC - STEROID INHALANTS,Flovent HFA,Flovent Diskus
Antineoplastics - Topoisomerase I Inhibitors,Hycamtin vial,Hycamtin cap
ANTIARRHYTHMICS,iLet Bionic Pancreas System,Mexiletine HCl
Alzheimer - Cholinomimetics,One Touch Ultra 2 System,Donepezil Hydrochloride
Alzheimer - Cholinomimetics,One Touch Ultra 2 System,Donepezil Hydrochloride TABS HCL 23MG
Alzheimer - Cholinomimetics,One Touch Ultra 2 System,Donepezil ODT
Alzheimer - Cholinomimetics,One Touch Ultra 2 System,Memantine-donepezil er caps
Androgens - Anabolics,One Touch Ultra 2 System,DEPO-TESTOSTERONE
Androgens - Anabolics,One Touch Ultra 2 System,Oxandrolone
Androgens - Anabolics,One Touch Ultra 2 System,Testosterone Cypionate
Androgens - Anabolics,One Touch Ultra 2 System,Testosterone Enanthate
Androgens - Anabolics,One Touch Ultra 2 System,Methyltestosterone
Androgens - Anabolics,One Touch Ultra 2 System,Testosterone Gel 1.62%
Androgens -Topical,One Touch Ultra 2 System,TESTOSTERONE GEL
Androgens -Topical,One Touch Ultra 2 System,testosterone 1% pump
Androgens -Topical,One Touch Ultra 2 System,testosterone gel 10mg/act
Androgens -Topical,One Touch Ultra 2 System,TESTOSTERONE SOL
Androgens -Topical,One Touch Ultra 2 System,Testosterone 1% packets
ANORECTAL - MISC.,One Touch Ultra 2 System,Hydrocortisone (Intrarectal)
ANORECTAL - MISC.,One Touch Ultra 2 System,Hydrocortisone (Rectal)
ANORECTAL - MISC.,One Touch Ultra 2 System,Lidocaine-Hydrocortisone Acetate (Rectal)
ANTIARRHYTHMICS,One Touch Ultra 2 System,Pacerone
ANTIARRHYTHMICS,One Touch Ultra 2 System,amiodarone 100mg
