therapeutic_class,capsule_name,pdl_name,status
Acne Products: Isotretinoin,Absorica LD capsule,ABSORICA,Non-Preferred
GI - PROTON PUMP INHIBITOR,Aciphex,ACIPHEX,Non-Preferred
PULMONARY ANTI-HYPERTENSIVES,Adcirca,ADCIRCA,Non-Preferred
STIMULANTS - AMPHETAMINES - LONG ACTING,Adderall XR ER capsule,ADDERALL XR,Non-Preferred
PULMONARY ANTI-HYPERTENSIVES,Adempas,ADEMPAS,Non-Preferred
DIABETIC - INSULIN,Admelog,Admelog,Non-Preferred
DIABETIC - INSULIN PENFILLS,Admelog SoloStar,Admelog Solostar,Non-Preferred
THYROID HORMONES,Adthyza,Adthyza,Non-Preferred
ANTIASTHMATIC - ADRENERGIC COMBOS,Advair Diskus,Advair Diskus,Preferred
ANTIASTHMATIC - ADRENERGIC COMBOS,Advair HFA,ADVAIR HFA,Preferred
Antihemophilia Factor VIII Agents,Advate,ADVATE,Preferred
Antihemophilia Factor VIII Agents,Adynovate,Adynovate,Preferred
ANTINEOPLASTICS - PROTEIN-TYROSINE KINASE INHIBITORS,Afinitor Disperz,AFINITOR,Non-Preferred
ANTINEOPLASTICS - PROTEIN-TYROSINE KINASE INHIBITORS,Afinitor tablet,AFINITOR,Non-Preferred
Antihemophilia Factor VIII Agents,Afstyla,Afstyla,Preferred
CGRP INHIBITORS,Aimovig,Aimovig,Preferred
ANTIASTHMATIC - ADRENERGIC COMBOS,Airduo Respiclick,Airduo respiclick,Non-Preferred
ANTIASTHMATIC - ADRENERGIC COMBOS,Airsupra HFA,Airsupra,Non-Preferred
CGRP INHIBITORS,Ajovy,Ajovy,Preferred
ANTINEOPLASTICS - COMBINATIONS,Akeega,Akeega,Non-Preferred
ANTIASTHMATIC - BETA - ADRENERGICS,Albuterol HFA generic PROAIR,Albuterol hfa,Preferred
ANTINEOPLASTICS - PROTEIN-TYROSINE KINASE INHIBITORS,Alecensa,Alecensa,Non-Preferred
MIGRAINE - SELECTIVE SEROTONIN AGONISTS (5HT)--Tabs,Almotriptan,Almotriptan,Non-Preferred
OP. SELECTIVE ALPHA ADRENERGIC AGONISTS,Alphagan P 0.001,ALPHAGAN P SOL 0.1%,Preferred
Antihemophilia Factor IX Agents,Alprolix,ALPROLIX,Preferred
Antihemophilia Factor VIII Agents,Altuviiio,Altuviiio,Preferred
ANTINEOPLASTICS - PROTEIN-TYROSINE KINASE INHIBITORS,Alunbrig,Alunbrig,Non-Preferred
ANTIASTHMATIC - STEROID INHALANTS,Alvesco,ALVESCO,Non-Preferred
