therapeutic_class,capsule_name,pdl_name
ANTIPSYCHOTICS - ATYPICALS,Abilify Asimtufii,Abilify Asimtufii
ANTIPSYCHOTICS - ATYPICALS,Abilify Maintena,ABILIFY MAINTENA
ANTIPSYCHOTICS - ATYPICALS,Abilify MyCite,Abilify MyCite
ANTIPSYCHOTICS - ATYPICALS,Abilify tablet,ABILIFY
"ANTI-INFLAMMATORIES, NON-NSAID",Abrilada Ankylosing Spondylitis,Abrilada
"ANTI-INFLAMMATORIES, NON-NSAID",Abrilada Crohn's Disease (pediatric),Abrilada
"ANTI-INFLAMMATORIES, NON-NSAID",Abrilada Crohn’s Disease (adult),Abrilada
"ANTI-INFLAMMATORIES, NON-NSAID",Abrilada Hidradenitis Suppurativa,Abrilada
"ANTI-INFLAMMATORIES, NON-NSAID",Abrilada Plaque Psoriasis (adult),Abrilada
"ANTI-INFLAMMATORIES, NON-NSAID",Abrilada Polyarticular Juvenile Idiopathic Arthritis (PJIA),Abrilada
"ANTI-INFLAMMATORIES, NON-NSAID",Abrilada Psoriatic Arthritis (adult),Abrilada
"ANTI-INFLAMMATORIES, NON-NSAID",Abrilada Rheumatoid Arthritis,Abrilada
"ANTI-INFLAMMATORIES, NON-NSAID",Abrilada Ulcerative Colitis (adult),Abrilada
"ANTI-INFLAMMATORIES, NON-NSAID",Abrilada Uveitis (adult),Abrilada
Acne Products: Isotretinoin,Absorica LD capsule,ABSORICA
GI - PROTON PUMP INHIBITOR,Aciphex,ACIPHEX
"ANTI-INFLAMMATORIES, NON-NSAID","Actemra ACTPen, Giant Cell Arteritis",ACTEMRA
"ANTI-INFLAMMATORIES, NON-NSAID","Actemra ACTPen, Polyarticular Juvenile Idiopathic Arthritis (PJIA)",ACTEMRA
"ANTI-INFLAMMATORIES, NON-NSAID","Actemra ACTPen, Rheumatoid Arthritis",ACTEMRA
"ANTI-INFLAMMATORIES, NON-NSAID","Actemra ACTPen, Systemic Sclerosis-Associated Interstitial Lung Disease (SSc-ILD)",ACTEMRA
"ANTI-INFLAMMATORIES, NON-NSAID","Actemra ACTPen, Systemic-Onset Juvenile Idiopathic Arthritis (SJIA)",ACTEMRA
"ANTI-INFLAMMATORIES, NON-NSAID","Actemra prefilled syringe, Rheumatoid Arthritis",ACTEMRA
"ANTI-INFLAMMATORIES, NON-NSAID","Actemra prefilled syringe, Systemic Sclerosis-Associated Interstitial Lung Disease (SSc-ILD)",ACTEMRA
"ANTI-INFLAMMATORIES, NON-NSAID","Actemra prefilled syringe, Systemic-Onset Juvenile Idiopathic Arthritis (SJIA)",ACTEMRA
