therapeutic_class,capsule_name,pdl_name,status
"ANTI-INFLAMMATORIES, NON-NSAID",Abrilada Ankylosing Spondylitis,Abrilada,Non-Preferred
"ANTI-INFLAMMATORIES, NON-NSAID",Abrilada Crohn's Disease (pediatric),Abrilada,Non-Preferred
"ANTI-INFLAMMATORIES, NON-NSAID",Abrilada Crohn’s Disease (adult),Abrilada,Non-Preferred
"ANTI-INFLAMMATORIES, NON-NSAID",Abrilada Hidradenitis Suppurativa,Abrilada,Non-Preferred
"ANTI-INFLAMMATORIES, NON-NSAID",Abrilada Plaque Psoriasis (adult),Abrilada,Non-Preferred
"ANTI-INFLAMMATORIES, NON-NSAID",Abrilada Polyarticular Juvenile Idiopathic Arthritis (PJIA),Abrilada,Non-Preferred
"ANTI-INFLAMMATORIES, NON-NSAID",Abrilada Psoriatic Arthritis (adult),Abrilada,Non-Preferred
"ANTI-INFLAMMATORIES, NON-NSAID",Abrilada Rheumatoid Arthritis,Abrilada,Non-Preferred
"ANTI-INFLAMMATORIES, NON-NSAID",Abrilada Ulcerative Colitis (adult),Abrilada,Non-Preferred
"ANTI-INFLAMMATORIES, NON-NSAID",Abrilada Uveitis (adult),Abrilada,Non-Preferred
"ANTI-INFLAMMATORIES, NON-NSAID","Actemra ACTPen, Giant Cell Arteritis",ACTEMRA,Non-Preferred
"ANTI-INFLAMMATORIES, NON-NSAID","Actemra ACTPen, Polyarticular Juvenile Idiopathic Arthritis (PJIA)",ACTEMRA,Non-Preferred
"ANTI-INFLAMMATORIES, NON-NSAID","Actemra ACTPen, Rheumatoid Arthritis",ACTEMRA,Non-Preferred
"ANTI-INFLAMMATORIES, NON-NSAID","Actemra ACTPen, Systemic Sclerosis-Associated Interstitial Lung Disease (SSc-ILD)",ACTEMRA,Non-Preferred
"ANTI-INFLAMMATORIES, NON-NSAID","Actemra ACTPen, Systemic-Onset Juvenile Idiopathic Arthritis (SJIA)",ACTEMRA,Non-Preferred
"ANTI-INFLAMMATORIES, NON-NSAID","Actemra prefilled syringe, Giant Cell Arteritis",ACTEMRA,Non-Preferred
"ANTI-INFLAMMATORIES, NON-NSAID","Actemra prefilled syringe, Polyarticular Juvenile Idiopathic Arthritis (PJIA)",ACTEMRA,Non-Preferred
"ANTI-INFLAMMATORIES, NON-NSAID","Actemra prefilled syringe, Rheumatoid Arthritis",ACTEMRA,Non-Preferred
"ANTI-INFLAMMATORIES, NON-NSAID","Actemra prefilled syringe, Systemic Sclerosis-Associated Interstitial Lung Disease (SSc-ILD)",ACTEMRA,Non-Preferred
"ANTI-INFLAMMATORIES, NON-NSAID","Actemra prefilled syringe, Systemic-Onset Juvenile Idiopathic Arthritis (SJIA)",ACTEMRA,Non-Preferred
"ANTI-INFLAMMATORIES, NON-NSAID","Actemra vial, Coronavirus Disease 2019",ACTEMRA,Non-Preferred
"ANTI-INFLAMMATORIES, NON-NSAID","Actemra vial, Cytokine Release Syndrome",ACTEMRA,Non-Preferred
"ANTI-INFLAMMATORIES, NON-NSAID","Actemra vial, Giant Cell Arteritis",ACTEMRA,Non-Preferred
"ANTI-INFLAMMATORIES, NON-NSAID","Actemra vial, Polyarticular Juvenile Idiopathic Arthritis (PJIA)",ACTEMRA,Non-Preferred
"ANTI-INFLAMMATORIES, NON-NSAID","Actemra vial, Rheumatoid Arthritis",ACTEMRA,Non-Preferred
"ANTI-INFLAMMATORIES, NON-NSAID","Actemra vial, Systemic-Onset Juvenile Idiopathic Arthritis (SJIA)",ACTEMRA,Non-Preferred
ANTI-IGE & ANTI-INTERLEUKIN ANTIBODIES,Adbry Atopic Dermatitis (adult),Adbry,Preferred
ANTI-IGE & ANTI-INTERLEUKIN ANTIBODIES,Adbry Atopic Dermatitis (pediatric),Adbry,Preferred
"ANTI-INFLAMMATORIES, NON-NSAID","Amjevita Ankylosing Spondylitis, 10mg/0.2mL",Amjevita,Non-Preferred
"ANTI-INFLAMMATORIES, NON-NSAID","Amjevita Ankylosing Spondylitis, 20mg/0.2mL",Amjevita,Non-Preferred
"ANTI-INFLAMMATORIES, NON-NSAID","Amjevita Ankylosing Spondylitis, 20mg/0.4mL",Amjevita,Non-Preferred
"ANTI-INFLAMMATORIES, NON-NSAID","Amjevita Ankylosing Spondylitis, 40mg/0.4mL",Amjevita 40mg/0.4mL,Preferred
"ANTI-INFLAMMATORIES, NON-NSAID","Amjevita Ankylosing Spondylitis, 40mg/0.8mL",Amjevita,Non-Preferred
"ANTI-INFLAMMATORIES, NON-NSAID","Amjevita Ankylosing Spondylitis, 80mg/0.8mL",Amjevita 80mg/0.8mL,Preferred
"ANTI-INFLAMMATORIES, NON-NSAID","Amjevita Crohn’s Disease (adult), 10mg/0.2mL",Amjevita,Non-Preferred
"ANTI-INFLAMMATORIES, NON-NSAID","Amjevita Crohn’s Disease (adult), 20mg/0.2mL",Amjevita,Non-Preferred
"ANTI-INFLAMMATORIES, NON-NSAID","Amjevita Crohn’s Disease (adult), 20mg/0.4mL",Amjevita,Non-Preferred
"ANTI-INFLAMMATORIES, NON-NSAID","Amjevita Crohn’s Disease (adult), 40mg/0.4mL",Amjevita 40mg/0.4mL,Preferred
"ANTI-INFLAMMATORIES, NON-NSAID","Amjevita Crohn’s Disease (adult), 40mg/0.8mL",Amjevita,Non-Preferred
"ANTI-INFLAMMATORIES, NON-NSAID","Amjevita Crohn’s Disease (adult), 80mg/0.8mL",Amjevita 80mg/0.8mL,Preferred
"ANTI-INFLAMMATORIES, NON-NSAID","Amjevita Crohn’s Disease (pediatric), 10mg/0.2mL",Amjevita,Non-Preferred
"ANTI-INFLAMMATORIES, NON-NSAID","Amjevita Crohn’s Disease (pediatric), 20mg/0.2mL",Amjevita,Non-Preferred
"ANTI-INFLAMMATORIES, NON-NSAID","Amjevita Crohn’s Disease (pediatric), 20mg/0.4mL",Amjevita,Non-Preferred
"ANTI-INFLAMMATORIES, NON-NSAID","Amjevita Crohn’s Disease (pediatric), 40mg/0.4mL",Amjevita 40mg/0.4mL,Preferred
"ANTI-INFLAMMATORIES, NON-NSAID","Amjevita Crohn’s Disease (pediatric), 40mg/0.8mL",Amjevita,Non-Preferred
"ANTI-INFLAMMATORIES, NON-NSAID","Amjevita Crohn’s Disease (pediatric), 80mg/0.8mL",Amjevita 80mg/0.8mL,Preferred
"ANTI-INFLAMMATORIES, NON-NSAID","Amjevita Hidradenitis Suppurativa, 10mg/0.2mL",Amjevita,Non-Preferred
"ANTI-INFLAMMATORIES, NON-NSAID","Amjevita Hidradenitis Suppurativa, 20mg/0.2mL",Amjevita,Non-Preferred
"ANTI-INFLAMMATORIES, NON-NSAID","Amjevita Hidradenitis Suppurativa, 20mg/0.4mL",Amjevita,Non-Preferred
"ANTI-INFLAMMATORIES, NON-NSAID","Amjevita Hidradenitis Suppurativa, 40mg/0.4mL",Amjevita 40mg/0.4mL,Preferred
