therapeutic_class,pdl_name,status
ADHD / ANTI-NARCOLEPSY AGENTS : AMPHETAMINES,DYANAVEL XR Suspension Extended Release,Preferred
ADHD / ANTI-NARCOLEPSY AGENTS : AMPHETAMINES,DYANAVEL XR Tablet Extended-Release,Non-Preferred
ADHD / ANTI-NARCOLEPSY AGENTS : AMPHETAMINES,ADZENYS XR-ODT Tablet Extended Release Disintegrating,Non-Preferred
ADHD / ANTI-NARCOLEPSY AGENTS : AMPHETAMINES,AMPHETAMINE SULFATE Tablet,Non-Preferred
ADHD / ANTI-NARCOLEPSY AGENTS : AMPHETAMINES,EVEKEO Tablet,Non-Preferred
ADHD / ANTI-NARCOLEPSY AGENTS : AMPHETAMINES,EVEKEO ODT Tablet Disintegrating,Non-Preferred
ADHD / ANTI-NARCOLEPSY AGENTS : AMPHETAMINES,XELSTRYM Patch,Non-Preferred
ADHD / ANTI-NARCOLEPSY AGENTS : AMPHETAMINES,DEXEDRINE Capsule Extended Release 24 Hour,Non-Preferred
ADHD / ANTI-NARCOLEPSY AGENTS : AMPHETAMINES,DEXTROAMPHETAMINE SULFATE ER Capsule Extended Release 24 Hour,Non-Preferred
ADHD / ANTI-NARCOLEPSY AGENTS : AMPHETAMINES,DEXTROAMPHETAMINE SULFATE Solution,Non-Preferred
ADHD / ANTI-NARCOLEPSY AGENTS : AMPHETAMINES,PROCENTRA Solution,Non-Preferred
ADHD / ANTI-NARCOLEPSY AGENTS : AMPHETAMINES,DEXTROAMPHETAMINE SULFATE Tablet,Non-Preferred
ADHD / ANTI-NARCOLEPSY AGENTS : AMPHETAMINES,ZENZEDI Tablet,Non-Preferred
ADHD / ANTI-NARCOLEPSY AGENTS : AMPHETAMINES,LISDEXAMFETAMINE DIMESYLATE Capsule,Non-Preferred
ADHD / ANTI-NARCOLEPSY AGENTS : AMPHETAMINES,VYVANSE Capsule,Preferred
ADHD / ANTI-NARCOLEPSY AGENTS : AMPHETAMINES,LISDEXAMFETAMINE DIMESYLATE Tablet Chewable,Non-Preferred
ADHD / ANTI-NARCOLEPSY AGENTS : AMPHETAMINES,VYVANSE Tablet Chewable,Preferred
ADHD / ANTI-NARCOLEPSY AGENTS : AMPHETAMINES,METHAMPHETAMINE HYDROCHLORIDE Tablet,Non-Preferred
ADHD / ANTI-NARCOLEPSY AGENTS : AMPHETAMINES,ADDERALL XR Capsule Extended Release 24 Hour,Non-Preferred
ADHD / ANTI-NARCOLEPSY AGENTS : AMPHETAMINES,AMPHETAMINE/DEXTROAMPHETAMINE Capsule Extended Release 24 Hour,Preferred
