therapeutic_class,capsule_name,pdl_name
ANTIVIRALS : ANTIRETROVIRALS (HIV),Epivir HBV oral solution,EPIVIR Solution
ANTIVIRALS : ANTIRETROVIRALS (HIV),Epivir HBV oral solution,EPIVIR Tablet
ANTIVIRALS : ANTIRETROVIRALS (HIV),Epivir HBV tablet,EPIVIR Solution
ANTIVIRALS : ANTIRETROVIRALS (HIV),Epivir HBV tablet,EPIVIR Tablet
ANTINEOPLASTICS AND ADJUNCTIVE THERAPIES : MISC,Hycamtin vial,HYCAMTIN Capsule
GLUCOSE MONITORING SUPPLIES : CGMs,MiniMed 780G System,MINIMED 630G GUARDIAN PRESS STARTER TRANSMITTER KIT Miscellaneous
PSYCHOTHERAPEUTIC AND NEUROLOGICAL AGENTS : ANTIDEMENTIA AGENTS,Namenda XR,NAMENDA TITRATION PAK Tablet
ANALGESICS - ANTI-INFLAMMATORY : NONSTEROIDAL ANTI-INFLAMMATORY AGENTS (NSAIDs),Omeprazole tablet,NAPROXEN/ESOMEPRAZOLE MAGNESIUM Tablet Delayed Release
HEMATOLOGICAL AGENTS : PLATELET AGGREGATION INHIBITORS,Omeprazole tablet,ASPIRIN/OMEPRAZOLE Tablet Delayed Release
ULCER DRUGS / ANTISPASMODICS / ANTICHOLINERGICS : MISC,Omeprazole tablet,OMEPRAZOLE/SODIUM BICARBONATE Capsule
ULCER DRUGS / ANTISPASMODICS / ANTICHOLINERGICS : MISC,Omeprazole tablet,OMEPRAZOLE/SODIUM BICARBONATE Packet
ULCER DRUGS / ANTISPASMODICS / ANTICHOLINERGICS : PROTON PUMP INHIBITORS,Omeprazole tablet,ESOMEPRAZOLE MAGNESIUM Capsule Delayed Release
ULCER DRUGS / ANTISPASMODICS / ANTICHOLINERGICS : PROTON PUMP INHIBITORS,Omeprazole tablet,ESOMEPRAZOLE MAGNESIUM DR Capsule Delayed Release
ULCER DRUGS / ANTISPASMODICS / ANTICHOLINERGICS : PROTON PUMP INHIBITORS,Omeprazole tablet,ESOMEPRAZOLE MAGNESIUM Packet
ULCER DRUGS / ANTISPASMODICS / ANTICHOLINERGICS : PROTON PUMP INHIBITORS,Omeprazole tablet,OMEPRAZOLE Capsule Delayed Release
ULCER DRUGS / ANTISPASMODICS / ANTICHOLINERGICS : PROTON PUMP INHIBITORS,Omeprazole tablet,OMEPRAZOLE DR Capsule Delayed Release
ULCER DRUGS / ANTISPASMODICS / ANTICHOLINERGICS : PROTON PUMP INHIBITORS,Prilosec DR capsule,PRILOSEC Packet
ANTIASTHMATIC AND BRONCHODILATOR AGENTS : BETA ADRENERGICS,Proair HFA,"PROAIR RESPICLICK Aerosol Powder, Breath Activated"
ANTIASTHMATIC AND BRONCHODILATOR AGENTS : BETA ADRENERGICS,Proair HFA,"PROAIR DIGIHALER Aerosol Powder, Breath Activated"
IMMUNOSUPPRESSIVE AGENTS,Prograf vial,PROGRAF Capsule
IMMUNOSUPPRESSIVE AGENTS,Prograf vial,PROGRAF Packet
HEMATOPOIETIC AGENTS : HEMATOPOIETIC GROWTH FACTORS,Promacta oral suspension,PROMACTA Packet
HEMATOPOIETIC AGENTS : HEMATOPOIETIC GROWTH FACTORS,Promacta oral suspension,PROMACTA Tablet
ANTIASTHMATIC AND BRONCHODILATOR AGENTS : STEROID INHALANTS,Pulmicort Respules 1 mg,"PULMICORT FLEXHALER Aerosol Powder, Breath Activated"
ANTIASTHMATIC AND BRONCHODILATOR AGENTS : STEROID INHALANTS,Pulmicort Respules 1 mg,PULMICORT Suspension
ANTIASTHMATIC AND BRONCHODILATOR AGENTS : STEROID INHALANTS,Pulmicort Respules 0.25 mg,"PULMICORT FLEXHALER Aerosol Powder, Breath Activated"
ANTIASTHMATIC AND BRONCHODILATOR AGENTS : STEROID INHALANTS,Pulmicort Respules 0.25 mg,PULMICORT Suspension
ANTIASTHMATIC AND BRONCHODILATOR AGENTS : STEROID INHALANTS,Pulmicort Respules 0.5 mg,"PULMICORT FLEXHALER Aerosol Powder, Breath Activated"
ANTIASTHMATIC AND BRONCHODILATOR AGENTS : STEROID INHALANTS,Pulmicort Respules 0.5 mg,PULMICORT Suspension
ULCER DRUGS / ANTISPASMODICS / ANTICHOLINERGICS : PROTON PUMP INHIBITORS,Rabeprazole sprinkle capsule,RABEPRAZOLE SODIUM Tablet Delayed Release
PSYCHOTHERAPEUTIC AND NEUROLOGICAL AGENTS : ANTIDEMENTIA AGENTS,Rivastigmine oral solution,RIVASTIGMINE TRANSDERMALSYSTEM Patch 24 HR
PSYCHOTHERAPEUTIC AND NEUROLOGICAL AGENTS : ANTIDEMENTIA AGENTS,Rivastigmine oral solution,RIVASTIGMINE TARTRATE Capsule
GLUCOSE MONITORING SUPPLIES : CGMs,Freestyle Insulinx Glucose System,FREESTYLE LIBRE 14 DAY/READER/FLASH MONITORING SYSTEM Device
GLUCOSE MONITORING SUPPLIES : CGMs,Freestyle Insulinx Glucose System,FREESTYLE LIBRE 2/READER/FLASH GLUCOSE MONITORING SYSTEM Device
GLUCOSE MONITORING SUPPLIES : CGMs,Freestyle Insulinx Glucose System,FREESTYLE LIBRE 3/READER/GLUCOSE MONITORING SYSTEM Device
GLUCOSE MONITORING SUPPLIES : CGMs,Freestyle Insulinx Glucose System,FREESTYLE LIBRE/READER/FLASH MONITORING SYSTEM Device
GLUCOSE MONITORING SUPPLIES : CGMs,Freestyle Insulinx Glucose System,FREESTYLE LIBRE 14 DAY/SENSOR/FLASH MONITORING SYSTEM Miscellaneous
GLUCOSE MONITORING SUPPLIES : CGMs,Freestyle Insulinx Glucose System,FREESTYLE LIBRE 2 PLUS/SENSOR/FLASH GLUCOSE MONITOR SYSTEM Miscellaneous
GLUCOSE MONITORING SUPPLIES : CGMs,Freestyle Insulinx Glucose System,FREESTYLE LIBRE 2/SENSOR/FLASH GLUCOSE MONITORING SYSTEM Miscellaneous
GLUCOSE MONITORING SUPPLIES : CGMs,Freestyle Insulinx Glucose System,FREESTYLE LIBRE 3 PLUS/SENSOR/GLUCOSE MONITORING SYSTEM Miscellaneous
GLUCOSE MONITORING SUPPLIES : CGMs,Freestyle Insulinx Glucose System,FREESTYLE LIBRE 3/SENSOR/GLUCOSE MONITORING SYSTEM Miscellaneous
GLUCOSE MONITORING SUPPLIES : DEVICES AND KITS,Freestyle Insulinx Glucose System,FREESTYLE LITE BLOOD GLUCOSE MONITORING SYSTEM Device
GLUCOSE MONITORING SUPPLIES : DEVICES AND KITS,Freestyle Insulinx Glucose System,FREESTYLE FREEDOM LITE Kit
GLUCOSE MONITORING SUPPLIES : DEVICES AND KITS,Freestyle Insulinx Glucose System,FREESTYLE LITE BLOOD GLUCOSE MONITORING SYSTEM Kit
GLUCOSE MONITORING SUPPLIES : DEVICES AND KITS,Freestyle Insulinx Glucose System,FREESTYLE PRECISION NEO BLOOD GLUCOSE MONITORING SYSTEM Kit
GLUCOSE MONITORING SUPPLIES : TEST STRIPS,Freestyle Insulinx Glucose System,FREESTYLE INSULINX BLOODGLUCOSE TEST Strip
GLUCOSE MONITORING SUPPLIES : TEST STRIPS,Freestyle Insulinx Glucose System,FREESTYLE INSULINX BLOODGLUCOSE TEST STRIPS Strip
GLUCOSE MONITORING SUPPLIES : TEST STRIPS,Freestyle Insulinx Glucose System,FREESTYLE LITE TEST STRIPS Strip
GLUCOSE MONITORING SUPPLIES : TEST STRIPS,Freestyle Insulinx Glucose System,FREESTYLE PRECISION NEO BLOOD GLUCOSE TEST STRIPS Strip
GLUCOSE MONITORING SUPPLIES : TEST STRIPS,Freestyle Insulinx Glucose System,FREESTYLE TEST STRIPS Strip
