therapeutic_class,capsule_name,pdl_name,status
ANTIPSYCHOTICS / ANTIMANIC AGENTS : QUINOLINONE DERIVATIVES,Abilify Asimtufii,ABILIFY ASIMTUFII Prefilled Syringe,Preferred
ANTIPSYCHOTICS / ANTIMANIC AGENTS : QUINOLINONE DERIVATIVES,Abilify Maintena,ABILIFY MAINTENA Prefilled Syringe,Preferred
ANTIPSYCHOTICS / ANTIMANIC AGENTS : QUINOLINONE DERIVATIVES,Abilify MyCite,ABILIFY MYCITE MAINTENANCE KIT Tablet Therapy Pack,Non-Preferred
ANTIPSYCHOTICS / ANTIMANIC AGENTS : QUINOLINONE DERIVATIVES,Abilify tablet,ABILIFY Tablet,Non-Preferred
DERMATOLOGICALS : ACNE PRODUCTS,Absorica LD capsule,ABSORICA LD Capsule,Non-Preferred
GLUCOSE MONITORING SUPPLIES : TEST STRIPS,Accu-Chek Guide Test Strips 100 ct,ACCU-CHEK GUIDE TEST STRIPS Strip,Non-Preferred
GLUCOSE MONITORING SUPPLIES : TEST STRIPS,Accu-Chek Guide Test Strips 50 ct,ACCU-CHEK GUIDE TEST STRIPS Strip,Non-Preferred
AGENTS FOR SICKLE CELL DISEASE,Adakveo,ADAKVEO Solution,Non-Preferred
CARDIOVASCULAR AGENTS : PULMONARY HYPERTENSION,Adcirca,ADCIRCA Tablet,Preferred
ADHD / ANTI-NARCOLEPSY AGENTS : AMPHETAMINES,Adderall XR ER capsule,ADDERALL XR Capsule Extended Release 24 Hour,Non-Preferred
CARDIOVASCULAR AGENTS : PULMONARY HYPERTENSION,Adempas,ADEMPAS Tablet,Non-Preferred
ANTIDIABETICS : INSULIN,Admelog,ADMELOG Solution,Non-Preferred
ANTIDIABETICS : INSULIN,Admelog SoloStar,ADMELOG SOLOSTAR Solution Pen-injector,Non-Preferred
THYROID AGENTS,Adthyza,ADTHYZA Tablet,Preferred
ANTIASTHMATIC AND BRONCHODILATOR AGENTS : ADRENERGIC COMBINATIONS,Advair Diskus,"ADVAIR DISKUS Aerosol Powder, Breath Activated",Preferred
ANTIASTHMATIC AND BRONCHODILATOR AGENTS : ADRENERGIC COMBINATIONS,Advair HFA,ADVAIR HFA Aerosol,Preferred
HEMATOLOGICAL AGENTS : ANTIHEMOPHILIC PRODUCTS,Advate,ADVATE Solution Reconstituted,Preferred
HEMATOLOGICAL AGENTS : ANTIHEMOPHILIC PRODUCTS,Adynovate,ADYNOVATE Solution Reconstituted,Preferred
ANTINEOPLASTICS AND ADJUNCTIVE THERAPIES : ANTINEOPLASTIC ENZYME INHIBITORS,Afinitor Disperz,AFINITOR DISPERZ Tablet Soluble,Non-Preferred
ANTINEOPLASTICS AND ADJUNCTIVE THERAPIES : ANTINEOPLASTIC ENZYME INHIBITORS,Afinitor tablet,AFINITOR Tablet,Non-Preferred
HEMATOLOGICAL AGENTS : ANTIHEMOPHILIC PRODUCTS,Afstyla,AFSTYLA Kit,Preferred
MIGRAINE PRODUCTS : CALCITONIN GENE-RELATED PEPTIDE (CGRP) RECEPTOR ANTAG,Aimovig,AIMOVIG Solution Auto-injector,Preferred
ANTIASTHMATIC AND BRONCHODILATOR AGENTS : ADRENERGIC COMBINATIONS,Airduo Digihaler,"AIRDUO DIGIHALER 113/14 Aerosol Powder, Breath Activated",Preferred
ANTIASTHMATIC AND BRONCHODILATOR AGENTS : ADRENERGIC COMBINATIONS,Airduo Respiclick,"AIRDUO RESPICLICK 113/14 Aerosol Powder, Breath Activated",Preferred
ANTIASTHMATIC AND BRONCHODILATOR AGENTS : ADRENERGIC COMBINATIONS,Airsupra HFA,AIRSUPRA Aerosol,Preferred
MIGRAINE PRODUCTS : CALCITONIN GENE-RELATED PEPTIDE (CGRP) RECEPTOR ANTAG,Ajovy,AJOVY Solution Prefilled Syringe,Preferred
ANTINEOPLASTICS AND ADJUNCTIVE THERAPIES : ANTINEOPLASTIC - HORMONAL AND RELATED AGENTS,Akeega,AKEEGA Tablet,Non-Preferred
