therapeutic_class,capsule_name,pdl_name,Unnamed: 3
ANTIPSYCHOTICS / ANTIMANIC AGENTS : QUINOLINONE DERIVATIVES,Abilify Asimtufii,ABILIFY ASIMTUFII Prefilled Syringe,
ANTIPSYCHOTICS / ANTIMANIC AGENTS : QUINOLINONE DERIVATIVES,Abilify Maintena,ABILIFY MAINTENA Prefilled Syringe,
ANTIPSYCHOTICS / ANTIMANIC AGENTS : QUINOLINONE DERIVATIVES,Abilify MyCite,ABILIFY MYCITE MAINTENANCE KIT Tablet Therapy Pack,
ANTIPSYCHOTICS / ANTIMANIC AGENTS : QUINOLINONE DERIVATIVES,Abilify tablet,ABILIFY Tablet,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Abrilada Ankylosing Spondylitis,ABRILADA Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Abrilada Crohn's Disease (pediatric),ABRILADA Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Abrilada Crohn’s Disease (adult),ABRILADA Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Abrilada Hidradenitis Suppurativa,ABRILADA Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Abrilada Plaque Psoriasis (adult),ABRILADA Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Abrilada Polyarticular Juvenile Idiopathic Arthritis (PJIA),ABRILADA Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Abrilada Psoriatic Arthritis (adult),ABRILADA Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Abrilada Rheumatoid Arthritis,ABRILADA Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Abrilada Ulcerative Colitis (adult),ABRILADA Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Abrilada Uveitis (adult),ABRILADA Prefilled Syringe Kit,
DERMATOLOGICALS : ACNE PRODUCTS,Absorica LD capsule,ABSORICA LD Capsule,
GLUCOSE MONITORING SUPPLIES : TEST STRIPS,Accu-Chek Guide Test Strips 100 ct,ACCU-CHEK GUIDE TEST STRIPS Strip,
GLUCOSE MONITORING SUPPLIES : TEST STRIPS,Accu-Chek Guide Test Strips 50 ct,ACCU-CHEK GUIDE TEST STRIPS Strip,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,"Actemra ACTPen, Giant Cell Arteritis",ACTEMRA ACTPEN Solution Auto-injector,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,"Actemra ACTPen, Polyarticular Juvenile Idiopathic Arthritis (PJIA)",ACTEMRA ACTPEN Solution Auto-injector,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,"Actemra ACTPen, Rheumatoid Arthritis",ACTEMRA ACTPEN Solution Auto-injector,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,"Actemra ACTPen, Systemic Sclerosis-Associated Interstitial Lung Disease (SSc-ILD)",ACTEMRA ACTPEN Solution Auto-injector,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,"Actemra ACTPen, Systemic-Onset Juvenile Idiopathic Arthritis (SJIA)",ACTEMRA ACTPEN Solution Auto-injector,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,"Actemra prefilled syringe, Rheumatoid Arthritis",ACTEMRA Solution Prefilled Syringe,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,"Actemra prefilled syringe, Systemic Sclerosis-Associated Interstitial Lung Disease (SSc-ILD)",ACTEMRA Solution Prefilled Syringe,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,"Actemra prefilled syringe, Systemic-Onset Juvenile Idiopathic Arthritis (SJIA)",ACTEMRA Solution Prefilled Syringe,
AGENTS FOR SICKLE CELL DISEASE,Adakveo,ADAKVEO Solution,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Adalimumab-adaz Ankylosing Spondylitis,ADALIMUMAB-ADAZ Solution Prefilled Syringe,
