therapeutic_class,status,pdl_name
"ACNE AGENTS, TOPICAL",Preferred,Clindamycin/Benzoyl Peroxide Gel (Generic for Benzaclin)
"ACNE AGENTS, TOPICAL",Preferred,Clindamycin/Benzoyl Peroxide Gel (Generic for Duac)
"ACNE AGENTS, TOPICAL",Preferred,Clindamycin Phosphate Gel (Generic)
"ACNE AGENTS, TOPICAL",Preferred,Clindamycin Phosphate Lotion (Generic)
"ACNE AGENTS, TOPICAL",Preferred,Clindamycin Phosphate Medicated Swab (Generic)
"ACNE AGENTS, TOPICAL",Preferred,Clindamycin Phosphate Solution (Generic)
"ACNE AGENTS, TOPICAL",Preferred,Erythromycin Gel (AG; Generic)
"ACNE AGENTS, TOPICAL",Preferred,Erythromycin Solution (Generic)
"ACNE AGENTS, TOPICAL",Preferred,Tretinoin Cream (Generic)
"ACNE AGENTS, TOPICAL",Preferred,(Preferred agents listed on page 1)
ADD/ADHD,Preferred,Amphetamine Salt Combo ER Capsule(Generic)
ADD/ADHD,Preferred,Amphetamine Salt Combo Tablet (Generic; Adderall)
ADD/ADHD,Preferred,Atomoxetine Capsule (Generic)
ADD/ADHD,Preferred,Dexmethylphenidate ER Capsule (Generic)
ADD/ADHD,Preferred,Dexmethylphenidate Tablet (Generic)
ADD/ADHD,Preferred,Dextroamphetamine Tablet (Generic)
ADD/ADHD,Preferred,Guanfacine ER Tablet (Generic)
ADD/ADHD,Preferred,Lisdexamfetamine Capsule (Generic; Vyvanse)
ADD/ADHD,Preferred,Lisdexamfetamine Chewable Tablet (Generic)
ADD/ADHD,Preferred,Methylphenidate CD Capsule (AG; Generic for Metadate CD)
ADD/ADHD,Preferred,Methylphenidate ER Capsule (Generic for Ritalin LA)
ADD/ADHD,Preferred,Methylphenidate ER Tablet (AG; Generic for Concerta)
ADD/ADHD,Preferred,Methylphenidate IR Tablet (Generic)
ADD/ADHD,Preferred,Methylphenidate Solution (Generic)
ADD/ADHD,Preferred,Modafinil Tablet (Generic)
ALLERGY,Preferred,"Carbinoxamine Tablet 4mg, 6mg (Generic)"
ALLERGY,Preferred,Chlorpheniramine Syrup OTC (ED Chlorped Jr)
ALLERGY,Preferred,Chlorpheniramine Tablet OTC (Generic)
ALLERGY,Preferred,Clemastine Tablet (Generic)
ALLERGY,Preferred,"Cyproheptadine Syrup, Tablet (Generic)"
ALLERGY,Preferred,Diphenhydramine OTC – Capsule/Chew Tablet/Liquid/Tablet (Generic)
ALLERGY,Preferred,Hydroxyzine Pamoate Capsule (AG; Generic)
ALLERGY,Preferred,"Hydroxyzine HCl Solution, Tablet (Generic)"
ALLERGY,Preferred,Pyrilamine Liquid OTC (Pediaclear-8)
ALLERGY,Preferred,Triprolidine Drops OTC (Generic; Histex PD; Pediaclear PD)
