therapeutic_class,capsule_name,pdl_name
ONCOLOGY,Azacitidine vial,Azacitidine Tablet (Onureg)
"HEART DISEASE, HYPERLIPIDEMIA",Azilsartan,Azilsartan Medoxomil (Edarbi)
"HEART DISEASE, HYPERLIPIDEMIA",Azilsartan,Azilsartan/Chlorthalidone (Edarbyclor)
ONCOLOGY,Decitabine,Decitabine/Cedazuridine Tablet (Inqovi)
DIABETES,Bydureon Pen,Exenatide Microspheres ER Auto-Injector (Bydureon BCise)
"ACNE AGENTS, TOPICAL",Lo Loestrin Fe,Clindamycin Phosphate Lotion (Generic)
ALLERGY,Lo Loestrin Fe,"Loratadine ODT OTC, Solution OTC, Tablet OTC (Generic)"
ALLERGY,Lo Loestrin Fe,Loratadine-D Tablet OTC (Generic)
ANTICONVULSANTS,Lo Loestrin Fe,"Clobazam Suspension, Tablet (Generic)"
ANTICONVULSANTS,Lo Loestrin Fe,"Clonazepam ODT, Tablet (Generic)"
ANTICONVULSANTS,Lo Loestrin Fe,Methsuximide Capsule (Celontin)
ANTIPSYCHOTIC AGENTS,Lo Loestrin Fe,"Chlorpromazine Oral Concentrate, Tablet (Generic)"
ANTIPSYCHOTIC AGENTS,Lo Loestrin Fe,Clozapine Tablet (Generic)
ANTIPSYCHOTIC AGENTS,Lo Loestrin Fe,Haloperidol Lactate Oral Concentrate (Generic)
ANTIPSYCHOTIC AGENTS,Lo Loestrin Fe,Haloperidol Tablet (Generic)
ANTIPSYCHOTIC AGENTS,Lo Loestrin Fe,Loxapine Capsule (Generic)
ANTIPSYCHOTIC AGENTS,Lo Loestrin Fe,"Haloperidol Decanoate, Lactate (Generic)"
"ANTIVIRALS, ORAL",Lo Loestrin Fe,"Acyclovir Capsule, Suspension, Tablet (Generic)"
"ANTIVIRALS, ORAL",Lo Loestrin Fe,Famciclovir Tablet (Generic)
"ANTIVIRALS, ORAL",Lo Loestrin Fe,Valacyclovir Tablet (Generic)
ANXIOLYTICS,Lo Loestrin Fe,Lorazepam Tablet (Generic)
ASTHMA/COPD,Lo Loestrin Fe,Tiotropium/Olodaterol (Stiolto Respimat)
ASTHMA/COPD,Lo Loestrin Fe,Beclomethasone Breath-Actuated HFA (QVAR RediHaler)
ASTHMA/COPD,Lo Loestrin Fe,Fluticasone MDI (AG; Flovent HFA)
DEPRESSION,Lo Loestrin Fe,"Citalopram Solution, Tablet (Generic)"
DEPRESSION,Lo Loestrin Fe,Escitalopram Tablet (Generic)
DERMATOLOGY,Lo Loestrin Fe,Clotrimazole Rx Cream (Generic)
DERMATOLOGY,Lo Loestrin Fe,Clotrimazole Rx Solution (Generic)
DERMATOLOGY,Lo Loestrin Fe,Clotrimazole/Betamethasone Cream (Generic)
DERMATOLOGY,Lo Loestrin Fe,Nystatin/Triamcinolone Cream (Generic)
DERMATOLOGY,Lo Loestrin Fe,Nystatin/Triamcinolone Ointment (Generic)
DERMATOLOGY,Lo Loestrin Fe,Acyclovir Ointment (Generic)
DERMATOLOGY,Lo Loestrin Fe,"Tralokinumab-ldrm Autoinjector, Syringe (Adbry)"
DERMATOLOGY,Lo Loestrin Fe,"Ammonium Lactate Cream, Lotion (Generic)"
DERMATOLOGY,Lo Loestrin Fe,Hydrocortisone Lotion (Generic)
DERMATOLOGY,Lo Loestrin Fe,Betamethasone Valerate Lotion (Generic)
DERMATOLOGY,Lo Loestrin Fe,Triamcinolone Acetonide Cream (Generic)
DERMATOLOGY,Lo Loestrin Fe,Triamcinolone Acetonide Lotion (Generic)
DERMATOLOGY,Lo Loestrin Fe,Triamcinolone Acetonide Ointment (Generic)
DERMATOLOGY,Lo Loestrin Fe,Clobetasol Propionate Cream (Generic)
DERMATOLOGY,Lo Loestrin Fe,Clobetasol Propionate Emollient (Generic)
DERMATOLOGY,Lo Loestrin Fe,Clobetasol Propionate Gel (Generic)
DERMATOLOGY,Lo Loestrin Fe,Clobetasol Propionate Ointment (Generic)
DERMATOLOGY,Lo Loestrin Fe,Clobetasol Propionate Solution (Generic)
DERMATOLOGY,Lo Loestrin Fe,Halobetasol Propionate Cream (Generic)
DERMATOLOGY,Lo Loestrin Fe,Halobetasol Propionate Ointment (Generic)
DIABETES,Lo Loestrin Fe,Dasiglucagon Auto-Injector (Zegalogue)
DIABETES,Lo Loestrin Fe,"Insulin Aspart Cartridge, Pen, Vial (AG; Novolog)"
DIABETES,Lo Loestrin Fe,Insulin Aspart Protamine/Aspart Pen (AG; Novolog Mix 70/30)
DIABETES,Lo Loestrin Fe,Insulin Aspart Protamine/Aspart Vial (AG; Novolog Mix 70/30)
DIABETES,Lo Loestrin Fe,"Insulin Glargine Pen, Vial (Generic; Lantus SoloStar; Lantus)"
DIABETES,Lo Loestrin Fe,"Insulin Glulisine Pen, Vial (Apidra SoloStar; Apidra)"
DIABETES,Lo Loestrin Fe,Insulin Lispro (AG; Humalog Junior KwikPen)
DIABETES,Lo Loestrin Fe,Insulin Lispro Cartridge (Humalog)
DIABETES,Lo Loestrin Fe,Insulin Lispro Pen (AG; Humalog KwikPen U-100)
DIABETES,Lo Loestrin Fe,Insulin Lispro Vial (AG; Humalog)
DIABETES,Lo Loestrin Fe,"Insulin Lispro Protamine/Insulin Lispro Pen, Vial (Humalog Mix)"
DIABETES,Lo Loestrin Fe,Canagliflozin Tablet (Invokana)
DIABETES,Lo Loestrin Fe,Canagliflozin/Metformin Tablet (Invokamet)
DIABETES,Lo Loestrin Fe,Dapagliflozin Tablet (AG)
DIABETES,Lo Loestrin Fe,Dapagliflozin/Metformin ER Tablet (AG)
DIABETES,Lo Loestrin Fe,Empagliflozin Tablet (Jardiance)
DIABETES,Lo Loestrin Fe,Empagliflozin/Metformin Tablet (Synjardy)
DIGESTIVE DISORDERS,Lo Loestrin Fe,Metoclopramide Solution (Generic)
DIGESTIVE DISORDERS,Lo Loestrin Fe,Metoclopramide Tablet (Generic)
DIGESTIVE DISORDERS,Lo Loestrin Fe,Metoclopramide Vial (Generic)
DIGESTIVE DISORDERS,Lo Loestrin Fe,Prochlorperazine Tablet (Generic)
"GI MOTILITY, CHRONIC",Lo Loestrin Fe,Linaclotide Capsule (Linzess)
"GI MOTILITY, CHRONIC",Lo Loestrin Fe,Naloxegol Tablet (Movantik)
"GLUCOCORTICOIDS, ORAL",Lo Loestrin Fe,Methylprednisolone Tablet Dose Pack (Generic)
"GLUCOCORTICOIDS, ORAL",Lo Loestrin Fe,Prednisolone Sodium Phosphate Solution (Generic)
"GLUCOCORTICOIDS, ORAL",Lo Loestrin Fe,Prednisolone Solution (Generic)
GOUT AGENTS,Lo Loestrin Fe,"Allopurinol Tablet 100mg, 300mg (Generic)"
"HEART DISEASE, HYPERLIPIDEMIA",Lo Loestrin Fe,Clopidogrel Tablet (Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Lo Loestrin Fe,Ticagrelor Tablet (Brilinta)
"HEART DISEASE, HYPERLIPIDEMIA",Lo Loestrin Fe,Losartan (Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Lo Loestrin Fe,Losartan/HCTZ (Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Lo Loestrin Fe,Amlodipine/Benazepril (Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Lo Loestrin Fe,Amlodipine/Olmesartan (AG; Generic)
