therapeutic_class,capsule_name,pdl_name,status
ANTIPSYCHOTIC AGENTS,Abilify Asimtufii,Aripiprazole Suspension ER (Abilify Asimtufii/Maintena),Preferred
ANTIPSYCHOTIC AGENTS,Abilify Maintena,Aripiprazole Suspension ER (Abilify Asimtufii/Maintena),Preferred
ANTIPSYCHOTIC AGENTS,Abilify MyCite,"Aripiprazole Tablet, Tablet with Sensor (Abilify; Abilify Mycite)",Non-Preferred
ANTIPSYCHOTIC AGENTS,Abilify tablet,"Aripiprazole Tablet, Tablet with Sensor (Abilify; Abilify Mycite)",Non-Preferred
SICKLE CELL ANEMIA,Adakveo,Crizanlizumab-tmca Infusion (Adakveo),Non-Preferred
"HEART DISEASE, HYPERLIPIDEMIA",Adcirca,Tadalafil Tablet (Adcirca),Non-Preferred
ADD/ADHD,Adderall XR ER capsule,Amphetamine Salt Combo ER Capsule(Adderall XR),Non-Preferred
"HEART DISEASE, HYPERLIPIDEMIA",Adempas,Riociguat Tablet (Adempas),Non-Preferred
DIABETES,Admelog,"Insulin Lispro Pen, Vial (Admelog SoloStar; Admelog)",Non-Preferred
DIABETES,Admelog SoloStar,"Insulin Lispro Pen, Vial (Admelog SoloStar; Admelog)",Non-Preferred
ASTHMA/COPD,Advair Diskus,"Fluticasone/Salmeterol DPI, MDI (Advair Diskus; Advair HFA)",Non-Preferred
ASTHMA/COPD,Advair HFA,"Fluticasone/Salmeterol DPI, MDI (Advair Diskus; Advair HFA)",Non-Preferred
HEMOPHILIA TREATMENT,Advate,"Factor VIII, Full-Length (Advate)",Non-Preferred
HEMOPHILIA TREATMENT,Adynovate,"Factor VIII, Full-Length PEGylated (Adynovate)",Non-Preferred
ONCOLOGY,Afinitor Disperz,Everolimus Tablet for Oral Suspension (Generic; Afinitor Disperz),Non-Preferred
ONCOLOGY,Afinitor tablet,Everolimus Tablet (Afinitor; Torpenz),Non-Preferred
HEMOPHILIA TREATMENT,Afstyla,"Factor VIII, Single-Chain, B-Domain Truncated (Afstyla)",Non-Preferred
PAIN MANAGEMENT,Aimovig,Erenumab-aooe Autoinjector (Aimovig),Preferred
ASTHMA/COPD,Airduo Digihaler,Fluticasone/Salmeterol Inhalation Powder (AirDuo Digihaler),Non-Preferred
ASTHMA/COPD,Airduo Respiclick,Fluticasone/Salmeterol Inhalation Powder (AG; AirDuo RespiClick),Non-Preferred
ASTHMA/COPD,Airsupra HFA,Albuterol/Budesonide (AirSupra HFA),Non-Preferred
PAIN MANAGEMENT,Ajovy,"Fremanezumab-vfrm Autoinjector, 3-Pack, Syringe (Ajovy)",Preferred
ONCOLOGY,Akeega,Niraparib/Abiraterone Tablet (Akeega),Non-Preferred
ASTHMA/COPD,Albuterol HFA generic PROAIR,Albuterol Sulfate MDI (AG; Generic for ProAir HFA),Preferred
ONCOLOGY,Alecensa,Alectinib HCl Capsule (Alecensa),Preferred
OPHTHALMIC DISORDERS,Alphagan P 0.001,Brimonidine 0.1% Solution (Generic; Alphagan P),Non-Preferred
HEMOPHILIA TREATMENT,Alprolix,"Factor IX Recombinant, Fc Fusion Protein (Alprolix)",Non-Preferred
HEMOPHILIA TREATMENT,Altuviiio,"Factor VIII, Recombinant Fc-VWF-XTEN Fusion Protein-ehtl (Altuviiio)",Non-Preferred
ONCOLOGY,Alunbrig,Brigatinib Tablet (Alunbrig),Non-Preferred
ASTHMA/COPD,Alvesco,Ciclesonide MDI (Alvesco),Non-Preferred
SEDATIVE/HYPNOTICS,Ambien,Zolpidem Tartrate Tablet (Ambien),Non-Preferred
SEDATIVE/HYPNOTICS,Ambien CR,Zolpidem Tartrate ER Tablet (Ambien CR),Non-Preferred
"HEART DISEASE, HYPERLIPIDEMIA",Ambrisentan,Ambrisentan Tablet (Generic),Preferred
"HEART DISEASE, HYPERLIPIDEMIA",Amlodipine tablet,Amlodipine Tablet (Generic),Preferred
PAIN MANAGEMENT,Amrix,Cyclobenzaprine ER Capsule (AG; Generic; Amrix),Non-Preferred
ASTHMA/COPD,Anoro Ellipta,Umeclidinium/Vilanterol Inhalation Powder (Anoro Ellipta),Preferred
DIABETES,Apidra,"Insulin Glulisine Pen, Vial (Apidra SoloStar; Apidra)",Non-Preferred
DIABETES,Apidra SoloStar,"Insulin Glulisine Pen, Vial (Apidra SoloStar; Apidra)",Non-Preferred
DEPRESSION,Aplenzin,Bupropion HBr ER 24-Hour Tablet (Aplenzin),Non-Preferred
ANTICONVULSANTS,Aptiom,Eslicarbazepine Acetate Tablet (Aptiom),Preferred
HIV-AIDS,Aptivus,Tipranavir Capsule (Aptivus),Preferred
"HEMATOLOGIC AGENTS, HEMATOPOIETIC AGENTS",Aranesp,Darbepoetin Vial (Aranesp),Preferred
ALZHEIMER’S AGENTS,Aricept,Donepezil Tablet (Aricept),Non-Preferred
INFECTIOUS DISORDERS,Arikayce,Amikacin Inhalation Suspension (Arikayce),Non-Preferred
ANTIPSYCHOTIC AGENTS,Aripiprazole ODT,"Aripiprazole ODT, Solution (Generic)",Non-Preferred
ANTIPSYCHOTIC AGENTS,Aripiprazole oral solution,"Aripiprazole ODT, Solution (Generic)",Non-Preferred
