therapeutic_class,capsule_name,pdl_name
ANTIPSYCHOTIC AGENTS,Abilify Asimtufii,Aripiprazole Suspension ER (Abilify Asimtufii/Maintena)
ANTIPSYCHOTIC AGENTS,Abilify Maintena,Aripiprazole Suspension ER (Abilify Asimtufii/Maintena)
ANTIPSYCHOTIC AGENTS,Abilify MyCite,"Aripiprazole Tablet, Tablet with Sensor (Abilify; Abilify Mycite)"
ANTIPSYCHOTIC AGENTS,Abilify tablet,"Aripiprazole Tablet, Tablet with Sensor (Abilify; Abilify Mycite)"
PAIN MANAGEMENT,Abrilada Ankylosing Spondylitis,"Adalimumab-afzb Kit, Pen Kit (Abrilada)"
PAIN MANAGEMENT,Abrilada Crohn's Disease (pediatric),"Adalimumab-afzb Kit, Pen Kit (Abrilada)"
PAIN MANAGEMENT,Abrilada Crohn’s Disease (adult),"Adalimumab-afzb Kit, Pen Kit (Abrilada)"
PAIN MANAGEMENT,Abrilada Hidradenitis Suppurativa,"Adalimumab-afzb Kit, Pen Kit (Abrilada)"
PAIN MANAGEMENT,Abrilada Plaque Psoriasis (adult),"Adalimumab-afzb Kit, Pen Kit (Abrilada)"
PAIN MANAGEMENT,Abrilada Polyarticular Juvenile Idiopathic Arthritis (PJIA),"Adalimumab-afzb Kit, Pen Kit (Abrilada)"
PAIN MANAGEMENT,Abrilada Psoriatic Arthritis (adult),"Adalimumab-afzb Kit, Pen Kit (Abrilada)"
PAIN MANAGEMENT,Abrilada Rheumatoid Arthritis,"Adalimumab-afzb Kit, Pen Kit (Abrilada)"
PAIN MANAGEMENT,Abrilada Ulcerative Colitis (adult),"Adalimumab-afzb Kit, Pen Kit (Abrilada)"
PAIN MANAGEMENT,Abrilada Uveitis (adult),"Adalimumab-afzb Kit, Pen Kit (Abrilada)"
PAIN MANAGEMENT,"Actemra ACTPen, Giant Cell Arteritis","Tocilizumab Pen, Syringe, Vial (Actemra)"
PAIN MANAGEMENT,"Actemra ACTPen, Polyarticular Juvenile Idiopathic Arthritis (PJIA)","Tocilizumab Pen, Syringe, Vial (Actemra)"
PAIN MANAGEMENT,"Actemra ACTPen, Rheumatoid Arthritis","Tocilizumab Pen, Syringe, Vial (Actemra)"
PAIN MANAGEMENT,"Actemra ACTPen, Systemic Sclerosis-Associated Interstitial Lung Disease (SSc-ILD)","Tocilizumab Pen, Syringe, Vial (Actemra)"
PAIN MANAGEMENT,"Actemra ACTPen, Systemic-Onset Juvenile Idiopathic Arthritis (SJIA)","Tocilizumab Pen, Syringe, Vial (Actemra)"
PAIN MANAGEMENT,"Actemra prefilled syringe, Giant Cell Arteritis","Tocilizumab Pen, Syringe, Vial (Actemra)"
PAIN MANAGEMENT,"Actemra prefilled syringe, Polyarticular Juvenile Idiopathic Arthritis (PJIA)","Tocilizumab Pen, Syringe, Vial (Actemra)"
PAIN MANAGEMENT,"Actemra prefilled syringe, Rheumatoid Arthritis","Tocilizumab Pen, Syringe, Vial (Actemra)"
PAIN MANAGEMENT,"Actemra prefilled syringe, Systemic Sclerosis-Associated Interstitial Lung Disease (SSc-ILD)","Tocilizumab Pen, Syringe, Vial (Actemra)"
PAIN MANAGEMENT,"Actemra prefilled syringe, Systemic-Onset Juvenile Idiopathic Arthritis (SJIA)","Tocilizumab Pen, Syringe, Vial (Actemra)"
PAIN MANAGEMENT,"Actemra vial, Coronavirus Disease 2019","Tocilizumab Pen, Syringe, Vial (Actemra)"
PAIN MANAGEMENT,"Actemra vial, Cytokine Release Syndrome","Tocilizumab Pen, Syringe, Vial (Actemra)"
PAIN MANAGEMENT,"Actemra vial, Giant Cell Arteritis","Tocilizumab Pen, Syringe, Vial (Actemra)"
PAIN MANAGEMENT,"Actemra vial, Polyarticular Juvenile Idiopathic Arthritis (PJIA)","Tocilizumab Pen, Syringe, Vial (Actemra)"
PAIN MANAGEMENT,"Actemra vial, Rheumatoid Arthritis","Tocilizumab Pen, Syringe, Vial (Actemra)"
PAIN MANAGEMENT,"Actemra vial, Systemic-Onset Juvenile Idiopathic Arthritis (SJIA)","Tocilizumab Pen, Syringe, Vial (Actemra)"
SICKLE CELL ANEMIA,Adakveo,Crizanlizumab-tmca Infusion (Adakveo)
PAIN MANAGEMENT,Adalimumab-adaz Ankylosing Spondylitis,"Adalimumab-adaz Kit, Pen Kit"
PAIN MANAGEMENT,Adalimumab-adaz Crohn’s Disease (adult),"Adalimumab-adaz Kit, Pen Kit"
PAIN MANAGEMENT,Adalimumab-adaz Crohn’s Disease (pediatric),"Adalimumab-adaz Kit, Pen Kit"
PAIN MANAGEMENT,Adalimumab-adaz Hidradenitis Suppurativa,"Adalimumab-adaz Kit, Pen Kit"
PAIN MANAGEMENT,Adalimumab-adaz Plaque Psoriasis (adult),"Adalimumab-adaz Kit, Pen Kit"
PAIN MANAGEMENT,Adalimumab-adaz Polyarticular Juvenile Idiopathic Arthritis (PJIA),"Adalimumab-adaz Kit, Pen Kit"
PAIN MANAGEMENT,Adalimumab-adaz Psoriatic Arthritis (adult),"Adalimumab-adaz Kit, Pen Kit"
PAIN MANAGEMENT,Adalimumab-adaz Rheumatoid Arthritis,"Adalimumab-adaz Kit, Pen Kit"
PAIN MANAGEMENT,Adalimumab-adaz Ulcerative Colitis (adult),"Adalimumab-adaz Kit, Pen Kit"
PAIN MANAGEMENT,Adalimumab-adaz Uveitis (adult),"Adalimumab-adaz Kit, Pen Kit"
PAIN MANAGEMENT,"Adalimumab-adbm Ankylosing Spondylitis, Boehringer 00597 labeler","Adalimumab-adbm Kit, Pen Kit"
PAIN MANAGEMENT,"Adalimumab-adbm Ankylosing Spondylitis, Quallent 82009 labeler","Adalimumab-adbm Kit, Pen Kit [Quallent Pharmaceuticals]"
PAIN MANAGEMENT,"Adalimumab-adbm Crohn’s Disease (adult), Boehringer 00597 labeler","Adalimumab-adbm Kit, Pen Kit"
PAIN MANAGEMENT,"Adalimumab-adbm Crohn’s Disease (adult), Quallent 82009 labeler","Adalimumab-adbm Kit, Pen Kit [Quallent Pharmaceuticals]"
PAIN MANAGEMENT,"Adalimumab-adbm Crohn’s Disease (pediatric), Boehringer 00597 labeler","Adalimumab-adbm Kit, Pen Kit"
PAIN MANAGEMENT,"Adalimumab-adbm Crohn’s Disease (pediatric), Quallent 82009 labeler","Adalimumab-adbm Kit, Pen Kit [Quallent Pharmaceuticals]"
PAIN MANAGEMENT,"Adalimumab-adbm Hidradenitis Suppurativa, Boehringer 00597 labeler","Adalimumab-adbm Kit, Pen Kit"
PAIN MANAGEMENT,"Adalimumab-adbm Hidradenitis Suppurativa, Quallent 82009 labeler","Adalimumab-adbm Kit, Pen Kit [Quallent Pharmaceuticals]"
PAIN MANAGEMENT,"Adalimumab-adbm Plaque Psoriasis (adult), Boehringer 00597 labeler","Adalimumab-adbm Kit, Pen Kit"
PAIN MANAGEMENT,"Adalimumab-adbm Plaque Psoriasis (adult), Quallent 82009 labeler","Adalimumab-adbm Kit, Pen Kit [Quallent Pharmaceuticals]"
PAIN MANAGEMENT,"Adalimumab-adbm Polyarticular Juvenile Idiopathic Arthritis (PJIA), Boehringer 00597 labeler","Adalimumab-adbm Kit, Pen Kit"
PAIN MANAGEMENT,"Adalimumab-adbm Polyarticular Juvenile Idiopathic Arthritis (PJIA), Quallent 82009 labeler","Adalimumab-adbm Kit, Pen Kit [Quallent Pharmaceuticals]"
PAIN MANAGEMENT,"Adalimumab-adbm Psoriatic Arthritis (adult), Boehringer 00597 labeler","Adalimumab-adbm Kit, Pen Kit"
PAIN MANAGEMENT,"Adalimumab-adbm Psoriatic Arthritis (adult), Quallent 82009 labeler","Adalimumab-adbm Kit, Pen Kit [Quallent Pharmaceuticals]"
PAIN MANAGEMENT,"Adalimumab-adbm Rheumatoid Arthritis, Boehringer 00597 labeler","Adalimumab-adbm Kit, Pen Kit"
PAIN MANAGEMENT,"Adalimumab-adbm Rheumatoid Arthritis, Quallent 82009 labeler","Adalimumab-adbm Kit, Pen Kit [Quallent Pharmaceuticals]"
PAIN MANAGEMENT,"Adalimumab-adbm Ulcerative Colitis (adult), Boehringer 00597 labeler","Adalimumab-adbm Kit, Pen Kit"
PAIN MANAGEMENT,"Adalimumab-adbm Ulcerative Colitis (adult), Quallent 82009 labeler","Adalimumab-adbm Kit, Pen Kit [Quallent Pharmaceuticals]"
PAIN MANAGEMENT,"Adalimumab-adbm Uveitis (adult), Boehringer 00597 labeler","Adalimumab-adbm Kit, Pen Kit"
PAIN MANAGEMENT,"Adalimumab-adbm Uveitis (adult), Quallent 82009 labeler","Adalimumab-adbm Kit, Pen Kit [Quallent Pharmaceuticals]"
PAIN MANAGEMENT,Adalimumab-fkjp Ankylosing Spondylitis,"Adalimumab-fkjp Kit, Pen Kit"
PAIN MANAGEMENT,Adalimumab-fkjp Crohn’s Disease (adult),"Adalimumab-fkjp Kit, Pen Kit"
PAIN MANAGEMENT,Adalimumab-fkjp Crohn’s Disease (pediatric),"Adalimumab-fkjp Kit, Pen Kit"
PAIN MANAGEMENT,Adalimumab-fkjp Hidradenitis Suppurativa,"Adalimumab-fkjp Kit, Pen Kit"
PAIN MANAGEMENT,Adalimumab-fkjp Plaque Psoriasis (adult),"Adalimumab-fkjp Kit, Pen Kit"
PAIN MANAGEMENT,Adalimumab-fkjp Polyarticular Juvenile Idiopathic Arthritis (PJIA),"Adalimumab-fkjp Kit, Pen Kit"
PAIN MANAGEMENT,Adalimumab-fkjp Psoriatic Arthritis (adult),"Adalimumab-fkjp Kit, Pen Kit"
PAIN MANAGEMENT,Adalimumab-fkjp Rheumatoid Arthritis,"Adalimumab-fkjp Kit, Pen Kit"
PAIN MANAGEMENT,Adalimumab-fkjp Ulcerative Colitis (adult),"Adalimumab-fkjp Kit, Pen Kit"
PAIN MANAGEMENT,Adalimumab-fkjp Uveitis (adult),"Adalimumab-fkjp Kit, Pen Kit"
DERMATOLOGY,Adbry,"Tralokinumab-ldrm Autoinjector, Syringe (Adbry)"
"HEART DISEASE, HYPERLIPIDEMIA",Adcirca,Tadalafil Tablet (Adcirca)
ADD/ADHD,Adderall XR ER capsule,Amphetamine Salt Combo ER Capsule(Adderall XR)
"HEART DISEASE, HYPERLIPIDEMIA",Adempas,Riociguat Tablet (Adempas)
DIABETES,Admelog,"Insulin Lispro Pen, Vial (Admelog SoloStar; Admelog)"
DIABETES,Admelog SoloStar,"Insulin Lispro Pen, Vial (Admelog SoloStar; Admelog)"
ASTHMA/COPD,Advair Diskus,"Fluticasone/Salmeterol DPI, MDI (Advair Diskus; Advair HFA)"
ASTHMA/COPD,Advair HFA,"Fluticasone/Salmeterol DPI, MDI (Advair Diskus; Advair HFA)"
HEMOPHILIA TREATMENT,Advate,"Factor VIII, Full-Length (Advate)"
HEMOPHILIA TREATMENT,Adynovate,"Factor VIII, Full-Length PEGylated (Adynovate)"
ONCOLOGY,Afinitor Disperz,Everolimus Tablet for Oral Suspension (Generic; Afinitor Disperz)
ONCOLOGY,Afinitor tablet,Everolimus Tablet (Afinitor; Torpenz)
HEMOPHILIA TREATMENT,Afstyla,"Factor VIII, Single-Chain, B-Domain Truncated (Afstyla)"
PAIN MANAGEMENT,Aimovig,Erenumab-aooe Autoinjector (Aimovig)
ASTHMA/COPD,Airduo Digihaler,Fluticasone/Salmeterol Inhalation Powder (AirDuo Digihaler)
ASTHMA/COPD,Airduo Respiclick,Fluticasone/Salmeterol Inhalation Powder (AG; AirDuo RespiClick)
ASTHMA/COPD,Airsupra HFA,Albuterol/Budesonide (AirSupra HFA)
PAIN MANAGEMENT,Ajovy,"Fremanezumab-vfrm Autoinjector, 3-Pack, Syringe (Ajovy)"
ONCOLOGY,Akeega,Niraparib/Abiraterone Tablet (Akeega)
ASTHMA/COPD,Albuterol HFA generic PROAIR,Albuterol Sulfate MDI (AG; Generic for ProAir HFA)
ONCOLOGY,Alecensa,Alectinib HCl Capsule (Alecensa)
OPHTHALMIC DISORDERS,Alphagan P 0.001,Brimonidine 0.1% Solution (Generic; Alphagan P)
HEMOPHILIA TREATMENT,Alprolix,"Factor IX Recombinant, Fc Fusion Protein (Alprolix)"
HEMOPHILIA TREATMENT,Altuviiio,"Factor VIII, Recombinant Fc-VWF-XTEN Fusion Protein-ehtl (Altuviiio)"
ONCOLOGY,Alunbrig,Brigatinib Tablet (Alunbrig)
ASTHMA/COPD,Alvesco,Ciclesonide MDI (Alvesco)
SEDATIVE/HYPNOTICS,Ambien,Zolpidem Tartrate Tablet (Ambien)
SEDATIVE/HYPNOTICS,Ambien CR,Zolpidem Tartrate ER Tablet (Ambien CR)
"HEART DISEASE, HYPERLIPIDEMIA",Ambrisentan,Ambrisentan Tablet (Generic)
PAIN MANAGEMENT,Amjevita Ankylosing Spondylitis,"Adalimumab-atto Kit, Pen Kit (Amjevita)"
PAIN MANAGEMENT,Amjevita Crohn’s Disease (adult),"Adalimumab-atto Kit, Pen Kit (Amjevita)"
PAIN MANAGEMENT,Amjevita Crohn’s Disease (pediatric),"Adalimumab-atto Kit, Pen Kit (Amjevita)"
PAIN MANAGEMENT,Amjevita Hidradenitis Suppurativa,"Adalimumab-atto Kit, Pen Kit (Amjevita)"
PAIN MANAGEMENT,Amjevita Plaque Psoriasis (adult),"Adalimumab-atto Kit, Pen Kit (Amjevita)"
PAIN MANAGEMENT,Amjevita Polyarticular Juvenile Idiopathic Arthritis (PJIA),"Adalimumab-atto Kit, Pen Kit (Amjevita)"
PAIN MANAGEMENT,Amjevita Psoriatic Arthritis (adult),"Adalimumab-atto Kit, Pen Kit (Amjevita)"
PAIN MANAGEMENT,Amjevita Rheumatoid Arthritis,"Adalimumab-atto Kit, Pen Kit (Amjevita)"
PAIN MANAGEMENT,Amjevita Ulcerative Colitis (adult),"Adalimumab-atto Kit, Pen Kit (Amjevita)"
PAIN MANAGEMENT,Amjevita Uveitis (adult),"Adalimumab-atto Kit, Pen Kit (Amjevita)"
"HEART DISEASE, HYPERLIPIDEMIA",Amlodipine tablet,Amlodipine Tablet (Generic)
PAIN MANAGEMENT,Amrix,Cyclobenzaprine ER Capsule (AG; Generic; Amrix)
ASTHMA/COPD,Anoro Ellipta,Umeclidinium/Vilanterol Inhalation Powder (Anoro Ellipta)
DIABETES,Apidra,"Insulin Glulisine Pen, Vial (Apidra SoloStar; Apidra)"
DIABETES,Apidra SoloStar,"Insulin Glulisine Pen, Vial (Apidra SoloStar; Apidra)"
DEPRESSION,Aplenzin,Bupropion HBr ER 24-Hour Tablet (Aplenzin)
ANTICONVULSANTS,Aptiom,Eslicarbazepine Acetate Tablet (Aptiom)
HIV-AIDS,Aptivus,Tipranavir Capsule (Aptivus)
"HEMATOLOGIC AGENTS, HEMATOPOIETIC AGENTS",Aranesp,Darbepoetin Vial (Aranesp)
PAIN MANAGEMENT,Arcalyst Cryopyrin Associated Periodic Syndromes (CAPS) including Familial Cold Autoinflammatory Syndrome (FCAS) and Muckle-Wells Syndrome (MWS),Rilonacept Vial (Arcalyst)
PAIN MANAGEMENT,Arcalyst Deficiency of Interleukin-1 Receptor Antagonist (DIRA),Rilonacept Vial (Arcalyst)
PAIN MANAGEMENT,Arcalyst Recurrent Pericarditis (RP),Rilonacept Vial (Arcalyst)
ALZHEIMER’S AGENTS,Aricept,Donepezil Tablet (Aricept)
INFECTIOUS DISORDERS,Arikayce,Amikacin Inhalation Suspension (Arikayce)
ANTIPSYCHOTIC AGENTS,Aripiprazole ODT,"Aripiprazole ODT, Solution (Generic)"
ANTIPSYCHOTIC AGENTS,Aripiprazole oral solution,"Aripiprazole ODT, Solution (Generic)"
ANTIPSYCHOTIC AGENTS,Aripiprazole tablet,Aripiprazole Tablet (Generic)
ANTIPSYCHOTIC AGENTS,Aristada,Aripiprazole Lauroxil (Aristada; Aristada Initio)
ANTIPSYCHOTIC AGENTS,Aristada Initio,Aripiprazole Lauroxil (Aristada; Aristada Initio)
ASTHMA/COPD,Armonair Digihaler,Fluticasone Propionate Inhalation Powder (Armonair Digihaler)
