therapeutic_class,capsule_name,pdl_name,status
ANTIPSYCHOTIC AGENTS,Abilify,"Aripiprazole Tablet, Tablet with Sensor (Abilify; Abilify Mycite)",Non-Preferred
ANTIPSYCHOTIC AGENTS,Abilify MyCite,"Aripiprazole Tablet, Tablet with Sensor (Abilify; Abilify Mycite)",Non-Preferred
ANTIPSYCHOTIC AGENTS,Abilify Asimtufii,Aripiprazole Suspension ER (Abilify Asimtufii/Maintena),Preferred
ANTIPSYCHOTIC AGENTS,Abilify Maintena,Aripiprazole Suspension ER (Abilify Asimtufii/Maintena),Preferred
PAIN MANAGEMENT,Abrilada,"Adalimumab-afzb Kit, Pen Kit (Abrilada)",Non-Preferred
DIGESTIVE DISORDERS,Aciphex,Rabeprazole Tablet (Generic; AcipHex),Non-Preferred
PAIN MANAGEMENT,Actemra prefilled syringe,"Tocilizumab Pen, Syringe, Vial (Actemra)",Non-Preferred
PAIN MANAGEMENT,Actemra vial,"Tocilizumab Pen, Syringe, Vial (Actemra)",Non-Preferred
SICKLE CELL ANEMIA,Adakveo,Crizanlizumab-tmca Infusion (Adakveo),Non-Preferred
PAIN MANAGEMENT,Adalimumab-adaz,"Adalimumab-adaz Kit, Pen Kit",Preferred
PAIN MANAGEMENT,Adalimumab-adbm auto-injector,"Adalimumab-adbm Kit, Pen Kit",Preferred
PAIN MANAGEMENT,Adalimumab-adbm prefilled syringe,"Adalimumab-adbm Kit, Pen Kit",Preferred
PAIN MANAGEMENT,Adalimumab-fkjp auto-injector,"Adalimumab-fkjp Kit, Pen Kit",Non-Preferred
PAIN MANAGEMENT,Adalimumab-fkjp prefilled syringe,"Adalimumab-fkjp Kit, Pen Kit",Non-Preferred
DERMATOLOGY,Adbry,"Tralokinumab-ldrm Autoinjector, Syringe (Adbry)",Preferred
"HEART DISEASE, HYPERLIPIDEMIA",Adcirca,Tadalafil Tablet (Adcirca),Non-Preferred
ADD/ADHD,Adderall XR ER capsule,Amphetamine Salt Combo ER Capsule(Adderall XR),Non-Preferred
"HEART DISEASE, HYPERLIPIDEMIA",Adempas,Riociguat Tablet (Adempas),Non-Preferred
DIABETES,Admelog,"Insulin Lispro Pen, Vial (Admelog SoloStar; Admelog)",Non-Preferred
DIABETES,Admelog SoloStar,"Insulin Lispro Pen, Vial (Admelog SoloStar; Admelog)",Non-Preferred
ASTHMA/COPD,Advair Diskus,"Fluticasone/Salmeterol DPI, MDI (Advair Diskus; Advair HFA)",Non-Preferred
ASTHMA/COPD,Advair HFA,"Fluticasone/Salmeterol DPI, MDI (Advair Diskus; Advair HFA)",Non-Preferred
HEMOPHILIA TREATMENT,Advate,"Factor VIII, Full-Length (Advate)",Non-Preferred
HEMOPHILIA TREATMENT,Adynovate,"Factor VIII, Full-Length PEGylated (Adynovate)",Non-Preferred
HEMOPHILIA TREATMENT,Afstyla,"Factor VIII, Single-Chain, B-Domain Truncated (Afstyla)",Non-Preferred
PAIN MANAGEMENT,Aimovig,Erenumab-aooe Autoinjector (Aimovig),Preferred
ASTHMA/COPD,Airduo Digihaler,Fluticasone/Salmeterol Inhalation Powder (AirDuo Digihaler),Non-Preferred
ASTHMA/COPD,Airduo Respiclick,Fluticasone/Salmeterol Inhalation Powder (AG; AirDuo RespiClick),Non-Preferred
ASTHMA/COPD,Airsupra HFA,Albuterol/Budesonide (AirSupra HFA),Non-Preferred
PAIN MANAGEMENT,Ajovy,"Fremanezumab-vfrm Autoinjector, 3-Pack, Syringe (Ajovy)",Preferred
ASTHMA/COPD,Albuterol HFA generic PROAIR,Albuterol Sulfate MDI (AG; Generic for ProAir HFA),Preferred
ONCOLOGY,Alecensa,Alectinib HCl Capsule (Alecensa),Preferred
OPHTHALMIC DISORDERS,Alphagan P 0.001,Brimonidine 0.1% Solution (Generic; Alphagan P),Non-Preferred
HEMOPHILIA TREATMENT,Alprolix,"Factor IX Recombinant, Fc Fusion Protein (Alprolix)",Non-Preferred
HEMOPHILIA TREATMENT,Altuviiio,"Factor VIII, Recombinant Fc-VWF-XTEN Fusion Protein-ehtl (Altuviiio)",Non-Preferred
ONCOLOGY,Alunbrig,Brigatinib Tablet (Alunbrig),Non-Preferred
ASTHMA/COPD,Alvesco,Ciclesonide MDI (Alvesco),Non-Preferred
SEDATIVE/HYPNOTICS,Ambien,Zolpidem Tartrate Tablet (Ambien),Non-Preferred
SEDATIVE/HYPNOTICS,Ambien CR,Zolpidem Tartrate ER Tablet (Ambien CR),Non-Preferred
"HEART DISEASE, HYPERLIPIDEMIA",Ambrisentan,Ambrisentan Tablet (Generic),Preferred
PAIN MANAGEMENT,Amjevita,"Adalimumab-atto Kit, Pen Kit (Amjevita)",Non-Preferred
PAIN MANAGEMENT,Amjevita High,"Adalimumab-atto Kit, Pen Kit (Amjevita)",Non-Preferred
PAIN MANAGEMENT,Amjevita Low,"Adalimumab-atto Kit, Pen Kit (Amjevita)",Non-Preferred
PAIN MANAGEMENT,Amrix,Cyclobenzaprine ER Capsule (AG; Generic; Amrix),Non-Preferred
ASTHMA/COPD,Anoro Ellipta,Umeclidinium/Vilanterol Inhalation Powder (Anoro Ellipta),Preferred
DIABETES,Apidra,"Insulin Glulisine Pen, Vial (Apidra SoloStar; Apidra)",Preferred
DIABETES,Apidra SoloStar,"Insulin Glulisine Pen, Vial (Apidra SoloStar; Apidra)",Preferred
DEPRESSION,Aplenzin,Bupropion HBr ER 24-Hour Tablet (Aplenzin),Non-Preferred
ANTICONVULSANTS,Aptiom,Eslicarbazepine Acetate Tablet (Aptiom),Preferred
PAIN MANAGEMENT,Arcalyst,Rilonacept Vial (Arcalyst),Non-Preferred
ALZHEIMER’S AGENTS,Aricept,Donepezil Tablet (Aricept),Non-Preferred
INFECTIOUS DISORDERS,Arikayce,Amikacin Inhalation Suspension (Arikayce),Non-Preferred
