therapeutic_class,capsule_name,pdl_name,status
PAIN MANAGEMENT,Abrilada Ankylosing Spondylitis,"Adalimumab-afzb Kit, Pen Kit (Abrilada)",Non-Preferred
PAIN MANAGEMENT,Abrilada Crohn's Disease (pediatric),"Adalimumab-afzb Kit, Pen Kit (Abrilada)",Non-Preferred
PAIN MANAGEMENT,Abrilada Crohn’s Disease (adult),"Adalimumab-afzb Kit, Pen Kit (Abrilada)",Non-Preferred
PAIN MANAGEMENT,Abrilada Hidradenitis Suppurativa,"Adalimumab-afzb Kit, Pen Kit (Abrilada)",Non-Preferred
PAIN MANAGEMENT,Abrilada Plaque Psoriasis (adult),"Adalimumab-afzb Kit, Pen Kit (Abrilada)",Non-Preferred
PAIN MANAGEMENT,Abrilada Polyarticular Juvenile Idiopathic Arthritis (PJIA),"Adalimumab-afzb Kit, Pen Kit (Abrilada)",Non-Preferred
PAIN MANAGEMENT,Abrilada Psoriatic Arthritis (adult),"Adalimumab-afzb Kit, Pen Kit (Abrilada)",Non-Preferred
PAIN MANAGEMENT,Abrilada Rheumatoid Arthritis,"Adalimumab-afzb Kit, Pen Kit (Abrilada)",Non-Preferred
PAIN MANAGEMENT,Abrilada Ulcerative Colitis (adult),"Adalimumab-afzb Kit, Pen Kit (Abrilada)",Non-Preferred
PAIN MANAGEMENT,Abrilada Uveitis (adult),"Adalimumab-afzb Kit, Pen Kit (Abrilada)",Non-Preferred
PAIN MANAGEMENT,"Actemra ACTPen, Giant Cell Arteritis","Tocilizumab Pen, Syringe, Vial (Actemra)",Non-Preferred
PAIN MANAGEMENT,"Actemra ACTPen, Polyarticular Juvenile Idiopathic Arthritis (PJIA)","Tocilizumab Pen, Syringe, Vial (Actemra)",Non-Preferred
PAIN MANAGEMENT,"Actemra ACTPen, Rheumatoid Arthritis","Tocilizumab Pen, Syringe, Vial (Actemra)",Non-Preferred
