therapeutic_class,pdl_name,status
ACE AND THIAZIDE COMBO'S,UNIRETIC  TABS,Non-Preferred
ACE AND THIAZIDE COMBO'S,PRINZIDE  TABS,Non-Preferred
ACE AND THIAZIDE COMBO'S,MONOPRIL HCT  TABS,Non-Preferred
ACE AND THIAZIDE COMBO'S,ACCURETIC  TABS,Non-Preferred
ACE AND THIAZIDE COMBO'S,LISINOPRIL-HCTZ  TABS,Preferred
ACE AND THIAZIDE COMBO'S,ZESTORETIC  TABS,Non-Preferred
ACE AND THIAZIDE COMBO'S,LOTENSIN HCT  TABS,Preferred
ACE AND THIAZIDE COMBO'S,VASERETIC  TABS,Non-Preferred
ACE AND THIAZIDE COMBO'S,ENALAPRIL MALEATE/HCTZ  TABS,Preferred
ACE AND THIAZIDE COMBO'S,CAPTOPRIL/HYDROCHLOROTHIA,Preferred
ACE AND THIAZIDE COMBO'S,BENAZEPRIL HCL/HYDROCHLOR,Preferred
ACE INHIBITORS,EPANED,Non-Preferred
ACE INHIBITORS,ACEON  TABS1,Non-Preferred
ACE INHIBITORS,LOTENSIN  TABS1,Non-Preferred
ACE INHIBITORS,ACCUPRIL  TABS,Non-Preferred
ACE INHIBITORS,MONOPRIL HCT  TABS1,Non-Preferred
ACE INHIBITORS,QBRELIS,Non-Preferred
ACE INHIBITORS,UNIVASC1,Non-Preferred
ACE INHIBITORS,VASOTEC TABS1,Non-Preferred
ACE INHIBITORS,MAVIK  TABS,Non-Preferred
ACE INHIBITORS,ZESTRIL TABS1,Non-Preferred
ACE INHIBITORS,QUINAPRIL HCL,Preferred
ACE INHIBITORS,ALTACE  CAPS1,Non-Preferred
ACE INHIBITORS,MOEXIPRIL HCL1,Non-Preferred
ACE INHIBITORS,PRINIVIL TABS1,Non-Preferred
ACE INHIBITORS,ENALAPRIL MALEATE  TABS,Preferred
ACE INHIBITORS,BENAZEPRIL HCL,Preferred
ACE INHIBITORS,CAPTOPRIL  TABS,Preferred
ACE INHIBITORS,FOSINOPRIL SODIUM,Preferred
ACE INHIBITORS,RAMIPRIL,Preferred
ACE INHIBITORS,LISINOPRIL  TABS,Preferred
ACE INHIBITORS AND CA CHANNEL BLOCKERS,LOTREL CAPS,Non-Preferred
ACE INHIBITORS AND CA CHANNEL BLOCKERS,TARKA TBCR,Non-Preferred
ACE INHIBITORS AND CA CHANNEL BLOCKERS,PRESTALIA1,Non-Preferred
ACE INHIBITORS AND CA CHANNEL BLOCKERS,AMLODIPINE/BENAZEPRIL,Non-Preferred
ACHONDROPLASIA TREATMENT,VOXZOGO1,Non-Preferred
ACID SPHINGOMYELINASE DEFICIENCY (ASMD),"XENPOZYME1,2",Non-Preferred
ACUTE HEPATIC PORPHYRIA (AHP),GIVLAARI,Non-Preferred
ALCOHOL DETERRENTS,ACAMPRO1,Non-Preferred
ALCOHOL DETERRENTS,ACAMPROSATE,Preferred
ALCOHOL DETERRENTS,ANTABUSE TABS,Preferred
ALCOHOL DETERRENTS,DISULFIRAM  TABS,Preferred
ALCOHOL DETERRENTS,NALTREXONE HCL TABS,Preferred
ALLERGEN IMMUNOTHERAPY,ODACTRA,Non-Preferred
ALLERGEN IMMUNOTHERAPY,RAGWITEK,Non-Preferred
ALLERGEN IMMUNOTHERAPY,PALFORZIA,Non-Preferred
ALLERGEN IMMUNOTHERAPY,GRASTEK,Non-Preferred
ALLERGEN IMMUNOTHERAPY,ORALAIR1,Non-Preferred
ALOPECIA AREATA AGENTS,OLUMIANT,Non-Preferred
ALOPECIA AREATA AGENTS,LITFULO,Non-Preferred
ALPHA- MANNOSIDOSIS,LAMZEDE,Non-Preferred
ALS DRUGS,RILUZOLE,Preferred
ALS DRUGS,TIGLUTIK,Non-Preferred
ALS DRUGS,RELYVRIO1,Non-Preferred
ALS DRUGS,RADICAVA1,Non-Preferred
ALS DRUGS,RILUTEK TABS,Non-Preferred
ALS DRUGS,EXSERVAN,Non-Preferred
ALS DRUGS,QALSODY,Non-Preferred
ALTERNATIVE MEDICINES,CO-ENZYME Q-10,Non-Preferred
ALTERNATIVE MEDICINES,MELATONIN  ,Preferred
ALTERNATIVE MEDICINES,DIMETHYL SULFOXIDE  SOLN,Preferred
ALZHEIMER - Cholinomimetics/Others,ARICEPT  TABS2,Non-Preferred
ALZHEIMER - Cholinomimetics/Others,COGNEX  CAPS2,Non-Preferred
ALZHEIMER - Cholinomimetics/Others,RAZADYNE2,Non-Preferred
ALZHEIMER - Cholinomimetics/Others,NAMZARIC,Non-Preferred
ALZHEIMER - Cholinomimetics/Others,NAMENDA XR CAPS,Non-Preferred
ALZHEIMER - Cholinomimetics/Others,MEMANTINE HCL SOL,Non-Preferred
ALZHEIMER - Cholinomimetics/Others,"LEQEMBI1,2",Non-Preferred
ALZHEIMER - Cholinomimetics/Others,KISUNLA,Non-Preferred
ALZHEIMER - Cholinomimetics/Others,GALANTAMINE HYDROBROMIDE SOL,Non-Preferred
ALZHEIMER - Cholinomimetics/Others,DONEPEZIL HYDROCHLORIDE TABS1,Preferred
ALZHEIMER - Cholinomimetics/Others,NAMENDA,Non-Preferred
ALZHEIMER - Cholinomimetics/Others,EXELON DIS1,Preferred
ALZHEIMER - Cholinomimetics/Others,ARICEPT ODT2,Non-Preferred
ALZHEIMER - Cholinomimetics/Others,DONEPEZIL HYDROCHLORIDE TABS 23MG,Non-Preferred
ALZHEIMER - Cholinomimetics/Others,ADLARITY3,Non-Preferred
ALZHEIMER - Cholinomimetics/Others,EXELON CAP,Non-Preferred
ALZHEIMER - Cholinomimetics/Others,DONEPEZIL HYDROCHLORIDE ODT1,Preferred
ALZHEIMER - Cholinomimetics/Others,RIVASTIGMINE TARTRATE CAPS1,Preferred
ALZHEIMER - Cholinomimetics/Others,MEMANTINE1,Preferred
ALZHEIMER - Cholinomimetics/Others,GALANTAMINE TAB1,Preferred
ALZHEIMER - Cholinomimetics/Others,GALANTAMINE CAPS1,Preferred
