therapeutic_class,capsule_name,pdl_name
RHEUMATOID ARTHRITIS,"Actemra ACTPen, Giant Cell Arteritis",ACTEMRA VIALS
RHEUMATOID ARTHRITIS,"Actemra ACTPen, Giant Cell Arteritis",ACTEMRA SYRINGES
RHEUMATOID ARTHRITIS,"Actemra ACTPen, Polyarticular Juvenile Idiopathic Arthritis (PJIA)",ACTEMRA VIALS
RHEUMATOID ARTHRITIS,"Actemra ACTPen, Polyarticular Juvenile Idiopathic Arthritis (PJIA)",ACTEMRA SYRINGES
RHEUMATOID ARTHRITIS,"Actemra ACTPen, Rheumatoid Arthritis",ACTEMRA VIALS
RHEUMATOID ARTHRITIS,"Actemra ACTPen, Rheumatoid Arthritis",ACTEMRA SYRINGES
RHEUMATOID ARTHRITIS,"Actemra ACTPen, Systemic-Onset Juvenile Idiopathic Arthritis (SJIA)",ACTEMRA VIALS
RHEUMATOID ARTHRITIS,"Actemra ACTPen, Systemic-Onset Juvenile Idiopathic Arthritis (SJIA)",ACTEMRA SYRINGES
RHEUMATOID ARTHRITIS,"Actemra ACTPen, Systemic Sclerosis-Associated Interstitial Lung Disease (SSc-ILD)",ACTEMRA VIALS
RHEUMATOID ARTHRITIS,"Actemra ACTPen, Systemic Sclerosis-Associated Interstitial Lung Disease (SSc-ILD)",ACTEMRA SYRINGES
