therapeutic_class,capsule_name,pdl_name,status
ANTIPSYCHOTICS - ATYPICALS,Abilify Asimtufii,ABILIFY ASIMTUFII,Preferred
ANTIPSYCHOTICS - ATYPICALS,Abilify Maintena,ABILIFY MAINTENA,Preferred
ANTIPSYCHOTICS - ATYPICALS,Abilify tablet,ABILIFY TABS,Non-Preferred
"ISOTRETINION, ACNE",Absorica LD capsule,ABSORICA LD,Non-Preferred
GI - PROTON PUMP INHIBITOR,Aciphex,ACIPHEX TBEC,Non-Preferred
SICKLE CELL DISEASE,Adakveo,ADAKVEO,Non-Preferred
PULMONARY ANTI-HYPERTENSIVES,Adcirca,ADCIRCA,Non-Preferred
STIMULANT - LONG ACTING AMPHETAMINES SALT,Adderall XR ER capsule,ADDERALL XR CP24,Preferred
PULMONARY ANTI-HYPERTENSIVES,Adempas,ADEMPAS,Non-Preferred
INCRETIN MIMETIC,Adlyxin,ADLYXIN,Non-Preferred
DIABETIC - INSULIN,Admelog,ADMELOG,Non-Preferred
DIABETIC - INSULIN,Admelog SoloStar,ADMELOG,Non-Preferred
ANTIASTHMATIC - ADRENERGIC COMBINATIONS,Advair Diskus,ADVAIR DISKUS,Preferred
ANTIASTHMATIC - ADRENERGIC COMBINATIONS,Advair HFA,ADVAIR HFA,Preferred
ANTIHEMOPHILIC AGENTS,Advate,ADVATE,Non-Preferred
ANTIHEMOPHILIC AGENTS,Adynovate,ADYNOVATE VIAL,Non-Preferred
ANTIHEMOPHILIC AGENTS,Afstyla,AFSTYLA,Non-Preferred
MIGRAINE -  PREVENTATIVE TREATMENT,Aimovig,AIMOVIG,Preferred
ANTIASTHMATIC - ADRENERGIC COMBINATIONS,Airduo Digihaler,AIRDUO DIGIHALER,Non-Preferred
ANTIASTHMATIC - ADRENERGIC COMBINATIONS,Airduo Respiclick,AIRDUO RESPICLICK,Preferred
ANTIASTHMATIC - ADRENERGIC COMBINATIONS,Airsupra HFA,AIRSUPRA,Non-Preferred
MIGRAINE -  PREVENTATIVE TREATMENT,Ajovy,AJOVY,Preferred
CANCER,Akeega,AKEEGA,Non-Preferred
