therapeutic_class,capsule_name,pdl_name,status
RHEUMATOID ARTHRITIS,"Actemra prefilled syringe, Giant Cell Arteritis",ACTEMRA SYRINGES,Preferred
RHEUMATOID ARTHRITIS,"Actemra prefilled syringe, Polyarticular Juvenile Idiopathic Arthritis (PJIA)",ACTEMRA SYRINGES,Preferred
RHEUMATOID ARTHRITIS,"Actemra prefilled syringe, Rheumatoid Arthritis",ACTEMRA SYRINGES,Preferred
RHEUMATOID ARTHRITIS,"Actemra prefilled syringe, Systemic Sclerosis-Associated Interstitial Lung Disease (SSc-ILD)",ACTEMRA SYRINGES,Preferred
RHEUMATOID ARTHRITIS,"Actemra prefilled syringe, Systemic-Onset Juvenile Idiopathic Arthritis (SJIA)",ACTEMRA SYRINGES,Preferred
RHEUMATOID ARTHRITIS,"Actemra vial, Coronavirus Disease 2019",ACTEMRA VIALS,Preferred
RHEUMATOID ARTHRITIS,"Actemra vial, Cytokine Release Syndrome",ACTEMRA VIALS,Preferred
RHEUMATOID ARTHRITIS,"Actemra vial, Giant Cell Arteritis",ACTEMRA VIALS,Preferred
RHEUMATOID ARTHRITIS,"Actemra vial, Polyarticular Juvenile Idiopathic Arthritis (PJIA)",ACTEMRA VIALS,Preferred
RHEUMATOID ARTHRITIS,"Actemra vial, Rheumatoid Arthritis",ACTEMRA VIALS,Preferred
RHEUMATOID ARTHRITIS,"Actemra vial, Systemic-Onset Juvenile Idiopathic Arthritis (SJIA)",ACTEMRA VIALS,Preferred
PSORIASIS BIOLOGICALS,Adalimumab-fkjp Ankylosing Spondylitis,ADALIMUMAB-FKJP,Preferred
PSORIASIS BIOLOGICALS,Adalimumab-fkjp Crohn’s Disease (adult),ADALIMUMAB-FKJP,Preferred
PSORIASIS BIOLOGICALS,Adalimumab-fkjp Crohn’s Disease (pediatric),ADALIMUMAB-FKJP,Preferred
PSORIASIS BIOLOGICALS,Adalimumab-fkjp Hidradenitis Suppurativa,ADALIMUMAB-FKJP,Preferred
PSORIASIS BIOLOGICALS,Adalimumab-fkjp Plaque Psoriasis (adult),ADALIMUMAB-FKJP,Preferred
PSORIASIS BIOLOGICALS,Adalimumab-fkjp Polyarticular Juvenile Idiopathic Arthritis (PJIA),ADALIMUMAB-FKJP,Preferred
PSORIASIS BIOLOGICALS,Adalimumab-fkjp Psoriatic Arthritis (adult),ADALIMUMAB-FKJP,Preferred
RHEUMATOID ARTHRITIS,Adalimumab-fkjp Rheumatoid Arthritis,ADALIMUMAB-FKJP3,Preferred
PSORIASIS BIOLOGICALS,Adalimumab-fkjp Ulcerative Colitis (adult),ADALIMUMAB-FKJP,Preferred
PSORIASIS BIOLOGICALS,Adalimumab-fkjp Uveitis (adult),ADALIMUMAB-FKJP,Preferred
TOPICAL- ATOPIC DERMATITIS,Adbry Atopic Dermatitis (adult),"ADBRY2,4",Preferred
PSORIASIS BIOLOGICALS,Amjevita Ankylosing Spondylitis,AMJEVITA,Non-Preferred
PSORIASIS BIOLOGICALS,Amjevita Crohn’s Disease (adult),AMJEVITA,Non-Preferred
PSORIASIS BIOLOGICALS,Amjevita Crohn’s Disease (pediatric),AMJEVITA,Non-Preferred
PSORIASIS BIOLOGICALS,Amjevita Hidradenitis Suppurativa,AMJEVITA,Non-Preferred
PSORIASIS BIOLOGICALS,Amjevita Plaque Psoriasis (adult),AMJEVITA,Non-Preferred
PSORIASIS BIOLOGICALS,Amjevita Polyarticular Juvenile Idiopathic Arthritis (PJIA),AMJEVITA,Non-Preferred
PSORIASIS BIOLOGICALS,Amjevita Psoriatic Arthritis (adult),AMJEVITA,Non-Preferred
PSORIASIS BIOLOGICALS,Amjevita Rheumatoid Arthritis,AMJEVITA,Non-Preferred
PSORIASIS BIOLOGICALS,Amjevita Ulcerative Colitis (adult),AMJEVITA,Non-Preferred
PSORIASIS BIOLOGICALS,Amjevita Uveitis (adult),AMJEVITA,Non-Preferred
LUPUS-SLE  ,Benlysta,BENLYSTA1,Non-Preferred
PSORIASIS BIOLOGICALS,Bimzelx Ankylosing Spondylitis,BIMZELX3,Non-Preferred
PSORIASIS BIOLOGICALS,Bimzelx Non-Radiographic Axial Spondyloarthritis,BIMZELX3,Non-Preferred
