therapeutic_class,pdl_name,status
"ACNE AGENTS, TOPICAL section updated 8-1-2024",WINLEVI (TOPICAL),Non-Preferred
"ACNE AGENTS, TOPICAL section updated 8-1-2024",ZIANA (TOPICAL),Non-Preferred
ALZHEIMER'S AGENTS section updated 8-1-2024,DONEPEZIL ODT (ORAL),Preferred
ALZHEIMER'S AGENTS section updated 8-1-2024,DONEPEZIL TABLET (ORAL),Preferred
ALZHEIMER'S AGENTS section updated 8-1-2024,MEMANTINE TABLET (ORAL),Preferred
ALZHEIMER'S AGENTS section updated 8-1-2024,ADLARITY (TRANSDERM),Non-Preferred
ALZHEIMER'S AGENTS section updated 8-1-2024,ARICEPT (ORAL),Non-Preferred
ALZHEIMER'S AGENTS section updated 8-1-2024,ARICEPT 23 MG (ORAL),Non-Preferred
ALZHEIMER'S AGENTS section updated 8-1-2024,ARICEPT ODT (ORAL),Non-Preferred
ALZHEIMER'S AGENTS section updated 8-1-2024,DONEPEZIL 23 MG (ORAL),Non-Preferred
ALZHEIMER'S AGENTS section updated 8-1-2024,EXELON (TRANSDERM.),Non-Preferred
ALZHEIMER'S AGENTS section updated 8-1-2024,EXELON CAPSULES (ORAL),Non-Preferred
ALZHEIMER'S AGENTS section updated 8-1-2024,GALANTAMINE ER (ORAL),Non-Preferred
ALZHEIMER'S AGENTS section updated 8-1-2024,GALANTAMINE SOLUTION (ORAL),Non-Preferred
ALZHEIMER'S AGENTS section updated 8-1-2024,GALANTAMINE TABLET (ORAL),Non-Preferred
ALZHEIMER'S AGENTS section updated 8-1-2024,MEMANTINE ER (ORAL),Non-Preferred
ALZHEIMER'S AGENTS section updated 8-1-2024,MEMANTINE SOLUTION (ORAL),Non-Preferred
ALZHEIMER'S AGENTS section updated 8-1-2024,MEMANTINE TABLET DOSE PACK (AG) (ORAL),Non-Preferred
ALZHEIMER'S AGENTS section updated 8-1-2024,NAMENDA TABLET (ORAL),Non-Preferred
ALZHEIMER'S AGENTS section updated 8-1-2024,NAMENDA TABLET DOSE PACK (ORAL),Non-Preferred
ALZHEIMER'S AGENTS section updated 8-1-2024,NAMENDA XR (ORAL),Non-Preferred
ALZHEIMER'S AGENTS section updated 8-1-2024,NAMZARIC (ORAL),Non-Preferred
ALZHEIMER'S AGENTS section updated 8-1-2024,NAMZARIC DOSE PACK (ORAL),Non-Preferred
ALZHEIMER'S AGENTS section updated 8-1-2024,RIVASTIGMINE (AG) (TRANSDERM.),Non-Preferred
ALZHEIMER'S AGENTS section updated 8-1-2024,RIVASTIGMINE (TRANSDERM.),Non-Preferred
ALZHEIMER'S AGENTS section updated 8-1-2024,RIVASTIGMINE CAPSULES (ORAL),Non-Preferred
"ANALGESICS, NARCOTICS LONG section updated 6-17-2025",BELBUCA (BUCCAL),Preferred
"ANALGESICS, NARCOTICS LONG section updated 6-17-2025",BUPRENORPHINE (TRANSDERM),Preferred
"ANALGESICS, NARCOTICS LONG section updated 6-17-2025",MORPHINE ER TABLET (ORAL),Preferred
"ANALGESICS, NARCOTICS LONG section updated 6-17-2025","FENTANYL (25, 50MCG) TRANSDERM",Preferred
"ANALGESICS, NARCOTICS LONG section updated 6-17-2025",BUPRENORPHINE (BUCCAL),Non-Preferred
"ANALGESICS, NARCOTICS LONG section updated 6-17-2025",CONZIP (ORAL),Non-Preferred
"ANALGESICS, NARCOTICS LONG section updated 6-17-2025","FENTANYL (12, 37.5, 62.5, 87.5 MG, 75, 100MCG) (TRANSDERM)",Non-Preferred
"ANALGESICS, NARCOTICS LONG section updated 6-17-2025",HYDROCODONE ER (HYSINGLA ER) (ORAL),Non-Preferred
"ANALGESICS, NARCOTICS LONG section updated 6-17-2025",HYDROCODONE ER (ZOHYDRO ER) (ORAL),Non-Preferred
"ANALGESICS, NARCOTICS LONG section updated 6-17-2025",HYDROMORPHONE ER (ORAL),Non-Preferred
"ANALGESICS, NARCOTICS LONG section updated 6-17-2025",HYSINGLA ER (ORAL),Non-Preferred
"ANALGESICS, NARCOTICS LONG section updated 6-17-2025",METHADONE TABLET (ORAL),Non-Preferred
"ANALGESICS, NARCOTICS LONG section updated 6-17-2025",MORPHABOND ER (ORAL),Non-Preferred
"ANALGESICS, NARCOTICS LONG section updated 6-17-2025",MORPHINE ER CAPSULE (AVINZA) (ORAL),Non-Preferred
"ANALGESICS, NARCOTICS LONG section updated 6-17-2025",MORPHINE ER CAPSULE (KADIAN) (ORAL),Non-Preferred
"ANALGESICS, NARCOTICS LONG section updated 6-17-2025",MS CONTIN (ORAL),Non-Preferred
"ANALGESICS, NARCOTICS LONG section updated 6-17-2025",OPANA ER (ORAL),Non-Preferred
"ANALGESICS, NARCOTICS LONG section updated 6-17-2025",OXYCONTIN (ORAL),Non-Preferred
"ANALGESICS, NARCOTICS LONG section updated 6-17-2025",OXYCODONE ER (ORAL),Non-Preferred
"ANALGESICS, NARCOTICS LONG section updated 6-17-2025",OXYMORPHONE ER (ORAL),Non-Preferred
"ANALGESICS, NARCOTICS LONG section updated 6-17-2025",TRAMADOL ER (CONZIP) (ORAL),Non-Preferred
"ANALGESICS, NARCOTICS LONG section updated 6-17-2025",TRAMADOL ER (RYZOLT) (ORAL),Non-Preferred
"ANALGESICS, NARCOTICS LONG section updated 6-17-2025",TRAMADOL ER (ULTRAM ER) (ORAL),Non-Preferred
"ANALGESICS, NARCOTICS LONG section updated 6-17-2025",ZOHYDRO ER (ORAL),Non-Preferred
ANDROGENIC AGENTS section updated 8-1-2024,TESTOSTERONE GEL PUMP (ANDROGEL) (TRANSDERM),Preferred
