therapeutic_class,pdl_name,status
ACNE AGENTS: ANTI-INFECTIVES,clindamycin gel (generic CLEOCIN-T),Preferred
ACNE AGENTS: ANTI-INFECTIVES,azelaic acid,Non-Preferred
ACNE AGENTS: ANTI-INFECTIVES,"clindamycin lotion, medicated swab, solution",Preferred
ACNE AGENTS: ANTI-INFECTIVES,CLEOCIN T (clindamycin),Non-Preferred
ACNE AGENTS: ANTI-INFECTIVES,CLINDACIN (clindamycin),Non-Preferred
ACNE AGENTS: ANTI-INFECTIVES,CLINDAGEL (clindamycin),Non-Preferred
ACNE AGENTS: ANTI-INFECTIVES,clindamycin foam,Non-Preferred
ACNE AGENTS: ANTI-INFECTIVES,clindamycin gel (generic CLINDAGEL),Non-Preferred
ACNE AGENTS: ANTI-INFECTIVES,dapsone,Non-Preferred
ACNE AGENTS: ANTI-INFECTIVES,ERY (erythromycin),Non-Preferred
ACNE AGENTS: ANTI-INFECTIVES,ERYGEL (erythromycin),Non-Preferred
ACNE AGENTS: ANTI-INFECTIVES,erythromycin,Non-Preferred
ACNE AGENTS: ANTI-INFECTIVES,EVOCLIN (clindamycin),Non-Preferred
ACNE AGENTS: ANTI-INFECTIVES,KLARON (sulfacetamide),Non-Preferred
ACNE AGENTS: ANTI-INFECTIVES,MORGIDOX (doxycycline),Non-Preferred
ACNE AGENTS: ANTI-INFECTIVES,sulfacetamide sodium suspension,Non-Preferred
ACNE AGENTS: ANTI-INFECTIVES,WINLEVI (clascoterone) cream,Non-Preferred
ACNE AGENTS: ISOTRETINOIN PRODUCTS,AMNESTEEM (isotretinoin),Preferred
ACNE AGENTS: ISOTRETINOIN PRODUCTS,ABSORBICA (isotretinoin),Non-Preferred
ACNE AGENTS: ISOTRETINOIN PRODUCTS,CLARAVIS (isotretinoin),Preferred
ACNE AGENTS: ISOTRETINOIN PRODUCTS,isotretinoin,Non-Preferred
ACNE AGENTS: ISOTRETINOIN PRODUCTS,ZENATANE (isotretinoin),Preferred
ACNE AGENTS: KERATOLYTICS (BENZOYL PEROXIDES),ACNE MEDICATION (benzoyl peroxide),Preferred
ACNE AGENTS: KERATOLYTICS (BENZOYL PEROXIDES),BPO towelette (benzoyl peroxide),Non-Preferred
ACNE AGENTS: KERATOLYTICS (BENZOYL PEROXIDES),benzoyl peroxide,Preferred
ACNE AGENTS: KERATOLYTICS (BENZOYL PEROXIDES),LINTERA (benzoyl peroxide),Preferred
ACNE AGENTS: RETINOIDS,"adapalene gel, gel with pump",Preferred
ACNE AGENTS: RETINOIDS,adapalene cream,Non-Preferred
ACNE AGENTS: RETINOIDS,RETIN-A (tretinoin),Preferred
ACNE AGENTS: RETINOIDS,AKLIEF (trifarotene),Non-Preferred
