id,ST,Product,Coverage Tag(s),capsule_name,Class,PDL Status,PDL Status Date,Scraper Status,Notes
5766,MS,Risperdal Consta,,Risperdal Consta,Antipsychotics,Preferred,2025-09-01,Non-Preferred,
42048,MS,Ziprasidone,capsule,Ziprasidone capsule,Antipsychotics,Preferred,2025-09-01,Non-Preferred,
4106,MS,Lokelma,,Lokelma,Potassium Binders,Preferred,2025-09-01,Not Found by Scraper,
7245,MS,Nuvaring,,Nuvaring,Contraceptives Other,Preferred,2025-09-01,Not Found by Scraper,
10785,MS,Advate,,Advate,Hemophilia Treatment,Preferred,2025-09-01,Not Found by Scraper,
10887,MS,Afstyla,,Afstyla,Hemophilia Treatment,Preferred,2025-09-01,Not Found by Scraper,
11295,MS,Alphagan P,0.1%,Alphagan P 0.1%,Ophthalmics Glaucoma Agents,Preferred,2025-09-01,Not Found by Scraper,
11346,MS,Alprolix,,Alprolix,Hemophilia Treatment,Preferred,2025-09-01,Not Found by Scraper,
11397,MS,Altuviiio,,Altuviiio,Hemophilia Treatment,Preferred,2025-09-01,Not Found by Scraper,
12825,MS,Asmanex Twisthaler,,Asmanex Twisthaler,Glucocorticoids Inhaled,Preferred,2025-09-01,Not Found by Scraper,
13488,MS,Benefix,,Benefix,Hemophilia Treatment,Preferred,2025-09-01,Not Found by Scraper,
13896,MS,Blephamide,S.O.P.,Blephamide S.O.P.,Ophthalmics Antibiotic Steroid Combinations,Preferred,2025-09-01,Not Found by Scraper,
15630,MS,Combigan,,Combigan,Ophthalmics Glaucoma Agents,Preferred,2025-09-01,Not Found by Scraper,
16446,MS,Dexcom G6 Transmitter,,Dexcom G6 Transmitter,Continuous Glucose Monitoring,Preferred,2025-09-01,Not Found by Scraper,
16497,MS,DexCom G7 Sensor,,DexCom G7 Sensor,Continuous Glucose Monitoring,Preferred,2025-09-01,Not Found by Scraper,
18282,MS,Epogen,,Epogen,Erythropoiesis Stimulating Proteins,Preferred,2025-09-01,Not Found by Scraper,
20016,MS,Freestyle Libre,,Freestyle Libre,Continuous Glucose Monitoring,Preferred,2025-09-01,Not Found by Scraper,
20067,MS,Freestyle Libre 2,,Freestyle Libre 2,Continuous Glucose Monitoring,Preferred,2025-09-01,Not Found by Scraper,
20118,MS,Freestyle Libre 3 Reader,,Freestyle Libre 3 Reader,Continuous Glucose Monitoring,Preferred,2025-09-01,Not Found by Scraper,
20883,MS,Hemlibra,,Hemlibra,Hemophilia Treatment,Preferred,2025-09-01,Not Found by Scraper,
21597,MS,Idelvion,,Idelvion,Hemophilia Treatment,Preferred,2025-09-01,Not Found by Scraper,
22413,MS,Ixinity,,Ixinity,Hemophilia Treatment,Preferred,2025-09-01,Not Found by Scraper,
23382,MS,Kogenate FS,,Kogenate FS,Hemophilia Treatment,Preferred,2025-09-01,Not Found by Scraper,
23586,MS,Kovaltry,,Kovaltry,Hemophilia Treatment,Preferred,2025-09-01,Not Found by Scraper,
24555,MS,Linzess,"145 mcg, 290 mcg","Linzess 145 mcg, 290 mcg",GI Motility Chronic,Preferred,2025-09-01,Not Found by Scraper,
25728,MS,Mavyret,,Mavyret,Hepatitis C Agents,Preferred,2025-09-01,Not Found by Scraper,
27105,MS,Novoeight,,Novoeight,Hemophilia Treatment,Preferred,2025-09-01,Not Found by Scraper,
27870,MS,Nuwiq,,Nuwiq,Hemophilia Treatment,Preferred,2025-09-01,Not Found by Scraper,
29757,MS,Pred-G Drops/Susp,,Pred-G Drops/Susp,Ophthalmics Antibiotic Steroid Combinations,Preferred,2025-09-01,Not Found by Scraper,
30420,MS,Promacta,tablet,Promacta tablet,Thrombopoiesis Stimulating Proteins,Preferred,2025-09-01,Not Found by Scraper,
32409,MS,Rixubis,,Rixubis,Hemophilia Treatment,Preferred,2025-09-01,Not Found by Scraper,
33378,MS,Sevelamer,carbonate tablets,Sevelamer carbonate tablets,Phosphate Binders,Preferred,2025-09-01,Not Found by Scraper,
33735,MS,Slynd,,Slynd,Contraceptives Oral,Preferred,2025-09-01,Not Found by Scraper,
