therapeutic_class,capsule_name,pdl_name
GLUCOCORTICOIDS (INHALED): GLUCOCORTICOID/BRONCHODILATOR COMBINATIONS,Airduo Respiclick,AIRDUO DIGIHALER (fluticasone/salmeterol)
GLUCOCORTICOIDS (INHALED): GLUCOCORTICOIDS,Asmanex Twisthaler,ASMANEX (mometasone)
GLUCOCORTICOIDS (INHALED): GLUCOCORTICOIDS,Asmanex Twisthaler,ASMANEX HFA (mometasone)
"ANALGESICS, OPIOID-SHORT ACTING",Aspirin / Dipyridamole,aspirin/butalbital/caffeine/codeine
SKELETAL MUSCLE RELAXANTS,Aspirin / Dipyridamole,carisoprodol/aspirin
SKELETAL MUSCLE RELAXANTS,Aspirin / Dipyridamole,NORGESIC (orphenadrine/aspirin/caffeine)
SKELETAL MUSCLE RELAXANTS,Aspirin / Dipyridamole,NORGESIC FORTE (orphenadrine/aspirin/caffeine)
SKELETAL MUSCLE RELAXANTS,Aspirin / Dipyridamole,orphenadrine/aspirin/caffeine
SKELETAL MUSCLE RELAXANTS,Aspirin / Dipyridamole,"ORPHENGESIC FORTE 
(orphenadrine/aspirin/caffeine)"
*ANTINEOPLASTICS – SELECTED SYSTEMIC ENZYME INHIBITORS (continued),Azacitidine vial,ONUREG (azacitidine)
ANGIOTENSIN MODULATORS : ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs),Azilsartan,EDARBI (azilsartan)
ANGIOTENSIN MODULATORS (continued): ARB COMBINATIONS,Azilsartan,EDARBYCLOR (azilsartan/chlorthalidone)
"IMMUNOSUPPRESSIVE AGENTS, ORAL",Cyclosporine ophthalmic emulsion,cyclosporine
"IMMUNOSUPPRESSIVE AGENTS, ORAL",Cyclosporine ophthalmic emulsion,NEORAL (cyclosporine)
"IMMUNOSUPPRESSIVE AGENTS, ORAL",Cyclosporine ophthalmic emulsion,SANDIMMUNE (cyclosporine)
"ANTIDEPRESSANTS, OTHER","Duloxetine 20 mg, generic Cymbalta, 30 mg, 60 mg, Neuropathic Pain",DRIZALMA SPRINKLE (duloxetine DR)
"ANTIDEPRESSANTS, OTHER","Duloxetine 40 mg, generic Irenka, Neuropathic Pain",DRIZALMA SPRINKLE (duloxetine DR)
"ANTIDEPRESSANTS, OTHER",Duloxetine Major Depressive Disorder / Generalized Anxiety Disorder,DRIZALMA SPRINKLE (duloxetine DR)
SELECT CONTRACEPTIVE PRODUCTS: INTRAVAGINAL CONTRACEPTIVES,Etonogestrel / Ethinyl Estradiol,ENILLORING (etonogestrel/ethinyl estradiol)
ALPHA-1 PROTEINASE INHIBITORS,NP Thyroid,ARALAST NP
*ANTINEOPLASTICS – SELECTED SYSTEMIC ENZYME INHIBITORS (continued),NP Thyroid,LYNPARZA (olaparib)
COLONY STIMULATING FACTORS,NP Thyroid,"NEULASTA, NEULASTA ONPRO (pegfilgrastim)"
"HYPOGLYCEMICS, INCRETIN MIMETICS/ENHANCERS",NP Thyroid,SYMLINPEN (pramlintide)
"HYPOGLYCEMICS, INSULINS & RELATED AGENTS",NP Thyroid,HUMULIN 70/30 vial (insulin NPH/regular)
"HYPOGLYCEMICS, INSULINS & RELATED AGENTS",NP Thyroid,HUMULIN N (insulin NPH)
"HYPOGLYCEMICS, INSULINS & RELATED AGENTS",NP Thyroid,NOVOLIN 70/30 (insulin NPH/regular)
"HYPOGLYCEMICS, INSULINS & RELATED AGENTS (continued)",NP Thyroid,NOVOLIN N (insulin NPH)
"HYPOGLYCEMICS, SODIUM GLUCOSE COTRANSPORTER-2 (SGLT-2) INHIBITORS : SGLT-2 INHIBITORS",NP Thyroid,INPEFA (sotagliflozin)
PANCREATIC ENZYMES,NP Thyroid,ZENPEP (lipase/protease/amylase)
ACNE AGENTS: ANTI-INFECTIVES,One Touch Ultra 2 System,dapsone
ACNE AGENTS: ANTI-INFECTIVES,One Touch Ultra 2 System,WINLEVI (clascoterone) cream
ACNE AGENTS (continued): OTHERS/COMBINATION PRODUCTS,One Touch Ultra 2 System,clindamycin/benzoyl peroxide 1.2%-3.75% gel w/pump (generic ONEXTON)
ACNE AGENTS (continued): OTHERS/COMBINATION PRODUCTS,One Touch Ultra 2 System,ONEXTON (benzoyl peroxide/clindamycin) gel
ALZHEIMER’S AGENTS : CHOLINESTERASE INHIBITORS,One Touch Ultra 2 System,"donepezil 5 mg, 10 mg ODT, tablets"
ALZHEIMER’S AGENTS : CHOLINESTERASE INHIBITORS,One Touch Ultra 2 System,ADLARITY (donepezil)
ALZHEIMER’S AGENTS : CHOLINESTERASE INHIBITORS,One Touch Ultra 2 System,ARICEPT (donepezil)
ALZHEIMER’S AGENTS : CHOLINESTERASE INHIBITORS,One Touch Ultra 2 System,donepezil 23 mg tablet
ALZHEIMER’S AGENTS (continued): COMBINATION AGENTS,One Touch Ultra 2 System,NAMZARIC (memantine/donepezil)
ALZHEIMER’S AGENTS (continued): COMBINATION AGENTS,One Touch Ultra 2 System,memantine/donepezil ER
"ANALGESICS, OPIOID-SHORT ACTING",One Touch Ultra 2 System,ENDOCET (oxycodone/acetaminophen)
"ANALGESICS, OPIOID-SHORT ACTING",One Touch Ultra 2 System,hydrocodone/acetaminophen
"ANALGESICS, OPIOID-SHORT ACTING",One Touch Ultra 2 System,DILAUDID (hydromorphone)
"ANALGESICS, OPIOID-SHORT ACTING",One Touch Ultra 2 System,hydromorphone
"ANALGESICS, OPIOID-SHORT ACTING",One Touch Ultra 2 System,oxycodone
"ANALGESICS, OPIOID-SHORT ACTING",One Touch Ultra 2 System,oxycodone/acetaminophen (325 mg acetaminophen formulations)
"ANALGESICS, OPIOID-SHORT ACTING",One Touch Ultra 2 System,hydrocodone/ibuprofen
"ANALGESICS, OPIOID-SHORT ACTING",One Touch Ultra 2 System,NALOCET (oxycodone/acetaminophen)
"ANALGESICS, OPIOID-SHORT ACTING",One Touch Ultra 2 System,oxymorphone
"ANALGESICS, OPIOID-SHORT ACTING",One Touch Ultra 2 System,pentazocine/naloxone
"ANALGESICS, OPIOID-SHORT ACTING",One Touch Ultra 2 System,PERCOCET (oxycodone/acetaminophen)
"ANALGESICS, OPIOID-SHORT ACTING",One Touch Ultra 2 System,PROLATE (oxycodone/acetaminophen)
"ANALGESICS, OPIOID-SHORT ACTING",One Touch Ultra 2 System,ROXICODONE (oxycodone)
"ANALGESICS, OPIOID-SHORT ACTING",One Touch Ultra 2 System,ROXYBOND (oxycodone)
"ANALGESICS, OPIOID-LONG ACTING",One Touch Ultra 2 System,hydrocodone bitartrate ER
"ANALGESICS, OPIOID-LONG ACTING",One Touch Ultra 2 System,hydromorphone ER
"ANALGESICS, OPIOID-LONG ACTING (continued)",One Touch Ultra 2 System,HYSINGLA ER (hydrocodone)
"ANALGESICS, OPIOID-LONG ACTING (continued)",One Touch Ultra 2 System,methadone
"ANALGESICS, OPIOID-LONG ACTING (continued)",One Touch Ultra 2 System,methadone intensol
"ANALGESICS, OPIOID-LONG ACTING (continued)",One Touch Ultra 2 System,METHADOSE (methadone)
"ANALGESICS, OPIOID-LONG ACTING (continued)",One Touch Ultra 2 System,oxycodone ER
"ANALGESICS, OPIOID-LONG ACTING (continued)",One Touch Ultra 2 System,OXYCONTIN (oxycodone)
"ANALGESICS, OPIOID-LONG ACTING (continued)",One Touch Ultra 2 System,oxymorphone ER
ANALGESICS/ANESTHETICS (TOPICAL),One Touch Ultra 2 System,lidocaine/hydrocortisone
ANALGESICS/ANESTHETICS (TOPICAL),One Touch Ultra 2 System,LIDOCORT (lidocaine/hydrocortisone)
ANDROGENIC AGENTS,One Touch Ultra 2 System,testosterone
ANDROGENIC AGENTS,One Touch Ultra 2 System,ANDROGEL (testosterone)
ANDROGENIC AGENTS,One Touch Ultra 2 System,JATENZO (testosterone undecanoate)
ANDROGENIC AGENTS,One Touch Ultra 2 System,NATESTO (testosterone)
ANDROGENIC AGENTS,One Touch Ultra 2 System,TESTIM (testosterone)
ANDROGENIC AGENTS,One Touch Ultra 2 System,TLANDO (testosterone undecanoate)
ANDROGENIC AGENTS,One Touch Ultra 2 System,VOGELXO (testosterone)
ANDROGENIC AGENTS (continued),One Touch Ultra 2 System,UNDECATREX (testosterone undecanoate)
ANGIOTENSIN MODULATORS (continued): ARB COMBINATIONS,One Touch Ultra 2 System,EDARBYCLOR (azilsartan/chlorthalidone)
ANTICONVULSANTS (continued): ADJUVANTS (continued),One Touch Ultra 2 System,VIGADRONE (vigabatrin)
ANTICONVULSANTS (continued): ADJUVANTS (continued),One Touch Ultra 2 System,ZTALMY (ganaxolone)
"ANTIDEPRESSANTS, OTHER",One Touch Ultra 2 System,DESYREL (trazodone)
"ANTIDEPRESSANTS, OTHER",One Touch Ultra 2 System,trazodone
"ANTIDEPRESSANTS, OTHER",One Touch Ultra 2 System,vilazodone
"ANTIDEPRESSANTS, OTHER",One Touch Ultra 2 System,nefazodone
"ANTIDEPRESSANTS, OTHER",One Touch Ultra 2 System,Trazodone solutionNR
"ANTIDEPRESSANTS, OTHER",One Touch Ultra 2 System,VIIBRYD (vilazodone)
"ANTIDEPRESSANTS, OTHER",One Touch Ultra 2 System,ZURZUVAE (zuranolone)
ANTIFUNGALS (TOPICAL) (continued): ANTIFUNGAL/STEROID COMBINATIONS,One Touch Ultra 2 System,clotrimazole/betamethasone cream
ANTIFUNGALS (TOPICAL) (continued): ANTIFUNGAL/STEROID COMBINATIONS,One Touch Ultra 2 System,clotrimazole/betamethasone lotion
ANTIFUNGALS (TOPICAL) (continued): ANTIFUNGAL/STEROID COMBINATIONS,One Touch Ultra 2 System,nystatin/triamcinolone
*ANTINEOPLASTICS – SELECTED SYSTEMIC ENZYME INHIBITORS,One Touch Ultra 2 System,AKEEGA (niraparib/abiraterone)
ANTIPARKINSON’S AGENTS (ORAL) : COMT INHIBITORS,One Touch Ultra 2 System,entacapone
ANTIPARKINSON’S AGENTS (ORAL) : COMT INHIBITORS,One Touch Ultra 2 System,OGENTYS (opicapone)
ANTIPARKINSON’S AGENTS (ORAL) : COMT INHIBITORS,One Touch Ultra 2 System,TASMAR (tocapone)
ANTIPARKINSON’S AGENTS (ORAL) : COMT INHIBITORS,One Touch Ultra 2 System,tolcapone
ANTIPARKINSON’S AGENTS (ORAL) (continued): OTHERS,One Touch Ultra 2 System,carbidopa/levodopa/entacapone
ANTIPARKINSON’S AGENTS (ORAL) (continued): OTHERS,One Touch Ultra 2 System,STALEVO (carbidopa/levodopa/entacapone)
ANTIPSORIATICS (TOPICAL),One Touch Ultra 2 System,ENSTILAR (calcipotriene/betamethasone)
ANTIPSORIATICS (TOPICAL),One Touch Ultra 2 System,calcipotriene/betamethasone
ANTIPSORIATICS (TOPICAL),One Touch Ultra 2 System,TACLONEX (calcipotriene/betamethasone)
"ANTIPSYCHOTICS : INJECTABLE, ATYPICALS",One Touch Ultra 2 System,GEODON (ziprasidone)
"ANTIPSYCHOTICS : INJECTABLE, ATYPICALS",One Touch Ultra 2 System,INVEGA HAFYERA (paliperidone)
"ANTIPSYCHOTICS : INJECTABLE, ATYPICALS",One Touch Ultra 2 System,risperidone ER
"ANTIPSYCHOTICS : INJECTABLE, ATYPICALS",One Touch Ultra 2 System,INVEGA SUSTENNA (paliperidone palmitate)
"ANTIPSYCHOTICS : INJECTABLE, ATYPICALS",One Touch Ultra 2 System,RYKINDO (risperidone)
"ANTIPSYCHOTICS : INJECTABLE, ATYPICALS",One Touch Ultra 2 System,INVEGA TRINZA (paliperidone)
"ANTIPSYCHOTICS : INJECTABLE, ATYPICALS",One Touch Ultra 2 System,ziprasidone
ANTIPSYCHOTICS (continued),One Touch Ultra 2 System,PERSERIS (risperidone)
ANTIPSYCHOTICS (continued),One Touch Ultra 2 System,RISPERIDAL CONSTA (risperidone)
ANTIPSYCHOTICS (continued),One Touch Ultra 2 System,UZEDY (risperidone)
ANTIPSYCHOTICS (continued): ORAL,One Touch Ultra 2 System,CAPLYTA (lumateperone)
ANTIPSYCHOTICS (continued): ORAL,One Touch Ultra 2 System,FANAPT (iloperidone)
ANTIPSYCHOTICS (continued): ORAL,One Touch Ultra 2 System,GEODON (ziprasidone)
ANTIPSYCHOTICS (continued): ORAL,One Touch Ultra 2 System,risperidone
ANTIPSYCHOTICS (continued): ORAL,One Touch Ultra 2 System,INVEGA (paliperidone)
ANTIPSYCHOTICS (continued): ORAL,One Touch Ultra 2 System,LATUDA (lurasidone)
ANTIPSYCHOTICS (continued): ORAL,One Touch Ultra 2 System,lurasidone
ANTIPSYCHOTICS (continued): ORAL,One Touch Ultra 2 System,ziprasidone
ANTIPSYCHOTICS (continued): ORAL,One Touch Ultra 2 System,paliperidone ER
ANTIPSYCHOTICS (continued): ORAL,One Touch Ultra 2 System,RISPERDAL (risperidone)
"ANTIVIRALS, TOPICAL",One Touch Ultra 2 System,XERESE (acyclovir/hydrocortisone)
"BETA BLOCKERS, ANTIANGINALS & SINUS NODE AGENTS : BETA-BLOCKER/DIURETIC COMBINATIONS",One Touch Ultra 2 System,atenolol/chlorthalidone
"BETA BLOCKERS, ANTIANGINALS & SINUS NODE AGENTS : BETA-BLOCKER/DIURETIC COMBINATIONS",One Touch Ultra 2 System,TENORETIC (atenolol/chlorthalidone)
BILE SALTS,One Touch Ultra 2 System,RELTONE (ursodiol)
BONE RESORPTION SUPPRESSION AND RELATED AGENTS : BISPHOSPHONATES,One Touch Ultra 2 System,ACTONEL (risedronate)
BRONCHODILATORS & COPD AGENTS: ANTICHOLINERGIC-BATA AGONIST-GLUCOCORTICOIDS COMBINATIONS,One Touch Ultra 2 System,"TRELEGY ELLIPTA 
(fluticasone/umeclidinium/vilanterol)"
GLUCOCORTICOIDS (INHALED): GLUCOCORTICOIDS,One Touch Ultra 2 System,ASMANEX (mometasone)
GLUCOCORTICOIDS (INHALED): GLUCOCORTICOIDS,One Touch Ultra 2 System,ARMONAIR DIGIHALER (fluticasone)
GLUCOCORTICOIDS (INHALED): GLUCOCORTICOIDS,One Touch Ultra 2 System,fluticasone diskus
GLUCOCORTICOIDS (INHALED): GLUCOCORTICOIDS,One Touch Ultra 2 System,ARNUITY ELLIPTA (fluticasone)
GLUCOCORTICOIDS (INHALED): GLUCOCORTICOIDS,One Touch Ultra 2 System,fluticasone HFA
GLUCOCORTICOIDS (INHALED): GLUCOCORTICOIDS,One Touch Ultra 2 System,ASMANEX HFA (mometasone)
GLUCOCORTICOIDS (INHALED): GLUCOCORTICOIDS,One Touch Ultra 2 System,QVAR REDIHALER (beclomethasone)
GLUCOCORTICOIDS (INHALED): GLUCOCORTICOIDS,One Touch Ultra 2 System,FLOVENT HFA (fluticasone)
GLUCOCORTICOIDS (INHALED): GLUCOCORTICOIDS,One Touch Ultra 2 System,FLOVENT DISKUS (fluticasone)
GLUCOCORTICOIDS (INHALED): GLUCOCORTICOID/BRONCHODILATOR COMBINATIONS,One Touch Ultra 2 System,ADVAIR DISKUS (fluticasone/salmeterol)
GLUCOCORTICOIDS (INHALED): GLUCOCORTICOID/BRONCHODILATOR COMBINATIONS,One Touch Ultra 2 System,AIRDUO DIGIHALER (fluticasone/salmeterol)
GLUCOCORTICOIDS (INHALED): GLUCOCORTICOID/BRONCHODILATOR COMBINATIONS,One Touch Ultra 2 System,ADVAIR HFA (fluticasone/salmeterol)
GLUCOCORTICOIDS (INHALED): GLUCOCORTICOID/BRONCHODILATOR COMBINATIONS,One Touch Ultra 2 System,DULERA (mometasone/formoterol)
GLUCOCORTICOIDS (INHALED): GLUCOCORTICOID/BRONCHODILATOR COMBINATIONS,One Touch Ultra 2 System,BREO ELLIPTA (fluticasone/vilanterol)
GLUCOCORTICOIDS (INHALED): GLUCOCORTICOID/BRONCHODILATOR COMBINATIONS,One Touch Ultra 2 System,fluticasone/salmeterol diskus
GLUCOCORTICOIDS (INHALED): GLUCOCORTICOID/BRONCHODILATOR COMBINATIONS,One Touch Ultra 2 System,fluticasone/salmeterol HFA
GLUCOCORTICOIDS (INHALED): GLUCOCORTICOID/BRONCHODILATOR COMBINATIONS,One Touch Ultra 2 System,fluticasone/vilanterol
GLUCOCORTICOIDS (INHALED): GLUCOCORTICOID/BRONCHODILATOR COMBINATIONS,One Touch Ultra 2 System,WIXELA INHUB (fluticasone/salmeterol)
"HYPOGLYCEMICS, BIGUANIDES",One Touch Ultra 2 System,OSENI (alogliptin/pioglitazone)
"HYPOGLYCEMICS, THIAZOLIDINEDIONES (TZDs) and TZD Combinations",One Touch Ultra 2 System,pioglitazone
"HYPOGLYCEMICS, THIAZOLIDINEDIONES (TZDs) and TZD Combinations",One Touch Ultra 2 System,ACTOPLUS MET (pioglitazone/metformin)
"HYPOGLYCEMICS, THIAZOLIDINEDIONES (TZDs) and TZD Combinations",One Touch Ultra 2 System,pioglitazone/metformin
"HYPOGLYCEMICS, THIAZOLIDINEDIONES (TZDs) and TZD Combinations",One Touch Ultra 2 System,ACTOS (pioglitazone)
"HYPOGLYCEMICS, THIAZOLIDINEDIONES (TZDs) and TZD Combinations",One Touch Ultra 2 System,DUETACT (pioglitazone/metformin)
IDIOPATHIC PULMONARY FIBROSIS,One Touch Ultra 2 System,ESBRIET (pirfenidone)
IDIOPATHIC PULMONARY FIBROSIS,One Touch Ultra 2 System,pirfenidone
MISCELLANEOUS BRAND/GENERIC (continued),One Touch Ultra 2 System,KORLYM (mifepristone)
MULTIPLE SCLEROSIS AGENTS,One Touch Ultra 2 System,COPAXONE (glatiramer) 20 mg
MULTIPLE SCLEROSIS AGENTS,One Touch Ultra 2 System,AVONEX (interferon beta-1a)
