therapeutic_class,capsule_name,pdl_name,status
"ANTIPSYCHOTICS : INJECTABLE, ATYPICALS",Abilify Asimtufii,ABILIFY ASIMTUFII (aripiprazole),Preferred
"ANTIPSYCHOTICS : INJECTABLE, ATYPICALS",Abilify Maintena,ABILIFY MAINTENA (aripiprazole),Preferred
ANTIPSYCHOTICS : ORAL,Abilify MyCite,ABILIFY MYCITE (aripiprazole),Non-Preferred
ANTIPSYCHOTICS : ORAL,Abilify tablet,ABILIFY (aripiprazole),Non-Preferred
SICKLE CELL AGENTS,Adakveo,ADAKVEO (crizanlizumab-tmca),Non-Preferred
PULMONARY ANTIHYPERTENSIVE AGENTS (continued): PDE5 INHIBITORS,Adcirca,ADCIRCA (tadalafil),Non-Preferred
STIMULANTS AND RELATED AGENTS : LONG-ACTING,Adderall XR ER capsule,"ADDERALL XR 
(dextroamphetamine/amphetamine)",Preferred
PULMONARY ANTIHYPERTENSIVE AGENTS (continued): SOLUABLE GUANYLATE CYCLASE STIMULATORS,Adempas,ADEMPAS (riociguat),Non-Preferred
"HYPOGLYCEMICS, INSULINS & RELATED AGENTS",Admelog,ADMELOG (insulin lispro),Non-Preferred
"HYPOGLYCEMICS, INSULINS & RELATED AGENTS",Admelog SoloStar,ADMELOG (insulin lispro),Non-Preferred
GLUCOCORTICOIDS (INHALED): GLUCOCORTICOID/BRONCHODILATOR COMBINATIONS,Advair Diskus,ADVAIR DISKUS (fluticasone/salmeterol),Preferred
GLUCOCORTICOIDS (INHALED): GLUCOCORTICOID/BRONCHODILATOR COMBINATIONS,Advair HFA,ADVAIR HFA (fluticasone/salmeterol),Preferred
*ANTINEOPLASTICS – SELECTED SYSTEMIC ENZYME INHIBITORS,Afinitor Disperz,AFINITOR DISPERZ (everolimus),Non-Preferred
*ANTINEOPLASTICS – SELECTED SYSTEMIC ENZYME INHIBITORS,Afinitor tablet,AFINITOR (everolimus),Non-Preferred
"ANTIMIGRAINE AGENTS, PROPHYLAXIS: INJECTABLES",Aimovig,AIMOVIG Autoinjector (erenumab-aooe) DUR+,Preferred
GLUCOCORTICOIDS (INHALED): GLUCOCORTICOID/BRONCHODILATOR COMBINATIONS,Airduo Digihaler,AIRDUO DIGIHALER (fluticasone/salmeterol),Non-Preferred
GLUCOCORTICOIDS (INHALED): GLUCOCORTICOID/BRONCHODILATOR COMBINATIONS,Airsupra HFA,AIRSUPRA (albuterol/budesonide),Non-Preferred
"ANTIMIGRAINE AGENTS, PROPHYLAXIS: INJECTABLES",Ajovy,AJOVY Syringe (fremanezumab-vfrm) DUR+,Preferred
*ANTINEOPLASTICS – SELECTED SYSTEMIC ENZYME INHIBITORS,Akeega,AKEEGA (niraparib/abiraterone),Non-Preferred
"BRONCHODILATORS, BETA AGONISTS (continued): INHALERS, SHORT ACTING",Albuterol HFA generic PROAIR,albuterol HFA,Preferred
*ANTINEOPLASTICS – SELECTED SYSTEMIC ENZYME INHIBITORS,Alecensa,ALECENSA (alectinib),Non-Preferred
"ANTIMIGRAINE AGENTS, ACUTE TREATMENT (continued): TRIPTANS AND RELATED AGENTS (ORAL)",Almotriptan,almotriptan,Non-Preferred
*ANTINEOPLASTICS – SELECTED SYSTEMIC ENZYME INHIBITORS,Alunbrig,ALUNBRIG (brigatinib),Non-Preferred
GLUCOCORTICOIDS (INHALED): GLUCOCORTICOIDS,Alvesco,ALVESCO (ciclesonide),Non-Preferred
PULMONARY ANTIHYPERTENSIVE AGENTS (continued): PDE5 INHIBITORS,Alyq,ALYQ (tadalafil),Non-Preferred
SEDATIVE HYPNOTIC AGENTS (continued): OTHERS,Ambien,AMBIEN (zolpidem),Non-Preferred
SEDATIVE HYPNOTIC AGENTS (continued): OTHERS,Ambien CR,AMBIEN CR (zolpidem),Non-Preferred
PULMONARY ANTIHYPERTENSIVE AGENTS: ENDOTHELIN RECEPTOR ANTAGONISTS,Ambrisentan,ambrisentan,Preferred
CALCIUM CHANNEL BLOCKERS : LONG-ACTING,Amlodipine tablet,amlodipine,Preferred
MUSCULAR DYSTROPHY AGENTS,Amondys 45,AMONDYS-45 (casimersen),Non-Preferred
SKELETAL MUSCLE RELAXANTS,Amrix,AMRIX (cyclobenzaprine),Non-Preferred
BRONCHODILATORS & COPD AGENTS: ANTICHOLINERGIC-BETA AGONIST COMBINATIONS,Anoro Ellipta,ANORO ELLIPTA (umeclidinium/vilanterol),Preferred
"HYPOGLYCEMICS, INSULINS & RELATED AGENTS",Apidra,APIDRA (insulin glulisine),Non-Preferred
