therapeutic_class,capsule_name,pdl_name,status
ANTIPSYCHOTICS : ORAL,Abilify,ABILIFY (aripiprazole),Non-Preferred
"ANTIPSYCHOTICS : INJECTABLE, ATYPICALS",Abilify Asimtufii,ABILIFY ASIMTUFII (aripiprazole),Preferred
"ANTIPSYCHOTICS : INJECTABLE, ATYPICALS",Abilify Maintena,ABILIFY MAINTENA (aripiprazole),Preferred
ANTIPSYCHOTICS : ORAL,Abilify MyCite,ABILIFY MYCITE (aripiprazole),Non-Preferred
ANTIPSYCHOTICS : ORAL,Abilify tablet,ABILIFY (aripiprazole),Non-Preferred
CYTOKINE & CAM ANTAGONISTS,Abrilada Ankylosing Spondylitis,ABRILADA (adalimumab-afzb),Non-Preferred
CYTOKINE & CAM ANTAGONISTS,Abrilada Crohn's Disease (adult),ABRILADA (adalimumab-afzb),Non-Preferred
CYTOKINE & CAM ANTAGONISTS,Abrilada Crohn's Disease (pediatric),ABRILADA (adalimumab-afzb),Non-Preferred
CYTOKINE & CAM ANTAGONISTS,Abrilada Hidradenitis Suppurativa,ABRILADA (adalimumab-afzb),Non-Preferred
CYTOKINE & CAM ANTAGONISTS,Abrilada Plaque Psoriasis (adult),ABRILADA (adalimumab-afzb),Non-Preferred
CYTOKINE & CAM ANTAGONISTS,Abrilada Polyarticular Juvenile Idiopathic Arthritis (PJIA),ABRILADA (adalimumab-afzb),Non-Preferred
CYTOKINE & CAM ANTAGONISTS,Abrilada Psoriatic Arthritis (adult),ABRILADA (adalimumab-afzb),Non-Preferred
CYTOKINE & CAM ANTAGONISTS,Abrilada Rheumatoid Arthritis,ABRILADA (adalimumab-afzb),Non-Preferred
CYTOKINE & CAM ANTAGONISTS,Abrilada Ulcerative Colitis (adult),ABRILADA (adalimumab-afzb),Non-Preferred
CYTOKINE & CAM ANTAGONISTS,Abrilada Uveitis (adult),ABRILADA (adalimumab-afzb),Non-Preferred
CYTOKINE & CAM ANTAGONISTS,"Actemra ACTPen, Giant Cell Arteritis",ACTEMRA ACTPEN (tocilizumab),Non-Preferred
CYTOKINE & CAM ANTAGONISTS,"Actemra ACTPen, Polyarticular Juvenile Idiopathic Arthritis (PJIA)",ACTEMRA ACTPEN (tocilizumab),Non-Preferred
CYTOKINE & CAM ANTAGONISTS,"Actemra ACTPen, Rheumatoid Arthritis",ACTEMRA ACTPEN (tocilizumab),Non-Preferred
CYTOKINE & CAM ANTAGONISTS,"Actemra ACTPen, Systemic Sclerosis-Associated Interstitial Lung Disease (SSc-ILD)",ACTEMRA ACTPEN (tocilizumab),Non-Preferred
CYTOKINE & CAM ANTAGONISTS,"Actemra ACTPen, Systemic-Onset Juvenile Idiopathic Arthritis (SJIA)",ACTEMRA ACTPEN (tocilizumab),Non-Preferred
CYTOKINE & CAM ANTAGONISTS,Actemra Cytokine Release Syndrome,"ACTEMRA (tocilizumab) syringe, vial",Preferred
CYTOKINE & CAM ANTAGONISTS,Actemra prefilled syringe,"ACTEMRA (tocilizumab) syringe, vial",Preferred
CYTOKINE & CAM ANTAGONISTS,"Actemra prefilled syringe, Cytokine Release Syndrome","ACTEMRA (tocilizumab) syringe, vial",Preferred
CYTOKINE & CAM ANTAGONISTS,"Actemra prefilled syringe, Giant Cell Arteritis","ACTEMRA (tocilizumab) syringe, vial",Preferred
CYTOKINE & CAM ANTAGONISTS,"Actemra prefilled syringe, Polyarticular Juvenile Idiopathic Arthritis (PJIA)","ACTEMRA (tocilizumab) syringe, vial",Preferred
CYTOKINE & CAM ANTAGONISTS,"Actemra prefilled syringe, Rheumatoid Arthritis","ACTEMRA (tocilizumab) syringe, vial",Preferred
CYTOKINE & CAM ANTAGONISTS,"Actemra prefilled syringe, Systemic Sclerosis-Associated Interstitial Lung Disease (SSc-ILD)","ACTEMRA (tocilizumab) syringe, vial",Preferred
CYTOKINE & CAM ANTAGONISTS,"Actemra prefilled syringe, Systemic-Onset Juvenile Idiopathic Arthritis (SJIA)","ACTEMRA (tocilizumab) syringe, vial",Preferred
CYTOKINE & CAM ANTAGONISTS,Actemra syringe/vial,"ACTEMRA (tocilizumab) syringe, vial",Preferred
CYTOKINE & CAM ANTAGONISTS,Actemra vial,"ACTEMRA (tocilizumab) syringe, vial",Preferred
CYTOKINE & CAM ANTAGONISTS,"Actemra vial, Coronavirus Disease 2019","ACTEMRA (tocilizumab) syringe, vial",Preferred
CYTOKINE & CAM ANTAGONISTS,"Actemra vial, Cytokine Release Syndrome","ACTEMRA (tocilizumab) syringe, vial",Preferred
CYTOKINE & CAM ANTAGONISTS,"Actemra vial, Giant Cell Arteritis","ACTEMRA (tocilizumab) syringe, vial",Preferred
CYTOKINE & CAM ANTAGONISTS,"Actemra vial, Polyarticular Juvenile Idiopathic Arthritis (PJIA)","ACTEMRA (tocilizumab) syringe, vial",Preferred
CYTOKINE & CAM ANTAGONISTS,"Actemra vial, Rheumatoid Arthritis","ACTEMRA (tocilizumab) syringe, vial",Preferred
CYTOKINE & CAM ANTAGONISTS,"Actemra vial, Systemic-Onset Juvenile Idiopathic Arthritis (SJIA)","ACTEMRA (tocilizumab) syringe, vial",Preferred
SICKLE CELL AGENTS,Adakveo,ADAKVEO (crizanlizumab-tmca),Non-Preferred
CYTOKINE & CAM ANTAGONISTS,Adalimumab-adaz Ankylosing Spondylitis,adalimumab-adaz,Non-Preferred
CYTOKINE & CAM ANTAGONISTS,"Adalimumab-adaz Ankylosing Spondylitis, auto-injector",adalimumab-adaz,Non-Preferred
CYTOKINE & CAM ANTAGONISTS,"Adalimumab-adaz Ankylosing Spondylitis, prefilled syringe",adalimumab-adaz,Non-Preferred
CYTOKINE & CAM ANTAGONISTS,Adalimumab-adaz Crohn's Disease (adult),adalimumab-adaz,Non-Preferred
CYTOKINE & CAM ANTAGONISTS,"Adalimumab-adaz Crohn's Disease (adult), auto-injector",adalimumab-adaz,Non-Preferred
CYTOKINE & CAM ANTAGONISTS,"Adalimumab-adaz Crohn's Disease (adult), prefilled syringe",adalimumab-adaz,Non-Preferred
CYTOKINE & CAM ANTAGONISTS,Adalimumab-adaz Crohn's Disease (pediatric),adalimumab-adaz,Non-Preferred
CYTOKINE & CAM ANTAGONISTS,"Adalimumab-adaz Crohn's Disease (pediatric), auto-injector",adalimumab-adaz,Non-Preferred
CYTOKINE & CAM ANTAGONISTS,"Adalimumab-adaz Crohn's Disease (pediatric), prefilled syringe",adalimumab-adaz,Non-Preferred
CYTOKINE & CAM ANTAGONISTS,Adalimumab-adaz Hidradenitis Suppurativa,adalimumab-adaz,Non-Preferred
CYTOKINE & CAM ANTAGONISTS,"Adalimumab-adaz Hidradenitis Suppurativa, auto-injector",adalimumab-adaz,Non-Preferred
CYTOKINE & CAM ANTAGONISTS,"Adalimumab-adaz Hidradenitis Suppurativa, prefilled syringe",adalimumab-adaz,Non-Preferred
CYTOKINE & CAM ANTAGONISTS,Adalimumab-adaz Plaque Psoriasis (adult),adalimumab-adaz,Non-Preferred
CYTOKINE & CAM ANTAGONISTS,"Adalimumab-adaz Plaque Psoriasis (adult), auto-injector",adalimumab-adaz,Non-Preferred
CYTOKINE & CAM ANTAGONISTS,"Adalimumab-adaz Plaque Psoriasis (adult), prefilled syringe",adalimumab-adaz,Non-Preferred
CYTOKINE & CAM ANTAGONISTS,Adalimumab-adaz Polyarticular Juvenile Idiopathic Arthritis (PJIA),adalimumab-adaz,Non-Preferred
CYTOKINE & CAM ANTAGONISTS,"Adalimumab-adaz Polyarticular Juvenile Idiopathic Arthritis (PJIA), auto-injector",adalimumab-adaz,Non-Preferred
CYTOKINE & CAM ANTAGONISTS,"Adalimumab-adaz Polyarticular Juvenile Idiopathic Arthritis (PJIA), prefilled syringe",adalimumab-adaz,Non-Preferred
CYTOKINE & CAM ANTAGONISTS,Adalimumab-adaz Psoriatic Arthritis (adult),adalimumab-adaz,Non-Preferred
CYTOKINE & CAM ANTAGONISTS,"Adalimumab-adaz Psoriatic Arthritis (adult), auto-injector",adalimumab-adaz,Non-Preferred
CYTOKINE & CAM ANTAGONISTS,"Adalimumab-adaz Psoriatic Arthritis (adult), prefilled syringe",adalimumab-adaz,Non-Preferred
CYTOKINE & CAM ANTAGONISTS,Adalimumab-adaz Rheumatoid Arthritis,adalimumab-adaz,Non-Preferred
CYTOKINE & CAM ANTAGONISTS,"Adalimumab-adaz Rheumatoid Arthritis, auto-injector",adalimumab-adaz,Non-Preferred
CYTOKINE & CAM ANTAGONISTS,"Adalimumab-adaz Rheumatoid Arthritis, prefilled syringe",adalimumab-adaz,Non-Preferred
CYTOKINE & CAM ANTAGONISTS,Adalimumab-adaz Ulcerative Colitis (adult),adalimumab-adaz,Non-Preferred
CYTOKINE & CAM ANTAGONISTS,"Adalimumab-adaz Ulcerative Colitis (adult), auto-injector",adalimumab-adaz,Non-Preferred
CYTOKINE & CAM ANTAGONISTS,"Adalimumab-adaz Ulcerative Colitis (adult), prefilled syringe",adalimumab-adaz,Non-Preferred
CYTOKINE & CAM ANTAGONISTS,Adalimumab-adaz Uveitis (adult),adalimumab-adaz,Non-Preferred
CYTOKINE & CAM ANTAGONISTS,"Adalimumab-adaz Uveitis (adult), auto-injector",adalimumab-adaz,Non-Preferred
CYTOKINE & CAM ANTAGONISTS,"Adalimumab-adaz Uveitis (adult), prefilled syringe",adalimumab-adaz,Non-Preferred
CYTOKINE & CAM ANTAGONISTS,Adalimumab-adbm Ankylosing Spondylitis,adalimumab-adbm,Non-Preferred
CYTOKINE & CAM ANTAGONISTS,"Adalimumab-adbm Ankylosing Spondylitis, Boehringer 00597 labeler",adalimumab-adbm,Non-Preferred
CYTOKINE & CAM ANTAGONISTS,"Adalimumab-adbm Ankylosing Spondylitis, Non Boehringer 00597 labeler",adalimumab-adbm,Non-Preferred
CYTOKINE & CAM ANTAGONISTS,"Adalimumab-adbm Ankylosing Spondylitis, Non Quallent 82009 labeler",adalimumab-adbm,Non-Preferred
CYTOKINE & CAM ANTAGONISTS,"Adalimumab-adbm Ankylosing Spondylitis, Quallent 82009 labeler",adalimumab-adbm,Non-Preferred
CYTOKINE & CAM ANTAGONISTS,Adalimumab-adbm Crohn's Disease (adult),adalimumab-adbm,Non-Preferred
