capsule_name
Benlysta
Enspryng Neuromyelitis Optica Spectrum Disorder (NMOSD)
Lupkynis
"Selarsdi Crohn's Disease (adult), intravenous vial"
"Selarsdi Ulcerative Colitis (adult), intravenous vial"
"Selarsdi Crohn's Disease (adult), prefilled syringe"
"Selarsdi Plaque Psoriasis (adult), prefilled syringe"
"Selarsdi Plaque Psoriasis (pediatric), prefilled syringe"
"Selarsdi Psoriatic Arthritis (adult), prefilled syringe"
"Selarsdi Psoriatic Arthritis (pediatric), prefilled syringe"
"Selarsdi Ulcerative Colitis (adult), prefilled syringe"
"Selarsdi Crohn's Disease (adult), subcutaneous vial"
"Selarsdi Plaque Psoriasis (adult), subcutaneous vial"
"Selarsdi Plaque Psoriasis (pediatric), subcutaneous vial"
"Selarsdi Psoriatic Arthritis (adult), subcutaneous vial"
"Selarsdi Psoriatic Arthritis (pediatric), subcutaneous vial"
"Selarsdi Ulcerative Colitis (adult), subcutaneous vial"
Tzield
Uplizna
"Yesintek prefilled syringe, Crohn’s Disease (adult)"
"Yesintek prefilled syringe, Plaque Psoriasis (adult)"
"Yesintek prefilled syringe, Plaque Psoriasis (pediatric)"
"Yesintek prefilled syringe, Psoriatic Arthritis (adult)"
"Yesintek prefilled syringe, Psoriatic Arthritis (pediatric)"
"Yesintek prefilled syringe, Ulcerative Colitis (adult)"
"Yesintek subcutaneous vial, Crohn’s Disease (adult)"
"Yesintek subcutaneous vial, Plaque Psoriasis (adult)"
"Yesintek subcutaneous vial, Plaque Psoriasis (pediatric)"
"Yesintek subcutaneous vial, Psoriatic Arthritis (adult)"
"Yesintek subcutaneous vial, Psoriatic Arthritis (pediatric)"
"Yesintek subcutaneous vial, Ulcerative Colitis (adult)"
"Yesintek intravenous vial, Crohn’s Disease (adult)"
"Yesintek intravenous vial, Ulcerative Colitis (adult)"
