therapeutic_class,pdl_name,status
ALZHEIMER’S AGENTS: : ,"donepezil 5mg, 10mg tablet / ODT (generic for Aricept® /  ODT)",Preferred
ALZHEIMER’S AGENTS: : ,Adlarity® Patch,Non-Preferred
ALZHEIMER’S AGENTS: : ,Exelon® Patch,Preferred
ALZHEIMER’S AGENTS: : ,Aduhelm® Vial,Non-Preferred
ALZHEIMER’S AGENTS: : ,memantine tablet / titration pack (generic for Namenda®),Preferred
ALZHEIMER’S AGENTS: : ,Aricept® Tablet,Non-Preferred
ALZHEIMER’S AGENTS: : ,rivastigmine capsule (generic for Exelon®),Preferred
ALZHEIMER’S AGENTS: : ,donepezil 23mg tablet (generic for Aricept®),Non-Preferred
ALZHEIMER’S AGENTS: : ,galantamine ER capsule  / solution / tablet (generic for Razadyne® / ER),Non-Preferred
ALZHEIMER’S AGENTS: : ,Kisunla™ (donanemab-azbt) Vial,Non-Preferred
ALZHEIMER’S AGENTS: : ,Leqembi® Vial,Non-Preferred
ALZHEIMER’S AGENTS: : ,memantine ER capsule / solution (generic for Namenda® XR / Solution),Non-Preferred
ALZHEIMER’S AGENTS: : ,Namenda® Titration Pack / XR Capsule / XR Titration Pack,Non-Preferred
ALZHEIMER’S AGENTS: : ,Namzaric® Capsule / Titration Pack,Non-Preferred
ALZHEIMER’S AGENTS: : ,rivastigmine patch (generic for Exelon®),Non-Preferred
ANALGESICS: OPIOID ANALGESICS: Long Acting Opioids,Butrans® Patch,Preferred
ANALGESICS: OPIOID ANALGESICS: Long Acting Opioids,Belbuca® (Buccal) Film,Non-Preferred
ANALGESICS: OPIOID ANALGESICS: Long Acting Opioids,fentanyl patch 12mcg / 25mcg / 50mcg / 75mcg / 100mcg (generic for Duragesic®),Preferred
ANALGESICS: OPIOID ANALGESICS: Long Acting Opioids,buprenorphine patch (generic for Butrans®),Non-Preferred
ANALGESICS: OPIOID ANALGESICS: Long Acting Opioids,methadone concentrate / diskets / intensol / tablets / solution,Preferred
ANALGESICS: OPIOID ANALGESICS: Long Acting Opioids,Conzip® Capsule,Non-Preferred
ANALGESICS: OPIOID ANALGESICS: Long Acting Opioids,morphine sulfate ER tablet (generic for MS Contin®),Preferred
ANALGESICS: OPIOID ANALGESICS: Long Acting Opioids,fentanyl patch (37.5. / 62.5 / 87.5mcg dosages) (generic for Duragesic®),Non-Preferred
ANALGESICS: OPIOID ANALGESICS: Long Acting Opioids,OxyContin® Tablet,Preferred
ANALGESICS: OPIOID ANALGESICS: Long Acting Opioids,hydrocodone ER capsule (generic for Zohydro® ER),Non-Preferred
ANALGESICS: OPIOID ANALGESICS: Long Acting Opioids,"tramadol ER tablet (generic for  Ultram ER®, Ryzolt®)",Preferred
ANALGESICS: OPIOID ANALGESICS: Long Acting Opioids,hydrocodone ER tablet (generic for Hysingla®  ER),Non-Preferred
ANALGESICS: OPIOID ANALGESICS: Long Acting Opioids,hydromorphone ER tablet (generic for Exalgo®),Non-Preferred
ANALGESICS: OPIOID ANALGESICS: Long Acting Opioids,Hysingla®  ER Tablet,Non-Preferred
ANALGESICS: OPIOID ANALGESICS: Long Acting Opioids,Methadose™ Oral Concentrate / Tablet,Non-Preferred
ANALGESICS: OPIOID ANALGESICS: Long Acting Opioids,"morphine sulfate ER capsule (generic for Avinza®, Kadian®)",Non-Preferred
ANALGESICS: OPIOID ANALGESICS: Long Acting Opioids,MS Contin® Tablet,Non-Preferred
ANALGESICS: OPIOID ANALGESICS: Long Acting Opioids,oxycodone ER tablet (generic for OxyContin®),Non-Preferred
ANALGESICS: OPIOID ANALGESICS: Long Acting Opioids,oxymorphone ER tablet,Non-Preferred
ANALGESICS: OPIOID ANALGESICS: Long Acting Opioids,tramadol ER capsule (generic for Conzip®),Non-Preferred
ANALGESICS: OPIOID ANALGESICS: Orally Disintegrating / Oral Spray Schedule II Opioids,Actiq® Lozenge,Preferred
ANALGESICS: OPIOID ANALGESICS: Orally Disintegrating / Oral Spray Schedule II Opioids,Dsuvia™ SL Tablet,Non-Preferred
ANALGESICS: OPIOID ANALGESICS: Orally Disintegrating / Oral Spray Schedule II Opioids,fentanyl citrate buccal tablet (generic for Fentora®),Non-Preferred
ANALGESICS: OPIOID ANALGESICS: Orally Disintegrating / Oral Spray Schedule II Opioids,fentanyl citrate lozenge (generic for Actiq®),Non-Preferred
ANALGESICS: OPIOID ANALGESICS: Orally Disintegrating / Oral Spray Schedule II Opioids,Fentora® Buccal Tablet,Non-Preferred
ANALGESICS: OPIOID ANALGESICS: Short Acting Schedule II Opioids,Endocet® Tablet (branded generic for Percocet®),Preferred
ANALGESICS: OPIOID ANALGESICS: Short Acting Schedule II Opioids,codeine sulfate tablet,Non-Preferred
ANALGESICS: OPIOID ANALGESICS: Short Acting Schedule II Opioids,"hydrocodone-acetaminophen solution / tablet (generic for Hycet®, Lorcet®, Lortab®, Norco®, Vicodin®)",Preferred
ANALGESICS: OPIOID ANALGESICS: Short Acting Schedule II Opioids,Dilaudid® Liquid / Tablet,Non-Preferred
ANALGESICS: OPIOID ANALGESICS: Short Acting Schedule II Opioids,"hydrocodone-ibuprofen tablet (generic for Ibudone®, Reprexain®, Vicoprofen®)",Preferred
ANALGESICS: OPIOID ANALGESICS: Short Acting Schedule II Opioids,hydromorphone solution / suppository (generic for Dilaudid®),Non-Preferred
ANALGESICS: OPIOID ANALGESICS: Short Acting Schedule II Opioids,hydromorphone tablet (generic for Dilaudid®),Preferred
ANALGESICS: OPIOID ANALGESICS: Short Acting Schedule II Opioids,levorphanol tablet (generic for Levo-Dromoran®),Non-Preferred
ANALGESICS: OPIOID ANALGESICS: Short Acting Schedule II Opioids,morphine solution / tablet (generic for MSIR®),Preferred
ANALGESICS: OPIOID ANALGESICS: Short Acting Schedule II Opioids,meperidine solution / tablet (generic for Demerol®),Non-Preferred
ANALGESICS: OPIOID ANALGESICS: Short Acting Schedule II Opioids,oxycodone solution / tablet (generic for Roxicodone®),Preferred
ANALGESICS: OPIOID ANALGESICS: Short Acting Schedule II Opioids,morphine oral syringe,Non-Preferred
ANALGESICS: OPIOID ANALGESICS: Short Acting Schedule II Opioids,oxycodone-acetaminophen capsules (generic for Tylox®),Preferred
ANALGESICS: OPIOID ANALGESICS: Short Acting Schedule II Opioids,morphine suppositories (generic for Roxanol®),Non-Preferred
ANALGESICS: OPIOID ANALGESICS: Short Acting Schedule II Opioids,oxycodone-acetaminophen tablets (generic for Percocet®),Preferred
ANALGESICS: OPIOID ANALGESICS: Short Acting Schedule II Opioids,Nalocet® Tablet,Non-Preferred
ANALGESICS: OPIOID ANALGESICS: Short Acting Schedule II Opioids,oxycodone capsule (generic for OxyIR®),Non-Preferred
ANALGESICS: OPIOID ANALGESICS: Short Acting Schedule II Opioids,oxycodone concentrated solution (generic for Roxicodone® Intensol),Non-Preferred
ANALGESICS: OPIOID ANALGESICS: Short Acting Schedule II Opioids,oxycodone-acetaminophen solution,Non-Preferred
ANALGESICS: OPIOID ANALGESICS: Short Acting Schedule II Opioids,oxymorphone tablet (generic for Opana®),Non-Preferred
ANALGESICS: OPIOID ANALGESICS: Short Acting Schedule II Opioids,Percocet® Tablet,Non-Preferred
ANALGESICS: OPIOID ANALGESICS: Short Acting Schedule II Opioids,Prolate® Tablet / Solution,Non-Preferred
ANALGESICS: OPIOID ANALGESICS: Short Acting Schedule II Opioids,Roxicodone® Tablet,Non-Preferred
ANALGESICS: OPIOID ANALGESICS: Short Acting Schedule II Opioids,Roxybond® Tablet,Non-Preferred
ANALGESICS: OPIOID ANALGESICS: Short Acting Schedule III – IV Opioids / Analgesic Combinations,codeine-acetaminophen solution / tablet (generic for Tylenol with Codeine®),Preferred
ANALGESICS: OPIOID ANALGESICS: Short Acting Schedule III – IV Opioids / Analgesic Combinations,Ascomp® Capsule (branded generic for Fiorinal with Codeine®),Non-Preferred
ANALGESICS: OPIOID ANALGESICS: Short Acting Schedule III – IV Opioids / Analgesic Combinations,tramadol tablet (generic for Ultram®),Preferred
ANALGESICS: OPIOID ANALGESICS: Short Acting Schedule III – IV Opioids / Analgesic Combinations,butalbital compound with codeine capsule (generic for Fiorinal with Codeine®),Non-Preferred
ANALGESICS: OPIOID ANALGESICS: Short Acting Schedule III – IV Opioids / Analgesic Combinations,tramadol-acetaminophen tablet (generic for Ultracet®),Preferred
ANALGESICS: OPIOID ANALGESICS: Short Acting Schedule III – IV Opioids / Analgesic Combinations,butalbital-caffeine-APAP with codeine tablet (generic for Fioricet with Codeine®),Non-Preferred
ANALGESICS: OPIOID ANALGESICS: Short Acting Schedule III – IV Opioids / Analgesic Combinations,butorphanol spray (generic for Stadol®),Non-Preferred
ANALGESICS: OPIOID ANALGESICS: Short Acting Schedule III – IV Opioids / Analgesic Combinations,dihydrocodeine-acetaminophen-caffeine tablet (generic for Panlor SS®),Non-Preferred
ANALGESICS: OPIOID ANALGESICS: Short Acting Schedule III – IV Opioids / Analgesic Combinations,Fioricet with Codeine® Capsule,Non-Preferred
ANALGESICS: OPIOID ANALGESICS: Short Acting Schedule III – IV Opioids / Analgesic Combinations,pentazocine-naloxone tablet (generic for Talwin NX®),Non-Preferred
ANALGESICS: OPIOID ANALGESICS: Short Acting Schedule III – IV Opioids / Analgesic Combinations,Seglentis® Tablet,Non-Preferred
ANALGESICS: OPIOID ANALGESICS: Short Acting Schedule III – IV Opioids / Analgesic Combinations,tramadol solution (generic for Qdolo™),Non-Preferred
ANALGESICS: OPIOID ANALGESICS: Short Acting Schedule III – IV Opioids / Analgesic Combinations,tramadol tablet (25 mg),Non-Preferred
ANALGESICS: OPIOID ANALGESICS: Short Acting Schedule III – IV Opioids / Analgesic Combinations,tramadol tablet (75 mg),Non-Preferred
ANALGESICS: NSAIDS: Short Acting Schedule III – IV Opioids / Analgesic Combinations,celecoxib capsule (generic for Celebrex®),Preferred
ANALGESICS: NSAIDS: Short Acting Schedule III – IV Opioids / Analgesic Combinations,Arthrotec® Tablet,Non-Preferred
ANALGESICS: NSAIDS: Short Acting Schedule III – IV Opioids / Analgesic Combinations,ibuprofen suspension / tablet (generic for Motrin®),Preferred
ANALGESICS: NSAIDS: Short Acting Schedule III – IV Opioids / Analgesic Combinations,Celebrex® Capsule,Non-Preferred
ANALGESICS: NSAIDS: Short Acting Schedule III – IV Opioids / Analgesic Combinations,indomethacin capsule (generic for Indocin®),Preferred
ANALGESICS: NSAIDS: Short Acting Schedule III – IV Opioids / Analgesic Combinations,Daypro® Caplet,Non-Preferred
ANALGESICS: NSAIDS: Short Acting Schedule III – IV Opioids / Analgesic Combinations,ketorolac tablet (generic for Toradol®),Preferred
ANALGESICS: NSAIDS: Short Acting Schedule III – IV Opioids / Analgesic Combinations,diclofenac potassium capsule (generic for Zipsor®),Non-Preferred
ANALGESICS: NSAIDS: Short Acting Schedule III – IV Opioids / Analgesic Combinations,meloxicam tablet (generic for Mobic®),Preferred
ANALGESICS: NSAIDS: Short Acting Schedule III – IV Opioids / Analgesic Combinations,diclofenac potassium tablet (generic for Cataflam®),Non-Preferred
ANALGESICS: NSAIDS: Short Acting Schedule III – IV Opioids / Analgesic Combinations,naproxen EC / DR tablet (generic for Naprosyn® EC),Preferred
ANALGESICS: NSAIDS: Short Acting Schedule III – IV Opioids / Analgesic Combinations,diclofenac sodium tablet / ER tablet (generic for Voltaren® / XR),Non-Preferred
ANALGESICS: NSAIDS: Short Acting Schedule III – IV Opioids / Analgesic Combinations,naproxen tablet (generic for Naprosyn®),Preferred
ANALGESICS: NSAIDS: Short Acting Schedule III – IV Opioids / Analgesic Combinations,diclofenac sodium-misoprostol tablet (generic for Arthrotec®),Non-Preferred
ANALGESICS: NSAIDS: Short Acting Schedule III – IV Opioids / Analgesic Combinations,naproxen sodium tablet (generic for Anaprox®),Preferred
ANALGESICS: NSAIDS: Short Acting Schedule III – IV Opioids / Analgesic Combinations,diflunisal tablet (generic for Dolobid®),Non-Preferred
ANALGESICS: NSAIDS: Short Acting Schedule III – IV Opioids / Analgesic Combinations,sulindac tablet (generic for Clinoril®),Preferred
ANALGESICS: NSAIDS: Short Acting Schedule III – IV Opioids / Analgesic Combinations,Dolobid tablet,Non-Preferred
ANALGESICS: NSAIDS: Short Acting Schedule III – IV Opioids / Analgesic Combinations,Duexis® Tablet,Non-Preferred
ANALGESICS: NSAIDS: Short Acting Schedule III – IV Opioids / Analgesic Combinations,etodolac capsule / tablet / ER tablet(generic for Lodine® / XL),Non-Preferred
