therapeutic_class,capsule_name,pdl_name,status
BEHAVIORAL HEALTH: INJECTABLE ANTIPSYCHOTICS: Injectable Long Acting,Abilify Asimtufii,Abilify Asimtufii® Syringe Kit,Preferred
BEHAVIORAL HEALTH: INJECTABLE ANTIPSYCHOTICS: Injectable Long Acting,Abilify Maintena,Abilify Maintena® Syringe / Vial,Preferred
BEHAVIORAL HEALTH: ATYPICAL ANTIPSYCHOTICS: Oral / Transdermal,Abilify MyCite,Abilify® Tablet / Abilify® MyCite® Tablet,Non-Preferred
BEHAVIORAL HEALTH: ATYPICAL ANTIPSYCHOTICS: Oral / Transdermal,Abilify tablet,Abilify® Tablet / Abilify® MyCite® Tablet,Non-Preferred
DIABETIC SUPPLIES: Control Solutions: Weight Management Other (Non-Incretin Mimetics),Accu-Chek Guide Test Strips 100 ct,ACCU-CHEK® Guide 100 ct test strips,Preferred
DIABETIC SUPPLIES: Control Solutions: Weight Management Other (Non-Incretin Mimetics),Accu-Chek Guide Test Strips 50 ct,ACCU-CHEK® Guide 50 ct test strips,Preferred
GASTROINTESTINAL: PROTON PUMP INHIBITORS: Thiazolidinediones and Combinations,Aciphex,Aciphex® Tablet,Non-Preferred
CARDIOVASCULAR: ORAL PULMONARY HYPERTENSION: Oral / Transdermal,Adcirca,Adcirca® Tablet,Non-Preferred
BEHAVIORAL HEALTH: ANTIHYPERKINESIS / ADHD: Selective Serotonin Reuptake Inhibitor (SSRI),Adderall XR ER capsule,Adderall® XR Capsule,Preferred
CARDIOVASCULAR: ORAL PULMONARY HYPERTENSION: Oral / Transdermal,Adempas,Adempas® Tablet,Non-Preferred
ENDOCRINOLOGY: HYPOGLYCEMICS - INJECTABLE: Rapid Acting Insulin,Admelog,Admelog® SoloStar® / Vial,Non-Preferred
ENDOCRINOLOGY: HYPOGLYCEMICS - INJECTABLE: Rapid Acting Insulin,Admelog SoloStar,Admelog® SoloStar® / Vial,Non-Preferred
RESPIRATORY: INHALED CORTICOSTEROID COMBINATIONS: Oral,Advair Diskus,Advair® Diskus®,Preferred
RESPIRATORY: INHALED CORTICOSTEROID COMBINATIONS: Oral,Advair HFA,Advair® HFA Inhaler,Preferred
CENTRAL NERVOUS SYSTEM: ANTIMIGRAINE AGENTS: CGRP Blockers/Modulators PREVENTATIVE,Aimovig,Aimovig® Autoinjector,Preferred
RESPIRATORY: INHALED CORTICOSTEROID COMBINATIONS: Oral,Airduo Digihaler,AirDuo® Digihaler™  / RespiClick®,Non-Preferred
RESPIRATORY: INHALED CORTICOSTEROID COMBINATIONS: Oral,Airduo Respiclick,AirDuo® Digihaler™  / RespiClick®,Non-Preferred
RESPIRATORY: INHALED CORTICOSTEROID COMBINATIONS: Oral,Airsupra HFA,AirSupra™ Inhaler,Non-Preferred
CENTRAL NERVOUS SYSTEM: ANTIMIGRAINE AGENTS: CGRP Blockers/Modulators PREVENTATIVE,Ajovy,Ajovy® Autoinjector / Syringe,Preferred
"RESPIRATORY: BETA-ADRENERGIC HANDHELD, SHORT ACTING: Oral",Albuterol HFA generic PROAIR,albuterol HFA inhaler (generic for Proair® HFA Inhaler / Proventil® HFA Inhaler / Ventolin® HFA Inhaler),Non-Preferred
OPHTHALMIC: ALPHA 2 ADRENERGIC AGENTS: Oral,Alphagan P 0.001,Alphagan® P Drops,Preferred
RESPIRATORY: INHALED CORTICOSTEROIDS: Oral,Alvesco,Alvesco® Inhaler,Preferred
CARDIOVASCULAR: ORAL PULMONARY HYPERTENSION: Oral / Transdermal,Alyq,Alyq® Tablet (branded generic for tadalafil),Preferred
CENTRAL NERVOUS SYSTEM: SEDATIVE HYPNOTICS: Oral,Ambien,Ambien® Tablet / CR Tablet,Non-Preferred
CENTRAL NERVOUS SYSTEM: SEDATIVE HYPNOTICS: Oral,Ambien CR,Ambien® Tablet / CR Tablet,Non-Preferred
CARDIOVASCULAR: ENDOTHELIN RECEPTOR ANTAGONISTS: Oral / Transdermal,Ambrisentan,ambrisentan tablet (generic for Letairis® Tablet),Preferred
CARDIOVASCULAR: DIHYDROPYRIDINE CALCIUM CHANNEL BLOCKERS: Oral / Transdermal,Amlodipine tablet,amlodipine tablet (generic for Norvasc®),Preferred
