therapeutic_class,capsule_name,pdl_name
DIABETIC SUPPLIES: Control Solutions: Weight Management Other (Non-Incretin Mimetics),Accu-Chek Guide Test Strips 100 ct,ACCU-CHEK® Guide 100 ct test strips
DIABETIC SUPPLIES: Control Solutions: Weight Management Other (Non-Incretin Mimetics),Accu-Chek Guide Test Strips 50 ct,ACCU-CHEK® Guide 50 ct test strips
GASTROINTESTINAL: PROTON PUMP INHIBITORS: Thiazolidinediones and Combinations,Aciphex,Aciphex® Tablet
"MISCELLANEOUS: IMMUNOMODULATORS, Atopic Dermatitis: Weight Management Other (Non-Incretin Mimetics)","Adbry Atopic Dermatitis (adult), auto-injector",Adbry® (tralokinumab-ldrm) Autoinjector
"MISCELLANEOUS: IMMUNOMODULATORS, Atopic Dermatitis: Weight Management Other (Non-Incretin Mimetics)","Adbry Atopic Dermatitis (adult), prefilled syringe",Adbry® Syringe
"MISCELLANEOUS: IMMUNOMODULATORS, Atopic Dermatitis: Weight Management Other (Non-Incretin Mimetics)","Adbry prefilled syringe, Atopic Dermatitis (pediatric)",Adbry® Syringe
CARDIOVASCULAR: ORAL PULMONARY HYPERTENSION: Oral / Transdermal,Adcirca,Adcirca® Tablet
BEHAVIORAL HEALTH: ANTIHYPERKINESIS / ADHD: Selective Serotonin Reuptake Inhibitor (SSRI),Adderall XR ER capsule,Adderall® XR Capsule
CARDIOVASCULAR: ORAL PULMONARY HYPERTENSION: Oral / Transdermal,Adempas,Adempas® Tablet
CENTRAL NERVOUS SYSTEM: ANTIMIGRAINE AGENTS: CGRP Blockers/Modulators PREVENTATIVE,Aimovig,Aimovig® Autoinjector
RESPIRATORY: INHALED CORTICOSTEROID COMBINATIONS: Oral,Airduo Digihaler,AirDuo® Digihaler™ / RespiClick®
RESPIRATORY: INHALED CORTICOSTEROID COMBINATIONS: Oral,Airduo Respiclick,AirDuo® Digihaler™ / RespiClick®
CENTRAL NERVOUS SYSTEM: ANTIMIGRAINE AGENTS: CGRP Blockers/Modulators PREVENTATIVE,Ajovy,Ajovy® Autoinjector / Syringe
"RESPIRATORY: BETA-ADRENERGIC HANDHELD, SHORT ACTING: Oral",Albuterol HFA generic PROAIR,albuterol HFA inhaler (generic for Proair® HFA Inhaler / Proventil® HFA Inhaler / Ventolin® HFA Inhaler)
OPHTHALMIC: ALPHA 2 ADRENERGIC AGENTS: Oral,Alphagan P 0.001,Alphagan® P Drops
CARDIOVASCULAR: ORAL PULMONARY HYPERTENSION: Oral / Transdermal,Alyq,Alyq® Tablet (branded generic for tadalafil)
CENTRAL NERVOUS SYSTEM: SEDATIVE HYPNOTICS: Oral,Ambien,Ambien® Tablet / CR Tablet
CENTRAL NERVOUS SYSTEM: SEDATIVE HYPNOTICS: Oral,Ambien CR,Ambien® Tablet / CR Tablet
CARDIOVASCULAR: ENDOTHELIN RECEPTOR ANTAGONISTS: Oral / Transdermal,Ambrisentan,ambrisentan tablet (generic for Letairis® Tablet)
CARDIOVASCULAR: DIHYDROPYRIDINE CALCIUM CHANNEL BLOCKERS: Oral / Transdermal,Amlodipine tablet,amlodipine tablet (generic for Norvasc®)
MISCELLANEOUS: SKELETAL MUSCLE RELAXANTS: Weight Management Other (Non-Incretin Mimetics),Amrix,Amrix® ER Capsule
RESPIRATORY: ORALLY INHALED ANTICHOLINERGICS / COPD AGENTS: Oral,Anoro Ellipta,Anoro®  Ellipta® Inhaler
BEHAVIORAL HEALTH: ANTIDEPRESSANTS: Other,Aplenzin,Aplenzin® Tablet
ANTICONVULSANTS: CARBAMAZEPINE DERIVATIVES: Short Acting Schedule III – IV Opioids / Analgesic Combinations,Aptiom,Aptiom® Tablet
HEMATOLOGIC: HEMATOPOIETIC AGENTS: Oral,Aranesp,Aranesp® Syringe / Vial
ALZHEIMER’S AGENTS: : ,Aricept,Aricept® Tablet
BEHAVIORAL HEALTH: INJECTABLE ANTIPSYCHOTICS: Injectable Long Acting,Aristada,Aristada® / Initio™ Syringe
BEHAVIORAL HEALTH: INJECTABLE ANTIPSYCHOTICS: Injectable Long Acting,Aristada Initio,Aristada® / Initio™ Syringe
RESPIRATORY: INHALED CORTICOSTEROIDS: Oral,Armonair Digihaler,ArmonAir™ Digihaler™
GASTROINTESTINAL: ULCERATIVE COLITIS: Oral,Asacol HD,Asacol® HD Tablet
CARDIOVASCULAR: PLATELET INHIBITORS: Oral / Transdermal,Aspirin / Dipyridamole,aspirin/dipyridamole ER capsule (generic for Aggrenox®)
GENITOURINARY / RENAL: ELECTROLYTE DEPLETERS (KIDNEY DISEASE): Rectal,Auryxia,Auryxia® Tablet
MISCELLANEOUS: MOVEMENT DISORDERS: Weight Management Other (Non-Incretin Mimetics),Austedo,Austedo® Tablet
MISCELLANEOUS: MOVEMENT DISORDERS: Weight Management Other (Non-Incretin Mimetics),Austedo XR,Austedo® XR Tablet / Titration Kit
MISCELLANEOUS: MOVEMENT DISORDERS: Weight Management Other (Non-Incretin Mimetics),Austedo XR titration pack,Austedo® XR Tablet / Titration Kit
BEHAVIORAL HEALTH: ANTIDEPRESSANTS: Other,Auvelity,Auvelity® Tablet
"MISCELLANEOUS: EPINEPHRINE, SELF INJECTED: Weight Management Other (Non-Incretin Mimetics)",Auvi-Q 0.1 mg,Auvi-Q®Auto Injector
"MISCELLANEOUS: EPINEPHRINE, SELF INJECTED: Weight Management Other (Non-Incretin Mimetics)",Auvi-Q 0.15 mg,Auvi-Q®Auto Injector
"MISCELLANEOUS: EPINEPHRINE, SELF INJECTED: Weight Management Other (Non-Incretin Mimetics)",Auvi-Q 0.3 mg,Auvi-Q®Auto Injector
CENTRAL NERVOUS SYSTEM: MULTIPLE SCLEROSIS: Injectable,Avonex auto-injector,Avonex® Pack / Pen / Syringe
CENTRAL NERVOUS SYSTEM: MULTIPLE SCLEROSIS: Injectable,Avonex prefilled syringe,Avonex® Pack / Pen / Syringe
BEHAVIORAL HEALTH: ANTIHYPERKINESIS / ADHD: Selective Serotonin Reuptake Inhibitor (SSRI),Azstarys,Azstarys™ Capsule
MISCELLANEOUS: SKELETAL MUSCLE RELAXANTS: Weight Management Other (Non-Incretin Mimetics),Baclofen oral solution,baclofen oral solution
MISCELLANEOUS: SKELETAL MUSCLE RELAXANTS: Weight Management Other (Non-Incretin Mimetics),Baclofen tablet,baclofen tablet (generic for Lioresal®)
CENTRAL NERVOUS SYSTEM: MULTIPLE SCLEROSIS: Oral,Bafiertam,Bafiertam™ Capsule
ANTICONVULSANTS: SECOND GENERATION: Short Acting Schedule III – IV Opioids / Analgesic Combinations,Banzel tablet,Banzel® Tablet
ANTI-INFECTIVES - SYSTEMIC: ANTIBIOTICS: Antivirals (Hepatitis B Agents),Baraclude,Baraclude® Solution / Tablet
CARDIOVASCULAR: ACE INHIBITORS: Oral / Transdermal,Benazepril,benazepril tablet (generic for Lotensin®)
CARDIOVASCULAR: BETA BLOCKERS: Oral / Transdermal,Betapace,Betapace® Tablet / AF Tablet
CARDIOVASCULAR: BETA BLOCKERS: Oral / Transdermal,Betapace AF,Betapace® Tablet / AF Tablet
RESPIRATORY: ORALLY INHALED ANTICHOLINERGICS / COPD AGENTS: Oral,Bevespi Aerosphere,Bevespi® Aerosphere®
"MISCELLANEOUS: ESTROGEN AGENTS, COMBINATIONS: Weight Management Other (Non-Incretin Mimetics)",Bijuva capsule,Bijuva® Capsule
CARDIOVASCULAR: ENDOTHELIN RECEPTOR ANTAGONISTS: Oral / Transdermal,Bosentan,bosentan tablet (generic for Tracleer® Tablet)
RESPIRATORY: INHALED CORTICOSTEROID COMBINATIONS: Oral,Breztri Aerosphere,Breztri™ Aerosphere™
CARDIOVASCULAR: PLATELET INHIBITORS: Oral / Transdermal,Brilinta,Brilinta® Tablet
CENTRAL NERVOUS SYSTEM: MULTIPLE SCLEROSIS: Injectable,Briumvi,Briumvi™ Vial
ENDOCRINOLOGY: HYPOGLYCEMICS - INJECTABLE: GLP-1 Receptor Agonists and Combinations indicated for the treatment of Diabetes,Bydureon Bcise,Bydureon® BCise™
ENDOCRINOLOGY: HYPOGLYCEMICS - INJECTABLE: GLP-1 Receptor Agonists and Combinations indicated for the treatment of Diabetes,Byetta,Byetta® Pen
