therapeutic_class,capsule_name,pdl_name,status
"MISCELLANEOUS: CYTOKINE AND CAM ANTAGONISTS (previously listed as Immunomodulators, Systemic): Weight Management Other (Non-Incretin Mimetics)",Abrilada Ankylosing Spondylitis,Abrilada™ Pen / Syringe,Non-Preferred
"MISCELLANEOUS: CYTOKINE AND CAM ANTAGONISTS (previously listed as Immunomodulators, Systemic): Weight Management Other (Non-Incretin Mimetics)",Abrilada Crohn's Disease (pediatric),Abrilada™ Pen / Syringe,Non-Preferred
"MISCELLANEOUS: CYTOKINE AND CAM ANTAGONISTS (previously listed as Immunomodulators, Systemic): Weight Management Other (Non-Incretin Mimetics)",Abrilada Crohn’s Disease (adult),Abrilada™ Pen / Syringe,Non-Preferred
"MISCELLANEOUS: CYTOKINE AND CAM ANTAGONISTS (previously listed as Immunomodulators, Systemic): Weight Management Other (Non-Incretin Mimetics)",Abrilada Hidradenitis Suppurativa,Abrilada™ Pen / Syringe,Non-Preferred
"MISCELLANEOUS: CYTOKINE AND CAM ANTAGONISTS (previously listed as Immunomodulators, Systemic): Weight Management Other (Non-Incretin Mimetics)",Abrilada Plaque Psoriasis (adult),Abrilada™ Pen / Syringe,Non-Preferred
"MISCELLANEOUS: CYTOKINE AND CAM ANTAGONISTS (previously listed as Immunomodulators, Systemic): Weight Management Other (Non-Incretin Mimetics)",Abrilada Polyarticular Juvenile Idiopathic Arthritis (PJIA),Abrilada™ Pen / Syringe,Non-Preferred
"MISCELLANEOUS: CYTOKINE AND CAM ANTAGONISTS (previously listed as Immunomodulators, Systemic): Weight Management Other (Non-Incretin Mimetics)",Abrilada Psoriatic Arthritis (adult),Abrilada™ Pen / Syringe,Non-Preferred
"MISCELLANEOUS: CYTOKINE AND CAM ANTAGONISTS (previously listed as Immunomodulators, Systemic): Weight Management Other (Non-Incretin Mimetics)",Abrilada Rheumatoid Arthritis,Abrilada™ Pen / Syringe,Non-Preferred
"MISCELLANEOUS: CYTOKINE AND CAM ANTAGONISTS (previously listed as Immunomodulators, Systemic): Weight Management Other (Non-Incretin Mimetics)",Abrilada Ulcerative Colitis (adult),Abrilada™ Pen / Syringe,Non-Preferred
"MISCELLANEOUS: CYTOKINE AND CAM ANTAGONISTS (previously listed as Immunomodulators, Systemic): Weight Management Other (Non-Incretin Mimetics)",Abrilada Uveitis (adult),Abrilada™ Pen / Syringe,Non-Preferred
"MISCELLANEOUS: CYTOKINE AND CAM ANTAGONISTS (previously listed as Immunomodulators, Systemic): Weight Management Other (Non-Incretin Mimetics)","Actemra ACTPen, Giant Cell Arteritis",Actemra® ACTPen™ / Syringe / Vial,Non-Preferred
"MISCELLANEOUS: CYTOKINE AND CAM ANTAGONISTS (previously listed as Immunomodulators, Systemic): Weight Management Other (Non-Incretin Mimetics)","Actemra ACTPen, Polyarticular Juvenile Idiopathic Arthritis (PJIA)",Actemra® ACTPen™ / Syringe / Vial,Non-Preferred
"MISCELLANEOUS: CYTOKINE AND CAM ANTAGONISTS (previously listed as Immunomodulators, Systemic): Weight Management Other (Non-Incretin Mimetics)","Actemra ACTPen, Rheumatoid Arthritis",Actemra® ACTPen™ / Syringe / Vial,Non-Preferred
"MISCELLANEOUS: CYTOKINE AND CAM ANTAGONISTS (previously listed as Immunomodulators, Systemic): Weight Management Other (Non-Incretin Mimetics)","Actemra ACTPen, Systemic Sclerosis-Associated Interstitial Lung Disease (SSc-ILD)",Actemra® ACTPen™ / Syringe / Vial,Non-Preferred
"MISCELLANEOUS: CYTOKINE AND CAM ANTAGONISTS (previously listed as Immunomodulators, Systemic): Weight Management Other (Non-Incretin Mimetics)","Actemra ACTPen, Systemic-Onset Juvenile Idiopathic Arthritis (SJIA)",Actemra® ACTPen™ / Syringe / Vial,Non-Preferred
"MISCELLANEOUS: CYTOKINE AND CAM ANTAGONISTS (previously listed as Immunomodulators, Systemic): Weight Management Other (Non-Incretin Mimetics)","Actemra prefilled syringe, Giant Cell Arteritis",Actemra® ACTPen™ / Syringe / Vial,Non-Preferred
"MISCELLANEOUS: CYTOKINE AND CAM ANTAGONISTS (previously listed as Immunomodulators, Systemic): Weight Management Other (Non-Incretin Mimetics)","Actemra prefilled syringe, Polyarticular Juvenile Idiopathic Arthritis (PJIA)",Actemra® ACTPen™ / Syringe / Vial,Non-Preferred
"MISCELLANEOUS: CYTOKINE AND CAM ANTAGONISTS (previously listed as Immunomodulators, Systemic): Weight Management Other (Non-Incretin Mimetics)","Actemra prefilled syringe, Rheumatoid Arthritis",Actemra® ACTPen™ / Syringe / Vial,Non-Preferred
"MISCELLANEOUS: CYTOKINE AND CAM ANTAGONISTS (previously listed as Immunomodulators, Systemic): Weight Management Other (Non-Incretin Mimetics)","Actemra prefilled syringe, Systemic Sclerosis-Associated Interstitial Lung Disease (SSc-ILD)",Actemra® ACTPen™ / Syringe / Vial,Non-Preferred
"MISCELLANEOUS: CYTOKINE AND CAM ANTAGONISTS (previously listed as Immunomodulators, Systemic): Weight Management Other (Non-Incretin Mimetics)","Actemra prefilled syringe, Systemic-Onset Juvenile Idiopathic Arthritis (SJIA)",Actemra® ACTPen™ / Syringe / Vial,Non-Preferred
"MISCELLANEOUS: CYTOKINE AND CAM ANTAGONISTS (previously listed as Immunomodulators, Systemic): Weight Management Other (Non-Incretin Mimetics)","Actemra vial, Coronavirus Disease 2019",Actemra® ACTPen™ / Syringe / Vial,Non-Preferred
"MISCELLANEOUS: CYTOKINE AND CAM ANTAGONISTS (previously listed as Immunomodulators, Systemic): Weight Management Other (Non-Incretin Mimetics)","Actemra vial, Cytokine Release Syndrome",Actemra® ACTPen™ / Syringe / Vial,Non-Preferred
"MISCELLANEOUS: CYTOKINE AND CAM ANTAGONISTS (previously listed as Immunomodulators, Systemic): Weight Management Other (Non-Incretin Mimetics)","Actemra vial, Giant Cell Arteritis",Actemra® ACTPen™ / Syringe / Vial,Non-Preferred
"MISCELLANEOUS: CYTOKINE AND CAM ANTAGONISTS (previously listed as Immunomodulators, Systemic): Weight Management Other (Non-Incretin Mimetics)","Actemra vial, Polyarticular Juvenile Idiopathic Arthritis (PJIA)",Actemra® ACTPen™ / Syringe / Vial,Non-Preferred
"MISCELLANEOUS: CYTOKINE AND CAM ANTAGONISTS (previously listed as Immunomodulators, Systemic): Weight Management Other (Non-Incretin Mimetics)","Actemra vial, Rheumatoid Arthritis",Actemra® ACTPen™ / Syringe / Vial,Non-Preferred
"MISCELLANEOUS: CYTOKINE AND CAM ANTAGONISTS (previously listed as Immunomodulators, Systemic): Weight Management Other (Non-Incretin Mimetics)","Actemra vial, Systemic-Onset Juvenile Idiopathic Arthritis (SJIA)",Actemra® ACTPen™ / Syringe / Vial,Non-Preferred
