therapeutic_class,pdl_name,status
ANALGESICS - LONG-ACTING OPIOIDS,buprenorphine patch (generic for Butrans),Preferred
ANALGESICS - LONG-ACTING OPIOIDS,Butrans,Preferred
ANALGESICS - LONG-ACTING OPIOIDS,fentanyl patch (generic for Duragesic),Preferred
ANALGESICS - LONG-ACTING OPIOIDS,hydrocodone bitartrate ER (generic for Hysingla),Preferred
ANALGESICS - LONG-ACTING OPIOIDS,hydrocodone bitartrate ER (generic for Zohydro ER),Preferred
ANALGESICS - LONG-ACTING OPIOIDS,hydromorphone ER (generic for Exalgo),Preferred
ANALGESICS - LONG-ACTING OPIOIDS,"morphine ER (generic for Avinza, Kadian, MS Contin)",Preferred
ANALGESICS - LONG-ACTING OPIOIDS,oxycodone ER (generic for Oxycontin),Preferred
ANALGESICS - LONG-ACTING OPIOIDS,oxymorphone ER (generic for Opana ER),Preferred
ANALGESICS - LONG-ACTING OPIOIDS,Belbuca,Non-Preferred
ANALGESICS - LONG-ACTING OPIOIDS,Hysingla ER,Non-Preferred
ANALGESICS - LONG-ACTING OPIOIDS,MS Contin,Non-Preferred
ANALGESICS - LONG-ACTING OPIOIDS,Oxycontin,Non-Preferred
ANALGESICS - ANTI-INFLAMMATORY - NON-SELECTIVE NSAIDS,celecoxib (generic for Celebrex),Preferred
ANALGESICS - ANTI-INFLAMMATORY - NON-SELECTIVE NSAIDS,meloxicam cap (generic for Vivlodex),Preferred
ANALGESICS - ANTI-INFLAMMATORY - NON-SELECTIVE NSAIDS,meloxicam tab (generic for Mobic),Preferred
ANALGESICS - ANTI-INFLAMMATORY - NON-SELECTIVE NSAIDS,naproxen/esomeprazole tab (generic for Vimovo),Preferred
ANALGESICS - ANTI-INFLAMMATORY - NON-SELECTIVE NSAIDS,Celebrex,Non-Preferred
ANALGESICS - ANTI-INFLAMMATORY - NON-SELECTIVE NSAIDS,Vimovo,Non-Preferred
ANALGESICS - TRAMADOL AND TRAMADOL-LIKE DERIVATIVES,tramadol (generic for Ultram),Preferred
ANALGESICS - TRAMADOL AND TRAMADOL-LIKE DERIVATIVES,tramadol/acetaminophen (generic for Ultracet),Preferred
