therapeutic_class,capsule_name,pdl_name,status
BEHAVIORAL HEALTH – ATYPICAL ANTIPSYCHOTICS AND COMBOS,Abilify,Abilify,Non-Preferred
BEHAVIORAL HEALTH – ATYPICAL ANTIPSYCHOTICS AND COMBOS,Abilify Asimtufii,Abilify Asimtufii,Preferred
BEHAVIORAL HEALTH – ATYPICAL ANTIPSYCHOTICS AND COMBOS,Abilify Maintena,Abilify Maintena,Preferred
BEHAVIORAL HEALTH – ATYPICAL ANTIPSYCHOTICS AND COMBOS,Abilify MyCite,Abilify MyCite,Non-Preferred
BEHAVIORAL HEALTH – ATYPICAL ANTIPSYCHOTICS AND COMBOS,Abilify tablet,Abilify,Non-Preferred
CARDIOVASCULAR – ORAL PULMONARY HYPERTENSION AGENTS,Adcirca,Adcirca,Non-Preferred
BEHAVIORAL HEALTH – ANTIHYPERKINESIS,Adderall XR ER capsule,Adderall XR,Non-Preferred
CARDIOVASCULAR – ORAL PULMONARY HYPERTENSION AGENTS,Adempas,Adempas,Non-Preferred
ENDOCRINOLOGY – INSULINS: RAPID ACTING,Admelog,Admelog,Non-Preferred
ENDOCRINOLOGY – INSULINS: RAPID ACTING,Admelog SoloStar,Admelog,Non-Preferred
RESPIRATORY – INHALED CORTICOSTEROIDS ADRENERGIC AND COMBINATIONS,Advair Diskus,Advair Diskus,Preferred
RESPIRATORY – INHALED CORTICOSTEROIDS ADRENERGIC AND COMBINATIONS,Advair HFA,Advair HFA,Preferred
CENTRAL NERVOUS SYSTEM – CALCITONIN GENE-RELATED PEPTIDE INHIBITORS – MIGRAINE AND CLUSTER HEADACHE PREVENTION,Aimovig,Aimovig,Non-Preferred
RESPIRATORY – INHALED CORTICOSTEROIDS ADRENERGIC AND COMBINATIONS,Airduo Digihaler,AirDuo Digihaler,Non-Preferred
RESPIRATORY – INHALED CORTICOSTEROIDS ADRENERGIC AND COMBINATIONS,Airduo Respiclick,AirDuo RespiClick,Preferred
RESPIRATORY – INHALED CORTICOSTEROIDS ADRENERGIC AND COMBINATIONS,Airsupra HFA,Airsupra HFA,Non-Preferred
CENTRAL NERVOUS SYSTEM – CALCITONIN GENE-RELATED PEPTIDE INHIBITORS – MIGRAINE AND CLUSTER HEADACHE PREVENTION,Ajovy,Ajovy,Preferred
RESPIRATORY – SHORT ACTING BETA ADRENERGICS AND COMBINATIONS – INHALERSNEBS,Albuterol HFA Sandoz labeler code 00781,"albuterol sulfate HFA (generic for ProAir HFA, Proventil HFA, Ventolin HFA)",Preferred
RESPIRATORY – SHORT ACTING BETA ADRENERGICS AND COMBINATIONS – INHALERSNEBS,Albuterol HFA Teva labeler code 00093,"albuterol sulfate HFA (generic for ProAir HFA, Proventil HFA, Ventolin HFA)",Preferred
RESPIRATORY – SHORT ACTING BETA ADRENERGICS AND COMBINATIONS – INHALERSNEBS,Albuterol HFA generic PROAIR,"albuterol sulfate HFA (generic for ProAir HFA, Proventil HFA, Ventolin HFA)",Preferred
CENTRAL NERVOUS SYSTEM – TRIPTANS,Almotriptan,almotriptan (generic for Axert),Preferred
OPHTHALMICGLAUCOMA – ALPHA 2 ADRENERGIC AGENTS,Alphagan P 0.1%,Alphagan P,Preferred
RESPIRATORY – INHALED CORTICOSTEROIDS,Alvesco,Alvesco,Preferred
BEHAVIORAL HEALTH – SEDATIVE HYPNOTICS,Ambien,Ambien/CR,Non-Preferred
BEHAVIORAL HEALTH – SEDATIVE HYPNOTICS,Ambien CR,Ambien/CR,Non-Preferred
CARDIOVASCULAR – ORAL PULMONARY HYPERTENSION AGENTS,Ambrisentan,ambrisentan (generic for Letairis),Preferred
CARDIOVASCULAR – CALCIUM CHANNEL BLOCKERS DHP,Amlodipine Besylate tablet,amlodipine (generic for Norvasc),Preferred
DUCHENNE MUSCULAR DYSTROPHY TREATMENTS,Amondys 45,Amondys 45,Preferred
MISCELLANEOUS – SKELETAL MUSCLE RELAXANTS,Amrix,Amrix,Non-Preferred
RESPIRATORY – CHRONIC OBSTRUCTIVE PULMONARY DISEASE COPD,Anoro Ellipta,Anoro Ellipta,Preferred
ENDOCRINOLOGY – INSULINS: RAPID ACTING,Apidra,Apidra vial/SoloSTAR,Non-Preferred
ENDOCRINOLOGY – INSULINS: RAPID ACTING,Apidra SoloStar,Apidra vial/SoloSTAR,Non-Preferred
BEHAVIORAL HEALTH – NOVEL ANTIDEPRESSANTS,Aplenzin,Aplenzin,Non-Preferred
ANTICONVULSANTS – SECOND GENERATION,Aptiom,Aptiom,Non-Preferred
HEMATOLOGIC – HEMATOPOIETIC AGENTS,Aranesp,Aranesp,Preferred
HEMATOLOGIC – HEMATOPOIETIC AGENTS,Aranesp Anemia associated with chemotherapy,Aranesp,Preferred
HEMATOLOGIC – HEMATOPOIETIC AGENTS,Aranesp Anemia associated with chronic kidney disease if patient is not on dialysis,Aranesp,Preferred
HEMATOLOGIC – HEMATOPOIETIC AGENTS,Aranesp Anemia associated with chronic kidney disease if patient is on dialysis,Aranesp,Preferred
HEMATOLOGIC – HEMATOPOIETIC AGENTS,Aranesp syringe,Aranesp,Preferred
HEMATOLOGIC – HEMATOPOIETIC AGENTS,Aranesp vial,Aranesp,Preferred
BEHAVIORAL HEALTH – ALZHEIMERS AGENTS,Aricept,Aricept,Non-Preferred
BEHAVIORAL HEALTH – ALZHEIMERS AGENTS,Aricept 23 mg,Aricept 23 mg,Non-Preferred
ANTIBIOTICS – INHALED,Arikayce,Arikayce,Non-Preferred
BEHAVIORAL HEALTH – ATYPICAL ANTIPSYCHOTICS AND COMBOS,Aripiprazole ODT,aripiprazole/ODT/solution (generic for Abilify/Discmelt/oral solution),Preferred
BEHAVIORAL HEALTH – ATYPICAL ANTIPSYCHOTICS AND COMBOS,Aripiprazole oral solution,aripiprazole/ODT/solution (generic for Abilify/Discmelt/oral solution),Preferred
BEHAVIORAL HEALTH – ATYPICAL ANTIPSYCHOTICS AND COMBOS,Aripiprazole tablet,aripiprazole/ODT/solution (generic for Abilify/Discmelt/oral solution),Preferred
BEHAVIORAL HEALTH – ATYPICAL ANTIPSYCHOTICS AND COMBOS,Aristada,Aristada,Preferred
BEHAVIORAL HEALTH – ATYPICAL ANTIPSYCHOTICS AND COMBOS,Aristada Initio,Aristada Initio,Preferred
RESPIRATORY – INHALED CORTICOSTEROIDS ADRENERGIC AND COMBINATIONS,Armonair Digihaler,ArmonAir Digihaler,Non-Preferred
RESPIRATORY – INHALED CORTICOSTEROIDS,Arnuity Ellipta,Arnuity Ellipta,Preferred
BEHAVIORAL HEALTH – ATYPICAL ANTIPSYCHOTICS AND COMBOS,Asenapine,asenapine (generic for Saphris),Preferred
BEHAVIORAL HEALTH – ATYPICAL ANTIPSYCHOTICS AND COMBOS,Asenapine sublingual tablet,asenapine (generic for Saphris),Preferred
RESPIRATORY – INHALED CORTICOSTEROIDS,Asmanex HFA,Asmanex HFA,Non-Preferred
RESPIRATORY – INHALED CORTICOSTEROIDS,Asmanex Twisthaler,Asmanex,Preferred
CARDIOVASCULAR – PLATELET INHIBITORS,Aspirin / Dipyridamole,aspirin/dipyridamole (generic for Aggrenox),Preferred
DISEASE MODIFYING THERAPY,Aubagio tablet,Aubagio,Non-Preferred
GENITOURINARYRENAL – ELECTROLYTE DEPLETERS,Auryxia,Auryxia,Non-Preferred
CENTRAL NERVOUS SYSTEM – MOVEMENT DISORDERS,Austedo,Austedo,Preferred
CENTRAL NERVOUS SYSTEM – MOVEMENT DISORDERS,Austedo Huntington's Disease,Austedo,Preferred
CENTRAL NERVOUS SYSTEM – MOVEMENT DISORDERS,Austedo Tardive Dyskinesia,Austedo,Preferred
CENTRAL NERVOUS SYSTEM – MOVEMENT DISORDERS,Austedo Tourette's Syndrome/Tics,Austedo,Preferred
CENTRAL NERVOUS SYSTEM – MOVEMENT DISORDERS,Austedo Unspecified Hyperkinetic Movement Disorder,Austedo,Preferred
CENTRAL NERVOUS SYSTEM – MOVEMENT DISORDERS,Austedo XR,Austedo XR,Preferred
CENTRAL NERVOUS SYSTEM – MOVEMENT DISORDERS,Austedo XR Huntington's Disease,Austedo XR,Preferred
CENTRAL NERVOUS SYSTEM – MOVEMENT DISORDERS,"Austedo XR Huntington's Disease, titration pack",Austedo XR,Preferred
CENTRAL NERVOUS SYSTEM – MOVEMENT DISORDERS,Austedo XR Tardive Dyskinesia,Austedo XR,Preferred
CENTRAL NERVOUS SYSTEM – MOVEMENT DISORDERS,"Austedo XR Tardive Dyskinesia, titration pack",Austedo XR,Preferred
CENTRAL NERVOUS SYSTEM – MOVEMENT DISORDERS,Austedo XR titration pack,Austedo XR,Preferred
BEHAVIORAL HEALTH – NOVEL ANTIDEPRESSANTS,Auvelity,Auvelity,Non-Preferred
SELF-INJECTION EPINEPHRINE,Auvi-Q 0.1 mg,Auvi-Q,Non-Preferred
SELF-INJECTION EPINEPHRINE,Auvi-Q 0.15 mg,Auvi-Q,Non-Preferred
SELF-INJECTION EPINEPHRINE,Auvi-Q 0.3 mg,Auvi-Q,Non-Preferred
DISEASE MODIFYING THERAPY,Avonex auto-injector,Avonex,Preferred
DISEASE MODIFYING THERAPY,Avonex prefilled syringe,Avonex,Preferred
BEHAVIORAL HEALTH – ANTIHYPERKINESIS,Azstarys,Azstarys,Non-Preferred
MISCELLANEOUS – SKELETAL MUSCLE RELAXANTS,Baclofen 10 mg,baclofen,Preferred
MISCELLANEOUS – SKELETAL MUSCLE RELAXANTS,Baclofen 15 mg,baclofen,Preferred
MISCELLANEOUS – SKELETAL MUSCLE RELAXANTS,Baclofen 20 mg,baclofen,Preferred
MISCELLANEOUS – SKELETAL MUSCLE RELAXANTS,Baclofen 5 mg,baclofen,Preferred
MISCELLANEOUS – SKELETAL MUSCLE RELAXANTS,"Baclofen 5mg, 10mg, 20mg",baclofen,Preferred
MISCELLANEOUS – SKELETAL MUSCLE RELAXANTS,Baclofen oral solution,baclofen,Preferred
MISCELLANEOUS – SKELETAL MUSCLE RELAXANTS,Baclofen oral suspension,baclofen,Preferred
MISCELLANEOUS – SKELETAL MUSCLE RELAXANTS,Baclofen tablet,baclofen,Preferred
MISCELLANEOUS – SKELETAL MUSCLE RELAXANTS,"Baclofen tablet, 10 mg",baclofen,Preferred
MISCELLANEOUS – SKELETAL MUSCLE RELAXANTS,"Baclofen tablet, 15 mg",baclofen,Preferred
MISCELLANEOUS – SKELETAL MUSCLE RELAXANTS,"Baclofen tablet, 20 mg",baclofen,Preferred
MISCELLANEOUS – SKELETAL MUSCLE RELAXANTS,"Baclofen tablet, 5 mg",baclofen,Preferred
MISCELLANEOUS – SKELETAL MUSCLE RELAXANTS,"Baclofen tablet, 5mg, 10mg, 20mg",baclofen,Preferred
DISEASE MODIFYING THERAPY,Bafiertam,Bafiertam,Non-Preferred
ANTICONVULSANTS – SECOND GENERATION,Banzel oral suspension,Banzel,Non-Preferred
ANTICONVULSANTS – SECOND GENERATION,Banzel tablet,Banzel,Non-Preferred
ENDOCRINOLOGY – INSULINS: LONG ACTING,Basaglar Kwikpen,Basaglar KwikPen,Non-Preferred
CARDIOVASCULAR – ACE INHIBITORS AND COMBINATIONS,Benazepril,benazepril (generic for Lotensin),Preferred
CARDIOVASCULAR – BETA-BLOCKERS AND COMBINATION,Betapace,Betapace,Non-Preferred
CARDIOVASCULAR – BETA-BLOCKERS AND COMBINATION,Betapace AF,Betapace AF,Non-Preferred
CARDIOVASCULAR – BETA-BLOCKERS AND COMBINATION,Betapace AF tablet,Betapace AF,Non-Preferred
CARDIOVASCULAR – BETA-BLOCKERS AND COMBINATION,Betapace tablet,Betapace,Non-Preferred
ANTIBIOTICS – INHALED,Bethkis,Bethkis,Preferred
ANTIBIOTICS – INHALED,Bethkis 300 mg/4 ml ampule,Bethkis,Preferred
RESPIRATORY – CHRONIC OBSTRUCTIVE PULMONARY DISEASE COPD,Bevespi Aerosphere,Bevespi Aerosphere,Non-Preferred
CARDIOVASCULAR – ORAL PULMONARY HYPERTENSION AGENTS,Bosentan,bosentan (generic for Tracleer),Preferred
RESPIRATORY – INHALED CORTICOSTEROIDS ADRENERGIC AND COMBINATIONS,Breo Ellipta,Breo Ellipta,Preferred
RESPIRATORY – INHALED CORTICOSTEROIDS ADRENERGIC AND COMBINATIONS,Breztri Aerosphere,Breztri Aerosphere,Non-Preferred
CARDIOVASCULAR – PLATELET INHIBITORS,Brilinta,Brilinta,Preferred
DISEASE MODIFYING THERAPY,Briumvi,Briumvi,Non-Preferred
ANTICONVULSANTS – SECOND GENERATION,Briviact,Briviact,Non-Preferred
ANTICONVULSANTS – SECOND GENERATION,Briviact oral solution,Briviact,Non-Preferred
ANTICONVULSANTS – SECOND GENERATION,Briviact tablet,Briviact,Non-Preferred
ANTICONVULSANTS – SECOND GENERATION,Briviact vial,Briviact,Non-Preferred
RESPIRATORY – INHALED CORTICOSTEROIDS ADRENERGIC AND COMBINATIONS,Budesonide / Formoterol authorized generic Symbicort,budesonide/formoterol fumarate (generic for Symbicort),Preferred
RESPIRATORY – INHALED CORTICOSTEROIDS,Budesonide 0.25 mg,budesonide (generic for Pulmicort),Preferred
RESPIRATORY – INHALED CORTICOSTEROIDS,"Budesonide 0.25 mg, 0.5 mg",budesonide (generic for Pulmicort),Preferred
RESPIRATORY – INHALED CORTICOSTEROIDS,Budesonide 0.5 mg,budesonide (generic for Pulmicort),Preferred
RESPIRATORY – INHALED CORTICOSTEROIDS,Budesonide 1 mg,budesonide (generic for Pulmicort),Preferred
RESPIRATORY – INHALED CORTICOSTEROIDS,Budesonide respules (inhalation suspension),budesonide (generic for Pulmicort),Preferred
RESPIRATORY – INHALED CORTICOSTEROIDS,"Budesonide respules (inhalation suspension), 0.25 mg",budesonide (generic for Pulmicort),Preferred
RESPIRATORY – INHALED CORTICOSTEROIDS,"Budesonide respules (inhalation suspension), 0.25 mg, 0.5 mg",budesonide (generic for Pulmicort),Preferred
RESPIRATORY – INHALED CORTICOSTEROIDS,"Budesonide respules (inhalation suspension), 0.5 mg",budesonide (generic for Pulmicort),Preferred
RESPIRATORY – INHALED CORTICOSTEROIDS,"Budesonide respules (inhalation suspension), 1 mg",budesonide (generic for Pulmicort),Preferred
UREA CYCLE DISORDERS ORAL,Buphenyl powder,Buphenyl powder,Preferred
UREA CYCLE DISORDERS ORAL,Buphenyl tablet,Buphenyl tablet,Preferred
ENDOCRINOLOGY – GLUCAGON-LIKE PEPTIDE-1 GLP-1 AGONISTS AND COMBINATIONS,Bydureon Bcise,Bydureon BCise,Non-Preferred
ENDOCRINOLOGY – GLUCAGON-LIKE PEPTIDE-1 GLP-1 AGONISTS AND COMBINATIONS,Byetta,Byetta,Preferred
CARDIOVASCULAR – ANGIOTENSIN II RECEPTOR BLOCKERS AND COMBINATIONS,Candesartan,candesartan (generic for Atacand),Preferred
BEHAVIORAL HEALTH – ATYPICAL ANTIPSYCHOTICS AND COMBOS,Caplyta,Caplyta,Non-Preferred
BEHAVIORAL HEALTH – ATYPICAL ANTIPSYCHOTICS AND COMBOS,Caplyta Bipolar depression,Caplyta,Non-Preferred
BEHAVIORAL HEALTH – ATYPICAL ANTIPSYCHOTICS AND COMBOS,Caplyta Schizophrenia/schizoaffective disorder,Caplyta,Non-Preferred
CARDIOVASCULAR – ACE INHIBITORS AND COMBINATIONS,Captopril,captopril (generic for Capoten),Preferred
HEMATOLOGIC – SICKLE CELL GENE THERAPY,Casgevy intravenous suspension,Casgevy,Preferred
HEMATOLOGIC – SICKLE CELL GENE THERAPY,"Casgevy intravenous suspension, Sickle Cell Disease",Casgevy,Preferred
HEMATOLOGIC – SICKLE CELL GENE THERAPY,"Casgevy intravenous suspension, Transfusion-Dependent Beta Thalassemia",Casgevy,Preferred
ANTIBIOTICS – INHALED,Cayston,Cayston,Non-Preferred
OPHTHALMIC – ANTIINFLAMMATORYIMMUNOMODULATORS,Cequa,Cequa,Non-Preferred
ANTIBIOTICS – VAGINAL,Cleocin 2% cream,Cleocin Cream/Ovules,Non-Preferred
ANTIBIOTICS – VAGINAL,Cleocin Ovules / vaginal suppository,Cleocin Cream/Ovules,Non-Preferred
ANTIBIOTICS – VAGINAL,Clindamycin 2% Cream,clindamycin,Preferred
ANTIBIOTICS – VAGINAL,Clindesse 2% prefilled applicator cream,Clindesse,Preferred
ANTICONVULSANTS – SECOND GENERATION,Clobazam oral suspension,clobazam (generic for Onfi),Preferred
ANTICONVULSANTS – SECOND GENERATION,Clobazam tablet,clobazam (generic for Onfi),Preferred
BEHAVIORAL HEALTH – ATYPICAL ANTIPSYCHOTICS AND COMBOS,Clozapine ODT,clozapine ODT (generic for Fazaclo),Preferred
BEHAVIORAL HEALTH – ATYPICAL ANTIPSYCHOTICS AND COMBOS,Clozapine tablet,clozapine (generic for Clozaril),Preferred
BEHAVIORAL HEALTH – ATYPICAL ANTIPSYCHOTICS AND COMBOS,Clozaril,Clozaril,Non-Preferred
BEHAVIORAL HEALTH – ATYPICAL ANTIPSYCHOTICS AND COMBOS,Clozaril tablet,Clozaril,Non-Preferred
OPHTHALMICGLAUCOMA – BETA BLOCKER AGENTS,Combigan,Combigan,Preferred
OPHTHALMICGLAUCOMA – BETA BLOCKER AGENTS,Combigan 10 ml,Combigan,Preferred
OPHTHALMICGLAUCOMA – BETA BLOCKER AGENTS,Combigan 5 ml,Combigan,Preferred
RESPIRATORY – CHRONIC OBSTRUCTIVE PULMONARY DISEASE COPD,Combivent Respimat (Ipratropium/Albuterol) inhalation aerosol solution,Combivent Respimat,Preferred
BEHAVIORAL HEALTH – ANTIHYPERKINESIS,Concerta ER,Concerta,Preferred
DISEASE MODIFYING THERAPY,Copaxone (Glatiramer Acetate) 20 mg,Copaxone,Preferred
DISEASE MODIFYING THERAPY,Copaxone (Glatiramer Acetate) 40 mg,Copaxone,Preferred
MISCELLANEOUS – PANCREATIC ENZYMES,Creon,Creon,Preferred
RESPIRATORY – CHRONIC OBSTRUCTIVE PULMONARY DISEASE COPD,Daliresp,Daliresp,Non-Preferred
MISCELLANEOUS – SKELETAL MUSCLE RELAXANTS,Dantrium,Dantrium,Non-Preferred
MISCELLANEOUS – SKELETAL MUSCLE RELAXANTS,Dantrium capsule,Dantrium,Non-Preferred
MISCELLANEOUS – SKELETAL MUSCLE RELAXANTS,Dantrium vial,Dantrium,Non-Preferred
ENDOCRINOLOGY – SODIUM GLUCOSE CO-TRANSPORTER 2 INHIBITOR AND COMBINATIONS,Dapagliflozin,dapagliflozin (generic for Farxiga),Preferred
ANTICONVULSANTS – FIRST GENERATION,Depakote,Depakote,Non-Preferred
ANTICONVULSANTS – FIRST GENERATION,Depakote DR sprinkle capsule,Depakote Sprinkle,Preferred
ANTICONVULSANTS – FIRST GENERATION,Depakote DR tablet,Depakote,Non-Preferred
ANTICONVULSANTS – FIRST GENERATION,Depakote ER tablet,Depakote ER,Non-Preferred
ANTICONVULSANTS – FIRST GENERATION,Depakote tablet,Depakote,Non-Preferred
ANTICONVULSANTS – SECOND GENERATION,Diacomit capsule,Diacomit,Non-Preferred
ANTICONVULSANTS – SECOND GENERATION,Diacomit packet for oral suspension,Diacomit,Non-Preferred
