therapeutic_class,capsule_name,pdl_name
BEHAVIORAL HEALTH - ATYPICAL ANTIPSYCHOTICS AND COMBOS,Abilify Asimtufii,Abilify Asimtufii
BEHAVIORAL HEALTH - ATYPICAL ANTIPSYCHOTICS AND COMBOS,Abilify Maintena,Abilify Maintena
BEHAVIORAL HEALTH - ATYPICAL ANTIPSYCHOTICS AND COMBOS,Abilify MyCite,Abilify MyCite
BEHAVIORAL HEALTH - ATYPICAL ANTIPSYCHOTICS AND COMBOS,Abilify tablet,Abilify
IMMUNOLOGIC - SYSTEMIC IMMUNOMODULATORS,Abrilada Ankylosing Spondylitis,Abrilada
IMMUNOLOGIC - SYSTEMIC IMMUNOMODULATORS,Abrilada Crohn's Disease (pediatric),Abrilada
IMMUNOLOGIC - SYSTEMIC IMMUNOMODULATORS,Abrilada Crohn’s Disease (adult),Abrilada
IMMUNOLOGIC - SYSTEMIC IMMUNOMODULATORS,Abrilada Hidradenitis Suppurativa,Abrilada
IMMUNOLOGIC - SYSTEMIC IMMUNOMODULATORS,Abrilada Plaque Psoriasis (adult),Abrilada
IMMUNOLOGIC - SYSTEMIC IMMUNOMODULATORS,Abrilada Polyarticular Juvenile Idiopathic Arthritis (PJIA),Abrilada
IMMUNOLOGIC - SYSTEMIC IMMUNOMODULATORS,Abrilada Psoriatic Arthritis (adult),Abrilada
IMMUNOLOGIC - SYSTEMIC IMMUNOMODULATORS,Abrilada Rheumatoid Arthritis,Abrilada
IMMUNOLOGIC - SYSTEMIC IMMUNOMODULATORS,Abrilada Ulcerative Colitis (adult),Abrilada
IMMUNOLOGIC - SYSTEMIC IMMUNOMODULATORS,Abrilada Uveitis (adult),Abrilada
IMMUNOLOGIC - SYSTEMIC IMMUNOMODULATORS,"Actemra ACTPen, Giant Cell Arteritis",Actemra/ACTPen
IMMUNOLOGIC - SYSTEMIC IMMUNOMODULATORS,"Actemra ACTPen, Polyarticular Juvenile Idiopathic Arthritis (PJIA)",Actemra/ACTPen
IMMUNOLOGIC - SYSTEMIC IMMUNOMODULATORS,"Actemra ACTPen, Rheumatoid Arthritis",Actemra/ACTPen
IMMUNOLOGIC - SYSTEMIC IMMUNOMODULATORS,"Actemra ACTPen, Systemic Sclerosis-Associated Interstitial Lung Disease (SSc-ILD)",Actemra/ACTPen
IMMUNOLOGIC - SYSTEMIC IMMUNOMODULATORS,"Actemra ACTPen, Systemic-Onset Juvenile Idiopathic Arthritis (SJIA)",Actemra/ACTPen
IMMUNOLOGIC - SYSTEMIC IMMUNOMODULATORS,"Actemra prefilled syringe, Giant Cell Arteritis",Actemra/ACTPen
IMMUNOLOGIC - SYSTEMIC IMMUNOMODULATORS,"Actemra prefilled syringe, Polyarticular Juvenile Idiopathic Arthritis (PJIA)",Actemra/ACTPen
IMMUNOLOGIC - SYSTEMIC IMMUNOMODULATORS,"Actemra prefilled syringe, Rheumatoid Arthritis",Actemra/ACTPen
IMMUNOLOGIC - SYSTEMIC IMMUNOMODULATORS,"Actemra prefilled syringe, Systemic Sclerosis-Associated Interstitial Lung Disease (SSc-ILD)",Actemra/ACTPen
IMMUNOLOGIC - SYSTEMIC IMMUNOMODULATORS,"Actemra prefilled syringe, Systemic-Onset Juvenile Idiopathic Arthritis (SJIA)",Actemra/ACTPen
IMMUNOLOGIC - SYSTEMIC IMMUNOMODULATORS,"Actemra vial, Coronavirus Disease 2019",Actemra/ACTPen
IMMUNOLOGIC - SYSTEMIC IMMUNOMODULATORS,"Actemra vial, Cytokine Release Syndrome",Actemra/ACTPen
IMMUNOLOGIC - SYSTEMIC IMMUNOMODULATORS,"Actemra vial, Giant Cell Arteritis",Actemra/ACTPen
IMMUNOLOGIC - SYSTEMIC IMMUNOMODULATORS,"Actemra vial, Polyarticular Juvenile Idiopathic Arthritis (PJIA)",Actemra/ACTPen
IMMUNOLOGIC - SYSTEMIC IMMUNOMODULATORS,"Actemra vial, Rheumatoid Arthritis",Actemra/ACTPen
IMMUNOLOGIC - SYSTEMIC IMMUNOMODULATORS,"Actemra vial, Systemic-Onset Juvenile Idiopathic Arthritis (SJIA)",Actemra/ACTPen
