therapeutic_class,capsule_name,pdl_name,status
BEHAVIORAL HEALTH – ATYPICAL ANTIPSYCHOTICS AND COMBOS,Abilify Asimtufii,Abilify Asimtufii,Preferred
BEHAVIORAL HEALTH – ATYPICAL ANTIPSYCHOTICS AND COMBOS,Abilify Maintena,Abilify Maintena,Preferred
BEHAVIORAL HEALTH – ATYPICAL ANTIPSYCHOTICS AND COMBOS,Abilify MyCite,Abilify MyCite,Non-Preferred
BEHAVIORAL HEALTH – ATYPICAL ANTIPSYCHOTICS AND COMBOS,Abilify tablet,Abilify,Non-Preferred
IMMUNOLOGIC – SYSTEMIC IMMUNOMODULATORS,Abrilada Ankylosing Spondylitis,Abrilada,Non-Preferred
IMMUNOLOGIC – SYSTEMIC IMMUNOMODULATORS,Abrilada Crohn's Disease (adult),Abrilada,Non-Preferred
IMMUNOLOGIC – SYSTEMIC IMMUNOMODULATORS,Abrilada Crohn's Disease (pediatric),Abrilada,Non-Preferred
IMMUNOLOGIC – SYSTEMIC IMMUNOMODULATORS,Abrilada Hidradenitis Suppurativa,Abrilada,Non-Preferred
IMMUNOLOGIC – SYSTEMIC IMMUNOMODULATORS,Abrilada Plaque Psoriasis (adult),Abrilada,Non-Preferred
IMMUNOLOGIC – SYSTEMIC IMMUNOMODULATORS,Abrilada Polyarticular Juvenile Idiopathic Arthritis (PJIA),Abrilada,Non-Preferred
IMMUNOLOGIC – SYSTEMIC IMMUNOMODULATORS,Abrilada Psoriatic Arthritis (adult),Abrilada,Non-Preferred
IMMUNOLOGIC – SYSTEMIC IMMUNOMODULATORS,Abrilada Rheumatoid Arthritis,Abrilada,Non-Preferred
IMMUNOLOGIC – SYSTEMIC IMMUNOMODULATORS,Abrilada Ulcerative Colitis (adult),Abrilada,Non-Preferred
IMMUNOLOGIC – SYSTEMIC IMMUNOMODULATORS,Abrilada Uveitis (adult),Abrilada,Non-Preferred
IMMUNOLOGIC – SYSTEMIC IMMUNOMODULATORS,"Actemra ACTPen, Giant Cell Arteritis",Actemra/ACTPen,Non-Preferred
IMMUNOLOGIC – SYSTEMIC IMMUNOMODULATORS,"Actemra ACTPen, Polyarticular Juvenile Idiopathic Arthritis (PJIA)",Actemra/ACTPen,Non-Preferred
