therapeutic_class,pdl_name,status
Analgesic Agents: Gout: ,"allopurinol 100, 300mg",Preferred
Analgesic Agents: Gout: ,allopurinol 200mg,Non-Preferred
Analgesic Agents: Gout: ,colchicine tab,Preferred
Analgesic Agents: Gout: ,febuxostat,Non-Preferred
Analgesic Agents: Gout: ,probenecid,Preferred
Analgesic Agents: Gout: ,MITIGARE,Non-Preferred
Analgesic Agents: Gout: ,probenecid/colchicine,Preferred
Analgesic Agents: NSAIDS: ,celecoxib,Preferred
Analgesic Agents: NSAIDS: ,diclofenac/misoprostol,Non-Preferred
Analgesic Agents: NSAIDS: ,"diclofenac sodium DR, ER, gel 1%",Preferred
Analgesic Agents: NSAIDS: ,"diclofenac patch 1.3%; soln 1.5%, 2%",Non-Preferred
Analgesic Agents: NSAIDS: ,"etodolac IR, ER",Preferred
Analgesic Agents: NSAIDS: ,diclofenac potassium,Non-Preferred
Analgesic Agents: NSAIDS: ,flurbiprofen,Preferred
Analgesic Agents: NSAIDS: ,ELYXYB,Non-Preferred
Analgesic Agents: NSAIDS: ,ibuprofen,Preferred
Analgesic Agents: NSAIDS: ,fenoprofen,Non-Preferred
Analgesic Agents: NSAIDS: ,"indomethacin IR, ER cap",Preferred
Analgesic Agents: NSAIDS: ,ibuprofen/famotidine,Non-Preferred
Analgesic Agents: NSAIDS: ,ketorolac,Preferred
Analgesic Agents: NSAIDS: ,"indomethacin supp, susp",Non-Preferred
Analgesic Agents: NSAIDS: ,mefenamic acid,Preferred
Analgesic Agents: NSAIDS: ,"ketoprofen IR, ER",Non-Preferred
Analgesic Agents: NSAIDS: ,meloxicam tab,Preferred
Analgesic Agents: NSAIDS: ,meclofenamate,Non-Preferred
Analgesic Agents: NSAIDS: ,nabumetone,Preferred
Analgesic Agents: NSAIDS: ,meloxicam cap,Non-Preferred
Analgesic Agents: NSAIDS: ,naproxen IR,Preferred
Analgesic Agents: NSAIDS: ,"naproxen EC, ER",Non-Preferred
Analgesic Agents: NSAIDS: ,naproxen susp,Preferred
Analgesic Agents: NSAIDS: ,naproxen/esomeprazole,Non-Preferred
Analgesic Agents: NSAIDS: ,oxaprozin,Preferred
Analgesic Agents: NSAIDS: ,RELAFEN DS,Non-Preferred
Analgesic Agents: NSAIDS: ,piroxicam,Preferred
Analgesic Agents: NSAIDS: ,sulindac,Preferred
Analgesic Agents: Opioids: SHORT-ACTING,APAP/codeine,Preferred
