therapeutic_class,pdl_name,status
Allergy/Cold: Anaphylaxis Rescue,epinephrine AUTO INJCT,Preferred
Allergy/Cold: Anaphylaxis Rescue,epinephrine (AUVI-Q ™) AUTO INJCT,Preferred
"Allergy/Cold: Antihistamines, Second Generation",cetirizine HCl cetirizine HCl SOLUTION *** TABLET,Preferred
"Allergy/Cold: Antihistamines, Second Generation",loratadine SOLUTION,Preferred
"Allergy/Cold: Antihistamines, Second Generation",loratadine TAB RAPDIS ***,Preferred
"Allergy/Cold: Antihistamines, Second Generation",loratadine TABLET,Preferred
Allergy/Cold: Cough and Cold,codeine phosphate/guaifenesin * LIQUID,Preferred
Allergy/Cold: Cough and Cold,codeine phosphate/guaifenesin * SYRUP,Preferred
Allergy/Cold: Cough and Cold,codeine phosphate/guaifenesin * TABLET,Preferred
Allergy/Cold: Cough and Cold,guaifenesin ‡ GRAN PACK,Preferred
Allergy/Cold: Cough and Cold,guaifenesin ‡ LIQUID,Preferred
Allergy/Cold: Cough and Cold,guaifenesin ‡ SYRUP,Preferred
Allergy/Cold: Cough and Cold,guaifenesin ‡ TAB ER 12H,Preferred
Allergy/Cold: Cough and Cold,guaifenesin ‡ TABLET,Preferred
Allergy/Cold: Cough and Cold,guaifenesin ‡ TABLET ER,Preferred
Allergy/Cold: Cough and Cold,guaifenesin/dextromethorphan ‡ CAPSULE,Preferred
Allergy/Cold: Cough and Cold,guaifenesin/dextromethorphan ‡ DROPS,Preferred
Allergy/Cold: Cough and Cold,guaifenesin/dextromethorphan ‡ ELIXIR,Preferred
Allergy/Cold: Cough and Cold,guaifenesin/dextromethorphan ‡ GRAN PACK,Preferred
Allergy/Cold: Cough and Cold,guaifenesin/dextromethorphan ‡ LIQUID,Preferred
Allergy/Cold: Cough and Cold,guaifenesin/dextromethorphan ‡ LIQUID PKT,Preferred
Allergy/Cold: Cough and Cold,guaifenesin/dextromethorphan ‡ SYRUP,Preferred
Allergy/Cold: Cough and Cold,guaifenesin/dextromethorphan ‡ TAB ER 12H,Preferred
Allergy/Cold: Cough and Cold,guaifenesin/dextromethorphan ‡ TABLET,Preferred
Allergy/Cold: Cough and Cold,pseudoephedrine HCl ‡ CAPSULE,Preferred
Allergy/Cold: Cough and Cold,pseudoephedrine HCl ‡ TABLET,Preferred
Allergy/Cold: Hereditary Angioedema,C1 esterase inhibitor * KIT,Preferred
Allergy/Cold: Hereditary Angioedema,C1 esterase inhibitor * VIAL,Preferred
Allergy/Cold: Nasal Allergy Inhalers,fluticasone propionate ‡ SPRAY SUSP,Preferred
Analgesics: CGRP Inhibitors,erenumab-aooe * AUTO INJCT,Preferred
Analgesics: CGRP Inhibitors,fremanezumab-vfrm (AJOVY AUTOINJECTOR ™) * AUTO INJCT,Preferred
Analgesics: CGRP Inhibitors,fremanezumab-vfrm (AJOVY SYRINGE ™) * SYRINGE,Preferred
Analgesics: CGRP Inhibitors,ubrogepant (UBRELVY ™) * TABLET,Preferred
Analgesics: Gout,allopurinol TABLET ***,Preferred
Analgesics: Gout,colchicine ** TABLET,Preferred
Analgesics: Gout,probenecid/colchicine TABLET,Preferred
"Analgesics: Muscle Relaxants, Oral",baclofen TABLET ***,Preferred
"Analgesics: Muscle Relaxants, Oral",cyclobenzaprine HCl TABLET ***,Preferred
"Analgesics: Muscle Relaxants, Oral",methocarbamol TABLET ***,Preferred
"Analgesics: Muscle Relaxants, Oral",tizanidine HCl TABLET,Preferred
Analgesics: Non-Steroidal Anti- Inflammatory Drugs,celecoxib diclofenac potassium CAPSULE TABLET ***,Preferred
Analgesics: Non-Steroidal Anti- Inflammatory Drugs,diclofenac sodium TABLET DR,Preferred
Analgesics: Non-Steroidal Anti- Inflammatory Drugs,etodolac TABLET,Preferred
Analgesics: Non-Steroidal Anti- Inflammatory Drugs,ibuprofen CAPSULE,Preferred
Analgesics: Non-Steroidal Anti- Inflammatory Drugs,ibuprofen DROPS SUSP,Preferred
Analgesics: Non-Steroidal Anti- Inflammatory Drugs,ibuprofen ORAL SUSP,Preferred
Analgesics: Non-Steroidal Anti- Inflammatory Drugs,ibuprofen TAB CHEW,Preferred
Analgesics: Non-Steroidal Anti- Inflammatory Drugs,ibuprofen TABLET,Preferred
Analgesics: Non-Steroidal Anti- Inflammatory Drugs,indomethacin CAPSULE,Preferred
Analgesics: Non-Steroidal Anti- Inflammatory Drugs,ketoprofen CAPSULE,Preferred
Analgesics: Non-Steroidal Anti- Inflammatory Drugs,meloxicam TABLET,Preferred
Analgesics: Non-Steroidal Anti- Inflammatory Drugs,nabumetone TABLET,Preferred
Analgesics: Non-Steroidal Anti- Inflammatory Drugs,naproxen TABLET,Preferred
Analgesics: Non-Steroidal Anti- Inflammatory Drugs,naproxen TABLET DR,Preferred
Analgesics: Non-Steroidal Anti- Inflammatory Drugs,naproxen sodium TABLET,Preferred
Analgesics: Non-Steroidal Anti- Inflammatory Drugs,oxaprozin TABLET,Preferred
Analgesics: Non-Steroidal Anti- Inflammatory Drugs,salsalate TABLET,Preferred
Analgesics: Non-Steroidal Anti- Inflammatory Drugs,sulindac TABLET,Preferred
"Analgesics: Opioids, Long-Acting",fentanyl * PATCH TD72,Preferred
"Analgesics: Opioids, Long-Acting",morphine sulfate * TABLET ER,Preferred
"Analgesics: Opioids, Short-Acting",acetaminophen with codeine * ELIXIR,Preferred
"Analgesics: Opioids, Short-Acting",acetaminophen with codeine * SOLUTION,Preferred
