therapeutic_class,pdl_name,status
ANALGESICS : Nonsteroidal Anti-Inflammatory Agents (Nsaids),"ibuprofen 400 mg tab, 600 mg tab, 800 mg tab",Preferred
ANALGESICS : Nonsteroidal Anti-Inflammatory Agents (Nsaids),"naproxen 250 mg tab, 375 mg tab, 500 mg tab",Preferred
ANALGESICS : Nonsteroidal Anti-Inflammatory Agents (Nsaids),"naproxen dr 375 mg tab dr, 500 mg tab dr",Preferred
ANALGESICS : Short-Acting Opioid Analgesics,acetaminophen-codeine 120-12 mg/5ml soln,Preferred
ANALGESICS : Short-Acting Opioid Analgesics,acetaminophen-codeine #3 300-30 mg tab,Preferred
ANALGESICS : Short-Acting Opioid Analgesics,hydrocodone- acetaminophen 5-325 mg tab,Preferred
ANALGESICS : Short-Acting Opioid Analgesics,meperidine hcl 50 mg/ml inj soln,Preferred
ANTIANXIETY AGENTS : Benzodiazepines,midazolam hcl 5 mg/ml inj soln,Preferred
ANTIBACTERIALS : First Generation Cephalosporins,"cephalexin 125 mg/5ml susp, 250 mg cap, 500 mg cap",Preferred
ANTIBACTERIALS : First Generation Cephalosporins,cefadroxil 250 mg/5ml susp,Preferred
ANTIBACTERIALS : First Generation Cephalosporins,cephalexin 250 mg/5ml susp,Preferred
ANTIBACTERIALS : First Generation Cephalosporins,cefadroxil 500 mg/5ml susp,Preferred
ANTIBACTERIALS : First Generation Cephalosporins,"erythromycin base 250 mg cap dr prt, 250 mg tab, 500 mg tab",Preferred
ANTIBACTERIALS : First Generation Cephalosporins,erythromycin ethylsuccinate 400 mg tab,Preferred
ANTIBACTERIALS : First Generation Cephalosporins,ERYTHROCIN STEARATE 250 mg tab,Preferred
ANTIBACTERIALS : First Generation Cephalosporins,E.E.S. GRANULES 200 mg/5ml susp,Preferred
ANTIBACTERIALS : First Generation Cephalosporins,ERYPED 200 200 mg/5ml susp,Preferred
ANTIBACTERIALS : First Generation Cephalosporins,ERYPED 400 400 mg/5ml susp,Preferred
ANTIBACTERIALS : Miscellaneous Antibacterials,"clindamycin hcl 150 mg cap, 300 mg cap, 75 mg cap",Preferred
ANTIBACTERIALS : Penicillins,"amoxicillin 125 mg/5ml susp, 200 mg/5ml susp, 250 mg cap, 250 mg/5ml susp, 400 mg/5ml susp, 500 mg cap, 500 mg tab, 875 mg tab",Preferred
ANTIBACTERIALS : Penicillins,"ampicillin 125 mg/5ml susp, 250 mg cap, 250 mg/5ml susp, 500 mg cap",Preferred
ANTIBACTERIALS : Penicillins,"amoxicillin-pot clavulanate 200-28.5 mg/5ml susp, 400-57 mg/5ml susp, 250-62.5 mg/5ml susp",Preferred
ANTIBACTERIALS : Penicillins,"amoxicillin-pot clavulanate 250-125 mg tab, 500-125 mg tab, 875-125 mg tab",Preferred
ANTIBACTERIALS : Penicillins,"penicillin v potassium 125 mg/5ml soln, 250 mg tab, 250 mg/5ml soln, 500 mg tab",Preferred
ANTIBACTERIALS : Penicillins,"doxycycline monohydrate 50 mg cap, 100 mg cap",Preferred
ANTIBACTERIALS : Penicillins,"doxycycline hyclate 50 mg cap, 100 mg cap",Preferred
ANTIBACTERIALS : Oral Antiseptics,chlorhexidine gluconate 0.12 % m/t soln,Preferred
IMMUNOSUPPRESSANTS : Glucocorticosteroids,"dexamethasone 0.5 mg tab, 0.5 mg/5ml oral elix, 0.5 mg/5ml soln, 0.75 mg tab, 1 mg tab, 1.5 mg tab, 2 mg tab, 4 mg tab, 6 mg tab",Preferred
IMMUNOSUPPRESSANTS : Glucocorticosteroids,"dexamethasone sodium phosphate 120 mg/30ml inj soln, 20 mg/5ml inj soln, 4 mg/ml inj soln",Preferred
IMMUNOSUPPRESSANTS : Glucocorticosteroids,triamcinolone acetonide 0.1 % m/t paste,Preferred
ANALGESICS : Nonsteroidal Anti-Inflammatory Agents (Nsaids),"indomethacin 25 mg cap, 50 mg cap",Preferred
ANALGESICS : Nonsteroidal Anti-Inflammatory Agents (Nsaids),"nabumetone 500 mg tab, 750 mg tab",Preferred
ANALGESICS : Nonsteroidal Anti-Inflammatory Agents (Nsaids),"naproxen sodium 275 mg tab, 550 mg tab",Preferred
ANALGESICS : Nonsteroidal Anti-Inflammatory Agents (Nsaids),"salsalate 500 mg tab, 750 mg tab",Preferred
ANALGESICS : Short-Acting Opioid Analgesics,tramadol hcl 50 mg tab,Preferred
ANESTHETICS : Local Anesthetics,lidocaine viscous 2 % mouth/throat soln,Preferred
ANTIANXIETY AGENTS : Benzodiazepines,"clonazepam 0.5 mg tab, 1 mg tab",Preferred
ANTIANXIETY AGENTS : Benzodiazepines,"diazepam 10 mg tab, 2 mg tab, 5 mg tab",Preferred
ANTIANXIETY AGENTS : Benzodiazepines,"lorazepam 0.5 mg tab, 1 mg tab",Preferred
ANTIANXIETY AGENTS : Benzodiazepines,"temazepam 15 mg cap, 30 mg cap",Preferred
ANTIANXIETY AGENTS : Miscellaneous Anxiolytics,"hydroxyzine pamoate 100 mg cap, 25 mg cap, 50 mg cap",Preferred
ANTI- ADDICTION/SUBSTANCE ABUSE TREATMENT AGENTS : Opioid Antagonist,"buprenorphine/ naloxone subl tab 2-0.5 mg, 8-2 mg",Preferred
ANTI- ADDICTION/SUBSTANCE ABUSE TREATMENT AGENTS : Opioid Antagonist,"buprenorphine/ naloxone subl film 2-0.5 mg, 8-2 mg, 4-1 mg, 12-3 mg",Preferred
ANTI- ADDICTION/SUBSTANCE ABUSE TREATMENT AGENTS : Opioid Dependence Treatments,naltrexone hcl 50 mg tab,Preferred
ANTI- ADDICTION/SUBSTANCE ABUSE TREATMENT AGENTS : Opioid Reversal Agents,naloxone hcl 0.4 mg/ml inj soln,Preferred
ANTIBACTERIALS : Macrolides,"azithromycin 250 mg tab, 500 mg tab",Preferred
ANTIBACTERIALS : Macrolides,"azithromycin 1 gm pckt, 100 mg/5ml susp, 200 mg/5ml susp, 600 mg tab",Preferred
ANTIBACTERIALS : Macrolides,"clarithromycin 125 mg/5ml susp, 250 mg tab, 500 mg tab",Preferred
ANTIBACTERIALS : Macrolides,clarithromycin 250 mg/5ml susp,Preferred
ANTIBACTERIALS : Macrolides,"erythromycin base 250 mg cap dr prt, 250 mg tab, 500 mg tab",Preferred
ANTIBACTERIALS : Macrolides,erythromycin ethylsuccinate 400 mg tab,Preferred
ANTIBACTERIALS : Macrolides,ERYTHROCIN STEARATE 250 mg tab,Preferred
ANTIBACTERIALS : Miscellaneous Antibacterials,"metronidazole 250 mg tab, 500 mg tab",Preferred
ANTIBACTERIALS : Miscellaneous Antibacterials,nitrofurantoin macrocrystal 50 mg cap,Preferred
ANTIBACTERIALS : Miscellaneous Antibacterials,nitrofurantoin macrocrystal 100 mg cap,Preferred
ANTIBACTERIALS : Miscellaneous Antibacterials,nitrofurantoin oral suspension 25 MG/5ML,Preferred
ANTIBACTERIALS : Miscellaneous Antibacterials,nitrofurantoin monohyd macro 100 mg cap,Preferred
ANTIBACTERIALS : Penicillins,"amoxicillin-pot clavulanate 200-28.5 mg/5ml susp, 400-57 mg/5ml susp, 500-125 mg tab, 600-42.9 mg/5ml susp, 875-125 mg tab",Preferred
ANTIBACTERIALS : Penicillins,"amoxicillin-pot clavulanate 250-125 mg tab, 250-62.5 mg/5ml susp",Preferred
ANTIBACTERIALS : Penicillins,BICILLIN L-A 600000 unit/ml im susp,Preferred
ANTIBACTERIALS : Penicillins,penicillin g procaine 600000 unit/ml im susp,Preferred
ANTIBACTERIALS : Penicillins,BICILLIN L-A 1200000 unit/2ml im susp,Preferred
ANTIBACTERIALS : Penicillins,BICILLIN L-A 2400000 unit/4ml im susp,Preferred
ANTIBACTERIALS : Quinolones,"ciprofloxacin hcl 250 mg tab, 500 mg tab, 750 mg tab",Preferred
ANTIBACTERIALS : Quinolones,"levofloxacin 250 mg tab, 500 mg tab, 750 mg tab",Preferred
ANTIBACTERIALS : Quinolones,ciprofloxacin 500 mg/5ml (10%) susp,Preferred
ANTIBACTERIALS : Quinolones,ciprofloxacin 250 mg/5ml (5%) susp,Preferred
ANTIBACTERIALS : Second Generation Cephalosporins,"cefaclor 250 mg cap, 500 mg cap",Preferred
ANTIBACTERIALS : Second Generation Cephalosporins,"cefprozil 125 mg/5ml susp, 250 mg tab, 250 mg/5ml susp, 500 mg tab",Preferred
ANTIBACTERIALS : Sulfonamides,sulfamethoxazole-tmp ds 800-160 mg tab,Preferred
ANTIBACTERIALS : Sulfonamides,"sulfamethoxazole-trimethoprim 200-40 mg/5ml susp, 400-80 mg tab",Preferred
ANTIBACTERIALS : Tetracyclines,doxycycline monohydrate 100 mg cap,Preferred
ANTIBACTERIALS : Tetracyclines,doxycycline hyclate 100 mg cap,Preferred
ANTIBACTERIALS : Third Generation Cephalosporins,"cefdinir 125 mg/5ml susp, 300 mg cap",Preferred
ANTIBACTERIALS : Third Generation Cephalosporins,cefdinir 250 mg/5ml susp,Preferred
ANTIBACTERIALS : Third Generation Cephalosporins,ceftriaxone 250 mg IM,Preferred
ANTIBACTERIALS : Vaginal Antibiotics,clindamycin phosphate 2 % vag crm,Preferred
ANTIBACTERIALS : Vaginal Antibiotics,metronidazole 0.75 % vag gel,Preferred
ANTICONVULSANTS : Anticonvulsants,"carbamazepine 100 mg tab chew, 200 mg tab",Preferred
ANTICONVULSANTS : Anticonvulsants,"clonazepam 0.5 mg tab, 1 mg tab, 2mg tab",Preferred
ANTICONVULSANTS : Anticonvulsants,"divalproex sodium 125 mg tab dr, 250 mg tab dr, 500 mg tab dr",Preferred
ANTICONVULSANTS : Anticonvulsants,"gabapentin 100 mg cap, 300 mg cap, 400 mg cap, 600 mg tab, 800 mg tab",Preferred
ANTICONVULSANTS : Anticonvulsants,"lamotrigine 100 mg tab, 150 mg tab, 200 mg tab, 25 mg tab",Preferred
ANTICONVULSANTS : Anticonvulsants,"lamotrigine chew tab 5 mg, 25 mg",Preferred
ANTICONVULSANTS : Anticonvulsants,"levetiracetam 250 mg tab, 500 mg tab",Preferred
ANTICONVULSANTS : Anticonvulsants,"levetiracetam er 24 hrs 500 mg tab, 750 mg",Preferred
ANTICONVULSANTS : Anticonvulsants,oxcarbazepine 150 mg tab,Preferred
ANTICONVULSANTS : Anticonvulsants,"phenobarbital 100 mg tab, 15 mg tab, 16.2 mg tab, 30 mg tab, 32.4 mg tab, 60 mg tab, 64.8 mg tab, 97.2 mg tab",Preferred
ANTICONVULSANTS : Anticonvulsants,"primidone 250 mg tab, 50 mg tab",Preferred
ANTICONVULSANTS : Anticonvulsants,"topiramate 100 mg tab, 200 mg tab, 25 mg tab, 50 mg tab",Preferred
ANTICONVULSANTS : Anticonvulsants,"valproic acid 250 mg cap, 250 mg/5ml soln, 250 mg/5ml syr",Preferred
